Date,Count,Hour,Seasons,FunctionDay,R_S,Cnt_LagD7,Cnt_LagD14,Cnt_LagW2,Count_lag2,Temperature_lag2,Humidity_lag2,Wind_lag2,Visibility_lag2,DewPoint_lag2,Solar_lag2,Rainfall_lag2,Snowfall_lag2,ProperHumidity,Weekday,Workingday,RushHour,TempGroup
2017-12-02,334,10,Winter,Yes,0,,,,219,-4.2,79,2.1,1436,-7.3,0.01,0,0,0,5,0,0,Very Cold
2017-12-02,388,11,Winter,Yes,0,,,,328,-2.9,68,1.6,1487,-7.9,0.3,0,0,0,5,0,0,Very Cold
2017-12-02,479,12,Winter,Yes,0,,,,334,-0.4,57,1.6,1309,-7.8,0.8,0,0,0,5,0,0,Very Cold
2017-12-02,606,13,Winter,Yes,0,,,,388,1.9,49,1.8,1406,-7.7,1,0,0,0,5,0,0,Cold
2017-12-02,611,14,Winter,Yes,0,,,,479,4.3,41,1.3,1666,-7.8,1.09,0,0,0,5,0,0,Cold
2017-12-02,589,15,Winter,Yes,0,,,,606,6,36,1.8,1780,-7.9,1.12,0,0,1,5,0,0,Cold
2017-12-02,618,16,Winter,Yes,0,,,,611,7.3,35,1.3,1955,-7.1,0.99,0,0,1,5,0,0,Cold
2017-12-02,572,17,Winter,Yes,0,,,,589,7.6,41,2.3,1953,-4.8,0.74,0,0,0,5,0,0,Cold
2017-12-02,489,18,Winter,Yes,0,,,,618,6.4,48,2.6,1945,-3.8,0.22,0,0,0,5,0,0,Cold
2017-12-02,385,19,Winter,Yes,0,,,,572,6,51,2.5,1891,-3.3,0.06,0,0,0,5,0,0,Cold
2017-12-02,359,20,Winter,Yes,0,,,,489,5.5,53,1.5,1697,-3.3,0,0,0,0,5,0,0,Cold
2017-12-02,377,21,Winter,Yes,0,,,,385,5,52,2.3,1666,-4,0,0,0,0,5,0,0,Cold
2017-12-02,354,22,Winter,Yes,0,,,,359,4.6,51,1.2,1585,-4.6,0,0,0,0,5,0,0,Cold
2017-12-02,366,23,Winter,Yes,0,,,,377,4.1,55,1.2,1448,-4.1,0,0,0,0,5,0,0,Cold
2017-12-03,342,0,Winter,Yes,0,,,,354,3.5,54,1.5,1446,-4.9,0,0,0,0,5,0,0,Cold
2017-12-03,227,1,Winter,Yes,0,,,,366,4,56,1,1352,-4,0,0,0,0,5,0,0,Cold
2017-12-03,228,2,Winter,Yes,0,,,,342,4,58,1.4,1296,-3.5,0,0,0,0,6,0,0,Cold
2017-12-03,117,3,Winter,Yes,0,,,,227,3.9,69,1.7,485,-1.2,0,0,0,0,6,0,0,Cold
2017-12-03,76,4,Winter,Yes,0,,,,228,3.3,79,1.4,830,0,0,0,0,0,6,0,0,Cold
2017-12-03,32,5,Winter,Yes,0.5,,,,117,3.4,71,1.6,1011,-1.3,0,0.5,0,0,6,0,0,Cold
2017-12-03,13,6,Winter,Yes,0,,,,76,3.5,73,1,1060,-0.8,0,0,0,0,6,0,0,Cold
2017-12-03,22,7,Winter,Yes,0,,,,32,3.9,75,1.9,914,-0.1,0,0,0,0,6,0,0,Cold
2017-12-03,85,8,Winter,Yes,1,,,,13,3.4,86,2.5,278,1.2,0,1,0,0,6,0,0,Cold
2017-12-03,152,9,Winter,Yes,0,,,,22,3.1,91,1.2,129,1.7,0,0,0,0,6,0,0,Cold
2017-12-03,200,10,Winter,Yes,0,,,,85,3.2,92,1.8,244,2,0,0,0,0,6,0,0,Cold
2017-12-03,273,11,Winter,Yes,2.5,,,,152,3.5,91,1.8,231,2.1,0.02,2.5,0,0,6,0,0,Cold
2017-12-03,333,12,Winter,Yes,0,,,,200,4.4,89,2.2,257,2.7,0.24,0,0,0,6,0,0,Cold
2017-12-03,495,13,Winter,Yes,0,,,,273,5.1,87,1.4,321,3.1,0.25,0,0,0,6,0,0,Cold
2017-12-03,563,14,Winter,Yes,0,,,,333,5.8,85,1.7,349,3.4,0.43,0,0,0,6,0,0,Cold
2017-12-03,621,15,Winter,Yes,0,,,,495,6.8,81,1.9,390,3.7,0.6,0,0,0,6,0,0,Cold
2017-12-03,598,16,Winter,Yes,0,,,,563,7.6,76,1.2,422,3.6,0.69,0,0,0,6,0,0,Cold
2017-12-03,545,17,Winter,Yes,0,,,,621,8,73,1.6,433,3.4,0.53,0,0,0,6,0,0,Cold
2017-12-03,443,18,Winter,Yes,0,,,,598,7.6,77,1.6,399,3.8,0.2,0,0,0,6,0,0,Cold
2017-12-03,422,19,Winter,Yes,0,,,,545,6.7,82,1.5,358,3.8,0.05,0,0,0,6,0,0,Cold
2017-12-03,397,20,Winter,Yes,0,,,,443,6,84,1.9,327,3.4,0,0,0,0,6,0,0,Cold
2017-12-03,385,21,Winter,Yes,0,,,,422,5.7,85,1.7,309,3.3,0,0,0,0,6,0,0,Cold
2017-12-03,350,22,Winter,Yes,0,,,,397,5.2,87,1.4,253,3.2,0,0,0,0,6,0,0,Cold
2017-12-03,303,23,Winter,Yes,0,,,,385,4.7,87,1.2,247,2.7,0,0,0,0,6,0,0,Cold
2017-12-04,285,0,Winter,Yes,0,,,,350,4.3,89,1.8,201,2.6,0,0,0,0,6,0,0,Cold
2017-12-04,186,1,Winter,Yes,0,,,,303,3.9,90,1.3,194,2.4,0,0,0,0,6,0,0,Cold
2017-12-04,112,2,Winter,Yes,0,,,,285,4.2,88,0.6,216,2.3,0,0,0,0,0,1,0,Cold
2017-12-04,65,3,Winter,Yes,0,,,,186,4.3,87,0.5,221,2.3,0,0,0,0,0,1,0,Cold
2017-12-04,41,4,Winter,Yes,0,,,,112,4.4,87,1.8,207,2.4,0,0,0,0,0,1,0,Cold
2017-12-04,82,5,Winter,Yes,0,,,,65,3.6,85,2.3,206,1.3,0,0,0,0,0,1,0,Cold
2017-12-04,200,6,Winter,Yes,0,,,,41,2.8,89,1.5,130,1.1,0,0,0,0,0,1,0,Cold
2017-12-04,498,7,Winter,Yes,0,,,,82,2,83,2.7,253,-0.5,0,0,0,0,0,1,1,Cold
2017-12-04,937,8,Winter,Yes,0.1,,,,200,1.2,76,3.7,371,-2.5,0,0.1,0,0,0,1,1,Cold
2017-12-04,509,9,Winter,Yes,0,,,,498,0.2,68,3.4,702,-5,0,0,0,0,0,1,0,Cold
2017-12-04,311,10,Winter,Yes,0,,,,937,-0.8,69,3.5,954,-5.7,0.01,0,0,0,0,1,0,Very Cold
2017-12-04,379,11,Winter,Yes,0,,,,509,-1.5,47,4.2,1888,-11.3,0.22,0,0,0,0,1,0,Very Cold
2017-12-04,393,12,Winter,Yes,0,,,,311,-1.1,40,4.5,2000,-13,0.64,0,0,1,0,1,0,Very Cold
2017-12-04,391,13,Winter,Yes,0,,,,379,-0.5,41,4.1,1799,-12.1,0.94,0,0,0,0,1,0,Very Cold
2017-12-04,338,14,Winter,Yes,0,,,,393,-0.3,38,4.8,1823,-12.9,1.11,0,0,1,0,1,0,Very Cold
2017-12-04,341,15,Winter,Yes,0,,,,391,0,30,5.4,1938,-15.5,1.17,0,0,1,0,1,0,Very Cold
2017-12-04,375,16,Winter,Yes,0,,,,338,0.1,27,4.5,2000,-16.7,1.09,0,0,1,0,1,0,Cold
2017-12-04,515,17,Winter,Yes,0,,,,341,-0.1,25,5.8,2000,-17.8,0.88,0,0,1,0,1,1,Very Cold
2017-12-04,807,18,Winter,Yes,0,,,,375,-0.2,23,4.7,2000,-18.8,0.55,0,0,1,0,1,1,Very Cold
2017-12-04,568,19,Winter,Yes,0,,,,515,-1.3,26,5.3,2000,-18.3,0.18,0,0,1,0,1,1,Very Cold
2017-12-04,398,20,Winter,Yes,0,,,,807,-2.1,29,3.9,2000,-17.7,0,0,0,1,0,1,0,Very Cold
2017-12-04,397,21,Winter,Yes,0,,,,568,-2.9,32,3.2,2000,-17.3,0,0,0,1,0,1,0,Very Cold
2017-12-04,353,22,Winter,Yes,0,,,,398,-3.6,38,3,2000,-15.8,0,0,0,1,0,1,0,Very Cold
2017-12-04,248,23,Winter,Yes,0,,,,397,-4.6,43,4.5,2000,-15.3,0,0,0,0,0,1,0,Very Cold
2017-12-05,216,0,Winter,Yes,0,,,,353,-5.3,45,2.5,2000,-15.3,0,0,0,0,0,1,0,Very Cold
2017-12-05,198,1,Winter,Yes,0,,,,248,-5.8,44,2.4,2000,-16.1,0,0,0,0,0,1,0,Very Cold
2017-12-05,124,2,Winter,Yes,0,,,,216,-6.1,42,2.6,2000,-16.9,0,0,0,0,1,1,0,Very Cold
2017-12-05,62,3,Winter,Yes,0,,,,198,-6.5,41,2.8,2000,-17.6,0,0,0,0,1,1,0,Very Cold
2017-12-05,42,4,Winter,Yes,0,,,,124,-6.8,41,2.5,2000,-17.8,0,0,0,0,1,1,0,Very Cold
2017-12-05,82,5,Winter,Yes,0,,,,62,-6.9,39,2,2000,-18.5,0,0,0,1,1,1,0,Very Cold
2017-12-05,172,6,Winter,Yes,0,,,,42,-7.2,34,3,2000,-20.4,0,0,0,1,1,1,0,Very Cold
2017-12-05,381,7,Winter,Yes,0,,,,82,-7.4,33,2.6,2000,-20.9,0,0,0,1,1,1,1,Very Cold
2017-12-05,812,8,Winter,Yes,0,,,,172,-7.4,34,3.2,2000,-20.6,0,0,0,1,1,1,1,Very Cold
2017-12-05,462,9,Winter,Yes,0,,,,381,-7.5,33,2.2,2000,-21,0,0,0,1,1,1,0,Very Cold
2017-12-05,269,10,Winter,Yes,0,,,,812,-8.1,36,1.6,2000,-20.5,0.01,0,0,1,1,1,0,Very Cold
2017-12-05,334,11,Winter,Yes,0,,,,462,-7.6,31,1.3,1974,-21.8,0.21,0,0,1,1,1,0,Very Cold
2017-12-05,321,12,Winter,Yes,0,,,,269,-5.5,26,2.8,1967,-22,0.64,0,0,1,1,1,0,Very Cold
2017-12-05,325,13,Winter,Yes,0,,,,334,-3.9,25,0,1959,-21,0,0,0,1,1,1,0,Very Cold
2017-12-05,334,14,Winter,Yes,0,,,,321,-2.3,25,0,1962,-19.7,0,0,0,1,1,1,0,Very Cold
2017-12-05,353,15,Winter,Yes,0,,,,325,-1.6,27,0,1955,-18.2,0,0,0,1,1,1,0,Very Cold
2017-12-05,435,16,Winter,Yes,0,,,,334,-1.1,28,0,2000,-17.3,0,0,0,1,1,1,0,Very Cold
2017-12-05,529,17,Winter,Yes,0,,,,353,-0.7,28,0,2000,-16.9,0,0,0,1,1,1,1,Very Cold
2017-12-05,789,18,Winter,Yes,0,,,,435,-0.5,30,0,2000,-16,0,0,0,1,1,1,1,Very Cold
2017-12-05,597,19,Winter,Yes,0,,,,529,-1.6,35,0,2000,-15.1,0,0,0,1,1,1,1,Very Cold
2017-12-05,418,20,Winter,Yes,0,,,,789,-2.6,40,0,2000,-14.4,0,0,0,1,1,1,0,Very Cold
2017-12-05,415,21,Winter,Yes,0,,,,597,-3.2,45,0,2000,-13.5,0,0,0,0,1,1,0,Very Cold
2017-12-05,393,22,Winter,Yes,0,,,,418,-3.5,46,0,2000,-13.4,0,0,0,0,1,1,0,Very Cold
2017-12-05,244,23,Winter,Yes,0,,,,415,-3.7,47,0,2000,-13.3,0,0,0,0,1,1,0,Very Cold
2017-12-06,145,0,Winter,Yes,0,,,,393,-2.8,49,0,2000,-12,0,0,0,0,1,1,0,Very Cold
2017-12-06,144,1,Winter,Yes,0,,,,244,-2.5,59,0,1210,-9.4,0,0,0,0,1,1,0,Very Cold
2017-12-06,117,2,Winter,Yes,1.1,,,,145,-2.8,77,0,331,-6.2,0,0.1,0.1,0,2,1,0,Very Cold
2017-12-06,78,3,Winter,Yes,3,,,,144,-3,79,0,293,-6.1,0,0,0.3,0,2,1,0,Very Cold
2017-12-06,58,4,Winter,Yes,4,,,,117,-3,79,0,1862,-6.1,0,0,0.4,0,2,1,0,Very Cold
2017-12-06,87,5,Winter,Yes,4.2,,,,78,-3.2,78,0,1808,-6.4,0,0.2,0.4,0,2,1,0,Very Cold
2017-12-06,142,6,Winter,Yes,4,,,,58,-3.4,75,0,1982,-7.2,0,0,0.4,0,2,1,0,Very Cold
2017-12-06,379,7,Winter,Yes,4,,,,87,-3.6,76,0,1934,-7.2,0,0,0.4,0,2,1,1,Very Cold
2017-12-06,802,8,Winter,Yes,4,,,,142,-3.7,76,0,1864,-7.3,0,0,0.4,0,2,1,1,Very Cold
2017-12-06,440,9,Winter,Yes,3,,,,379,-4.2,77,0,1741,-7.6,0,0,0.3,0,2,1,0,Very Cold
2017-12-06,307,10,Winter,Yes,2,,,,802,-4.2,78,0,1518,-7.4,0.01,0,0.2,0,2,1,0,Very Cold
2017-12-06,381,11,Winter,Yes,2,,,,440,-3.3,70,0,1324,-7.9,0.25,0,0.2,0,2,1,0,Very Cold
2017-12-06,405,12,Winter,Yes,2,,,,307,-0.9,64,0,1224,-6.8,0.63,0,0.2,0,2,1,0,Very Cold
2017-12-06,442,13,Winter,Yes,0,,,,381,1.6,57,1.2,1261,-6,0.93,0,0,0,2,1,0,Cold
2017-12-06,416,14,Winter,Yes,0,,,,405,2.4,52,0.9,1224,-6.4,1.08,0,0,0,2,1,0,Cold
2017-12-06,412,15,Winter,Yes,0,,,,442,4.2,47,1.1,1469,-6.1,1.1,0,0,0,2,1,0,Cold
2017-12-06,496,16,Winter,Yes,0,,,,416,5.5,34,1,1966,-9.1,0.96,0,0,1,2,1,0,Cold
2017-12-06,239,17,Winter,Yes,0,,,,412,5.5,31,3.1,1968,-10.3,0.72,0,0,1,2,1,1,Cold
2017-12-06,204,18,Winter,Yes,0,,,,496,5.3,37,2.9,2000,-8.2,0.36,0,0,1,2,1,1,Cold
2017-12-06,205,19,Winter,Yes,0,,,,239,4.1,60,2.5,1565,-2.9,0.1,0,0,0,2,1,1,Cold
2017-12-06,190,20,Winter,Yes,3.3,,,,204,1.7,90,1,66,0.2,0,0.3,0.3,0,2,1,0,Cold
2017-12-06,165,21,Winter,Yes,10,,,,205,1.2,92,0.7,180,0,0,0,1,0,2,1,0,Cold
2017-12-06,222,22,Winter,Yes,10,,,,190,1.2,94,0.6,228,0.3,0,0,1,0,2,1,0,Cold
2017-12-06,193,23,Winter,Yes,10.7,,,,165,1.1,92,0.5,235,0,0,0.7,1,0,2,1,0,Cold
2017-12-07,198,0,Winter,Yes,10,,,,222,1.3,92,0.6,233,0.1,0,0,1,0,2,1,0,Cold
2017-12-07,218,1,Winter,Yes,10,,,,193,1.3,92,0.6,209,0.1,0,0,1,0,2,1,0,Cold
2017-12-07,149,2,Winter,Yes,9,,,,198,1.4,92,0.5,240,0.2,0,0,0.9,0,3,1,0,Cold
2017-12-07,102,3,Winter,Yes,9,,,,218,1.5,92,0.4,227,0.3,0,0,0.9,0,3,1,0,Cold
2017-12-07,62,4,Winter,Yes,9,,,,149,1.4,92,0.7,168,0.2,0,0,0.9,0,3,1,0,Cold
2017-12-07,83,5,Winter,Yes,9,,,,102,1.9,91,1.4,218,0.5,0,0,0.9,0,3,1,0,Cold
2017-12-07,137,6,Winter,Yes,9,,,,62,1.6,92,0.7,119,0.4,0,0,0.9,0,3,1,0,Cold
2017-12-07,367,7,Winter,Yes,9,,,,83,1.5,92,1.1,175,0.3,0,0,0.9,0,3,1,1,Cold
2017-12-07,754,8,Winter,Yes,9,,,,137,1,93,0.5,148,0,0,0,0.9,0,3,1,1,Cold
2017-12-07,415,9,Winter,Yes,9,,,,367,0.3,93,0.5,173,-0.7,0,0,0.9,0,3,1,0,Cold
2017-12-07,321,10,Winter,Yes,8,,,,754,-0.2,96,0.8,173,-0.7,0.01,0,0.8,0,3,1,0,Very Cold
2017-12-07,333,11,Winter,Yes,8,,,,415,0.1,91,0.8,265,-1.1,0.14,0,0.8,0,3,1,0,Cold
2017-12-07,431,12,Winter,Yes,7,,,,321,1.1,83,0.7,311,-1.4,0.41,0,0.7,0,3,1,0,Cold
2017-12-07,394,13,Winter,Yes,6,,,,333,2.3,69,1.7,628,-2.8,0.63,0,0.6,0,3,1,0,Cold
2017-12-07,390,14,Winter,Yes,3,,,,431,3.7,65,2.4,833,-2.2,0.98,0,0.3,0,3,1,0,Cold
2017-12-07,430,15,Winter,Yes,0,,,,394,4.1,37,3.1,1767,-9.3,1.14,0,0,1,3,1,0,Cold
2017-12-07,471,16,Winter,Yes,0,,,,390,4.4,36,2.7,1975,-9.4,1.04,0,0,1,3,1,0,Cold
2017-12-07,552,17,Winter,Yes,0,,,,430,4,35,3.1,1962,-10.1,0.84,0,0,1,3,1,1,Cold
2017-12-07,795,18,Winter,Yes,0,,,,471,3.2,38,2.9,1817,-9.7,0.51,0,0,1,3,1,1,Cold
2017-12-07,507,19,Winter,Yes,0,,,,552,2.1,50,2,1434,-7.2,0.15,0,0,0,3,1,1,Cold
2017-12-07,390,20,Winter,Yes,0,,,,795,0.7,46,2.7,1558,-9.6,0,0,0,0,3,1,0,Cold
2017-12-07,402,21,Winter,Yes,0,,,,507,-0.4,47,2.5,1269,-10.3,0,0,0,0,3,1,0,Very Cold
2017-12-07,389,22,Winter,Yes,0,,,,390,-1.4,47,2.5,1620,-11.2,0,0,0,0,3,1,0,Very Cold
2017-12-07,259,23,Winter,Yes,0,,,,402,-2.2,46,2.2,1975,-12.2,0,0,0,0,3,1,0,Very Cold
2017-12-08,233,0,Winter,Yes,0,254,,,389,-2.7,48,2.6,1844,-12.2,0,0,0,0,3,1,0,Very Cold
2017-12-08,230,1,Winter,Yes,0,204,,,259,-3.2,50,2.1,1887,-12.1,0,0,0,0,3,1,0,Very Cold
2017-12-08,131,2,Winter,Yes,0,173,,,233,-3.5,49,2.6,1893,-12.6,0,0,0,0,4,1,0,Very Cold
2017-12-08,99,3,Winter,Yes,0,107,,,230,-3.7,50,2.5,1902,-12.6,0,0,0,0,4,1,0,Very Cold
2017-12-08,71,4,Winter,Yes,0,78,,,131,-4.3,53,1,1918,-12.4,0,0,0,0,4,1,0,Very Cold
2017-12-08,84,5,Winter,Yes,0,100,,,99,-4.8,52,1.6,1978,-13.1,0,0,0,0,4,1,0,Very Cold
2017-12-08,158,6,Winter,Yes,0,181,,,71,-5.3,53,2.4,1936,-13.4,0,0,0,0,4,1,0,Very Cold
2017-12-08,387,7,Winter,Yes,0,460,,,84,-5.8,56,2,1941,-13.1,0,0,0,0,4,1,1,Very Cold
2017-12-08,780,8,Winter,Yes,0,930,,,158,-6,56,3.5,1853,-13.3,0,0,0,0,4,1,1,Very Cold
2017-12-08,395,9,Winter,Yes,0,490,,,387,-6.5,57,0.8,1776,-13.6,0,0,0,0,4,1,0,Very Cold
2017-12-08,261,10,Winter,Yes,0,339,,,780,-7,59,0.8,1559,-13.6,0.01,0,0,0,4,1,0,Very Cold
2017-12-08,310,11,Winter,Yes,0,360,,,395,-6.7,50,0.9,1492,-15.4,0.23,0,0,0,4,1,0,Very Cold
2017-12-08,355,12,Winter,Yes,0,449,,,261,-5.3,44,2.8,1516,-15.6,0.63,0,0,0,4,1,0,Very Cold
2017-12-08,354,13,Winter,Yes,0,451,,,310,-3.7,39,1.4,1595,-15.6,0.93,0,0,1,4,1,0,Very Cold
2017-12-08,350,14,Winter,Yes,0,447,,,355,-2,30,1.4,1728,-17.3,1.14,0,0,1,4,1,0,Very Cold
2017-12-08,362,15,Winter,Yes,0,463,,,354,-1.7,28,1.8,1963,-17.8,1.22,0,0,1,4,1,0,Very Cold
2017-12-08,401,16,Winter,Yes,0,484,,,350,-1.3,27,3.1,1906,-17.9,1.12,0,0,1,4,1,0,Very Cold
2017-12-08,500,17,Winter,Yes,0,555,,,362,-0.8,26,3.3,1977,-17.9,0.87,0,0,1,4,1,1,Very Cold
2017-12-08,752,18,Winter,Yes,0,862,,,401,-1.1,24,3.4,2000,-19.1,0.56,0,0,1,4,1,1,Very Cold
2017-12-08,477,19,Winter,Yes,0,600,,,500,-2.4,30,2.7,2000,-17.6,0.18,0,0,1,4,1,1,Very Cold
2017-12-08,384,20,Winter,Yes,0,426,,,752,-3.1,33,1.2,2000,-17.1,0,0,0,1,4,1,0,Very Cold
2017-12-08,336,21,Winter,Yes,0,405,,,477,-3.3,35,1.1,2000,-16.6,0,0,0,1,4,1,0,Very Cold
2017-12-08,347,22,Winter,Yes,0,398,,,384,-3.3,34,1.5,2000,-16.9,0,0,0,1,4,1,0,Very Cold
2017-12-08,275,23,Winter,Yes,0,323,,,336,-3.3,35,0.5,2000,-16.6,0,0,0,1,4,1,0,Very Cold
2017-12-09,267,0,Winter,Yes,0,328,,,347,-3.4,39,1.2,2000,-15.4,0,0,0,1,4,1,0,Very Cold
2017-12-09,296,1,Winter,Yes,0,308,,,275,-3.5,43,0.9,2000,-14.3,0,0,0,0,4,1,0,Very Cold
2017-12-09,237,2,Winter,Yes,0,262,,,267,-3.5,48,0.9,1967,-12.9,0,0,0,0,5,0,0,Very Cold
2017-12-09,169,3,Winter,Yes,0,167,,,296,-4.1,49,0.6,2000,-13.2,0,0,0,0,5,0,0,Very Cold
2017-12-09,96,4,Winter,Yes,0,89,,,237,-4.7,50,0.7,1983,-13.5,0,0,0,0,5,0,0,Very Cold
2017-12-09,56,5,Winter,Yes,0,79,,,169,-4.3,47,0.6,1992,-13.9,0,0,0,0,5,0,0,Very Cold
2017-12-09,76,6,Winter,Yes,0,70,,,96,-4.3,49,0.7,2000,-13.4,0,0,0,0,5,0,0,Very Cold
2017-12-09,127,7,Winter,Yes,0,146,,,56,-4.7,49,0.8,1999,-13.8,0,0,0,0,5,0,0,Very Cold
2017-12-09,222,8,Winter,Yes,0,219,,,76,-5.1,53,0.9,1975,-13.2,0,0,0,0,5,0,0,Very Cold
2017-12-09,291,9,Winter,Yes,0,328,,,127,-5.5,56,0.8,1950,-12.9,0,0,0,0,5,0,0,Very Cold
2017-12-09,273,10,Winter,Yes,0,334,,,222,-5.4,56,0.7,1940,-12.8,0.01,0,0,0,5,0,0,Very Cold
2017-12-09,351,11,Winter,Yes,0,388,,,291,-4.7,48,1,1784,-14,0.23,0,0,0,5,0,0,Very Cold
2017-12-09,427,12,Winter,Yes,0,479,,,273,-2.2,42,1.3,1646,-13.4,0.61,0,0,0,5,0,0,Very Cold
2017-12-09,431,13,Winter,Yes,0,606,,,351,0,45,1.1,1500,-10.5,0.89,0,0,0,5,0,0,Very Cold
2017-12-09,486,14,Winter,Yes,0,611,,,427,2.4,40,0.8,1809,-9.8,1.05,0,0,1,5,0,0,Cold
2017-12-09,569,15,Winter,Yes,0,589,,,431,3.9,36,2,1702,-9.8,1.13,0,0,1,5,0,0,Cold
2017-12-09,546,16,Winter,Yes,0,618,,,486,4.7,32,2.2,1948,-10.6,1.06,0,0,1,5,0,0,Cold
2017-12-09,481,17,Winter,Yes,0,572,,,569,5.2,30,2,1963,-11,0.84,0,0,1,5,0,0,Cold
2017-12-09,384,18,Winter,Yes,0,489,,,546,4.4,33,1.6,1963,-10.5,0.4,0,0,1,5,0,0,Cold
2017-12-09,275,19,Winter,Yes,0,385,,,481,3.5,37,1.8,1963,-9.8,0.1,0,0,1,5,0,0,Cold
2017-12-09,298,20,Winter,Yes,0,359,,,384,2.5,41,1,1974,-9.4,0,0,0,0,5,0,0,Cold
2017-12-09,321,21,Winter,Yes,0,377,,,275,1.5,48,0.4,1878,-8.3,0,0,0,0,5,0,0,Cold
