x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,amount,fraud
-0.348,1.051,0.358,-0.413,-0.025,-0.371,0.399,0.885,0.329,0.133,-0.282,-0.731,-0.133,-0.468,-0.076,0.123,0.266,0.113,0.99,0
2.026,-0.077,0.271,-0.542,-0.132,0.469,0.077,0.23,0.013,-0.216,0.327,1.066,0.013,0.732,0.304,-0.47,0.004,-0.057,1.0,0
2.051,0.259,1.246,-0.035,-0.028,0.445,0.346,-0.98,0.342,-0.043,-0.026,0.211,-0.152,-0.483,0.332,0.74,-0.041,-0.024,12.31,0
2.278,-0.625,0.398,-0.015,-0.176,-0.855,1.382,-1.027,1.528,0.083,0.011,0.078,0.075,-0.309,0.163,-0.269,-0.041,-0.076,5.18,0
1.34,-0.692,-1.499,-0.713,-0.086,-0.447,0.627,1.083,0.217,0.147,0.396,1.072,-0.122,0.445,0.432,-0.052,0.036,0.03,29.95,0
-1.149,-0.801,-0.955,-0.94,-2.707,1.273,-0.017,0.633,-0.783,1.073,-0.982,0.482,-1.711,0.85,1.08,-0.003,0.011,0.258,300.0,0
1.91,-0.642,-0.973,-0.687,-0.062,1.582,-0.33,0.557,-0.14,-0.151,0.201,0.719,0.106,0.08,-0.202,0.12,0.005,-0.035,50.63,0
0.244,1.122,1.096,-1.199,0.049,-0.467,-0.563,-0.666,-0.271,-0.236,0.168,0.402,0.009,0.418,-0.253,0.531,-0.168,-0.044,42.81,0
2.029,0.496,0.827,-1.351,-0.681,0.938,2.477,-0.662,-0.649,-0.223,0.05,0.518,-0.087,-0.106,0.559,-0.453,-0.06,-0.068,29.9,0
-1.81,0.361,-1.216,-0.674,0.509,0.238,0.274,0.251,0.841,-0.131,0.235,0.651,-0.274,0.86,-0.493,1.086,-0.711,-0.216,40.45,0
0.049,1.233,1.66,-0.373,0.155,-1.051,1.23,-1.489,0.227,-0.083,0.233,0.65,-0.126,-0.202,-0.232,0.545,-0.093,0.026,42.81,0
1.971,-0.929,0.021,1.014,0.422,-0.175,0.234,0.433,-0.346,0.016,0.344,1.117,0.078,-1.726,-0.315,0.022,0.071,-0.035,39.99,0
-2.901,1.047,0.049,5.082,1.489,0.416,0.136,-1.185,0.839,0.056,0.108,-1.046,-0.141,0.983,0.757,-0.032,0.761,0.43,50.0,0
1.891,-0.558,-0.851,-0.564,0.082,0.928,-1.116,-0.065,0.215,-0.19,-0.198,-0.632,0.426,0.036,-0.741,0.208,-0.057,-0.049,40.88,0
1.127,-0.175,-0.989,-0.764,-0.005,0.398,-0.32,1.532,-0.605,-0.076,-0.119,-0.404,0.23,0.63,-0.157,0.784,-0.053,0.021,33.24,0
-0.132,0.941,0.529,-0.822,0.203,-0.127,0.884,-0.767,0.201,-0.055,-0.176,-0.413,0.11,-0.63,-0.55,0.205,0.145,0.024,17.23,0
1.966,-0.39,-0.765,-0.529,-0.059,1.415,0.461,0.483,-0.308,-0.206,0.204,0.871,0.122,0.022,-0.1,-0.211,0.047,-0.036,9.99,0
-3.55,3.199,3.202,3.77,-0.869,2.35,-0.556,0.401,0.459,1.291,0.393,0.239,-0.233,0.664,0.291,-0.665,-1.541,-1.329,5.98,0
2.248,-1.604,-1.642,0.124,0.059,-0.658,1.403,0.063,-0.211,-0.323,-0.158,0.095,0.331,0.462,-0.466,-0.266,0.065,-0.023,22.0,0
-0.791,0.768,1.125,-0.661,-0.113,-0.901,-1.117,-1.3,0.582,-0.03,0.022,-0.019,-0.536,-0.306,1.014,0.511,-0.08,0.017,26.98,0
1.876,-0.485,-0.805,0.232,0.363,1.259,-1.983,0.241,-0.317,-0.345,0.071,0.222,0.248,-0.497,-0.416,-0.743,0.062,-0.037,17.0,0
1.126,-0.062,-0.353,0.238,0.15,0.256,0.618,-0.912,0.113,-0.082,-0.017,0.218,-0.066,0.109,0.472,0.42,0.003,0.001,12.31,0
2.033,0.247,0.301,-1.06,-0.307,0.288,1.096,0.092,-0.217,-0.108,-0.313,-0.735,0.396,1.023,-0.303,0.142,-0.051,-0.024,0.99,0
2.135,-1.288,1.299,3.668,0.952,-0.031,0.128,0.583,0.315,0.066,0.326,0.9,0.168,0.742,-0.114,-0.068,0.029,-0.053,19.99,0
1.926,-0.433,2.096,4.157,1.084,1.024,-0.376,-0.797,0.088,-0.222,-0.528,-1.334,0.48,0.616,-0.281,-1.084,0.074,-0.037,4.94,0
1.886,-0.297,-0.712,-0.576,-0.007,1.218,0.514,0.821,-0.528,-0.048,-0.025,0.026,0.238,-0.196,-0.52,0.17,0.018,-0.0,49.3,0
1.911,-0.584,-0.72,-0.023,0.17,2.85,-0.493,-0.647,-0.087,-0.353,0.066,0.516,0.095,-0.491,-0.204,-0.24,-0.004,-0.058,29.0,0
-0.217,-4.21,-2.948,0.841,0.112,-0.408,-0.425,-1.745,-0.047,1.218,0.05,-0.881,-0.625,0.115,-0.036,-0.267,-0.046,0.167,835.0,0
1.204,-0.357,-0.974,-0.342,0.074,1.734,0.489,1.464,0.194,-0.122,0.022,0.374,-0.013,0.113,0.446,-0.659,0.114,0.033,1.0,0
1.196,0.217,-0.252,-0.392,0.041,-0.069,-0.799,0.454,0.128,-0.158,-0.206,-0.689,0.054,-0.056,0.353,-0.626,0.014,0.016,9.99,0
1.278,0.095,-0.279,-1.431,-0.368,-0.053,-0.623,0.832,0.116,-0.072,-0.042,-0.177,-0.098,0.451,0.52,1.07,-0.122,-0.007,29.95,0
-0.339,0.672,-0.317,0.193,0.209,0.138,-0.286,1.029,0.963,0.05,0.064,0.32,-0.19,-0.124,-0.286,-0.279,0.201,0.15,1.18,0
-1.239,-0.634,2.163,-1.969,-0.446,-0.151,-0.964,-1.009,-0.373,0.25,0.099,0.059,-0.062,-0.083,0.29,0.435,-0.212,-0.086,48.65,0
1.996,0.225,0.471,-1.251,-0.346,-0.273,-1.184,-0.419,-0.127,-0.315,0.176,0.512,-0.014,0.052,0.394,-0.508,-0.044,-0.072,17.45,0
-1.019,1.387,3.274,3.256,-0.315,0.823,-0.316,0.947,0.504,1.054,-0.73,-1.184,-0.159,0.957,-0.117,-0.174,-0.361,-0.702,9.31,0
-0.761,1.166,0.287,-0.134,0.081,-1.729,0.098,0.198,0.465,0.035,-0.084,-0.364,0.126,0.5,-0.319,-0.182,-0.021,0.115,1.5,0
-0.263,1.179,0.216,-0.217,-0.994,-0.367,1.514,1.697,1.443,0.373,-0.051,0.407,-0.296,0.434,-0.248,-0.359,-0.696,-0.545,47.47,0
-1.087,-0.443,3.702,2.558,0.85,-0.771,-0.096,0.781,0.448,0.423,0.102,-0.233,0.043,1.027,0.117,0.31,0.017,0.138,35.19,0
-1.081,-0.221,-1.2,-0.068,0.684,-1.408,0.171,-0.067,-0.514,0.172,0.691,1.526,0.065,0.246,-0.236,-0.246,-0.005,0.036,99.0,0
1.992,-0.233,-0.653,-0.729,-0.131,2.747,0.909,0.432,-0.292,-0.319,-0.282,-0.488,0.348,-0.253,-0.403,-0.954,0.025,-0.035,11.27,0
1.303,-0.478,-1.04,-0.744,-0.162,-0.97,0.993,1.058,-1.251,-0.444,-0.388,-0.598,0.164,0.436,0.046,0.955,-0.036,0.014,20.0,0
0.72,1.249,0.231,0.703,-0.863,-1.553,0.378,-0.197,1.045,-0.039,0.867,0.324,-0.185,0.029,0.474,0.586,0.268,0.283,1.34,0
-0.395,0.368,0.487,-1.269,-0.853,-0.606,-0.813,-1.384,0.227,0.228,0.11,0.891,-0.347,-0.077,0.159,-0.198,0.025,-0.192,50.95,0
-2.839,0.397,-1.141,0.349,1.499,-0.207,-0.418,0.054,0.462,0.181,0.515,1.262,-0.45,0.815,-0.114,-0.301,0.425,-0.038,156.42,0
-0.848,1.072,-0.485,0.118,0.414,-0.191,1.521,0.03,0.715,-0.025,0.248,0.851,-0.28,0.114,-0.001,-0.181,-0.034,0.06,27.62,0
-1.233,2.244,-1.193,-1.686,0.856,-1.974,-0.145,0.759,-0.096,0.208,0.56,0.166,-0.014,0.475,-0.219,0.303,0.466,0.25,0.76,1
2.237,-1.64,-1.693,-0.188,0.072,-0.897,-0.062,-0.746,0.075,-0.449,0.073,0.76,0.118,-0.338,-0.216,0.014,0.038,-0.057,14.5,0
-0.398,1.077,0.264,-0.443,0.05,0.748,1.093,-0.448,0.121,0.082,-0.383,-0.878,-0.018,-0.128,-0.186,0.038,0.206,0.078,13.68,0
-0.303,-0.265,-0.651,-0.457,0.125,-0.915,-1.553,0.204,1.582,0.176,0.161,0.439,0.06,0.403,-0.49,-0.173,0.165,0.152,22.04,0
0.884,-3.423,-0.837,-1.162,-0.874,-2.281,0.815,-0.598,-0.239,1.201,0.594,0.452,-0.824,0.846,0.403,0.182,-0.222,0.058,808.2,0
-0.215,1.375,0.84,-0.725,0.218,0.998,2.315,-1.06,-0.362,-0.065,-0.45,-1.029,0.143,0.323,-0.37,0.087,0.072,0.008,9.7,0
1.142,-0.407,-1.235,-0.179,0.174,0.903,0.04,-1.039,0.675,-0.049,-0.163,-0.25,0.085,0.615,0.083,0.911,-0.037,0.008,15.0,0
-5.771,5.081,-0.872,-1.492,1.652,2.447,-1.58,-0.488,-0.455,1.634,-0.079,0.453,0.258,0.643,0.626,0.109,1.471,1.208,7.32,0
-0.268,0.39,0.973,-0.605,-0.208,0.15,0.66,0.38,1.767,0.109,-0.153,-0.349,0.045,0.478,-0.68,0.48,-0.032,0.241,0.01,0
-0.086,1.241,0.964,-0.737,-0.107,0.053,0.605,-0.239,-0.322,0.177,-0.362,-0.791,0.099,0.512,-0.361,0.122,0.337,0.144,4.49,0
2.357,-1.308,-0.741,-0.156,-0.122,-1.489,0.955,-0.897,0.564,-0.397,-0.19,0.004,0.089,-1.103,-0.034,-0.114,0.009,-0.074,2.95,0
-0.292,-1.107,0.747,5.62,0.653,1.838,-0.348,-0.89,0.236,0.281,0.957,0.271,-0.117,0.754,1.017,0.061,0.222,0.249,223.54,0
-0.618,0.445,-1.401,0.001,0.604,-0.963,-0.048,0.169,-0.143,-0.531,-0.281,-0.285,0.004,0.345,-0.395,-0.367,0.101,0.091,6.0,0
1.821,-0.007,0.569,-0.638,-0.071,0.632,-0.715,-0.745,0.1,-0.022,-0.079,-0.193,0.034,0.52,0.111,-0.351,-0.005,0.003,87.11,0
2.109,-0.752,-0.57,-0.388,-0.223,-0.411,1.941,0.04,-0.805,-0.417,-0.345,-0.384,0.279,0.704,-0.298,0.522,-0.031,-0.038,35.53,0
-0.557,-1.25,0.317,-0.766,0.039,-1.927,-0.552,-1.561,-0.596,-0.603,0.002,0.363,-0.008,0.678,-0.948,-0.46,0.162,0.214,15.0,0
-1.906,1.813,1.896,0.521,0.624,-0.439,-1.451,-0.172,0.471,0.316,0.049,0.052,-0.594,3.143,1.457,0.24,0.27,0.141,0.77,0
0.337,-0.338,-0.447,-1.034,-0.626,-1.983,-0.223,1.064,3.232,0.834,0.675,1.618,0.457,0.104,-0.889,0.31,0.189,0.278,246.0,0
0.662,-2.651,-2.154,0.51,0.23,-1.076,-1.256,-1.574,0.11,0.272,-0.004,-0.215,-0.325,0.013,0.239,-0.112,-0.002,0.068,382.8,0
1.872,-0.01,-0.116,-0.208,0.159,0.699,-0.914,0.009,-0.263,-0.219,-0.244,-0.692,0.314,-0.604,-0.423,-0.974,0.057,-0.01,28.4,0
-1.304,1.742,-0.68,0.391,1.381,-0.148,-0.27,-1.003,1.179,-0.464,-0.267,-0.991,0.341,0.593,-0.766,-1.052,-0.369,0.021,20.99,0
1.197,0.299,-0.17,-0.594,-0.082,-0.012,0.47,1.318,-0.561,-0.079,-0.252,-0.698,0.148,0.042,0.149,0.122,-0.006,0.029,9.99,0
-3.169,-3.04,2.407,-2.383,-1.495,1.539,1.304,-0.83,0.142,-1.329,-0.365,1.319,2.08,0.058,1.144,0.376,-0.58,0.22,200.0,0
-1.491,1.257,-0.225,0.091,0.363,0.893,0.406,0.017,-0.347,0.388,0.07,0.758,-0.226,0.641,0.143,0.599,0.395,0.105,42.34,0
1.231,-0.557,-0.792,0.376,0.183,0.294,1.864,0.168,-1.396,-0.549,-0.645,-1.161,0.31,-0.368,-0.318,0.748,-0.041,-0.003,16.0,0
-1.388,0.107,-0.24,-0.847,0.429,-1.297,-0.391,-0.575,-0.157,0.25,0.259,0.389,-0.254,1.094,0.863,-0.16,0.1,-0.011,49.99,0
1.297,-1.567,-1.99,0.169,0.173,-1.277,0.418,-0.901,0.309,-0.175,-0.17,-0.11,-0.048,-0.005,0.235,-0.2,0.062,0.031,82.94,0
-0.599,0.774,0.138,-1.196,-0.255,-0.667,-1.029,-1.523,-0.046,-0.588,0.469,1.764,0.347,0.122,-1.202,0.654,0.306,0.165,219.54,0
-1.798,0.342,0.201,-0.883,0.611,-0.145,0.029,-0.537,-0.383,-0.362,0.51,1.295,-0.168,0.82,-0.634,-0.681,0.128,-0.036,95.69,0
2.001,-0.463,-0.227,0.75,0.286,1.262,0.91,0.219,0.317,-0.117,0.062,0.35,0.184,-0.145,-0.258,-0.415,0.053,-0.038,1.18,0
-4.411,1.68,0.887,-1.817,-0.912,2.312,-1.503,-1.595,-0.062,0.713,-0.409,2.073,0.532,0.805,-0.173,-0.228,0.995,-0.117,20.0,0
-1.088,0.025,-0.245,0.564,0.368,-1.574,-0.192,1.159,-0.127,-0.271,-0.192,0.089,0.09,-0.361,0.24,-0.064,0.301,0.115,22.0,0
1.16,0.207,0.121,0.342,0.128,-0.018,0.322,-0.824,0.045,-0.153,-0.071,0.039,-0.114,-0.275,0.696,-0.311,0.04,0.002,1.0,0
1.975,-0.026,0.725,-1.308,-0.405,0.318,-1.573,-0.001,-0.01,-0.107,0.052,0.086,-0.081,0.609,0.336,0.681,-0.128,-0.042,81.04,0
-0.755,0.943,1.077,-0.45,0.446,-0.386,-1.343,0.249,0.495,-0.107,-0.263,-1.036,-0.068,-0.101,-0.286,0.257,-0.048,0.049,8.99,0
1.074,-0.085,-0.293,-0.153,0.072,0.25,-1.44,-0.872,0.395,-0.102,-0.079,-0.257,-0.182,-0.027,0.684,-0.341,-0.0,0.013,67.0,0
1.955,-0.038,0.688,-0.272,-0.215,0.355,-0.152,0.008,0.042,-0.113,-0.162,-0.51,0.091,0.038,0.183,-0.774,-0.018,-0.038,69.9,0
1.202,-0.205,-0.967,-1.419,-0.15,0.526,-2.27,1.28,0.047,-0.152,-0.213,-0.812,0.146,0.706,0.036,0.83,-0.109,0.009,40.85,0
-0.569,1.241,-0.096,-1.018,-0.017,-0.08,-0.708,1.0,-0.115,0.185,-0.305,-0.777,0.013,0.308,-0.135,0.08,0.348,0.155,4.49,0
-1.855,1.555,-0.28,1.179,-2.815,1.242,0.661,-2.411,0.6,0.537,-0.095,0.947,-0.297,-0.368,0.199,-0.079,0.367,0.074,38.76,1
-2.797,0.174,0.493,-1.026,-0.591,2.357,1.376,-0.153,-2.099,-0.488,-0.718,-0.309,0.582,0.368,0.51,0.651,0.241,-0.281,38.41,0
0.013,0.929,0.51,-1.107,-0.286,1.241,1.658,-1.141,-0.291,-0.066,-0.406,-0.758,0.096,-0.022,-0.51,0.099,0.218,0.092,5.49,0
-1.346,0.266,-0.798,0.547,0.138,0.857,-0.242,-0.816,1.503,0.657,-0.11,0.385,-0.549,-0.687,0.644,0.055,0.397,0.076,8.1,0
2.053,0.09,0.298,-0.954,-0.207,0.587,-0.621,0.272,0.016,-0.187,-0.361,-0.984,0.354,0.621,-0.297,0.167,-0.068,-0.03,8.99,0
-1.433,1.965,0.438,0.232,-0.514,-1.886,0.634,0.338,1.462,0.236,0.375,-1.209,-0.111,-0.028,0.169,-0.059,0.202,-0.134,16.16,0
1.048,-2.132,-0.808,0.538,0.085,1.254,0.043,-0.031,0.221,0.84,0.486,0.459,-0.337,0.257,-0.297,0.053,-0.087,0.035,500.0,0
0.143,0.834,0.803,-0.47,0.379,-0.383,-1.161,-1.065,0.132,-0.197,-0.016,-0.289,0.258,0.075,-0.671,0.22,-0.16,-0.044,67.49,0
-0.72,1.122,1.153,-0.566,-0.023,1.057,1.874,-1.561,-0.606,0.04,-0.249,-0.359,-0.502,-0.655,1.072,-0.308,0.146,-0.0,4.91,0
