Date,Holiday,Functioning Day
19/05/2018,No Holiday,Yes
20/05/2018,No Holiday,Yes
21/05/2018,No Holiday,Yes
22/05/2018,Holiday,Yes
23/05/2018,No Holiday,Yes
24/05/2018,No Holiday,Yes
25/05/2018,No Holiday,Yes
26/05/2018,No Holiday,Yes
27/05/2018,No Holiday,Yes
28/05/2018,No Holiday,Yes
29/05/2018,No Holiday,Yes
30/05/2018,No Holiday,Yes
31/05/2018,No Holiday,Yes
01/06/2018,No Holiday,Yes
02/06/2018,No Holiday,Yes
03/06/2018,No Holiday,Yes
04/06/2018,No Holiday,Yes
05/06/2018,No Holiday,Yes
06/06/2018,Holiday,Yes
07/06/2018,No Holiday,Yes
08/06/2018,No Holiday,Yes
09/06/2018,No Holiday,Yes
10/06/2018,No Holiday,Yes
11/06/2018,No Holiday,Yes
12/06/2018,No Holiday,Yes
13/06/2018,No Holiday,Yes
14/06/2018,No Holiday,Yes
15/06/2018,No Holiday,Yes
16/06/2018,No Holiday,Yes
17/06/2018,No Holiday,Yes
18/06/2018,No Holiday,Yes
19/06/2018,No Holiday,Yes
20/06/2018,No Holiday,Yes
21/06/2018,No Holiday,Yes
22/06/2018,No Holiday,Yes
23/06/2018,No Holiday,Yes
24/06/2018,No Holiday,Yes
25/06/2018,No Holiday,Yes
26/06/2018,No Holiday,Yes
27/06/2018,No Holiday,Yes
28/06/2018,No Holiday,Yes
29/06/2018,No Holiday,Yes
30/06/2018,No Holiday,Yes
01/07/2018,No Holiday,Yes
02/07/2018,No Holiday,Yes
03/07/2018,No Holiday,Yes
04/07/2018,No Holiday,Yes
05/07/2018,No Holiday,Yes
06/07/2018,No Holiday,Yes
07/07/2018,No Holiday,Yes
08/07/2018,No Holiday,Yes
09/07/2018,No Holiday,Yes
10/07/2018,No Holiday,Yes
11/07/2018,No Holiday,Yes
12/07/2018,No Holiday,Yes
13/07/2018,No Holiday,Yes
14/07/2018,No Holiday,Yes
15/07/2018,No Holiday,Yes
16/07/2018,No Holiday,Yes
17/07/2018,No Holiday,Yes
18/07/2018,No Holiday,Yes
19/07/2018,No Holiday,Yes
20/07/2018,No Holiday,Yes
21/07/2018,No Holiday,Yes
22/07/2018,No Holiday,Yes
23/07/2018,No Holiday,Yes
24/07/2018,No Holiday,Yes
25/07/2018,No Holiday,Yes
26/07/2018,No Holiday,Yes
27/07/2018,No Holiday,Yes
28/07/2018,No Holiday,Yes
29/07/2018,No Holiday,Yes
30/07/2018,No Holiday,Yes
31/07/2018,No Holiday,Yes
01/08/2018,No Holiday,Yes
02/08/2018,No Holiday,Yes
03/08/2018,No Holiday,Yes
04/08/2018,No Holiday,Yes
05/08/2018,No Holiday,Yes
06/08/2018,No Holiday,Yes
07/08/2018,No Holiday,Yes
08/08/2018,No Holiday,Yes
09/08/2018,No Holiday,Yes
10/08/2018,No Holiday,Yes
11/08/2018,No Holiday,Yes
12/08/2018,No Holiday,Yes
13/08/2018,No Holiday,Yes
14/08/2018,No Holiday,Yes
15/08/2018,Holiday,Yes
16/08/2018,No Holiday,Yes
17/08/2018,No Holiday,Yes
18/08/2018,No Holiday,Yes
19/08/2018,No Holiday,Yes
20/08/2018,No Holiday,Yes
21/08/2018,No Holiday,Yes
22/08/2018,No Holiday,Yes
23/08/2018,No Holiday,Yes
24/08/2018,No Holiday,Yes
25/08/2018,No Holiday,Yes
26/08/2018,No Holiday,Yes
27/08/2018,No Holiday,Yes
28/08/2018,No Holiday,Yes
29/08/2018,No Holiday,Yes
30/08/2018,No Holiday,Yes
31/08/2018,No Holiday,Yes
01/09/2018,No Holiday,Yes
02/09/2018,No Holiday,Yes
03/09/2018,No Holiday,Yes
04/09/2018,No Holiday,Yes
05/09/2018,No Holiday,Yes
06/09/2018,No Holiday,Yes
07/09/2018,No Holiday,Yes
08/09/2018,No Holiday,Yes
09/09/2018,No Holiday,Yes
10/09/2018,No Holiday,Yes
11/09/2018,No Holiday,Yes
12/09/2018,No Holiday,Yes
13/09/2018,No Holiday,Yes
14/09/2018,No Holiday,Yes
15/09/2018,No Holiday,Yes
16/09/2018,No Holiday,Yes
17/09/2018,No Holiday,Yes
18/09/2018,No Holiday,No
19/09/2018,No Holiday,No
20/09/2018,No Holiday,Yes
21/09/2018,No Holiday,Yes
22/09/2018,No Holiday,Yes
23/09/2018,Holiday,Yes
24/09/2018,Holiday,Yes
25/09/2018,Holiday,Yes
26/09/2018,No Holiday,Yes
27/09/2018,No Holiday,Yes
28/09/2018,No Holiday,No
29/09/2018,No Holiday,Yes
30/09/2018,No Holiday,No
01/10/2018,No Holiday,Yes
02/10/2018,No Holiday,No
03/10/2018,Holiday,Yes
04/10/2018,No Holiday,No
05/10/2018,No Holiday,Yes
06/10/2018,No Holiday,No
06/10/2018,No Holiday,Yes
07/10/2018,No Holiday,Yes
08/10/2018,No Holiday,Yes
09/10/2018,Holiday,No
10/10/2018,No Holiday,Yes
11/10/2018,No Holiday,Yes
12/10/2018,No Holiday,Yes
13/10/2018,No Holiday,Yes
14/10/2018,No Holiday,Yes
15/10/2018,No Holiday,Yes
16/10/2018,No Holiday,Yes
17/10/2018,No Holiday,Yes
18/10/2018,No Holiday,Yes
19/10/2018,No Holiday,Yes
20/10/2018,No Holiday,Yes
21/10/2018,No Holiday,Yes
22/10/2018,No Holiday,Yes
23/10/2018,No Holiday,Yes
24/10/2018,No Holiday,Yes
25/10/2018,No Holiday,Yes
26/10/2018,No Holiday,Yes
27/10/2018,No Holiday,Yes
28/10/2018,No Holiday,Yes
29/10/2018,No Holiday,Yes
30/10/2018,No Holiday,Yes
31/10/2018,No Holiday,Yes
01/11/2018,No Holiday,Yes
02/11/2018,No Holiday,Yes
03/11/2018,No Holiday,No
04/11/2018,No Holiday,Yes
05/11/2018,No Holiday,Yes
06/11/2018,No Holiday,No
07/11/2018,No Holiday,Yes
08/11/2018,No Holiday,Yes
09/11/2018,No Holiday,No
10/11/2018,No Holiday,Yes
11/11/2018,No Holiday,Yes
12/11/2018,No Holiday,Yes
13/11/2018,No Holiday,Yes
14/11/2018,No Holiday,Yes
15/11/2018,No Holiday,Yes
16/11/2018,No Holiday,Yes
17/11/2018,No Holiday,Yes
18/11/2018,No Holiday,Yes
19/11/2018,No Holiday,Yes
20/11/2018,No Holiday,Yes
21/11/2018,No Holiday,Yes
22/11/2018,No Holiday,Yes
23/11/2018,No Holiday,Yes
24/11/2018,No Holiday,Yes
25/11/2018,No Holiday,Yes
26/11/2018,No Holiday,Yes
27/11/2018,No Holiday,Yes
28/11/2018,No Holiday,Yes
29/11/2018,No Holiday,Yes
30/11/2018,No Holiday,Yes
