Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
6.95,128.0,29.0,5,324,159,Good,31,15,Yes,Yes
6.43,124.0,44.0,0,125,107,Medium,80,11,Yes,No
4.9,122.0,26.0,0,197,128,Medium,55,13,No,No
10.98,148.0,63.0,0,312,130,Good,63,15,Yes,No
13.55,,94.0,0,447,89,Good,30,12,Yes,No
10.08,116.0,72.0,10,456,130,Good,41,14,No,Yes
9.1,128.0,93.0,12,343,112,Good,73,17,No,Yes
9.0,128.0,62.0,7,125,116,Medium,43,14,Yes,Yes
2.66,136.0,65.0,4,133,150,Bad,53,13,Yes,Yes
16.27,141.0,60.0,19,319,92,Good,44,11,Yes,Yes
5.36,135.0,110.0,0,112,117,Medium,80,16,No,No
0.91,93.0,91.0,0,22,117,Bad,75,11,Yes,No
6.98,116.0,40.0,0,74,97,Medium,76,15,No,No
5.94,138.0,83.0,0,139,134,Medium,54,18,Yes,No
0.0,139.0,24.0,0,358,185,Medium,79,15,No,No
6.42,122.0,88.0,5,335,126,Medium,64,14,Yes,Yes
7.54,115.0,89.0,0,38,122,Medium,25,12,Yes,No
10.5,122.0,21.0,16,488,131,Good,30,14,Yes,Yes
7.95,128.0,,3,493,119,Medium,45,16,No,No
6.67,107.0,119.0,11,210,132,Medium,53,11,Yes,Yes
4.42,109.0,,7,468,94,Bad,56,11,Yes,Yes
6.62,132.0,118.0,12,272,151,Medium,43,14,Yes,Yes
10.27,125.0,103.0,12,371,109,Medium,44,10,Yes,Yes
5.93,150.0,36.0,7,488,150,Medium,25,17,No,Yes
12.44,127.0,90.0,14,16,70,Medium,48,15,No,Yes
4.1,121.0,78.0,4,413,130,Bad,46,10,No,Yes
6.38,135.0,91.0,5,207,128,Medium,66,18,Yes,Yes
4.34,106.0,44.0,0,481,111,Medium,70,14,No,No
6.59,109.0,73.0,0,454,102,Medium,65,15,Yes,No
15.63,122.0,36.0,5,369,72,Good,35,10,Yes,Yes
4.78,131.0,32.0,1,85,133,Medium,48,12,Yes,Yes
4.43,134.0,48.0,1,139,145,Medium,65,12,Yes,Yes
13.91,,110.0,0,408,68,Good,46,17,No,Yes
4.67,111.0,28.0,0,486,111,Medium,29,12,No,No
12.49,93.0,106.0,12,416,55,Medium,75,15,Yes,Yes
5.32,118.0,74.0,6,426,102,Medium,80,18,Yes,Yes
11.7,144.0,69.0,11,131,104,Medium,47,11,Yes,Yes
5.68,130.0,64.0,0,40,106,Bad,39,17,No,No
10.01,133.0,52.0,16,290,99,Medium,43,11,Yes,Yes
5.04,123.0,114.0,0,298,151,Bad,34,16,Yes,No
5.27,,118.0,0,19,107,Medium,64,17,Yes,No
8.39,115.0,,5,134,84,Bad,55,11,Yes,Yes
5.81,125.0,111.0,0,404,107,Bad,54,15,Yes,No
5.57,109.0,51.0,10,26,120,Medium,30,17,No,Yes
5.98,124.0,56.0,11,447,134,Medium,53,12,No,Yes
7.02,130.0,100.0,0,306,146,Good,42,11,Yes,No
7.4,117.0,100.0,4,466,97,Medium,55,14,Yes,Yes
3.58,142.0,109.0,0,111,164,Good,72,12,Yes,No
6.89,129.0,69.0,10,289,110,Medium,50,16,No,Yes
5.74,106.0,33.0,20,354,104,Medium,61,12,Yes,Yes
3.42,141.0,57.0,13,376,158,Medium,64,18,Yes,Yes
4.97,162.0,67.0,0,27,160,Medium,77,17,Yes,Yes
11.17,107.0,117.0,11,148,118,Good,52,18,Yes,Yes
8.79,130.0,37.0,13,297,101,Medium,37,13,No,Yes
5.53,126.0,32.0,8,95,132,Medium,50,17,Yes,Yes
9.58,108.0,104.0,23,353,129,Good,37,17,Yes,Yes
12.85,123.0,37.0,15,348,112,Good,28,12,Yes,Yes
6.53,140.0,42.0,0,331,131,Bad,28,15,Yes,No
9.62,151.0,28.0,8,499,135,Medium,48,10,Yes,Yes
10.62,116.0,79.0,19,359,116,Good,58,17,Yes,Yes
3.98,122.0,35.0,2,393,136,Medium,62,18,Yes,No
5.42,103.0,93.0,15,188,103,Bad,74,16,Yes,Yes
4.21,118.0,35.0,14,502,137,Medium,79,10,No,Yes
3.24,130.0,60.0,0,144,138,Bad,38,10,No,No
9.7,138.0,61.0,12,156,120,Medium,25,14,Yes,Yes
7.81,,99.0,15,226,102,Bad,58,17,Yes,Yes
7.56,110.0,119.0,0,384,97,Medium,72,14,No,Yes
12.01,136.0,63.0,0,160,94,Medium,38,12,Yes,No
8.19,111.0,105.0,0,466,97,Bad,61,10,No,No
8.19,127.0,103.0,0,125,155,Good,29,15,No,Yes
7.41,99.0,93.0,0,198,87,Medium,57,16,Yes,Yes
9.95,132.0,33.0,7,35,97,Medium,60,11,No,Yes
3.45,110.0,45.0,9,276,125,Medium,62,14,Yes,Yes
7.72,133.0,33.0,10,333,129,Good,71,14,Yes,Yes
8.68,131.0,25.0,10,183,104,Medium,56,15,No,Yes
10.07,130.0,100.0,11,449,107,Medium,64,10,Yes,Yes
4.83,115.0,115.0,3,48,107,Medium,73,18,Yes,Yes
6.03,133.0,60.0,10,277,129,Medium,45,18,Yes,Yes
5.21,118.0,71.0,4,148,114,Medium,80,13,Yes,No
10.71,109.0,22.0,10,348,79,Good,74,14,No,Yes
5.61,138.0,107.0,9,480,154,Medium,47,11,No,Yes
4.81,121.0,68.0,0,279,149,Good,79,12,Yes,No
6.18,120.0,70.0,15,464,110,Medium,72,15,Yes,Yes
5.97,112.0,24.0,0,164,101,Medium,45,11,Yes,No
9.48,147.0,,10,407,132,Good,73,16,No,Yes
8.61,130.0,38.0,0,283,102,Medium,80,15,Yes,No
10.96,115.0,28.0,11,29,86,Good,53,18,Yes,Yes
10.04,116.0,106.0,8,244,86,Medium,58,12,Yes,Yes
5.56,144.0,92.0,0,349,146,Medium,62,12,No,No
8.67,142.0,73.0,14,238,115,Medium,73,14,No,Yes
10.51,140.0,54.0,9,402,119,Good,41,16,No,Yes
12.98,113.0,33.0,0,14,63,Good,38,12,Yes,No
12.29,,74.0,13,251,131,Good,52,10,Yes,Yes
5.55,104.0,100.0,8,398,97,Medium,61,11,Yes,Yes
3.9,114.0,83.0,0,412,131,Bad,39,14,Yes,No
8.7,150.0,,9,432,134,Medium,64,15,Yes,No
6.54,132.0,110.0,0,108,124,Medium,76,10,No,No
8.55,134.0,107.0,0,104,108,Medium,60,12,Yes,No
9.39,117.0,118.0,14,445,120,Medium,32,15,Yes,Yes
4.15,141.0,64.0,3,340,128,Bad,38,13,Yes,No
6.8,137.0,117.0,5,337,135,Bad,38,10,Yes,Yes
2.52,124.0,61.0,0,333,138,Medium,76,16,Yes,No
9.09,132.0,68.0,0,264,123,Good,34,11,No,No
6.92,109.0,64.0,13,39,119,Medium,61,17,Yes,Yes
5.07,123.0,91.0,0,334,96,Bad,78,17,Yes,Yes
4.47,143.0,120.0,7,279,147,Bad,40,10,No,Yes
4.62,121.0,96.0,0,472,138,Medium,51,12,Yes,No
4.95,121.0,41.0,5,412,110,Medium,54,10,Yes,Yes
11.22,111.0,48.0,16,260,83,Good,65,10,Yes,Yes
5.9,138.0,92.0,0,13,120,Bad,61,12,Yes,No
9.32,134.0,27.0,18,467,96,Medium,49,14,No,Yes
7.36,121.0,24.0,0,200,133,Good,73,13,Yes,No
8.65,123.0,76.0,18,218,120,Medium,29,14,No,Yes
4.55,111.0,56.0,0,504,110,Medium,62,16,Yes,No
11.27,100.0,54.0,9,433,89,Good,45,12,Yes,Yes
4.53,129.0,42.0,13,315,130,Bad,34,13,Yes,Yes
11.7,131.0,,7,272,126,Good,54,16,No,Yes
10.48,138.0,72.0,0,148,94,Medium,27,17,Yes,Yes
4.11,113.0,69.0,11,94,106,Medium,76,12,No,Yes
10.21,121.0,58.0,8,249,90,Medium,48,13,No,Yes
6.03,117.0,32.0,0,142,96,Bad,62,17,Yes,No
6.5,148.0,51.0,16,148,150,Medium,58,17,No,Yes
6.41,142.0,30.0,0,472,136,Good,80,15,No,No
3.15,117.0,66.0,1,65,111,Bad,55,11,Yes,Yes
8.23,149.0,84.0,5,220,139,Medium,33,10,Yes,Yes
7.78,144.0,25.0,3,70,116,Medium,77,18,Yes,Yes
11.91,133.0,82.0,0,54,84,Medium,50,17,Yes,No
6.37,120.0,77.0,15,86,132,Medium,48,18,Yes,Yes
5.64,124.0,24.0,5,288,122,Medium,57,12,No,Yes
8.64,111.0,101.0,17,266,91,Medium,63,17,No,Yes
8.8,145.0,53.0,0,507,119,Medium,41,12,Yes,No
12.04,145.0,69.0,19,501,105,Medium,45,11,Yes,Yes
6.56,117.0,,7,144,111,Medium,62,10,Yes,Yes
6.2,128.0,93.0,0,89,118,Medium,34,18,Yes,No
8.77,144.0,63.0,11,27,117,Medium,47,17,Yes,Yes
3.89,123.0,105.0,0,149,118,Bad,62,16,Yes,Yes
13.39,149.0,69.0,20,366,134,Good,60,13,Yes,Yes
9.31,122.0,87.0,9,17,106,Medium,65,13,Yes,Yes
8.71,149.0,95.0,5,400,144,Medium,76,18,No,No
5.3,133.0,31.0,1,80,145,Medium,42,18,Yes,Yes
7.91,153.0,40.0,3,112,129,Bad,39,18,Yes,Yes
8.87,131.0,113.0,0,181,120,Good,63,14,Yes,No
7.37,130.0,94.0,8,137,128,Medium,64,12,Yes,Yes
0.53,122.0,88.0,7,36,159,Bad,28,17,Yes,Yes
8.67,125.0,62.0,14,477,112,Medium,80,13,Yes,Yes
8.21,127.0,44.0,13,160,123,Good,63,18,Yes,Yes
11.67,125.0,89.0,10,380,87,Bad,28,10,Yes,Yes
6.52,128.0,42.0,0,436,118,Medium,80,11,Yes,No
6.14,139.0,23.0,3,37,120,Medium,55,11,No,Yes
10.61,157.0,93.0,0,51,149,Good,32,17,Yes,No
2.07,119.0,98.0,0,18,126,Bad,73,17,No,No
4.9,134.0,103.0,13,25,144,Medium,76,17,No,Yes
5.94,100.0,79.0,7,284,95,Bad,50,12,Yes,Yes
4.1,130.0,28.0,6,410,133,Bad,72,16,Yes,Yes
5.86,136.0,70.0,12,171,152,Medium,44,18,Yes,Yes
6.5,108.0,69.0,3,208,94,Medium,77,16,Yes,No
7.8,119.0,33.0,0,245,122,Good,56,14,Yes,No
3.47,107.0,79.0,2,488,103,Bad,65,16,Yes,No
4.38,126.0,98.0,0,173,108,Bad,55,16,Yes,No
9.16,137.0,105.0,10,435,156,Good,72,14,Yes,Yes
5.71,121.0,42.0,4,188,118,Medium,54,15,Yes,Yes
7.32,105.0,32.0,0,358,107,Medium,26,13,No,No
6.15,146.0,68.0,12,328,132,Bad,51,14,Yes,Yes
6.01,131.0,29.0,11,335,127,Bad,33,12,Yes,Yes
7.43,121.0,83.0,0,79,91,Medium,68,11,Yes,No
4.96,133.0,100.0,3,350,126,Bad,55,13,Yes,Yes
0.16,102.0,33.0,0,217,139,Medium,70,18,No,No
9.49,107.0,111.0,14,400,103,Medium,41,11,No,Yes
5.08,,46.0,6,497,138,Medium,42,13,Yes,No
9.53,175.0,65.0,29,419,166,Medium,53,12,Yes,Yes
1.42,99.0,32.0,18,341,108,Bad,80,16,Yes,Yes
6.93,135.0,69.0,14,296,130,Medium,73,15,Yes,Yes
5.87,,31.0,0,292,109,Medium,79,10,Yes,No
8.44,128.0,42.0,8,328,107,Medium,35,12,Yes,Yes
7.5,140.0,29.0,0,105,91,Bad,43,16,Yes,No
4.42,121.0,90.0,0,150,108,Bad,75,16,Yes,No
9.44,131.0,47.0,7,90,118,Medium,47,12,Yes,Yes
5.87,131.0,73.0,13,455,132,Medium,62,17,Yes,Yes
10.1,135.0,63.0,15,213,134,Medium,32,10,Yes,Yes
