Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
Yes,31,Travel_Frequently,Sales,1,3,Life Sciences,1331,4,Female,3,Sales Representative,2,Single,2302,1,Yes,11,1,0,3,2,4,3,2,2
No,38,Travel_Rarely,Sales,1,4,Life Sciences,1995,4,Male,3,Sales Executive,2,Married,4440,0,No,15,1,2,16,3,3,15,13,8
No,50,Non-Travel,Research & Development,2,4,Life Sciences,905,1,Male,3,Manager,1,Divorced,17924,1,No,11,4,1,31,3,3,31,6,7
No,32,Travel_Rarely,Research & Development,2,3,Medical,471,3,Female,3,Laboratory Technician,2,Married,2370,1,No,13,3,1,8,4,3,8,0,7
No,33,Travel_Frequently,Research & Development,1,2,Life Sciences,73,1,Female,3,Research Director,4,Single,13458,1,Yes,12,3,0,15,1,3,15,14,12
No,46,Non-Travel,Research & Development,7,4,Medical,487,3,Female,3,Manufacturing Director,3,Married,5258,2,No,14,3,0,7,2,4,1,0,0
No,45,Travel_Rarely,Research & Development,10,2,Life Sciences,544,1,Male,3,Research Scientist,4,Married,2654,3,No,21,4,2,8,3,2,2,2,2
No,52,Travel_Rarely,Research & Development,2,3,Life Sciences,316,3,Female,2,Laboratory Technician,4,Single,3212,7,No,15,2,0,6,3,2,2,2,2
No,47,Travel_Frequently,Research & Development,16,4,Medical,987,3,Male,4,Manufacturing Director,3,Divorced,5067,1,Yes,19,3,0,20,3,4,19,10,7
No,31,Travel_Rarely,Research & Development,2,4,Life Sciences,1721,2,Male,3,Laboratory Technician,3,Married,3477,1,No,14,4,1,6,2,4,5,2,3
No,49,Travel_Rarely,Sales,8,4,Technical Degree,1138,4,Male,2,Sales Executive,2,Married,13120,6,No,17,2,1,22,3,3,9,8,3
No,24,Non-Travel,Research & Development,11,2,Other,26,1,Female,4,Manufacturing Director,3,Divorced,4011,0,No,18,4,1,5,5,2,4,2,3
No,32,Non-Travel,Research & Development,15,4,Medical,1955,3,Female,3,Healthcare Representative,4,Divorced,6667,5,No,18,2,1,9,6,3,5,1,2
No,50,Travel_Frequently,Human Resources,3,3,Medical,644,1,Male,3,Manager,2,Married,18200,1,No,11,3,1,32,2,3,32,5,7
No,34,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,Research Director,2,Single,11994,0,No,11,3,0,13,4,3,12,6,11
No,37,Non-Travel,Research & Development,5,2,Technical Degree,1440,3,Male,4,Laboratory Technician,3,Single,3500,0,No,14,1,0,7,2,1,6,5,3
No,52,Travel_Frequently,Research & Development,28,2,Medical,1401,4,Female,4,Manufacturing Director,3,Married,13247,2,Yes,11,2,1,24,3,2,5,3,2
No,46,Travel_Frequently,Research & Development,18,1,Medical,624,1,Female,3,Healthcare Representative,3,Married,10527,5,No,11,4,0,28,3,2,2,2,2
Yes,34,Non-Travel,Sales,,3,Marketing,502,1,Male,4,Sales Executive,4,Single,5304,8,Yes,13,2,0,9,3,2,5,2,4
Yes,32,Travel_Rarely,Sales,2,4,Marketing,1862,3,Male,2,Sales Executive,2,Single,9907,7,Yes,12,3,0,7,3,2,2,2,2
No,38,Travel_Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,Research Scientist,4,Single,3944,5,Yes,11,3,0,6,3,3,3,2,2
No,28,Non-Travel,Research & Development,16,3,Medical,1947,3,Male,3,Research Scientist,3,Single,2144,1,No,14,3,0,5,3,2,5,3,4
No,21,Travel_Rarely,Research & Development,1,1,Technical Degree,1131,4,Female,2,Research Scientist,2,Single,2070,1,Yes,11,3,0,2,6,4,2,2,2
No,26,Travel_Rarely,Sales,5,3,Other,2060,4,Female,2,Sales Representative,3,Single,2966,0,No,18,4,0,5,2,3,4,2,0
No,53,Travel_Rarely,Sales,1,1,Medical,682,4,Female,3,Sales Executive,1,Single,8381,7,No,20,4,0,18,2,4,14,7,10
Yes,41,Travel_Rarely,Sales,1,2,Life Sciences,1,2,Female,3,Sales Executive,4,Single,5993,8,Yes,11,1,0,8,0,1,6,4,5
Yes,36,Travel_Rarely,Research & Development,16,4,Life Sciences,1042,3,Female,4,Laboratory Technician,1,Single,2743,1,No,16,3,0,18,1,3,17,13,14
No,40,Travel_Rarely,Research & Development,2,4,Life Sciences,2048,3,Male,2,Research Scientist,3,Single,2809,2,No,14,4,0,8,2,3,2,2,2
No,39,Non-Travel,Research & Development,1,3,Life Sciences,1737,4,Male,3,Laboratory Technician,4,Married,6472,1,Yes,15,4,1,9,2,3,9,8,8
No,35,Travel_Rarely,Research & Development,16,3,Life Sciences,1529,4,Female,2,Healthcare Representative,2,Single,8606,1,No,19,4,0,11,3,1,11,8,3
No,34,Travel_Frequently,Research & Development,15,3,Medical,1485,2,Male,3,Research Director,1,Divorced,17007,7,No,14,4,2,16,3,2,14,8,9
Yes,35,Travel_Frequently,Sales,12,4,Other,1667,4,Male,3,Sales Executive,4,Single,4581,3,Yes,24,1,0,13,2,4,11,9,7
No,34,Travel_Rarely,Sales,,1,Life Sciences,1163,2,Female,3,Sales Executive,3,Married,5714,1,No,20,1,0,6,3,2,6,5,3
Yes,29,Travel_Rarely,Sales,27,3,Marketing,283,2,Female,3,Sales Executive,4,Married,7639,1,No,22,4,3,10,3,2,10,4,9
No,44,Travel_Rarely,Research & Development,8,4,Life Sciences,874,1,Male,4,Laboratory Technician,4,Married,2818,2,Yes,24,3,1,10,2,2,3,2,2
No,38,Travel_Frequently,Research & Development,10,1,Medical,1006,3,Male,3,Research Scientist,3,Married,2684,0,No,17,2,1,3,0,2,2,1,2
No,43,Travel_Rarely,Research & Development,27,3,Technical Degree,1599,4,Male,4,Laboratory Technician,2,Divorced,4876,5,No,12,3,1,8,0,3,6,4,2
No,49,Travel_Rarely,Research & Development,6,1,Life Sciences,1661,3,Female,2,Healthcare Representative,3,Married,13966,2,Yes,19,2,1,30,3,3,15,11,12
Yes,28,Travel_Rarely,Research & Development,24,3,Life Sciences,19,3,Male,2,Laboratory Technician,3,Single,2028,5,Yes,14,2,0,6,4,3,4,2,3
Yes,18,Travel_Frequently,Sales,3,2,Medical,1624,2,Female,3,Sales Representative,4,Single,1569,1,Yes,12,3,0,0,2,4,0,0,0
No,40,Travel_Frequently,Research & Development,26,3,Medical,202,2,Female,3,Research Scientist,2,Divorced,5605,1,No,11,1,1,20,2,3,20,7,13
Yes,20,Travel_Rarely,Research & Development,10,1,Medical,701,4,Male,3,Research Scientist,3,Single,1009,1,Yes,11,4,0,1,5,3,1,0,1
No,43,Non-Travel,Research & Development,7,3,Medical,262,4,Male,4,Research Scientist,4,Divorced,2089,4,No,14,4,3,7,3,4,5,4,2
No,36,Travel_Rarely,Sales,2,4,Life Sciences,1710,3,Female,3,Sales Representative,4,Single,4502,3,No,15,3,0,17,2,2,13,7,7
No,20,Travel_Rarely,Research & Development,3,3,Life Sciences,1198,1,Male,2,Laboratory Technician,3,Single,3033,1,No,12,1,0,2,2,2,2,2,2
No,43,Travel_Frequently,Research & Development,9,5,Medical,663,4,Male,3,Laboratory Technician,3,Divorced,5679,3,Yes,13,2,1,10,3,3,8,7,7
Yes,28,Travel_Rarely,Research & Development,12,1,Life Sciences,1175,3,Female,3,Laboratory Technician,4,Married,2515,1,Yes,11,4,0,1,4,2,1,1,0
No,30,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,10,1,2,10,8,0
No,49,Travel_Frequently,Sales,2,3,Medical,2065,4,Male,2,Sales Executive,2,Married,5390,2,No,14,4,0,17,3,2,9,6,8
Yes,28,Travel_Rarely,Research & Development,5,4,Technical Degree,65,3,Male,3,Laboratory Technician,3,Single,3441,1,Yes,13,3,0,2,3,2,2,2,2
No,34,Travel_Rarely,Human Resources,3,2,Human Resources,847,3,Male,3,Human Resources,4,Married,3737,0,No,19,3,1,4,1,1,3,2,2
No,40,Non-Travel,Research & Development,9,4,Other,1449,3,Male,3,Laboratory Technician,3,Divorced,3975,3,No,11,3,2,11,2,4,8,7,7
No,45,Travel_Rarely,Research & Development,,5,Medical,1611,3,Female,1,Laboratory Technician,1,Single,5769,1,Yes,14,1,0,10,3,3,10,7,4
Yes,25,Travel_Rarely,Sales,5,3,Marketing,142,3,Male,2,Sales Executive,3,Single,5744,1,Yes,11,4,0,6,1,3,6,4,3
No,33,Travel_Rarely,Sales,2,4,Medical,1670,4,Male,3,Sales Executive,4,Divorced,5505,1,No,14,3,2,6,5,3,6,2,4
No,47,Travel_Rarely,Research & Development,25,3,Medical,1993,1,Male,3,Healthcare Representative,3,Single,8633,2,No,23,2,0,25,3,3,17,14,11
No,45,Travel_Rarely,Sales,11,2,Life Sciences,1045,4,Female,3,Manager,4,Married,17650,3,No,13,2,1,26,4,4,9,3,1
No,35,Travel_Rarely,Sales,8,4,Life Sciences,805,1,Female,3,Sales Representative,4,Married,2572,1,No,16,2,1,3,1,2,3,2,2
No,29,Travel_Rarely,Research & Development,7,3,Life Sciences,1260,3,Male,3,Healthcare Representative,4,Divorced,6623,1,Yes,11,2,2,6,2,3,6,0,0
Yes,29,Travel_Frequently,Sales,13,3,Technical Degree,1487,1,Female,3,Sales Executive,2,Single,5765,5,No,11,1,0,7,4,1,5,3,0
No,46,Travel_Rarely,Sales,2,4,Marketing,38,2,Female,3,Manager,1,Single,18947,3,No,12,4,0,22,2,2,2,2,1
No,49,Travel_Rarely,Research & Development,22,4,Other,1655,1,Female,3,Research Director,2,Married,16413,3,No,16,2,2,27,2,3,4,2,2
No,35,Travel_Rarely,Research & Development,11,4,Medical,2003,4,Male,3,Laboratory Technician,3,Married,2660,7,Yes,11,3,1,5,3,3,2,2,2
No,35,Travel_Rarely,Research & Development,23,4,Medical,1826,2,Male,1,Laboratory Technician,3,Married,2705,0,No,16,2,1,6,2,4,5,4,3
No,29,Travel_Rarely,Research & Development,9,4,Medical,1709,4,Female,3,Laboratory Technician,3,Married,2974,9,No,17,3,1,9,2,3,5,3,2
Yes,48,Travel_Frequently,Sales,7,2,Medical,1691,4,Female,3,Sales Representative,3,Married,2655,2,Yes,11,3,2,19,3,3,9,7,7
No,32,Travel_Frequently,Research & Development,2,2,Life Sciences,1235,4,Female,3,Research Scientist,3,Single,4998,4,Yes,14,4,0,10,2,3,8,7,7
No,59,Travel_Frequently,Sales,1,1,Life Sciences,91,1,Female,2,Sales Executive,3,Single,5473,,No,11,4,0,20,2,2,4,3,3
No,25,Travel_Rarely,Sales,3,1,Other,879,3,Male,3,Sales Executive,1,Married,4194,1,Yes,18,4,0,5,3,3,5,3,3
No,45,Travel_Rarely,Research & Development,25,2,Life Sciences,1888,2,Female,2,Manufacturing Director,4,Married,5906,0,No,13,4,2,10,2,2,9,8,8
No,31,Travel_Rarely,Human Resources,2,3,Human Resources,424,1,Male,2,Human Resources,1,Married,6410,3,No,12,4,0,9,1,3,2,2,0
No,21,Travel_Rarely,Research & Development,5,1,Medical,1623,3,Male,3,Research Scientist,4,Single,3117,1,No,18,3,0,3,2,3,2,2,2
No,43,Travel_Rarely,Research & Development,15,2,Life Sciences,1666,3,Male,2,Research Director,3,Married,17603,1,No,24,1,1,14,3,3,14,10,11
No,36,Travel_Rarely,Research & Development,2,4,Other,1847,4,Female,3,Research Scientist,2,Married,6962,4,Yes,22,4,1,15,2,3,1,0,0
No,38,Travel_Rarely,Research & Development,17,1,Life Sciences,1088,3,Female,2,Healthcare Representative,3,Married,8823,0,No,18,1,1,20,4,2,19,9,9
No,35,Travel_Frequently,Sales,1,3,Marketing,314,3,Female,3,Sales Executive,3,Single,8789,1,No,14,1,0,10,3,4,10,7,8
No,39,Travel_Rarely,Sales,21,4,Life Sciences,1390,1,Male,2,Sales Executive,4,Married,6120,3,Yes,12,4,2,8,2,4,5,4,4
No,33,Travel_Frequently,Sales,25,3,Medical,1220,2,Female,3,Sales Executive,3,Married,4539,1,No,12,1,1,10,3,2,10,7,1
No,33,Travel_Rarely,Research & Development,25,3,Life Sciences,1545,4,Male,2,Manufacturing Director,2,Single,4320,1,No,13,4,0,5,2,3,5,3,2
No,42,Travel_Rarely,Sales,12,4,Marketing,1943,2,Male,3,Sales Executive,4,Divorced,5087,3,Yes,12,3,2,14,4,3,0,0,0
No,28,Travel_Rarely,Sales,9,4,Life Sciences,498,2,Male,3,Sales Executive,4,Single,5253,1,No,16,4,0,7,1,3,7,5,7
No,56,Non-Travel,Research & Development,1,4,Life Sciences,2026,3,Male,3,Healthcare Representative,3,Divorced,6306,,No,21,1,1,13,2,2,13,12,9
No,55,Non-Travel,Research & Development,2,1,Medical,1074,3,Male,2,Manager,1,Single,16756,7,No,15,2,0,31,3,4,9,7,2
No,51,Travel_Rarely,Research & Development,8,4,Life Sciences,296,2,Male,2,Research Director,2,Married,12490,5,No,16,4,2,16,5,1,10,9,7
No,29,Travel_Rarely,Research & Development,21,4,Life Sciences,20,2,Female,4,Manufacturing Director,1,Divorced,9980,1,No,11,3,1,10,1,3,10,9,8
No,30,Non-Travel,Research & Development,,3,Medical,239,3,Male,3,Laboratory Technician,1,Divorced,3072,1,No,11,3,2,12,4,3,12,9,10
No,55,Travel_Rarely,Human Resources,26,4,Human Resources,1973,3,Male,4,Manager,2,Married,19636,4,Yes,18,1,1,35,0,3,10,9,4
Yes,30,Travel_Frequently,Research & Development,4,3,Technical Degree,514,3,Male,3,Research Scientist,4,Single,2285,9,Yes,23,3,0,3,4,3,1,0,0
No,35,Travel_Rarely,Research & Development,1,3,Medical,105,2,Male,2,Research Scientist,3,Single,2859,1,No,18,1,0,6,3,3,6,4,4
No,40,Travel_Rarely,Research & Development,,4,Life Sciences,1892,1,Male,3,Manager,1,Divorced,16823,2,No,11,1,1,22,3,3,19,7,16
No,42,Travel_Rarely,Research & Development,2,2,Medical,1109,4,Male,3,Manager,1,Married,17665,0,No,17,4,1,23,3,3,22,6,7
No,34,Travel_Rarely,Research & Development,1,3,Life Sciences,1447,4,Female,2,Laboratory Technician,2,Married,3294,5,No,17,1,1,7,2,2,5,4,2
No,41,Travel_Rarely,Sales,6,3,Life Sciences,298,4,Female,3,Manager,4,Single,13591,3,Yes,18,3,0,16,3,3,1,0,0
No,29,Travel_Rarely,Research & Development,2,3,Life Sciences,94,3,Male,3,Research Scientist,2,Married,2703,0,No,23,4,1,6,3,3,5,4,4
No,38,Travel_Frequently,Research & Development,12,3,Life Sciences,837,1,Male,2,Healthcare Representative,1,Divorced,6288,2,No,15,3,1,13,3,2,4,3,2
No,27,Travel_Rarely,Research & Development,2,4,Life Sciences,54,4,Female,3,Laboratory Technician,1,Divorced,2341,1,No,13,4,1,1,6,3,1,0,0
No,40,Non-Travel,Research & Development,9,5,Life Sciences,287,4,Male,2,Healthcare Representative,4,Married,4876,,No,14,4,1,5,5,1,3,2,2
No,31,Travel_Frequently,Sales,2,4,Other,1613,4,Male,3,Sales Executive,1,Single,5332,7,No,13,4,0,10,3,3,5,2,3
No,39,Non-Travel,Research & Development,9,3,Life Sciences,1132,3,Male,3,Laboratory Technician,2,Single,6782,9,No,15,3,0,9,2,2,5,4,3
Yes,33,Travel_Rarely,Research & Development,14,3,Medical,325,3,Male,3,Laboratory Technician,4,Married,2436,5,Yes,13,3,1,8,2,1,5,4,4
Yes,49,Travel_Frequently,Research & Development,28,2,Life Sciences,1420,1,Male,2,Laboratory Technician,1,Single,4284,3,No,20,1,0,20,2,3,4,3,3
No,34,Travel_Rarely,Sales,8,2,Life Sciences,808,3,Female,3,Sales Executive,1,Married,6500,5,No,17,2,1,6,1,3,3,2,2
No,25,Travel_Rarely,Sales,28,3,Life Sciences,183,1,Male,2,Sales Executive,3,Married,8639,2,No,18,4,0,6,3,3,2,2,2
Yes,29,Travel_Frequently,Sales,24,3,Technical Degree,1928,3,Male,4,Sales Representative,1,Single,1091,1,No,17,4,0,1,3,3,1,0,0
No,37,Travel_Rarely,Research & Development,10,3,Life Sciences,2017,3,Female,4,Research Director,4,Married,13744,,Yes,25,1,1,16,2,3,16,11,8
No,32,Non-Travel,Research & Development,5,4,Technical Degree,1764,2,Male,3,Research Scientist,2,Single,2718,2,No,14,2,0,12,3,3,7,7,7
No,27,Travel_Rarely,Sales,9,3,Marketing,1965,4,Male,3,Sales Executive,4,Single,4105,1,No,14,1,0,7,5,3,7,7,7
Yes,24,Travel_Frequently,Research & Development,9,3,Medical,1494,2,Male,3,Laboratory Technician,1,Single,3172,2,Yes,11,3,0,4,2,2,0,0,0
No,57,Travel_Rarely,Research & Development,1,4,Medical,482,4,Male,3,Healthcare Representative,3,Married,6755,2,No,11,3,0,15,2,3,3,2,2
Yes,23,Travel_Rarely,Research & Development,6,3,Life Sciences,811,3,Male,4,Laboratory Technician,1,Married,1601,1,Yes,21,3,2,1,2,3,0,0,0
No,46,Travel_Rarely,Sales,1,4,Life Sciences,1602,4,Male,4,Manager,1,Single,17567,1,No,15,2,0,27,5,1,26,0,12
No,38,Travel_Rarely,Sales,10,4,Marketing,1119,3,Male,2,Sales Executive,3,Divorced,8740,0,Yes,14,2,2,9,2,3,8,7,7
No,19,Travel_Rarely,Research & Development,3,1,Medical,201,2,Female,3,Laboratory Technician,2,Single,1483,1,No,14,4,0,1,3,3,1,0,0
No,30,Travel_Rarely,Research & Development,8,2,Life Sciences,1015,2,Female,4,Research Director,1,Married,11416,0,Yes,12,3,3,9,4,2,8,7,7
No,47,Non-Travel,Research & Development,14,4,Technical Degree,1934,3,Male,3,Research Scientist,2,Married,5467,8,No,18,3,1,16,4,4,8,7,7
No,27,Travel_Rarely,Research & Development,,2,Life Sciences,1259,1,Male,3,Research Scientist,3,Divorced,2517,1,No,11,2,3,5,2,3,5,3,3
No,38,Travel_Frequently,Research & Development,1,3,Life Sciences,1668,4,Male,3,Research Scientist,4,Married,4735,7,No,15,4,2,19,4,4,13,11,9
No,24,Travel_Rarely,Research & Development,9,3,Medical,1707,3,Male,4,Research Scientist,3,Married,4401,1,No,16,4,1,5,1,3,5,3,4
No,27,Travel_Rarely,Research & Development,1,2,Life Sciences,725,3,Female,3,Manufacturing Director,1,Married,7412,1,No,11,4,0,9,3,3,9,7,7
No,41,Travel_Rarely,Research & Development,9,4,Life Sciences,200,3,Male,3,Laboratory Technician,1,Married,2238,2,No,21,4,1,7,2,3,5,0,4
No,51,Travel_Rarely,Research & Development,2,3,Medical,408,4,Male,1,Manufacturing Director,2,Divorced,5482,5,No,18,4,1,13,3,3,4,1,2
Yes,35,Travel_Rarely,Sales,10,3,Medical,1639,4,Male,2,Sales Executive,1,Married,10306,9,No,17,3,0,15,3,3,13,12,0
No,49,Travel_Rarely,Research & Development,18,4,Life Sciences,638,4,Male,2,Research Director,3,Divorced,19502,1,Yes,17,3,1,31,5,3,31,9,9
No,34,Travel_Rarely,Research & Development,9,3,Medical,717,4,Female,2,Healthcare Representative,2,Single,8621,1,No,14,2,0,9,3,4,8,7,7
