Attrition,Age,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
0,50,Research & Development,1,3,249,3,Male,3,Married,3690,2,No,15,1,5,2,2,3
0,30,Research & Development,2,1,198,2,Male,4,Single,2720,0,No,13,0,6,3,3,5
0,29,Research & Development,15,3,346,3,Male,4,Single,2340,1,No,19,0,6,1,3,6
0,45,Research & Development,28,3,1546,4,Male,4,Married,2132,4,No,20,1,8,3,3,5
1,31,Sales,1,3,1331,4,Female,2,Single,2302,1,Yes,11,0,3,2,4,3
0,38,Sales,1,4,1995,4,Male,2,Married,4440,0,No,15,2,16,3,3,15
0,50,Research & Development,2,4,905,1,Male,1,Divorced,17924,1,No,11,1,31,3,3,31
0,32,Research & Development,2,3,471,3,Female,2,Married,2370,1,No,13,1,8,4,3,8
0,33,Research & Development,1,2,73,1,Female,4,Single,13458,1,Yes,12,0,15,1,3,15
0,46,Research & Development,7,4,487,3,Female,3,Married,5258,2,No,14,0,7,2,4,1
0,45,Research & Development,10,2,544,1,Male,4,Married,2654,3,No,21,2,8,3,2,2
0,52,Research & Development,2,3,316,3,Female,4,Single,3212,7,No,15,0,6,3,2,2
0,47,Research & Development,16,4,987,3,Male,3,Divorced,5067,1,Yes,19,0,20,3,4,19
0,31,Research & Development,2,4,1721,2,Male,3,Married,3477,1,No,14,1,6,2,4,5
0,49,Sales,8,4,1138,4,Male,2,Married,13120,6,No,17,1,22,3,3,9
0,24,Research & Development,11,2,26,1,Female,3,Divorced,4011,0,No,18,1,5,5,2,4
0,32,Research & Development,15,4,1955,3,Female,4,Divorced,6667,5,No,18,1,9,6,3,5
0,50,Human Resources,3,3,644,1,Male,2,Married,18200,1,No,11,1,32,2,3,32
0,34,Research & Development,7,4,28,1,Female,2,Single,11994,0,No,11,0,13,4,3,12
0,37,Research & Development,5,2,1440,3,Male,3,Single,3500,0,No,14,0,7,2,1,6
0,52,Research & Development,28,2,1401,4,Female,3,Married,13247,2,Yes,11,1,24,3,2,5
0,46,Research & Development,18,1,624,1,Female,3,Married,10527,5,No,11,0,28,3,2,2
1,32,Sales,2,4,1862,3,Male,2,Single,9907,7,Yes,12,0,7,3,2,2
0,38,Research & Development,2,3,24,4,Male,4,Single,3944,5,Yes,11,0,6,3,3,3
0,28,Research & Development,16,3,1947,3,Male,3,Single,2144,1,No,14,0,5,3,2,5
0,21,Research & Development,1,1,1131,4,Female,2,Single,2070,1,Yes,11,0,2,6,4,2
0,26,Sales,5,3,2060,4,Female,3,Single,2966,0,No,18,0,5,2,3,4
0,53,Sales,1,1,682,4,Female,1,Single,8381,7,No,20,0,18,2,4,14
1,41,Sales,1,2,1,2,Female,4,Single,5993,8,Yes,11,0,8,0,1,6
1,36,Research & Development,16,4,1042,3,Female,1,Single,2743,1,No,16,0,18,1,3,17
0,40,Research & Development,2,4,2048,3,Male,3,Single,2809,2,No,14,0,8,2,3,2
0,39,Research & Development,1,3,1737,4,Male,4,Married,6472,1,Yes,15,1,9,2,3,9
0,35,Research & Development,16,3,1529,4,Female,2,Single,8606,1,No,19,0,11,3,1,11
0,34,Research & Development,15,3,1485,2,Male,1,Divorced,17007,7,No,14,2,16,3,2,14
1,35,Sales,12,4,1667,4,Male,4,Single,4581,3,Yes,24,0,13,2,4,11
1,29,Sales,27,3,283,2,Female,4,Married,7639,1,No,22,3,10,3,2,10
0,44,Research & Development,8,4,874,1,Male,4,Married,2818,2,Yes,24,1,10,2,2,3
0,38,Research & Development,10,1,1006,3,Male,3,Married,2684,0,No,17,1,3,0,2,2
0,43,Research & Development,27,3,1599,4,Male,2,Divorced,4876,5,No,12,1,8,0,3,6
0,49,Research & Development,6,1,1661,3,Female,3,Married,13966,2,Yes,19,1,30,3,3,15
1,28,Research & Development,24,3,19,3,Male,3,Single,2028,5,Yes,14,0,6,4,3,4
1,18,Sales,3,2,1624,2,Female,4,Single,1569,1,Yes,12,0,0,2,4,0
0,40,Research & Development,26,3,202,2,Female,2,Divorced,5605,1,No,11,1,20,2,3,20
1,20,Research & Development,10,1,701,4,Male,3,Single,1009,1,Yes,11,0,1,5,3,1
0,43,Research & Development,7,3,262,4,Male,4,Divorced,2089,4,No,14,3,7,3,4,5
0,36,Sales,2,4,1710,3,Female,4,Single,4502,3,No,15,0,17,2,2,13
0,20,Research & Development,3,3,1198,1,Male,3,Single,3033,1,No,12,0,2,2,2,2
0,43,Research & Development,9,5,663,4,Male,3,Divorced,5679,3,Yes,13,1,10,3,3,8
1,28,Research & Development,12,1,1175,3,Female,4,Married,2515,1,Yes,11,0,1,4,2,1
0,30,Research & Development,1,1,104,4,Male,4,Married,5126,1,Yes,12,2,10,1,2,10
0,49,Sales,2,3,2065,4,Male,2,Married,5390,2,No,14,0,17,3,2,9
1,28,Research & Development,5,4,65,3,Male,3,Single,3441,1,Yes,13,0,2,3,2,2
0,34,Human Resources,3,2,847,3,Male,4,Married,3737,0,No,19,1,4,1,1,3
0,40,Research & Development,9,4,1449,3,Male,3,Divorced,3975,3,No,11,2,11,2,4,8
1,25,Sales,5,3,142,3,Male,3,Single,5744,1,Yes,11,0,6,1,3,6
0,33,Sales,2,4,1670,4,Male,4,Divorced,5505,1,No,14,2,6,5,3,6
0,47,Research & Development,25,3,1993,1,Male,3,Single,8633,2,No,23,0,25,3,3,17
0,45,Sales,11,2,1045,4,Female,4,Married,17650,3,No,13,1,26,4,4,9
0,35,Sales,8,4,805,1,Female,4,Married,2572,1,No,16,1,3,1,2,3
0,29,Research & Development,7,3,1260,3,Male,4,Divorced,6623,1,Yes,11,2,6,2,3,6
1,29,Sales,13,3,1487,1,Female,2,Single,5765,5,No,11,0,7,4,1,5
0,46,Sales,2,4,38,2,Female,1,Single,18947,3,No,12,0,22,2,2,2
0,49,Research & Development,22,4,1655,1,Female,2,Married,16413,3,No,16,2,27,2,3,4
0,35,Research & Development,11,4,2003,4,Male,3,Married,2660,7,Yes,11,1,5,3,3,2
0,35,Research & Development,23,4,1826,2,Male,3,Married,2705,0,No,16,1,6,2,4,5
0,29,Research & Development,9,4,1709,4,Female,3,Married,2974,9,No,17,1,9,2,3,5
1,48,Sales,7,2,1691,4,Female,3,Married,2655,2,Yes,11,2,19,3,3,9
0,32,Research & Development,2,2,1235,4,Female,3,Single,4998,4,Yes,14,0,10,2,3,8
0,25,Sales,3,1,879,3,Male,1,Married,4194,1,Yes,18,0,5,3,3,5
0,45,Research & Development,25,2,1888,2,Female,4,Married,5906,0,No,13,2,10,2,2,9
0,31,Human Resources,2,3,424,1,Male,1,Married,6410,3,No,12,0,9,1,3,2
0,21,Research & Development,5,1,1623,3,Male,4,Single,3117,1,No,18,0,3,2,3,2
0,43,Research & Development,15,2,1666,3,Male,3,Married,17603,1,No,24,1,14,3,3,14
0,36,Research & Development,2,4,1847,4,Female,2,Married,6962,4,Yes,22,1,15,2,3,1
0,38,Research & Development,17,1,1088,3,Female,3,Married,8823,0,No,18,1,20,4,2,19
0,35,Sales,1,3,314,3,Female,3,Single,8789,1,No,14,0,10,3,4,10
0,39,Sales,21,4,1390,1,Male,4,Married,6120,3,Yes,12,2,8,2,4,5
0,33,Sales,25,3,1220,2,Female,3,Married,4539,1,No,12,1,10,3,2,10
0,33,Research & Development,25,3,1545,4,Male,2,Single,4320,1,No,13,0,5,2,3,5
0,42,Sales,12,4,1943,2,Male,4,Divorced,5087,3,Yes,12,2,14,4,3,0
0,28,Sales,9,4,498,2,Male,4,Single,5253,1,No,16,0,7,1,3,7
0,55,Research & Development,2,1,1074,3,Male,1,Single,16756,7,No,15,0,31,3,4,9
0,51,Research & Development,8,4,296,2,Male,2,Married,12490,5,No,16,2,16,5,1,10
0,29,Research & Development,21,4,20,2,Female,1,Divorced,9980,1,No,11,1,10,1,3,10
0,55,Human Resources,26,4,1973,3,Male,2,Married,19636,4,Yes,18,1,35,0,3,10
1,30,Research & Development,4,3,514,3,Male,4,Single,2285,9,Yes,23,0,3,4,3,1
0,35,Research & Development,1,3,105,2,Male,3,Single,2859,1,No,18,0,6,3,3,6
0,42,Research & Development,2,2,1109,4,Male,1,Married,17665,0,No,17,1,23,3,3,22
0,34,Research & Development,1,3,1447,4,Female,2,Married,3294,5,No,17,1,7,2,2,5
0,41,Sales,6,3,298,4,Female,4,Single,13591,3,Yes,18,0,16,3,3,1
0,29,Research & Development,2,3,94,3,Male,2,Married,2703,0,No,23,1,6,3,3,5
0,38,Research & Development,12,3,837,1,Male,1,Divorced,6288,2,No,15,1,13,3,2,4
0,27,Research & Development,2,4,54,4,Female,1,Divorced,2341,1,No,13,1,1,6,3,1
0,31,Sales,2,4,1613,4,Male,1,Single,5332,7,No,13,0,10,3,3,5
0,39,Research & Development,9,3,1132,3,Male,2,Single,6782,9,No,15,0,9,2,2,5
1,33,Research & Development,14,3,325,3,Male,4,Married,2436,5,Yes,13,1,8,2,1,5
1,49,Research & Development,28,2,1420,1,Male,1,Single,4284,3,No,20,0,20,2,3,4
0,34,Sales,8,2,808,3,Female,1,Married,6500,5,No,17,1,6,1,3,3
0,25,Sales,28,3,183,1,Male,3,Married,8639,2,No,18,0,6,3,3,2
1,29,Sales,24,3,1928,3,Male,1,Single,1091,1,No,17,0,1,3,3,1
0,32,Research & Development,5,4,1764,2,Male,2,Single,2718,2,No,14,0,12,3,3,7
0,27,Sales,9,3,1965,4,Male,4,Single,4105,1,No,14,0,7,5,3,7
1,24,Research & Development,9,3,1494,2,Male,1,Single,3172,2,Yes,11,0,4,2,2,0
0,57,Research & Development,1,4,482,4,Male,3,Married,6755,2,No,11,0,15,2,3,3
1,23,Research & Development,6,3,811,3,Male,1,Married,1601,1,Yes,21,2,1,2,3,0
0,46,Sales,1,4,1602,4,Male,1,Single,17567,1,No,15,0,27,5,1,26
0,38,Sales,10,4,1119,3,Male,3,Divorced,8740,0,Yes,14,2,9,2,3,8
0,19,Research & Development,3,1,201,2,Female,2,Single,1483,1,No,14,0,1,3,3,1
0,30,Research & Development,8,2,1015,2,Female,1,Married,11416,0,Yes,12,3,9,4,2,8
0,47,Research & Development,14,4,1934,3,Male,2,Married,5467,8,No,18,1,16,4,4,8
0,38,Research & Development,1,3,1668,4,Male,4,Married,4735,7,No,15,2,19,4,4,13
0,24,Research & Development,9,3,1707,3,Male,3,Married,4401,1,No,16,1,5,1,3,5
0,27,Research & Development,1,2,725,3,Female,1,Married,7412,1,No,11,0,9,3,3,9
0,41,Research & Development,9,4,200,3,Male,1,Married,2238,2,No,21,1,7,2,3,5
0,51,Research & Development,2,3,408,4,Male,2,Divorced,5482,5,No,18,1,13,3,3,4
1,35,Sales,10,3,1639,4,Male,1,Married,10306,9,No,17,0,15,3,3,13
0,49,Research & Development,18,4,638,4,Male,3,Divorced,19502,1,Yes,17,1,31,5,3,31
0,34,Research & Development,9,3,717,4,Female,2,Single,8621,1,No,14,0,9,3,4,8
0,36,Sales,10,4,592,2,Male,4,Single,9980,1,No,14,0,10,3,2,10
0,44,Sales,1,5,68,2,Female,1,Divorced,5454,5,Yes,21,1,9,2,2,4
1,29,Research & Development,24,2,1868,4,Male,4,Single,2439,1,Yes,24,0,1,3,2,1
0,32,Research & Development,1,3,78,1,Male,4,Married,6162,1,Yes,22,1,9,3,3,9
1,29,Research & Development,18,1,315,3,Male,4,Single,2389,1,Yes,13,0,4,3,2,4
1,35,Sales,27,3,1797,3,Male,4,Single,5813,1,Yes,18,0,10,2,3,10
0,37,Research & Development,14,3,515,4,Female,1,Divorced,3034,1,No,12,1,18,2,2,18
0,40,Research & Development,16,3,1641,3,Female,4,Single,7945,6,Yes,15,0,18,2,2,4
0,56,Research & Development,7,3,112,4,Male,4,Single,7260,4,No,11,0,37,3,2,6
0,30,Sales,29,4,1568,3,Male,2,Married,9250,3,No,12,1,9,3,3,4
1,32,Sales,11,4,631,4,Male,3,Married,4707,8,No,12,0,6,2,3,4
0,36,Research & Development,5,4,51,2,Female,1,Married,3419,9,Yes,14,1,6,3,4,1
0,33,Research & Development,13,1,995,2,Female,4,Single,3452,3,No,18,0,5,4,3,3
0,28,Sales,4,3,129,2,Male,3,Married,4221,1,No,15,0,5,3,4,5
0,54,Research & Development,7,4,1830,4,Female,4,Married,6854,4,No,15,1,14,2,2,7
1,29,Sales,23,1,1165,4,Female,1,Married,7336,1,No,13,1,11,3,1,11
0,55,Research & Development,14,4,254,3,Male,2,Single,18722,8,No,11,0,36,3,3,24
0,40,Sales,14,2,1598,4,Female,1,Married,4639,1,No,15,1,5,2,3,5
1,29,Research & Development,1,4,2027,1,Male,4,Married,4787,9,Yes,14,3,4,3,4,2
0,22,Research & Development,1,2,2007,4,Male,3,Single,3375,0,No,12,0,4,2,4,3
0,29,Research & Development,20,1,1852,4,Male,4,Married,3812,1,No,13,0,11,3,4,11
0,28,Research & Development,3,3,1121,4,Female,2,Divorced,7655,0,No,17,3,10,3,2,9
0,31,Human Resources,8,2,1461,4,Female,2,Single,2109,9,No,18,0,8,3,3,3
0,44,Research & Development,2,1,1496,2,Male,3,Single,10209,5,Yes,18,0,16,2,2,2
0,22,Research & Development,19,1,217,3,Male,4,Married,2323,1,No,24,2,2,6,3,2
0,31,Research & Development,2,1,1974,4,Female,4,Divorced,1129,1,Yes,11,3,1,4,3,1
0,50,Research & Development,29,4,569,2,Male,3,Married,17046,0,No,15,1,28,2,3,27
0,35,Research & Development,16,3,14,1,Male,2,Married,2426,0,No,13,1,6,5,3,5
0,46,Research & Development,2,3,575,1,Male,3,Married,17861,6,No,13,0,26,2,1,3
0,40,Sales,9,2,1548,1,Male,1,Married,5473,0,No,12,0,9,5,4,8
0,37,Research & Development,1,3,1196,4,Female,4,Married,6474,1,No,13,1,14,2,2,14
0,59,Human Resources,2,4,140,3,Female,4,Married,18844,9,No,21,1,30,3,3,3
0,55,Sales,26,5,1578,3,Male,4,Married,19586,1,No,21,1,36,3,3,36
0,22,Research & Development,16,2,22,4,Male,4,Divorced,2935,1,Yes,13,2,1,2,2,1
1,44,Human Resources,1,2,1098,2,Male,1,Married,10482,9,No,14,1,24,1,3,20
1,23,Sales,7,3,1702,3,Male,4,Divorced,2275,1,Yes,21,1,3,2,3,3
0,47,Research & Development,2,4,1443,1,Female,3,Married,17169,3,No,19,2,26,2,4,20
0,50,Sales,9,3,1591,3,Male,3,Married,19331,4,Yes,16,1,27,2,3,1
0,35,Research & Development,25,3,899,4,Male,2,Married,10903,3,No,16,0,16,2,3,13
0,31,Research & Development,4,3,1916,1,Female,3,Divorced,3978,8,No,12,1,4,0,2,2
0,33,Research & Development,8,5,1515,4,Male,3,Single,6388,2,Yes,17,0,14,6,3,0
0,39,Research & Development,1,3,417,3,Male,4,Divorced,9613,0,No,17,3,19,5,2,18
0,46,Sales,2,3,363,3,Female,2,Married,16872,3,Yes,12,1,28,2,2,7
0,36,Research & Development,6,3,373,4,Male,4,Married,3210,0,No,11,1,16,4,3,15
0,41,Human Resources,4,3,1722,3,Male,2,Married,6430,6,No,19,1,10,4,3,3
0,33,Research & Development,7,2,1970,4,Male,3,Divorced,5968,1,No,20,3,9,2,3,9
0,37,Sales,6,4,378,3,Male,4,Married,6502,4,No,14,1,7,5,4,5
0,38,Research & Development,6,3,107,2,Female,4,Divorced,5329,7,Yes,12,3,17,3,3,13
0,38,Research & Development,2,4,803,1,Female,1,Single,5980,6,Yes,12,0,17,2,3,15
0,46,Research & Development,18,3,550,3,Female,3,Divorced,4810,2,No,14,1,19,5,2,10
0,18,Research & Development,1,3,1368,4,Female,4,Single,1611,1,No,15,0,0,5,4,0
0,39,Sales,6,3,1588,4,Male,3,Married,8237,2,No,11,1,11,3,3,7
0,32,Research & Development,5,4,1607,2,Female,4,Married,3312,3,No,17,2,6,3,3,3
0,39,Research & Development,19,4,1871,4,Male,4,Divorced,3902,8,No,14,3,7,2,3,2
0,41,Research & Development,9,3,999,1,Male,3,Divorced,19419,2,No,17,1,21,2,4,18
0,22,Research & Development,26,2,1605,2,Female,3,Married,2814,1,Yes,14,0,4,2,2,4
0,25,Research & Development,19,1,1358,4,Male,4,Married,3669,3,No,11,3,7,6,2,3
0,53,Research & Development,2,3,1472,4,Male,2,Single,16598,4,No,12,0,35,2,2,9
0,52,Research & Development,8,4,1409,3,Female,1,Married,2950,9,No,13,0,12,2,1,5
0,47,Research & Development,4,3,1827,3,Female,2,Divorced,10333,8,Yes,12,1,28,4,3,22
0,32,Research & Development,9,4,679,1,Female,4,Married,6322,1,Yes,12,1,6,2,2,6
0,41,Research & Development,7,1,1035,2,Female,3,Divorced,19973,1,No,22,2,21,3,3,21
0,30,Sales,8,2,982,3,Male,3,Divorced,7264,5,No,11,1,10,2,4,8
0,27,Research & Development,3,3,850,4,Male,4,Married,1706,1,No,11,3,0,6,2,0
0,36,Research & Development,6,3,97,2,Female,4,Married,3038,3,No,12,0,5,3,3,1
0,26,Sales,23,3,72,3,Female,4,Married,4157,7,Yes,19,1,5,2,2,2
1,36,Sales,9,4,27,3,Male,1,Single,3407,7,No,23,0,10,4,3,5
0,52,Research & Development,1,4,259,3,Male,3,Married,19999,0,No,14,1,34,5,3,33
0,40,Sales,2,2,1986,2,Female,2,Married,5677,3,No,14,1,15,4,3,11
0,43,Research & Development,8,4,526,3,Female,3,Divorced,4522,4,Yes,14,0,8,3,3,5
0,42,Research & Development,29,3,1148,2,Male,4,Single,4272,4,No,19,0,16,3,3,1
0,41,Research & Development,5,3,1814,2,Male,2,Single,6870,3,No,12,0,11,3,1,3
0,34,Sales,4,4,523,3,Female,3,Married,6538,9,No,15,1,6,3,3,3
1,34,Sales,24,4,1489,1,Female,2,Single,4599,0,Yes,23,0,16,2,4,15
0,47,Sales,4,1,467,2,Male,3,Single,2976,3,No,19,0,5,3,3,0
0,31,Sales,7,4,1833,1,Female,1,Married,9637,2,No,14,2,9,3,3,3
0,30,Research & Development,28,2,441,4,Female,4,Married,5775,1,No,13,2,11,2,3,10
0,42,Sales,5,2,1029,4,Male,3,Married,18303,6,No,13,0,21,3,4,1
0,30,Sales,25,2,475,4,Female,3,Married,4736,7,Yes,12,1,4,2,4,2
0,53,Research & Development,1,4,1775,1,Female,3,Married,12965,4,Yes,20,3,27,2,2,3
1,28,Research & Development,17,3,1960,3,Male,4,Divorced,2367,5,No,12,1,6,2,2,4
0,29,Research & Development,15,2,15,4,Female,3,Single,4193,0,Yes,12,0,10,3,3,9
1,40,Sales,22,2,492,3,Male,3,Married,6380,2,Yes,12,2,8,6,3,6
0,36,Human Resources,8,3,878,1,Male,1,Married,2342,0,No,21,0,6,3,3,5
0,35,Research & Development,22,3,381,2,Female,2,Divorced,11996,7,No,18,1,10,6,2,7
0,35,Research & Development,1,3,1369,4,Female,4,Married,5363,0,No,12,1,10,0,3,9
0,41,Research & Development,7,2,1025,4,Female,3,Single,5003,6,No,14,0,8,6,3,2
0,32,Sales,7,5,1446,4,Male,4,Married,9204,4,No,12,1,7,3,2,4
0,39,Sales,15,4,1975,2,Male,1,Single,13341,0,No,12,0,21,3,3,20
0,46,Sales,2,3,1732,3,Male,4,Divorced,10368,4,Yes,12,1,13,5,2,10
1,31,Sales,16,4,1761,1,Male,3,Married,8161,2,No,13,3,10,2,3,1
0,31,Research & Development,8,5,1430,1,Female,2,Single,16422,3,No,11,0,9,3,4,3
0,34,Research & Development,1,3,1184,4,Male,1,Single,5343,0,No,20,0,14,3,3,13
1,37,Research & Development,10,4,1809,4,Male,1,Single,4213,1,No,15,0,10,4,1,10
0,20,Sales,2,3,1657,3,Female,3,Single,2783,1,No,19,0,2,3,3,2
0,24,Sales,24,3,632,4,Male,4,Married,2400,0,No,13,2,3,3,3,2
0,39,Research & Development,10,5,1618,2,Male,1,Married,5377,2,No,13,3,10,3,3,7
1,30,Sales,1,3,1562,2,Male,1,Married,9714,1,No,11,1,10,4,3,10
1,26,Research & Development,16,4,394,1,Male,2,Divorced,2373,2,Yes,13,1,5,2,3,3
0,58,Research & Development,1,3,1423,4,Female,1,Married,19701,3,Yes,21,1,32,3,3,9
0,35,Research & Development,1,4,2052,3,Female,4,Married,2977,1,No,12,1,4,5,3,4
0,49,Research & Development,25,4,1617,3,Female,1,Married,3211,1,No,14,1,10,3,2,9
0,31,Research & Development,5,4,423,3,Male,4,Married,4821,0,Yes,12,1,6,4,3,5
0,29,Sales,10,1,463,4,Female,2,Divorced,8268,1,Yes,14,2,7,2,3,7
0,24,Research & Development,1,2,1981,2,Male,3,Single,4617,1,No,12,0,4,2,2,4
1,35,Sales,18,4,1380,4,Female,3,Married,4614,0,Yes,18,1,5,0,2,4
1,56,Research & Development,14,4,161,2,Female,2,Married,4963,9,Yes,18,3,7,2,3,5
0,28,Sales,26,3,1387,3,Male,1,Married,4724,1,No,11,1,5,0,3,5
0,35,Research & Development,3,3,704,3,Male,3,Married,1281,1,No,18,2,1,3,3,1
0,54,Research & Development,9,2,1969,1,Female,3,Married,2897,3,No,11,2,9,6,2,4
0,30,Sales,16,1,1479,4,Male,3,Married,5301,8,No,15,2,4,2,2,2
0,42,Research & Development,29,2,547,1,Female,3,Divorced,4556,2,No,11,1,19,3,3,5
0,54,Research & Development,2,4,126,1,Female,3,Married,13549,9,No,12,1,16,5,1,4
0,59,Research & Development,18,4,1283,4,Male,4,Single,10512,6,No,12,0,25,6,2,9
0,52,Sales,29,4,2019,1,Male,4,Divorced,3482,2,No,15,2,16,3,2,9
0,38,Research & Development,15,2,461,3,Male,4,Divorced,11510,0,Yes,14,1,12,3,3,11
0,31,Research & Development,9,4,493,3,Male,2,Single,2657,0,Yes,16,0,3,5,3,2
0,33,Sales,10,5,1268,4,Male,3,Divorced,8380,0,Yes,14,2,10,3,3,9
0,33,Research & Development,15,2,2009,2,Female,4,Married,4878,0,Yes,13,1,10,6,3,9
0,44,Research & Development,4,3,852,4,Male,2,Single,5933,9,No,12,0,10,2,2,5
1,19,Sales,1,1,235,3,Female,1,Single,2325,0,No,21,0,1,5,4,0
0,37,Research & Development,2,2,139,3,Male,4,Divorced,5163,5,No,14,1,17,2,4,1
0,35,Human Resources,8,4,1164,3,Male,3,Single,4323,1,No,17,0,6,2,1,5
0,37,Research & Development,10,1,802,4,Female,1,Divorced,2782,0,Yes,13,2,6,3,2,5
0,36,Sales,10,4,1880,2,Female,3,Married,5673,1,Yes,13,1,10,4,3,10
0,33,Research & Development,2,3,39,3,Male,4,Single,2496,4,No,11,0,7,3,3,1
1,31,Research & Development,8,3,1433,1,Female,2,Single,1261,1,No,12,0,1,3,4,1
0,49,Research & Development,3,2,1509,3,Female,1,Married,4789,4,No,25,1,10,3,3,3
0,30,Research & Development,9,2,41,4,Male,3,Single,2206,1,No,13,0,10,5,3,10
1,33,Research & Development,2,2,328,1,Female,1,Married,2707,7,No,20,0,13,3,4,9
0,35,Research & Development,22,3,577,4,Male,3,Single,4230,0,No,15,0,6,2,3,5
0,28,Research & Development,29,1,1514,3,Male,2,Married,6549,1,No,14,2,8,2,2,8
