school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G31
GP,M,15,R,GT3,T,4,3,teacher,at_home,mother,1,2,0,no,yes,yes,yes,4,5,2,1,1,5,0,1
GP,M,15,U,LE3,T,3,3,other,other,mother,1,2,0,no,no,yes,yes,5,3,2,1,1,2,0,0
GP,M,16,U,GT3,T,3,2,other,other,mother,1,1,0,no,yes,no,yes,5,4,3,1,1,5,4,0
GP,F,15,U,GT3,T,2,3,other,other,father,2,1,0,no,yes,yes,no,3,5,1,1,1,5,4,0
GP,M,15,U,LE3,T,4,3,teacher,services,mother,1,3,0,no,yes,yes,yes,5,4,3,1,1,4,0,1
GP,M,16,R,GT3,A,4,4,other,teacher,mother,2,3,0,no,yes,yes,yes,2,4,3,1,1,5,4,1
GP,F,15,R,GT3,T,3,4,services,health,mother,1,3,0,yes,yes,yes,yes,4,3,2,1,1,5,2,0
GP,F,15,R,GT3,T,2,2,at_home,other,mother,1,1,0,yes,yes,yes,no,4,3,1,1,1,2,8,0
GP,F,16,U,LE3,T,2,2,other,other,mother,2,2,0,no,yes,yes,yes,3,3,3,1,2,3,16,0
GP,M,15,U,LE3,T,4,4,teacher,other,other,1,1,0,no,yes,no,yes,5,4,3,2,4,5,8,0
GP,M,15,U,GT3,T,4,4,services,teacher,father,1,2,0,no,yes,yes,yes,4,3,3,1,1,5,0,1
GP,M,15,U,GT3,T,2,2,services,services,father,1,1,0,yes,yes,no,yes,5,4,1,1,1,1,0,0
GP,F,16,U,LE3,T,2,2,other,at_home,father,2,2,1,yes,no,yes,yes,4,3,3,2,2,5,14,0
GP,F,15,U,LE3,A,4,3,other,other,mother,1,2,0,yes,yes,yes,yes,5,2,2,1,1,5,4,0
GP,F,16,U,LE3,A,3,3,other,services,mother,1,2,0,no,yes,no,yes,2,3,5,1,4,3,6,1
GP,M,16,U,GT3,T,4,3,health,services,mother,1,4,0,no,no,yes,yes,4,2,2,1,1,2,2,1
GP,M,15,U,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,no,no,4,3,3,2,2,5,4,1
GP,F,15,U,GT3,T,4,4,services,teacher,father,1,2,0,yes,yes,yes,yes,4,4,4,1,1,3,2,0
GP,F,16,U,LE3,T,2,2,services,services,mother,3,2,0,no,yes,no,yes,4,3,3,2,3,4,0,1
GP,F,15,U,LE3,T,4,2,health,other,mother,1,2,0,no,yes,no,yes,4,3,3,1,1,5,0,1
GP,M,15,U,LE3,A,4,2,health,health,father,2,1,0,no,no,no,no,5,5,5,3,4,5,4,0
GP,F,15,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,no,yes,3,3,4,2,3,5,0,0
GP,F,15,U,LE3,A,3,3,other,other,mother,1,1,0,no,no,no,yes,5,3,4,4,4,1,0,1
GP,F,16,U,GT3,A,2,1,other,other,mother,1,2,0,no,no,yes,yes,5,3,4,1,1,2,2,0
GP,F,15,U,GT3,A,4,3,services,services,mother,1,2,0,no,yes,yes,yes,4,3,2,1,1,1,0,1
GP,M,15,U,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,yes,no,3,2,2,1,1,5,8,1
GP,M,15,U,LE3,T,1,2,other,at_home,father,1,2,0,yes,yes,yes,yes,4,3,2,1,1,5,0,1
GP,F,16,U,GT3,T,4,2,services,other,unknown,1,2,0,no,yes,no,yes,4,2,3,1,1,5,2,1
GP,F,16,R,GT3,T,4,4,unknown,teacher,mother,1,2,0,no,yes,yes,no,2,4,4,2,3,4,0,1
GP,F,16,U,GT3,T,1,1,services,services,father,4,1,0,yes,yes,yes,yes,5,5,5,5,5,5,0,1
GP,F,16,U,LE3,T,1,2,other,services,father,1,2,0,yes,no,yes,yes,4,4,3,1,1,1,0,0
GP,F,16,U,GT3,T,4,3,teacher,health,mother,1,3,0,yes,yes,yes,yes,3,4,4,2,4,4,0,1
GP,F,15,U,LE3,T,4,3,services,services,father,1,2,0,yes,no,yes,yes,4,4,4,2,4,2,0,0
GP,F,16,U,LE3,T,4,3,teacher,services,mother,3,2,0,no,yes,yes,yes,5,4,3,1,2,1,2,1
GP,M,15,U,GT3,A,4,4,other,services,mother,1,4,0,no,yes,yes,yes,1,3,3,5,5,3,0,0
GP,F,16,U,GT3,T,3,1,services,other,mother,1,4,0,yes,yes,no,yes,4,3,3,1,2,5,0,0
GP,F,15,R,LE3,T,2,2,health,services,mother,2,2,0,yes,yes,no,yes,4,1,3,1,3,4,0,0
GP,F,15,R,LE3,T,3,1,other,other,father,2,4,0,no,yes,no,yes,4,4,2,2,3,3,6,1
GP,M,16,U,GT3,T,3,1,other,other,father,2,4,0,no,yes,no,yes,4,3,2,1,1,5,2,0
GP,M,15,U,GT3,T,4,2,other,other,mother,1,4,0,no,no,no,yes,3,3,3,1,1,3,0,0
GP,F,15,R,GT3,T,1,1,other,other,mother,1,2,0,yes,yes,no,yes,3,3,4,2,4,5,2,0
GP,M,16,U,GT3,T,3,1,other,other,mother,1,1,0,no,no,yes,no,5,3,2,2,2,5,0,1
GP,F,16,U,GT3,T,3,3,other,services,mother,1,2,0,yes,yes,yes,yes,4,3,3,2,4,5,4,0
GP,M,15,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,4,3,3,2,3,5,0,0
GP,M,15,U,GT3,T,4,0,teacher,other,mother,2,4,0,no,no,yes,yes,3,4,3,1,1,1,0,0
GP,F,16,U,GT3,T,2,2,other,other,mother,1,4,0,no,no,no,yes,5,2,3,1,3,3,1,1
GP,M,17,U,GT3,T,2,1,other,other,mother,2,1,3,yes,yes,yes,yes,4,5,1,1,1,3,0,0
GP,F,16,U,GT3,T,3,4,at_home,other,mother,1,2,0,no,yes,no,yes,2,4,3,1,2,3,14,0
GP,M,15,U,GT3,T,2,3,other,services,father,1,1,0,yes,yes,yes,yes,3,2,2,1,3,3,0,0
GP,M,15,U,GT3,T,2,3,other,other,mother,1,3,0,yes,no,no,yes,5,3,2,1,2,5,2,0
GP,F,15,U,LE3,T,3,2,services,other,mother,1,2,0,no,yes,no,yes,4,4,4,1,1,5,4,0
GP,M,15,U,LE3,T,2,2,services,services,mother,2,2,0,no,no,yes,yes,5,3,3,1,3,4,2,1
GP,F,15,U,GT3,T,1,1,other,other,father,1,2,0,no,yes,yes,yes,4,3,2,2,3,4,2,0
GP,F,15,U,GT3,T,4,4,services,services,father,2,2,0,no,no,no,yes,4,4,4,2,3,5,4,0
GP,F,16,U,LE3,T,2,2,at_home,other,mother,1,2,0,no,yes,no,no,4,3,4,1,2,2,6,0
GP,F,15,U,GT3,T,4,2,other,other,mother,1,3,0,no,yes,yes,yes,5,3,3,1,3,1,4,1
GP,M,16,U,GT3,T,2,2,services,other,father,2,2,0,no,no,yes,yes,4,4,2,1,1,3,6,0
GP,M,16,U,LE3,A,4,4,teacher,unknown,mother,1,2,0,no,yes,no,no,4,1,3,3,5,5,6,0
GP,F,16,U,GT3,T,3,3,other,other,mother,1,3,0,no,yes,no,yes,4,3,3,1,3,4,2,0
GP,F,15,U,GT3,T,4,3,services,other,mother,1,1,0,no,no,yes,yes,4,5,5,1,3,1,6,1
GP,F,16,U,LE3,T,3,1,other,other,father,1,2,0,yes,yes,no,no,3,3,3,2,3,2,0,0
GP,F,16,U,GT3,T,4,2,teacher,services,mother,2,2,0,no,yes,yes,yes,5,3,3,1,1,1,2,1
GP,M,15,U,LE3,T,2,2,services,health,mother,1,4,0,no,yes,yes,yes,4,3,4,1,1,4,2,0
GP,F,15,R,GT3,T,1,1,at_home,other,mother,2,4,0,yes,yes,yes,yes,3,1,2,1,1,1,4,1
GP,M,16,R,GT3,T,4,3,services,other,mother,2,1,0,yes,yes,yes,yes,3,3,3,1,1,4,6,0
GP,F,16,U,GT3,T,2,1,other,other,mother,1,2,0,no,yes,no,no,4,3,5,1,1,5,0,0
GP,F,16,U,GT3,T,4,4,other,unknown,mother,1,1,0,no,no,yes,yes,5,3,4,1,2,1,4,1
GP,F,16,U,GT3,T,4,3,other,unknown,mother,1,3,0,yes,yes,no,yes,5,3,5,1,1,3,2,1
GP,M,16,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,yes,4,5,5,5,5,4,12,0
GP,M,16,U,GT3,T,4,4,services,teacher,father,1,3,0,no,yes,yes,yes,4,4,3,1,1,4,0,1
GP,M,15,U,GT3,T,4,4,unknown,other,mother,1,1,0,no,yes,yes,yes,5,3,3,1,1,5,2,0
GP,F,15,U,GT3,T,3,2,services,other,mother,2,2,0,yes,yes,no,yes,4,3,5,1,1,2,16,0
GP,M,15,U,GT3,A,3,4,services,other,mother,1,2,0,no,yes,yes,yes,5,4,4,1,1,1,0,1
GP,F,15,U,GT3,A,3,3,other,health,father,1,4,0,yes,no,no,no,4,3,3,1,1,4,10,0
GP,F,15,U,GT3,T,2,2,other,other,mother,1,4,0,yes,yes,no,yes,5,1,2,1,1,3,4,0
GP,M,16,U,GT3,T,3,3,services,other,father,1,3,0,no,yes,yes,yes,5,3,3,1,1,5,4,1
GP,M,15,R,GT3,T,4,4,other,other,father,4,4,0,no,yes,yes,yes,1,3,5,3,5,1,8,0
GP,F,16,U,LE3,T,4,4,health,health,mother,1,3,0,no,yes,yes,yes,5,4,5,1,1,4,2,1
GP,M,15,U,LE3,A,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,5,5,3,1,1,4,4,1
GP,F,16,R,GT3,T,3,3,services,other,father,1,3,0,yes,yes,yes,yes,4,1,2,1,1,2,4,0
GP,F,16,U,GT3,T,2,2,at_home,other,mother,1,2,1,yes,no,yes,yes,3,1,2,1,1,5,12,0
GP,M,15,U,LE3,T,4,2,teacher,other,mother,1,1,0,no,no,no,yes,3,5,2,1,1,3,10,1
GP,M,15,R,GT3,T,2,1,health,services,mother,1,2,0,no,no,yes,yes,5,4,2,1,1,5,4,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,unknown,1,2,0,no,yes,yes,yes,5,4,4,1,2,5,6,1
GP,M,15,U,GT3,T,4,4,other,teacher,father,2,2,0,no,yes,yes,no,4,4,3,1,1,2,4,1
GP,M,16,U,GT3,T,3,3,other,services,father,2,1,0,no,no,yes,yes,5,4,2,1,1,5,6,1
GP,M,17,R,GT3,T,1,3,other,other,father,3,2,1,no,yes,yes,yes,5,2,4,1,4,5,14,0
GP,M,15,U,GT3,T,3,4,other,other,father,1,1,0,no,no,no,yes,3,4,3,1,2,4,2,1
GP,F,15,U,GT3,T,1,2,at_home,services,mother,1,2,0,no,no,no,yes,3,2,3,1,2,1,0,1
GP,M,15,U,GT3,T,2,2,services,services,father,1,4,0,no,yes,yes,yes,5,5,4,1,2,5,6,1
GP,F,16,U,LE3,T,2,4,other,health,father,2,2,0,no,yes,yes,yes,4,2,2,1,2,5,2,1
GP,M,16,U,GT3,T,4,4,health,other,mother,1,1,0,no,yes,yes,yes,3,4,4,1,4,5,4,1
GP,F,16,U,GT3,T,2,2,other,other,mother,1,2,0,no,no,no,yes,5,4,4,1,1,5,0,0
GP,M,15,U,GT3,T,3,4,services,services,father,1,1,0,yes,no,no,yes,5,5,5,3,2,5,2,0
GP,F,15,U,LE3,A,3,4,other,other,mother,1,2,0,yes,no,yes,yes,5,3,2,1,1,1,0,0
GP,F,19,U,GT3,T,0,1,at_home,other,other,1,2,2,no,yes,no,no,3,4,2,1,1,5,0,0
GP,M,16,R,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,3,5,5,2,5,4,8,1
GP,M,16,U,GT3,T,2,3,other,other,mother,2,3,0,no,yes,no,yes,3,2,3,2,2,1,4,1
GP,F,15,R,GT3,T,3,4,services,unknown,father,2,3,0,no,yes,no,yes,4,2,2,2,2,5,0,0
GP,F,18,U,GT3,T,2,1,services,unknown,mother,1,2,3,no,yes,yes,yes,5,4,5,1,3,5,10,0
GP,F,17,U,LE3,A,2,1,other,other,mother,3,1,0,no,yes,no,yes,3,2,2,1,2,5,8,0
GP,F,15,U,GT3,T,1,1,at_home,other,mother,3,1,0,no,yes,yes,yes,4,3,3,1,2,4,6,1
GP,F,17,U,LE3,T,2,2,other,other,father,1,1,0,no,yes,no,yes,3,4,4,1,3,5,2,0
GP,F,16,U,GT3,A,3,4,services,other,father,1,1,0,no,no,no,yes,3,2,1,1,4,5,12,1
GP,M,16,U,GT3,T,2,1,at_home,other,mother,4,1,0,no,no,no,no,3,2,1,1,1,2,4,0
GP,F,16,U,GT3,A,2,2,other,other,mother,1,1,1,no,no,no,no,5,3,4,1,1,5,12,0
GP,M,15,R,GT3,T,3,4,at_home,teacher,mother,4,2,0,no,yes,no,no,5,3,3,1,1,5,2,0
GP,F,15,U,GT3,T,4,4,services,at_home,mother,1,3,0,no,yes,yes,yes,4,3,3,1,1,5,4,1
GP,M,17,R,GT3,T,3,4,at_home,other,mother,3,2,0,no,no,no,no,5,4,5,2,4,5,2,0
GP,F,16,R,GT3,T,1,1,at_home,other,mother,4,2,0,no,yes,no,no,5,1,3,1,1,3,0,1
GP,M,18,U,LE3,T,3,1,services,services,mother,2,1,0,no,no,yes,yes,3,3,4,4,5,4,2,0
GP,F,18,U,GT3,A,3,2,other,services,other,1,3,0,no,yes,yes,yes,4,3,3,5,1,5,10,0
GP,F,16,R,GT3,T,1,1,other,services,mother,2,1,0,no,yes,yes,no,3,3,3,1,2,1,8,0
GP,F,16,U,GT3,A,3,3,other,other,other,2,1,0,no,yes,yes,yes,4,3,2,1,1,5,4,0
GP,M,16,U,LE3,T,1,1,services,other,mother,1,2,2,no,no,no,no,4,4,4,1,3,5,0,0
GP,F,15,U,GT3,T,4,4,teacher,teacher,mother,2,1,0,no,no,yes,yes,4,3,2,1,1,5,6,1
GP,F,15,R,GT3,T,1,1,other,other,mother,3,1,1,no,no,yes,yes,5,5,5,1,1,1,2,0
GP,M,15,U,GT3,T,4,3,teacher,services,father,2,4,0,yes,yes,no,yes,2,2,2,1,1,3,6,0
GP,F,15,U,GT3,A,3,3,services,services,mother,1,2,0,no,no,no,no,1,3,2,2,3,1,24,0
GP,M,16,U,GT3,T,4,4,services,services,mother,1,3,0,no,yes,yes,yes,5,3,3,1,3,5,0,1
GP,M,16,U,LE3,T,2,2,services,services,father,2,1,0,no,yes,yes,yes,2,3,3,2,2,2,4,0
GP,F,15,U,GT3,T,4,4,unknown,services,mother,1,3,0,no,yes,yes,yes,4,2,2,1,1,5,2,1
GP,F,16,U,LE3,T,1,1,at_home,at_home,mother,1,1,0,no,no,no,yes,3,4,4,3,3,1,4,0
GP,M,17,U,GT3,T,2,1,other,other,mother,1,1,0,no,yes,no,yes,5,4,5,1,2,5,22,0
GP,F,15,U,GT3,T,1,1,other,services,father,1,2,0,no,yes,no,yes,4,4,2,1,2,5,0,0
GP,F,15,U,LE3,A,2,1,at_home,other,mother,2,1,0,no,yes,yes,yes,4,4,2,1,1,5,0,0
GP,F,15,U,GT3,T,3,2,health,services,father,1,2,1,no,yes,no,yes,3,3,2,1,1,3,2,0
GP,F,15,U,GT3,T,1,2,at_home,other,mother,1,2,0,no,yes,no,yes,4,3,2,1,1,5,6,1
GP,F,15,U,GT3,T,1,2,at_home,services,father,1,2,0,no,no,no,no,2,3,4,2,4,1,6,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,no,yes,3,3,2,2,1,5,16,0
GP,M,15,U,LE3,A,2,1,services,other,mother,4,1,0,no,no,no,yes,4,5,5,2,5,5,0,0
GP,M,18,U,LE3,T,1,1,other,other,mother,1,1,2,no,no,no,yes,2,3,5,2,5,4,0,0
GP,M,16,U,LE3,T,2,1,at_home,other,mother,1,1,1,no,no,yes,no,4,4,4,3,5,5,6,0
GP,F,15,R,GT3,T,3,3,services,services,other,2,3,0,no,yes,yes,yes,4,2,1,2,3,3,2,1
GP,M,19,U,GT3,T,3,2,services,at_home,mother,1,1,0,no,yes,no,yes,4,5,4,1,1,4,6,0
GP,F,17,U,GT3,T,4,4,other,teacher,mother,1,1,0,yes,yes,no,no,4,2,1,1,1,4,0,1
GP,M,15,R,GT3,T,2,3,at_home,services,mother,1,2,0,yes,no,yes,no,4,4,4,1,1,1,0,0
GP,M,17,R,LE3,T,1,2,other,other,mother,1,1,3,no,no,no,no,2,2,2,3,3,5,14,0
GP,F,18,R,GT3,T,1,1,at_home,other,mother,3,1,3,no,yes,yes,no,5,2,5,1,5,4,6,0
GP,M,16,R,GT3,T,2,2,at_home,other,mother,3,1,0,no,no,no,no,4,2,2,1,2,3,4,0
GP,M,16,U,GT3,T,3,3,other,services,father,1,2,1,no,yes,no,yes,4,5,5,4,4,5,0,0
GP,M,16,U,LE3,T,1,2,health,services,mother,2,1,2,no,no,no,yes,4,4,5,3,5,5,0,0
GP,M,17,R,LE3,T,2,1,at_home,other,mother,2,1,1,no,no,yes,yes,3,3,2,2,2,5,8,0
GP,M,17,R,GT3,T,3,2,other,other,unknown,2,2,2,yes,yes,no,yes,4,4,4,1,4,3,4,0
GP,M,15,U,LE3,T,1,2,other,other,mother,2,1,0,no,no,yes,no,4,4,4,2,4,5,2,0
GP,M,16,U,GT3,T,1,3,at_home,services,father,1,1,1,no,no,no,yes,5,3,3,1,4,2,2,0
GP,M,17,R,LE3,T,1,1,other,services,mother,4,2,0,no,no,yes,no,5,3,5,1,5,5,0,0
GP,M,17,U,GT3,T,3,2,services,services,mother,2,1,3,no,yes,yes,no,4,5,2,1,1,2,10,0
GP,M,16,U,GT3,T,2,2,other,other,father,1,2,0,no,no,no,yes,4,3,5,2,4,4,0,0
GP,F,16,U,GT3,T,4,2,health,services,father,1,2,0,no,no,no,yes,4,2,3,1,1,3,0,1
GP,F,16,U,GT3,T,2,2,other,other,mother,1,2,0,no,yes,no,yes,5,1,5,1,1,4,0,1
GP,F,16,U,GT3,T,4,4,health,health,mother,1,2,0,no,yes,no,yes,4,4,2,1,1,3,0,1
GP,M,16,U,GT3,T,3,4,other,other,father,3,1,1,no,yes,yes,yes,3,4,5,2,4,2,4,0
GP,M,16,U,GT3,T,1,0,other,other,mother,2,2,0,no,yes,yes,yes,4,3,2,1,1,3,0,1
GP,M,17,U,LE3,T,4,4,teacher,other,mother,1,2,0,no,yes,yes,yes,4,4,4,1,3,5,0,0
GP,F,16,U,GT3,T,1,3,at_home,services,mother,1,2,0,no,no,yes,yes,4,3,5,1,1,3,0,1
GP,F,16,U,LE3,T,3,3,other,other,mother,2,2,0,no,yes,yes,yes,4,4,5,1,1,4,0,1
GP,M,17,U,LE3,T,4,3,teacher,other,mother,2,2,0,no,no,yes,yes,4,4,4,4,4,4,0,0
GP,F,16,U,GT3,T,2,2,unknown,other,mother,2,2,0,no,no,yes,yes,3,4,4,1,4,5,0,1
GP,M,17,U,GT3,T,3,3,other,other,father,1,2,0,no,no,yes,yes,4,3,4,1,4,4,4,0
GP,M,16,R,GT3,T,4,2,teacher,services,mother,1,1,0,no,yes,yes,yes,4,3,3,3,4,3,8,0
GP,M,17,U,GT3,T,4,3,other,other,mother,1,2,0,no,yes,yes,yes,5,2,3,1,1,2,4,1
GP,M,16,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,3,4,3,2,3,3,4,0
GP,M,16,U,GT3,T,3,3,services,other,mother,1,2,0,no,no,yes,yes,4,2,3,1,2,3,0,1
GP,F,17,U,GT3,T,2,4,services,services,father,1,2,0,no,yes,yes,no,5,4,2,2,3,5,0,1
GP,F,17,U,LE3,T,3,3,other,other,mother,1,2,0,no,yes,yes,yes,5,3,3,2,3,1,32,1
GP,F,16,U,GT3,T,3,2,other,other,mother,1,2,0,no,yes,no,yes,1,2,2,1,2,1,8,1
GP,M,17,U,GT3,T,3,3,services,services,mother,1,2,0,no,yes,yes,yes,4,3,4,2,3,4,6,1
GP,M,16,U,GT3,T,1,2,services,services,mother,1,1,0,no,yes,yes,yes,3,3,3,1,2,3,0,0
GP,M,16,U,LE3,T,2,1,other,other,mother,1,2,0,no,no,yes,yes,4,2,3,1,2,5,0,1
GP,F,17,U,GT3,A,3,3,health,other,mother,1,2,0,no,yes,no,yes,3,3,3,1,3,3,10,1
GP,M,17,R,GT3,T,1,2,at_home,other,mother,1,2,0,no,no,no,no,3,1,3,1,5,3,6,0
GP,F,16,U,GT3,T,2,3,services,services,mother,1,2,0,no,no,no,yes,4,3,3,1,1,2,6,1
GP,F,17,U,GT3,T,1,1,at_home,services,mother,1,2,0,no,no,yes,yes,5,3,3,1,1,3,0,0
GP,M,17,U,GT3,T,1,2,at_home,services,other,2,2,0,no,no,yes,yes,4,4,4,4,5,5,16,0
GP,M,16,R,GT3,T,3,3,services,services,mother,1,1,0,no,yes,yes,yes,4,3,2,3,4,5,0,0
GP,M,16,U,GT3,T,2,3,other,other,father,2,1,0,no,no,no,yes,5,3,3,1,1,3,0,0
GP,F,17,U,LE3,T,2,4,services,services,father,1,2,0,no,no,yes,yes,4,3,2,1,1,5,8,1
GP,M,17,U,GT3,T,4,4,services,teacher,mother,1,1,0,no,no,no,yes,5,2,3,1,2,5,4,1
GP,M,16,R,LE3,T,3,3,teacher,other,unknown,3,1,0,no,yes,yes,yes,3,3,4,3,5,3,16,0
GP,F,17,U,GT3,T,4,4,services,teacher,mother,2,1,1,no,yes,no,yes,4,2,4,2,3,2,30,1
GP,F,16,U,LE3,T,4,4,teacher,teacher,mother,1,2,0,no,yes,no,yes,4,5,2,1,2,3,0,0
GP,F,16,U,GT3,T,4,3,health,other,mother,1,2,0,no,yes,yes,yes,4,3,5,1,5,2,2,1
GP,F,16,U,GT3,T,2,3,other,other,mother,1,2,0,yes,yes,yes,no,4,4,3,1,3,4,4,0
GP,F,17,U,GT3,T,1,1,other,other,mother,1,2,0,no,yes,no,no,4,4,4,1,3,1,0,1
GP,F,17,R,GT3,T,2,2,other,other,mother,1,1,0,no,yes,no,yes,5,3,2,1,2,3,21,1
GP,F,16,R,GT3,T,2,2,services,services,mother,2,4,0,no,yes,yes,yes,5,3,5,1,1,5,6,1
GP,F,17,U,GT3,T,3,4,unknown,services,mother,1,3,1,no,yes,no,yes,4,4,3,3,4,5,14,0
GP,F,16,U,GT3,A,3,1,services,other,mother,1,2,0,no,yes,no,yes,2,3,3,2,2,4,2,0
GP,F,16,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,no,yes,yes,1,3,2,1,1,1,4,1
GP,F,16,U,GT3,T,1,1,at_home,other,mother,2,1,0,no,yes,no,no,4,3,2,1,4,5,2,1
GP,F,17,R,GT3,T,4,3,teacher,other,mother,2,3,0,no,yes,yes,yes,4,4,2,1,1,4,0,0
GP,F,19,U,GT3,T,3,3,other,other,other,1,4,0,no,yes,yes,yes,4,3,3,1,2,3,4,0
GP,M,17,U,LE3,T,4,4,services,other,mother,1,2,0,no,yes,no,yes,5,3,5,4,5,3,15,0
GP,F,16,U,GT3,A,2,2,other,other,mother,1,2,0,yes,yes,no,yes,3,3,4,1,1,4,0,1
GP,M,18,U,GT3,T,2,2,services,other,mother,1,2,0,no,yes,yes,yes,4,4,4,2,4,5,10,0
GP,F,17,R,LE3,T,4,4,services,other,mother,1,1,0,no,yes,no,no,5,2,1,1,2,3,6,0
GP,F,17,U,LE3,T,3,2,other,other,mother,2,2,0,no,no,no,yes,4,4,4,1,3,1,2,1
GP,F,17,U,GT3,T,4,3,other,other,mother,1,2,0,no,no,no,yes,3,4,5,2,4,1,16,0
GP,M,18,U,LE3,T,3,3,services,health,father,1,2,0,no,yes,no,yes,3,2,4,2,4,4,10,0
GP,F,17,U,GT3,T,2,3,at_home,other,father,2,1,0,no,yes,no,no,3,3,3,1,4,3,4,1
GP,F,17,U,GT3,T,2,2,at_home,at_home,mother,1,3,0,no,yes,yes,yes,4,3,3,1,1,4,0,1
