Sales,CompPrice,Income,Price,ShelveLoc,Urban,US
13.14,137,80,105,Good,Yes,Yes
8.65,123,76,120,Medium,No,Yes
9.43,115,62,129,Good,No,Yes
5.53,126,32,132,Medium,Yes,Yes
9.32,141,34,108,Medium,Yes,Yes
9.62,151,28,135,Medium,Yes,Yes
7.36,121,24,133,Good,Yes,No
3.89,123,105,118,Bad,Yes,Yes
10.31,159,80,121,Medium,Yes,No
12.01,136,63,94,Medium,Yes,No
4.68,124,46,135,Medium,No,No
7.82,124,25,110,Medium,Yes,Yes
8.78,130,30,100,Medium,Yes,No
10,114,43,88,Good,No,Yes
6.9,120,56,90,Bad,Yes,Yes
5.04,123,114,151,Bad,Yes,No
5.36,111,52,101,Medium,Yes,Yes
5.05,125,67,117,Bad,Yes,No
9.16,137,105,156,Good,Yes,Yes
3.72,139,111,132,Bad,Yes,Yes
8.31,133,97,117,Medium,Yes,No
5.64,124,24,122,Medium,No,Yes
9.58,108,104,129,Good,Yes,Yes
7.71,123,81,81,Bad,Yes,Yes
4.2,147,40,144,Medium,Yes,No
8.67,125,62,112,Medium,Yes,Yes
3.47,108,38,81,Bad,No,No
5.12,123,36,100,Bad,No,Yes
7.67,129,117,101,Bad,Yes,Yes
5.71,121,42,118,Medium,Yes,Yes
6.37,120,77,132,Medium,Yes,Yes
7.77,116,26,115,Medium,Yes,Yes
6.95,128,29,159,Good,Yes,Yes
5.31,130,35,129,Bad,Yes,Yes
9.1,128,93,112,Good,No,Yes
5.83,134,82,112,Bad,No,Yes
6.53,123,57,105,Medium,Yes,No
5.01,159,69,166,Medium,Yes,No
11.99,119,26,89,Good,Yes,No
4.55,111,56,110,Medium,Yes,No
12.98,113,33,63,Good,Yes,No
10.04,116,106,86,Medium,Yes,Yes
7.22,135,93,119,Medium,Yes,Yes
6.67,107,119,132,Medium,Yes,Yes
6.93,135,69,130,Medium,Yes,Yes
7.8,136,48,125,Medium,Yes,Yes
7.22,114,113,151,Good,No,Yes
3.42,141,57,158,Medium,Yes,Yes
2.86,121,86,145,Bad,Yes,Yes
11.19,122,69,105,Good,No,Yes
7.74,150,96,154,Good,Yes,No
5.36,135,110,117,Medium,No,No
6.97,106,46,96,Bad,No,No
7.6,146,26,131,Medium,Yes,Yes
7.53,117,118,113,Medium,No,Yes
6.88,95,44,72,Bad,Yes,Yes
6.98,116,40,97,Medium,No,No
8.75,143,77,156,Medium,Yes,Yes
9.49,107,111,103,Medium,No,Yes
6.64,118,70,89,Bad,Yes,No
11.82,113,66,74,Good,Yes,Yes
11.28,123,84,89,Good,Yes,No
12.66,148,76,99,Good,Yes,Yes
4.21,118,35,137,Medium,No,Yes
8.21,127,44,123,Good,Yes,Yes
3.07,118,83,104,Bad,Yes,Yes
10.98,148,63,130,Good,Yes,No
9.4,135,40,96,Medium,No,Yes
8.57,116,78,99,Medium,Yes,Yes
7.41,99,93,87,Medium,Yes,Yes
5.28,108,77,110,Bad,Yes,Yes
10.01,133,52,99,Medium,Yes,Yes
11.93,123,98,134,Good,Yes,Yes
8.03,115,29,132,Medium,Yes,Yes
4.78,131,32,133,Medium,Yes,Yes
5.9,138,92,120,Bad,Yes,No
9.24,126,80,126,Medium,Yes,Yes
11.18,131,111,80,Bad,Yes,Yes
9.53,175,65,166,Medium,Yes,Yes
6.15,146,68,132,Bad,Yes,Yes
6.8,137,117,135,Bad,Yes,Yes
9.33,103,81,54,Medium,Yes,No
7.72,133,33,129,Good,Yes,Yes
6.39,131,21,171,Good,Yes,Yes
15.63,122,36,72,Good,Yes,Yes
6.41,142,30,136,Good,No,No
10.08,116,72,130,Good,No,Yes
6.97,127,45,129,Medium,No,Yes
5.86,136,70,152,Medium,Yes,Yes
7.52,123,39,98,Medium,Yes,No
9.16,140,50,139,Good,Yes,Yes
10.36,107,105,103,Medium,Yes,Yes
2.66,136,65,150,Bad,Yes,Yes
11.7,144,69,104,Medium,Yes,Yes
4.69,133,30,122,Medium,Yes,No
6.23,112,38,104,Medium,Yes,Yes
3.15,117,66,111,Bad,Yes,Yes
11.27,100,54,89,Good,Yes,Yes
4.99,122,59,112,Bad,No,No
10.1,135,63,134,Medium,Yes,Yes
5.74,106,33,104,Medium,Yes,Yes
5.87,136,60,147,Medium,Yes,Yes
7.63,93,117,83,Bad,Yes,Yes
6.18,120,70,110,Medium,Yes,Yes
5.17,138,35,143,Bad,Yes,No
8.61,130,38,102,Medium,Yes,No
5.97,112,24,101,Medium,Yes,No
11.54,134,44,126,Good,Yes,Yes
7.5,140,29,91,Bad,Yes,No
7.38,98,120,93,Medium,No,No
7.81,137,102,118,Medium,No,Yes
5.99,117,42,121,Bad,Yes,Yes
8.43,138,80,126,Good,No,Yes
4.81,121,68,149,Good,Yes,No
8.97,132,107,125,Medium,No,No
6.88,96,39,112,Good,No,No
12.57,132,102,107,Good,Yes,Yes
9.32,134,27,96,Medium,No,Yes
8.64,111,101,91,Medium,No,Yes
10.44,124,115,105,Medium,No,Yes
13.44,133,103,122,Good,Yes,Yes
9.45,107,67,92,Medium,No,Yes
5.3,133,31,145,Medium,Yes,Yes
7.02,130,100,146,Good,Yes,No
3.58,142,109,164,Good,Yes,No
13.36,103,73,72,Medium,Yes,Yes
4.17,123,96,118,Bad,Yes,Yes
3.13,130,62,130,Bad,Yes,Yes
8.77,118,86,114,Good,No,Yes
8.68,131,25,104,Medium,No,Yes
5.25,131,55,110,Bad,Yes,Yes
10.26,111,75,108,Good,Yes,No
10.5,122,21,131,Good,Yes,Yes
6.53,154,30,162,Medium,No,No
5.98,124,56,134,Medium,No,Yes
14.37,95,106,53,Good,Yes,No
10.71,109,22,79,Good,No,Yes
10.26,135,100,122,Medium,Yes,Yes
7.68,126,41,119,Bad,Yes,Yes
9.08,152,81,126,Medium,Yes,No
7.8,121,50,98,Medium,No,No
5.58,137,71,116,Medium,Yes,No
9.44,131,47,118,Medium,Yes,Yes
7.9,132,46,124,Medium,Yes,No
16.27,141,60,92,Good,Yes,Yes
6.81,132,61,125,Medium,No,No
6.11,133,88,119,Medium,Yes,Yes
5.81,125,111,107,Bad,Yes,No
9.64,106,64,89,Medium,Yes,Yes
3.9,124,65,151,Bad,Yes,Yes
4.95,121,28,121,Medium,Yes,Yes
9.35,98,117,68,Medium,Yes,No
12.85,123,37,112,Good,Yes,Yes
5.87,131,73,132,Medium,Yes,Yes
5.32,152,116,160,Medium,Yes,No
8.67,142,73,115,Medium,No,Yes
8.14,135,89,78,Bad,Yes,Yes
8.44,128,42,107,Medium,Yes,Yes
5.47,108,75,111,Medium,Yes,Yes
6.1,153,63,124,Bad,Yes,No
4.53,129,42,130,Bad,Yes,Yes
5.57,109,51,120,Medium,No,Yes
5.35,130,58,139,Bad,Yes,Yes
12.57,138,108,128,Good,Yes,Yes
6.14,139,23,120,Medium,No,Yes
7.41,162,26,159,Medium,Yes,Yes
5.94,100,79,95,Bad,Yes,Yes
9.71,134,37,120,Good,Yes,Yes
