INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,CHURN
130831,203,37,679608,564,13,2,LEAVE
122774,78,0,177649,754,3,9,STAY
92022,70,0,907989,268,3,10,STAY
92585,0,83,625278,309,1,9,LEAVE
121739,0,0,869426,805,1,14,LEAVE
90093,221,9,761768,390,28,6,STAY
44713,0,70,244136,229,1,1,STAY
102317,70,0,502376,571,3,12,STAY
139804,80,12,725992,605,3,4,STAY
44734,0,58,809949,200,1,13,LEAVE
130433,73,10,201671,614,3,4,LEAVE
151743,226,0,252067,781,11,12,LEAVE
92843,184,69,214578,360,21,4,LEAVE
61160,0,0,190204,331,1,8,STAY
61956,87,0,241677,753,5,2,STAY
27984,0,17,493115,236,1,12,STAY
95617,197,32,700876,315,19,2,STAY
72053,45,0,545680,285,4,15,STAY
141865,154,6,280204,691,3,5,LEAVE
112939,213,0,206983,494,26,13,LEAVE
153073,221,9,436838,477,25,6,LEAVE
99064,235,16,763680,281,1,4,STAY
42181,72,0,214066,197,3,10,STAY
27945,197,17,170683,154,12,6,LEAVE
104359,75,23,697629,460,27,5,LEAVE
133227,0,36,597447,780,1,1,STAY
46760,230,0,552976,224,19,11,LEAVE
33445,182,84,201373,155,10,2,LEAVE
61915,44,59,342735,378,4,2,STAY
157644,50,12,246973,537,4,4,LEAVE
155149,178,0,224294,406,15,13,STAY
66588,233,0,215514,371,18,15,LEAVE
31409,145,23,910527,200,23,1,STAY
52814,62,0,538350,253,3,8,LEAVE
151627,71,0,248208,582,5,10,STAY
109684,0,14,167886,730,0,8,STAY
29005,146,0,345310,204,19,10,STAY
48619,222,17,267344,176,10,1,LEAVE
79380,78,33,956842,303,4,1,LEAVE
59221,171,56,721347,281,20,2,LEAVE
25013,57,88,497345,138,3,2,STAY
82889,0,0,294120,844,1,11,LEAVE
129466,60,0,672504,732,3,12,LEAVE
37263,0,20,168922,247,0,4,STAY
126562,0,11,295468,700,1,1,STAY
28804,51,13,676869,207,4,4,STAY
114022,0,0,303244,196,1,10,LEAVE
33955,0,15,547644,182,29,5,STAY
28311,0,52,344968,169,1,1,STAY
134978,63,0,250745,614,3,14,STAY
157121,98,21,295727,615,5,4,LEAVE
44315,221,0,204100,131,14,14,STAY
47113,0,6,988310,192,0,4,STAY
37890,0,0,468617,235,0,15,LEAVE
27005,185,7,625976,193,24,5,STAY
115730,263,47,375131,683,20,1,LEAVE
132376,177,16,399301,837,22,5,LEAVE
105814,172,22,282118,563,13,5,LEAVE
31552,0,55,189274,239,0,1,LEAVE
45703,172,11,427037,145,15,6,LEAVE
126718,61,0,343847,492,4,12,LEAVE
24992,0,0,474396,240,0,11,LEAVE
60809,235,9,434847,354,25,4,LEAVE
98813,196,0,684199,366,12,11,LEAVE
27227,0,23,218605,195,1,6,STAY
145115,0,0,175115,507,1,11,STAY
20844,0,30,463068,243,1,2,STAY
35996,210,23,223268,212,14,15,LEAVE
98064,49,54,295639,317,3,2,LEAVE
81288,49,0,276667,266,4,8,LEAVE
121210,47,89,223661,448,5,1,LEAVE
35593,162,17,165027,131,18,4,LEAVE
93816,53,0,779635,370,5,15,STAY
48160,55,20,492616,231,5,4,STAY
42759,184,0,582094,145,15,8,LEAVE
149110,0,10,629165,747,0,5,STAY
48030,55,72,233254,174,3,1,STAY
140091,63,20,354330,763,3,5,STAY
153391,47,88,281272,518,0,2,LEAVE
101630,0,0,640544,811,1,11,LEAVE
22166,193,7,302744,360,27,4,LEAVE
80193,0,43,353559,308,1,1,LEAVE
87269,0,0,244719,349,1,9,STAY
133811,60,20,912325,779,5,6,LEAVE
87450,229,84,202608,319,16,1,LEAVE
141110,0,48,433027,500,0,1,LEAVE
34135,235,80,279080,516,18,10,LEAVE
104392,0,0,247836,778,1,8,LEAVE
156434,55,15,417298,501,5,4,STAY
38212,0,20,435049,176,17,4,STAY
32799,39,0,548785,181,3,13,STAY
49927,38,22,525311,160,5,5,LEAVE
98211,0,78,827058,263,0,1,STAY
154217,0,30,553967,553,0,2,LEAVE
49897,0,16,361467,222,0,4,STAY
151155,74,0,169335,744,3,14,LEAVE
104508,60,70,516943,465,3,2,LEAVE
147369,0,22,457547,556,0,6,STAY
40111,76,58,383330,181,3,1,LEAVE
26605,225,39,545912,213,14,1,LEAVE
54995,33,0,723671,287,1,14,LEAVE
137801,45,0,329814,707,5,13,LEAVE
32786,203,18,847293,217,28,15,STAY
29215,0,11,829545,147,0,5,STAY
52318,89,0,365145,390,3,8,LEAVE
38199,194,7,437848,203,0,5,LEAVE
103685,50,0,280824,467,3,15,STAY
71884,0,0,220732,321,0,9,LEAVE
38536,167,72,643546,160,1,2,STAY
46552,43,0,752347,135,3,9,STAY
31754,61,0,548216,149,3,8,STAY
66096,206,85,474079,312,17,2,LEAVE
81213,51,48,846657,392,4,2,STAY
40007,50,0,452723,140,5,1,LEAVE
113878,51,0,863737,760,4,12,STAY
143837,216,66,164439,571,15,2,LEAVE
49378,218,65,389665,144,13,2,LEAVE
108842,67,26,254481,517,4,1,LEAVE
26745,0,47,914098,227,0,1,STAY
26681,0,6,559376,159,20,6,STAY
41537,33,33,293095,175,4,2,LEAVE
159769,61,0,619810,596,4,8,LEAVE
25463,42,9,639186,133,1,6,LEAVE
156919,66,0,656256,222,3,11,LEAVE
40018,79,0,588761,837,5,10,LEAVE
82145,69,14,454457,140,0,5,LEAVE
158010,0,24,158520,422,0,6,STAY
37908,148,70,515646,187,12,1,STAY
153769,50,39,799356,781,3,4,LEAVE
79642,0,10,469442,390,1,4,STAY
134002,57,14,480675,238,19,4,LEAVE
31499,199,11,657719,225,25,2,STAY
135882,0,61,409952,731,1,4,LEAVE
20569,152,0,496985,185,14,13,LEAVE
75859,52,0,267357,263,3,11,STAY
71078,34,72,572463,350,4,1,LEAVE
134266,0,88,221311,439,0,2,STAY
84616,184,87,962952,225,17,2,STAY
76035,50,12,522691,377,3,5,STAY
79470,161,9,518144,272,28,2,LEAVE
78416,183,0,388824,276,26,10,LEAVE
75767,53,88,436054,251,4,2,LEAVE
102926,0,9,197486,504,0,4,STAY
24559,56,28,645419,141,5,2,STAY
138135,25,6,564575,536,4,6,LEAVE
79359,77,32,473954,305,29,1,STAY
57583,184,78,187041,314,12,1,LEAVE
48273,71,0,414753,130,3,2,LEAVE
79934,68,10,473200,335,11,6,STAY
41222,61,0,907847,331,4,8,STAY
71778,44,70,501105,390,3,2,LEAVE
21030,56,0,323875,239,4,9,STAY
49755,191,29,294303,212,22,2,LEAVE
23157,47,85,982795,132,3,1,LEAVE
21437,64,37,200628,188,0,2,STAY
95952,0,60,446559,374,1,2,STAY
144043,0,34,795449,847,0,2,STAY
55648,51,32,908933,332,5,1,STAY
92719,210,20,190563,395,5,4,LEAVE
106322,46,20,311872,181,3,5,STAY
95270,223,0,292353,376,22,4,LEAVE
81295,59,8,541859,284,4,5,STAY
142292,238,81,211362,761,21,1,LEAVE
38702,0,19,469095,201,1,5,LEAVE
110389,0,20,470445,789,1,5,STAY
35446,203,0,845204,170,25,9,STAY
80495,72,58,382795,326,5,1,LEAVE
143424,0,40,448696,766,26,2,LEAVE
91247,38,22,166142,313,3,5,STAY
28165,52,0,496022,199,5,4,STAY
27561,0,19,733929,222,1,4,STAY
135255,78,58,352473,498,1,2,LEAVE
155887,222,5,278516,811,29,6,LEAVE
93239,0,21,630612,264,1,5,STAY
132181,0,64,629528,893,4,2,LEAVE
96456,218,81,932581,324,1,2,STAY
130348,203,0,231685,445,25,9,LEAVE
55530,0,0,391642,297,0,8,STAY
58562,0,7,782062,272,1,4,LEAVE
51168,56,13,952782,389,3,5,STAY
155490,63,67,241662,494,3,2,LEAVE
97610,265,79,308362,390,20,1,STAY
24249,100,47,232689,134,3,2,LEAVE
44482,0,0,601770,162,0,14,LEAVE
142864,164,14,236538,487,24,4,LEAVE
94725,63,0,436687,384,3,15,STAY
89281,186,7,150021,331,21,6,LEAVE
64040,0,23,292321,391,3,4,STAY
151435,0,78,489304,680,1,2,LEAVE
76862,210,68,210001,371,11,2,STAY
77395,73,6,441880,268,5,4,STAY
101894,120,18,254319,869,21,1,LEAVE
135331,41,76,409970,561,5,2,STAY
48597,74,81,152223,142,3,1,STAY
118442,216,11,404335,164,21,4,LEAVE
135217,58,0,566213,753,4,14,STAY
21634,48,50,505301,234,5,2,LEAVE
52505,85,8,912361,359,4,6,STAY
47499,62,0,792947,219,3,2,STAY
35462,0,32,203513,781,1,2,STAY
80765,37,0,498973,252,3,9,STAY
114706,0,5,448239,507,1,4,STAY
106846,64,29,319456,794,3,2,STAY
117531,0,74,464741,673,1,1,STAY
51112,0,0,638240,359,0,11,STAY
108805,242,9,624764,749,11,5,LEAVE
41946,187,0,222833,195,1,14,LEAVE
151020,54,70,906567,757,5,2,LEAVE
96351,60,0,198925,307,5,1,STAY
118428,72,13,733268,422,5,6,LEAVE
84822,71,9,179746,306,0,6,LEAVE
71198,62,0,675518,272,4,14,STAY
102427,227,52,925878,565,13,5,STAY
21817,100,24,771557,244,3,5,LEAVE
105344,0,83,978189,713,1,1,LEAVE
115780,167,71,785028,759,21,4,LEAVE
90368,0,0,176305,280,1,8,LEAVE
38349,0,14,687550,181,1,6,STAY
24596,214,43,539524,214,10,1,LEAVE
32823,68,73,997653,234,5,2,LEAVE
109240,71,26,279529,373,4,1,STAY
80971,231,78,856998,363,11,2,STAY
43299,0,19,455046,236,1,4,STAY
26923,0,12,712433,151,1,6,STAY
60272,56,9,664786,366,5,6,STAY
150467,74,74,989555,818,3,1,LEAVE
99435,51,0,899737,296,11,8,STAY
113059,0,60,441480,834,1,2,LEAVE
83828,225,40,816166,342,15,2,STAY
48779,221,0,984262,131,19,15,STAY
75740,0,15,212115,395,0,4,STAY
62488,77,24,625717,278,5,9,STAY
114773,0,0,772632,672,0,9,STAY
84107,61,11,509613,250,4,5,STAY
154588,202,27,368593,787,11,2,LEAVE
85230,62,0,200147,704,5,8,LEAVE
92449,58,6,771185,333,4,6,STAY
26579,86,24,505543,213,1,5,LEAVE
148919,53,6,392141,682,5,4,LEAVE
83681,54,0,775143,338,3,8,LEAVE
137070,0,0,541938,573,11,11,LEAVE
95734,0,27,951798,292,1,1,STAY
144325,40,6,965167,707,3,6,LEAVE
72664,73,0,548977,318,4,11,LEAVE
38366,0,11,303773,199,1,5,STAY
44287,0,23,409048,241,4,5,STAY
115228,172,0,326861,677,16,15,LEAVE
149954,196,11,272425,628,20,5,LEAVE
57711,61,0,208138,313,3,12,LEAVE
34884,87,23,456794,228,0,5,LEAVE
139391,0,13,990563,449,0,4,LEAVE
51238,44,0,219309,309,3,11,STAY
150910,208,13,157594,837,29,15,LEAVE
57040,74,0,535142,283,5,14,STAY
71318,190,87,280486,645,21,1,LEAVE
65660,94,12,512966,369,3,4,STAY
33582,0,21,339761,155,1,5,STAY
118051,0,0,220239,772,1,9,LEAVE
147296,55,30,289121,331,4,1,LEAVE
108224,0,46,498937,780,1,1,LEAVE
114788,70,13,367239,653,3,5,STAY
134509,175,16,530332,677,13,5,LEAVE
20684,0,20,272561,153,0,4,STAY
90964,248,0,699052,398,27,14,STAY
120258,192,0,431783,838,24,5,LEAVE
52157,196,19,933578,269,5,5,LEAVE
104799,0,36,212317,246,0,2,LEAVE
29941,66,62,957745,184,4,2,STAY
35124,161,0,704718,178,10,12,LEAVE
34193,240,89,659870,609,19,1,STAY
89296,0,0,208853,198,0,10,STAY
124891,212,9,354610,349,11,6,STAY
66392,57,0,347917,302,1,12,LEAVE
27005,187,60,256163,197,24,1,LEAVE
109254,184,0,599733,861,14,13,LEAVE
27751,0,67,380831,158,0,2,LEAVE
40723,0,14,216914,628,0,1,STAY
95782,49,16,493308,322,3,4,STAY
41936,82,23,189088,186,4,6,STAY
113868,227,41,183375,573,13,1,STAY
105977,130,14,182229,313,21,5,LEAVE
26657,45,0,391993,179,3,14,LEAVE
87904,203,17,202766,317,11,5,LEAVE
144945,0,28,920902,459,1,1,LEAVE
48287,0,76,523929,179,1,2,LEAVE
87597,0,24,999248,191,0,5,STAY
27110,160,43,236778,152,24,1,LEAVE
65230,0,37,627639,292,1,1,LEAVE
98379,117,0,590375,391,14,10,LEAVE
36724,0,19,150873,159,1,4,STAY
21976,66,0,426410,354,5,11,LEAVE
154483,193,21,263985,730,19,10,LEAVE
27442,37,24,367615,614,5,4,STAY
36797,0,0,218335,163,1,10,LEAVE
38010,33,24,897786,232,4,5,STAY
115943,200,42,173038,459,24,2,LEAVE
149365,0,87,578205,623,0,1,STAY
47238,224,13,155134,233,20,4,LEAVE
118008,63,43,157907,835,3,2,STAY
78353,0,89,777993,340,0,1,STAY
112708,0,0,673268,796,1,9,STAY
139886,79,5,705210,799,4,6,LEAVE
27089,52,56,281950,184,3,14,LEAVE
36585,0,43,344581,537,0,1,LEAVE
43760,60,0,345936,143,11,13,LEAVE
39061,0,0,202126,151,0,11,LEAVE
68166,68,80,936581,324,4,2,STAY
137660,80,39,226985,660,5,1,LEAVE
75854,193,68,436142,300,11,2,STAY
21095,0,0,308648,244,1,8,STAY
45610,225,6,456479,244,12,6,STAY
117558,40,6,403254,263,3,6,STAY
56678,0,0,851958,387,1,14,STAY
131278,0,24,476148,750,1,4,STAY
149900,71,75,658704,839,3,1,LEAVE
31893,0,0,989208,238,1,5,STAY
48699,0,0,993908,156,1,13,STAY
96199,75,0,583119,321,4,10,STAY
109273,182,22,675062,360,29,5,LEAVE
38537,170,11,785074,203,28,5,LEAVE
137815,0,88,208865,673,1,2,STAY
92270,0,39,624619,251,0,1,STAY
38435,241,71,846412,190,17,13,STAY
55125,0,0,784647,648,0,11,STAY
72884,87,54,291343,299,4,1,STAY
96872,45,0,377356,279,3,10,LEAVE
53967,68,20,178614,275,5,1,STAY
154827,170,86,377589,805,18,1,LEAVE
143350,236,0,999970,840,25,10,LEAVE
36724,0,11,499965,130,1,5,LEAVE
105816,67,0,912387,571,4,12,LEAVE
83798,0,15,200034,333,0,6,STAY
46005,62,0,271663,218,4,12,STAY
82914,57,0,283459,333,5,12,STAY
82147,184,36,230491,141,21,1,LEAVE
78418,176,0,486802,277,25,12,STAY
140524,82,9,911366,882,5,4,LEAVE
90415,179,0,566426,369,14,15,STAY
150433,0,9,392309,431,12,6,LEAVE
30377,163,0,360046,154,19,13,STAY
113659,168,0,155232,648,21,12,LEAVE
34569,0,80,737019,230,0,1,STAY
113681,173,17,264837,362,17,5,LEAVE
43270,0,0,206387,184,1,14,STAY
40869,0,7,927538,199,0,5,STAY
44630,0,71,231648,179,1,1,STAY
59023,0,55,501509,356,0,2,LEAVE
43494,186,0,662450,300,26,15,STAY
27187,68,68,789740,210,5,2,STAY
127392,198,0,196923,595,24,13,LEAVE
39026,227,8,781710,212,10,2,STAY
50714,71,0,708017,269,5,14,STAY
123297,0,0,223341,529,0,11,STAY
25550,0,66,181050,156,1,2,LEAVE
59132,0,0,639521,394,0,6,STAY
140120,0,75,209902,824,26,1,STAY
96534,0,37,180751,311,1,2,LEAVE
44755,0,51,525917,162,1,1,STAY
97682,0,89,150853,310,0,2,LEAVE
155465,0,21,182984,620,0,6,STAY
31538,0,0,477387,244,1,13,STAY
93250,51,9,259316,273,3,6,LEAVE
70419,205,81,165912,334,25,1,LEAVE
120183,59,57,821259,688,5,1,STAY
20314,0,12,541371,221,1,1,LEAVE
85746,196,0,918584,394,22,15,STAY
55813,0,15,382983,251,0,4,STAY
94121,0,81,927427,354,1,1,LEAVE
59191,258,0,509716,252,15,10,LEAVE
107077,181,42,178471,597,20,2,LEAVE
54883,0,60,609362,339,1,1,STAY
32260,0,12,376631,352,0,4,LEAVE
141086,77,86,157602,479,3,1,STAY
141042,56,0,348014,726,5,14,STAY
79813,213,0,393841,260,23,6,LEAVE
33966,0,82,572947,217,1,2,LEAVE
54724,0,0,221808,383,1,9,STAY
66257,0,0,216566,272,1,13,STAY
105994,0,12,366058,646,11,4,STAY
71177,0,0,239175,171,0,8,STAY
58761,179,13,261039,368,3,5,STAY
48960,187,14,161765,168,17,4,LEAVE
111791,74,17,185307,693,3,6,STAY
118952,0,62,293915,701,0,2,LEAVE
44952,0,0,572146,334,1,10,LEAVE
54613,187,0,154353,391,27,12,LEAVE
100908,204,88,964159,772,28,2,LEAVE
90016,63,13,327344,347,5,4,LEAVE
143763,38,19,236475,394,3,6,STAY
81084,0,0,230204,311,0,15,LEAVE
47711,183,17,730589,192,19,5,STAY
72537,238,0,382437,352,19,8,LEAVE
72323,201,50,231934,294,25,2,LEAVE
96728,60,18,899555,289,3,6,STAY
30712,0,5,750197,220,0,4,STAY
94657,0,10,952813,392,1,4,STAY
91112,167,0,267380,399,16,9,LEAVE
20806,165,48,806587,209,27,4,STAY
47503,154,0,402848,153,20,6,LEAVE
44856,171,0,656941,175,12,8,STAY
22494,174,27,390553,170,4,2,STAY
42564,174,0,270823,209,25,13,LEAVE
28179,72,12,160717,247,5,5,LEAVE
25042,219,25,707232,160,12,1,STAY
62050,45,9,851437,379,3,6,STAY
96316,251,67,950193,373,16,1,STAY
61513,56,0,725920,265,4,11,STAY
46309,189,25,304655,222,26,1,LEAVE
39620,0,15,488709,161,0,4,STAY
134061,68,0,753690,709,4,12,STAY
97257,209,0,228000,703,13,13,LEAVE
21259,190,0,670978,222,26,15,STAY
21410,219,59,583816,142,13,1,LEAVE
152502,223,0,407489,398,0,1,STAY
95692,39,12,650464,316,5,6,STAY
103500,215,33,447676,834,16,2,LEAVE
28161,0,72,921626,171,1,1,STAY
96385,0,23,749110,371,1,4,STAY
32772,43,0,996087,230,5,8,STAY
62534,0,37,814147,264,1,1,STAY
64193,163,19,673676,230,18,4,STAY
147574,53,0,719837,610,4,10,LEAVE
42111,63,0,530720,130,3,15,LEAVE
135279,0,41,821113,629,1,1,STAY
29250,66,8,224504,236,5,6,LEAVE
47620,0,18,285437,130,0,5,STAY
23365,253,0,270514,231,27,8,LEAVE
133536,55,15,205527,469,0,5,STAY
67835,0,8,990495,304,1,6,STAY
47546,162,8,768882,248,10,5,STAY
144668,0,67,203932,416,0,1,LEAVE
92866,0,87,193359,397,0,1,LEAVE
49729,0,71,528151,195,1,2,LEAVE
22303,0,67,477464,227,1,1,LEAVE
56019,239,46,278745,293,20,1,LEAVE
64318,209,20,176196,368,20,6,STAY
90832,61,9,869402,376,5,6,STAY
25324,0,19,186077,242,1,5,STAY
150046,193,13,550588,517,17,4,LEAVE
105192,73,23,377586,738,5,6,LEAVE
114183,0,9,189644,517,0,2,STAY
157217,173,10,462062,648,19,5,LEAVE
32321,201,13,866916,247,23,6,STAY
32227,0,23,904006,168,1,15,STAY
40372,234,0,413083,338,20,8,LEAVE
73686,137,0,391277,274,11,13,STAY
146046,228,0,227705,373,26,12,LEAVE
70188,0,22,222185,351,1,6,STAY
135004,0,0,692411,591,1,12,LEAVE
86455,222,22,209272,293,24,4,LEAVE
106522,209,8,834382,859,24,4,STAY
22833,154,14,368555,156,25,6,STAY
52263,0,0,327165,299,4,10,STAY
21870,0,21,409547,166,1,5,STAY
140219,241,49,647813,755,14,2,LEAVE
35978,0,0,373081,158,0,8,LEAVE
78570,90,16,556553,334,5,4,LEAVE
74421,0,24,356573,357,0,4,STAY
25490,200,6,217973,208,22,5,LEAVE
98336,0,0,208910,290,0,11,STAY
63600,0,12,776992,176,1,6,STAY
91149,98,70,154359,375,5,1,STAY
131007,141,0,750416,753,18,10,STAY
79786,209,18,691331,380,20,5,STAY
52494,45,31,275581,301,3,1,STAY
36332,62,82,518500,194,0,2,LEAVE
44752,171,0,150756,190,24,12,STAY
25442,0,0,925331,169,15,14,STAY
66784,70,0,579010,387,4,11,LEAVE
34158,200,0,851107,200,27,8,STAY
20116,56,80,836858,153,3,2,STAY
25122,82,0,807403,215,4,13,STAY
36402,0,6,226817,185,1,4,STAY
147931,259,0,184218,858,21,8,LEAVE
30805,51,0,194380,222,5,10,LEAVE
151395,0,0,815864,751,5,13,LEAVE
50939,0,0,399437,336,12,9,STAY
119299,0,87,681571,512,15,2,STAY
24423,173,16,174169,218,21,4,LEAVE
65525,223,63,316046,343,4,1,STAY
25093,57,52,986103,131,3,1,STAY
125315,230,66,234943,432,11,1,STAY
61269,46,80,940525,378,5,2,STAY
22781,76,8,533608,158,4,5,LEAVE
43214,227,12,185175,185,10,5,STAY
145735,51,47,165890,707,3,1,STAY
146338,76,18,910072,448,3,6,LEAVE
154039,161,0,241154,558,16,10,LEAVE
66590,76,22,569084,345,5,6,LEAVE
31730,62,0,152369,133,5,9,STAY
122201,85,33,645496,816,1,2,STAY
107471,57,48,944205,590,5,1,STAY
20585,78,0,169936,146,5,2,STAY
132878,194,11,896093,573,16,6,LEAVE
42478,86,9,468447,162,0,4,LEAVE
71202,59,0,171503,342,3,11,LEAVE
25981,78,23,213756,618,5,4,STAY
29182,0,0,405188,187,15,14,STAY
33602,80,85,158601,146,3,2,STAY
147104,221,62,676208,793,4,1,LEAVE
157976,0,57,742255,588,0,1,LEAVE
144765,234,0,286837,793,11,15,LEAVE
142688,33,0,358312,823,3,10,STAY
84485,198,8,289583,392,24,5,LEAVE
54456,41,29,412677,296,3,2,LEAVE
79263,151,0,182288,369,15,14,LEAVE
38994,51,74,589674,192,4,2,STAY
