"Ozone","Solar.R","Wind","Temp","Month","Weekday","WorkingDay","ozone_ma7","Solar.R_scale1"
13,27,10.3,76,"9","화요일","1",73.7142857142857,0.0611620795107034
24,238,10.3,68,"9","수요일","1",72.5714285714286,0.706422018348624
16,201,8,82,"9","목요일","1",73.2857142857143,0.593272171253823
13,238,12.6,64,"9","금요일","1",72.2857142857143,0.706422018348624
23,14,9.2,71,"9","토요일","0",72.2857142857143,0.0214067278287462
36,139,10.3,81,"9","일요일","0",72.7142857142857,0.403669724770642
7,49,10.3,69,"9","월요일","1",73,0.128440366972477
14,20,16.6,63,"9","화요일","1",71.1428571428571,0.0397553516819572
30,193,6.9,70,"9","수요일","1",71.4285714285714,0.568807339449541
NA,145,13.2,77,"9","목요일","1",70.7142857142857,0.422018348623853
14,191,14.3,75,"9","금요일","1",72.2857142857143,0.562691131498471
18,131,8,76,"9","토요일","0",73,0.379204892966361
20,223,11.5,68,"9","일요일","0",71.1428571428571,0.660550458715596
