Rented Bike Count,Temperature,Humidity,Datetime
85,3.2,92.0,2017-12-03 08:00:00
152,3.5,91.0,2017-12-03 09:00:00
200,4.4,89.0,2017-12-03 10:00:00
273,5.1,87.0,2017-12-03 11:00:00
333,5.8,85.0,2017-12-03 12:00:00
495,6.8,81.0,2017-12-03 13:00:00
563,7.6,76.0,2017-12-03 14:00:00
621,8.0,73.0,2017-12-03 15:00:00
598,7.6,77.0,2017-12-03 16:00:00
545,6.7,82.0,2017-12-03 17:00:00
443,6.0,84.0,2017-12-03 18:00:00
422,5.7,85.0,2017-12-03 19:00:00
397,5.2,87.0,2017-12-03 20:00:00
385,4.7,87.0,2017-12-03 21:00:00
350,4.3,89.0,2017-12-03 22:00:00
303,3.9,90.0,2017-12-03 23:00:00
285,4.2,88.0,2017-12-04 00:00:00
186,4.3,87.0,2017-12-04 01:00:00
112,4.4,87.0,2017-12-04 02:00:00
65,3.6,85.0,2017-12-04 03:00:00
41,2.8,89.0,2017-12-04 04:00:00
82,2.0,83.0,2017-12-04 05:00:00
200,1.2,76.0,2017-12-04 06:00:00
498,0.2,68.0,2017-12-04 07:00:00
937,-0.8,69.0,2017-12-04 08:00:00
509,-1.5,47.0,2017-12-04 09:00:00
311,-1.1,40.0,2017-12-04 10:00:00
379,-0.5,41.0,2017-12-04 11:00:00
393,-0.3,38.0,2017-12-04 12:00:00
391,0.0,30.0,2017-12-04 13:00:00
338,0.1,27.0,2017-12-04 14:00:00
341,-0.1,25.0,2017-12-04 15:00:00
375,-0.2,23.0,2017-12-04 16:00:00
515,-1.3,26.0,2017-12-04 17:00:00
807,-2.1,29.0,2017-12-04 18:00:00
568,-2.9,32.0,2017-12-04 19:00:00
398,-3.6,38.0,2017-12-04 20:00:00
397,-4.6,43.0,2017-12-04 21:00:00
353,-5.3,45.0,2017-12-04 22:00:00
248,-5.8,44.0,2017-12-04 23:00:00
216,-6.1,42.0,2017-12-05 00:00:00
198,-6.5,41.0,2017-12-05 01:00:00
124,-6.8,41.0,2017-12-05 02:00:00
62,-6.9,39.0,2017-12-05 03:00:00
42,-7.2,34.0,2017-12-05 04:00:00
82,-7.4,33.0,2017-12-05 05:00:00
172,-7.4,34.0,2017-12-05 06:00:00
381,-7.5,33.0,2017-12-05 07:00:00
812,-8.1,36.0,2017-12-05 08:00:00
462,-7.6,31.0,2017-12-05 09:00:00
269,-5.5,26.0,2017-12-05 10:00:00
334,-3.9,25.0,2017-12-05 11:00:00
321,-2.3,25.0,2017-12-05 12:00:00
325,-1.6,27.0,2017-12-05 13:00:00
334,-1.1,28.0,2017-12-05 14:00:00
353,-0.7,28.0,2017-12-05 15:00:00
435,-0.5,30.0,2017-12-05 16:00:00
529,-1.6,35.0,2017-12-05 17:00:00
789,-2.6,40.0,2017-12-05 18:00:00
597,-3.2,45.0,2017-12-05 19:00:00
418,-3.5,46.0,2017-12-05 20:00:00
415,-3.7,47.0,2017-12-05 21:00:00
393,-2.8,49.0,2017-12-05 22:00:00
244,-2.5,59.0,2017-12-05 23:00:00
145,-2.8,77.0,2017-12-06 00:00:00
144,-3.0,79.0,2017-12-06 01:00:00
117,-3.0,79.0,2017-12-06 02:00:00
78,-3.2,78.0,2017-12-06 03:00:00
58,-3.4,75.0,2017-12-06 04:00:00
87,-3.6,76.0,2017-12-06 05:00:00
142,-3.7,76.0,2017-12-06 06:00:00
379,-4.2,77.0,2017-12-06 07:00:00
802,-4.2,78.0,2017-12-06 08:00:00
440,-3.3,70.0,2017-12-06 09:00:00
307,-0.9,64.0,2017-12-06 10:00:00
381,1.6,57.0,2017-12-06 11:00:00
405,2.4,52.0,2017-12-06 12:00:00
442,4.2,47.0,2017-12-06 13:00:00
416,5.5,34.0,2017-12-06 14:00:00
412,5.5,31.0,2017-12-06 15:00:00
496,5.3,37.0,2017-12-06 16:00:00
239,4.1,60.0,2017-12-06 17:00:00
204,1.7,90.0,2017-12-06 18:00:00
205,1.2,92.0,2017-12-06 19:00:00
190,1.2,94.0,2017-12-06 20:00:00
165,1.1,92.0,2017-12-06 21:00:00
222,1.3,92.0,2017-12-06 22:00:00
193,1.3,92.0,2017-12-06 23:00:00
198,1.4,92.0,2017-12-07 00:00:00
218,1.5,92.0,2017-12-07 01:00:00
149,1.4,92.0,2017-12-07 02:00:00
102,1.9,91.0,2017-12-07 03:00:00
62,1.6,92.0,2017-12-07 04:00:00
83,1.5,92.0,2017-12-07 05:00:00
137,1.0,93.0,2017-12-07 06:00:00
367,0.3,93.0,2017-12-07 07:00:00
754,-0.2,96.0,2017-12-07 08:00:00
415,0.1,91.0,2017-12-07 09:00:00
321,1.1,83.0,2017-12-07 10:00:00
333,2.3,69.0,2017-12-07 11:00:00
431,3.7,65.0,2017-12-07 12:00:00
394,4.1,37.0,2017-12-07 13:00:00
390,4.4,36.0,2017-12-07 14:00:00
430,4.0,35.0,2017-12-07 15:00:00
471,3.2,38.0,2017-12-07 16:00:00
552,2.1,50.0,2017-12-07 17:00:00
795,0.7,46.0,2017-12-07 18:00:00
507,-0.4,47.0,2017-12-07 19:00:00
390,-1.4,47.0,2017-12-07 20:00:00
402,-2.2,46.0,2017-12-07 21:00:00
389,-2.7,48.0,2017-12-07 22:00:00
259,-3.2,50.0,2017-12-07 23:00:00
233,-3.5,49.0,2017-12-08 00:00:00
230,-3.7,50.0,2017-12-08 01:00:00
131,-4.3,53.0,2017-12-08 02:00:00
99,-4.8,52.0,2017-12-08 03:00:00
71,-5.3,53.0,2017-12-08 04:00:00
84,-5.8,56.0,2017-12-08 05:00:00
158,-6.0,56.0,2017-12-08 06:00:00
387,-6.5,57.0,2017-12-08 07:00:00
780,-7.0,59.0,2017-12-08 08:00:00
395,-6.7,50.0,2017-12-08 09:00:00
261,-5.3,44.0,2017-12-08 10:00:00
310,-3.7,39.0,2017-12-08 11:00:00
355,-2.0,30.0,2017-12-08 12:00:00
354,-1.7,28.0,2017-12-08 13:00:00
350,-1.3,27.0,2017-12-08 14:00:00
362,-0.8,26.0,2017-12-08 15:00:00
401,-1.1,24.0,2017-12-08 16:00:00
500,-2.4,30.0,2017-12-08 17:00:00
752,-3.1,33.0,2017-12-08 18:00:00
477,-3.3,35.0,2017-12-08 19:00:00
384,-3.3,34.0,2017-12-08 20:00:00
336,-3.3,35.0,2017-12-08 21:00:00
347,-3.4,39.0,2017-12-08 22:00:00
275,-3.5,43.0,2017-12-08 23:00:00
267,-3.5,48.0,2017-12-09 00:00:00
296,-4.1,49.0,2017-12-09 01:00:00
237,-4.7,50.0,2017-12-09 02:00:00
169,-4.3,47.0,2017-12-09 03:00:00
96,-4.3,49.0,2017-12-09 04:00:00
56,-4.7,49.0,2017-12-09 05:00:00
76,-5.1,53.0,2017-12-09 06:00:00
127,-5.5,56.0,2017-12-09 07:00:00
222,-5.4,56.0,2017-12-09 08:00:00
291,-4.7,48.0,2017-12-09 09:00:00
273,-2.2,42.0,2017-12-09 10:00:00
351,0.0,45.0,2017-12-09 11:00:00
427,2.4,40.0,2017-12-09 12:00:00
431,3.9,36.0,2017-12-09 13:00:00
486,4.7,32.0,2017-12-09 14:00:00
569,5.2,30.0,2017-12-09 15:00:00
546,4.4,33.0,2017-12-09 16:00:00
481,3.5,37.0,2017-12-09 17:00:00
384,2.5,41.0,2017-12-09 18:00:00
275,1.5,48.0,2017-12-09 19:00:00
298,0.8,51.0,2017-12-09 20:00:00
321,-0.1,55.0,2017-12-09 21:00:00
289,-0.5,55.0,2017-12-09 22:00:00
265,-0.1,54.0,2017-12-09 23:00:00
326,-0.2,55.0,2017-12-10 00:00:00
280,-0.2,54.0,2017-12-10 01:00:00
243,0.2,52.0,2017-12-10 02:00:00
169,0.3,53.0,2017-12-10 03:00:00
71,0.4,52.0,2017-12-10 04:00:00
13,0.3,74.0,2017-12-10 05:00:00
9,-0.5,90.0,2017-12-10 06:00:00
20,-0.4,92.0,2017-12-10 07:00:00
35,-0.2,90.0,2017-12-10 08:00:00
31,0.2,90.0,2017-12-10 09:00:00
19,0.5,91.0,2017-12-10 10:00:00
58,0.9,92.0,2017-12-10 11:00:00
119,2.3,88.0,2017-12-10 12:00:00
182,3.3,87.0,2017-12-10 13:00:00
235,4.2,85.0,2017-12-10 14:00:00
180,6.7,63.0,2017-12-10 15:00:00
214,5.4,71.0,2017-12-10 16:00:00
226,3.6,65.0,2017-12-10 17:00:00
210,2.0,61.0,2017-12-10 18:00:00
181,1.6,53.0,2017-12-10 19:00:00
165,0.6,57.0,2017-12-10 20:00:00
167,0.0,59.0,2017-12-10 21:00:00
152,-1.0,56.0,2017-12-10 22:00:00
148,-1.4,43.0,2017-12-10 23:00:00
125,-2.5,39.0,2017-12-11 00:00:00
111,-3.4,36.0,2017-12-11 01:00:00
67,-4.2,35.0,2017-12-11 02:00:00
45,-4.7,38.0,2017-12-11 03:00:00
44,-5.2,35.0,2017-12-11 04:00:00
86,-5.6,38.0,2017-12-11 05:00:00
136,-5.9,39.0,2017-12-11 06:00:00
325,-6.0,39.0,2017-12-11 07:00:00
653,-6.0,38.0,2017-12-11 08:00:00
326,-5.9,36.0,2017-12-11 09:00:00
212,-5.3,32.0,2017-12-11 10:00:00
226,-4.7,36.0,2017-12-11 11:00:00
247,-5.2,33.0,2017-12-11 12:00:00
241,-5.4,32.0,2017-12-11 13:00:00
253,-5.4,31.0,2017-12-11 14:00:00
269,-5.5,33.0,2017-12-11 15:00:00
277,-6.0,40.0,2017-12-11 16:00:00
361,-7.1,44.0,2017-12-11 17:00:00
557,-7.9,43.0,2017-12-11 18:00:00
371,-8.6,45.0,2017-12-11 19:00:00
254,-9.3,49.0,2017-12-11 20:00:00
266,-9.7,51.0,2017-12-11 21:00:00
222,-10.2,50.0,2017-12-11 22:00:00
174,-10.7,53.0,2017-12-11 23:00:00
133,-11.0,51.0,2017-12-12 00:00:00
127,-11.2,51.0,2017-12-12 01:00:00
95,-11.5,50.0,2017-12-12 02:00:00
54,-11.6,50.0,2017-12-12 03:00:00
46,-11.6,47.0,2017-12-12 04:00:00
65,-11.6,45.0,2017-12-12 05:00:00
104,-11.8,47.0,2017-12-12 06:00:00
280,-12.1,50.0,2017-12-12 07:00:00
580,-12.3,52.0,2017-12-12 08:00:00
275,-11.8,46.0,2017-12-12 09:00:00
184,-10.5,45.0,2017-12-12 10:00:00
201,-9.4,42.0,2017-12-12 11:00:00
228,-8.3,35.0,2017-12-12 12:00:00
225,-6.9,37.0,2017-12-12 13:00:00
258,-5.4,32.0,2017-12-12 14:00:00
250,-5.8,30.0,2017-12-12 15:00:00
248,-6.0,29.0,2017-12-12 16:00:00
305,-7.0,32.0,2017-12-12 17:00:00
529,-7.7,36.0,2017-12-12 18:00:00
350,-8.2,43.0,2017-12-12 19:00:00
260,-8.4,42.0,2017-12-12 20:00:00
270,-8.8,43.0,2017-12-12 21:00:00
256,-9.0,45.0,2017-12-12 22:00:00
173,-9.3,47.0,2017-12-12 23:00:00
168,-9.5,48.0,2017-12-13 00:00:00
183,-10.2,52.0,2017-12-13 01:00:00
120,-10.4,53.0,2017-12-13 02:00:00
79,-10.9,55.0,2017-12-13 03:00:00
41,-11.4,58.0,2017-12-13 04:00:00
68,-11.5,58.0,2017-12-13 05:00:00
109,-11.9,57.0,2017-12-13 06:00:00
310,-11.7,53.0,2017-12-13 07:00:00
591,-11.4,47.0,2017-12-13 08:00:00
340,-11.1,46.0,2017-12-13 09:00:00
202,-9.5,39.0,2017-12-13 10:00:00
251,-8.1,35.0,2017-12-13 11:00:00
267,-6.5,30.0,2017-12-13 12:00:00
251,-5.8,28.0,2017-12-13 13:00:00
240,-4.7,27.0,2017-12-13 14:00:00
240,-4.9,26.0,2017-12-13 15:00:00
278,-4.5,26.0,2017-12-13 16:00:00
392,-5.6,29.0,2017-12-13 17:00:00
537,-6.6,33.0,2017-12-13 18:00:00
373,-6.6,31.0,2017-12-13 19:00:00
263,-7.6,35.0,2017-12-13 20:00:00
271,-8.3,39.0,2017-12-13 21:00:00
271,-8.9,39.0,2017-12-13 22:00:00
174,-9.2,44.0,2017-12-13 23:00:00
171,-9.5,50.0,2017-12-14 00:00:00
170,-9.8,48.0,2017-12-14 01:00:00
107,-10.6,44.0,2017-12-14 02:00:00
80,-10.7,48.0,2017-12-14 03:00:00
52,-11.0,50.0,2017-12-14 04:00:00
62,-10.8,48.0,2017-12-14 05:00:00
108,-11.0,55.0,2017-12-14 06:00:00
279,-10.9,57.0,2017-12-14 07:00:00
621,-10.4,54.0,2017-12-14 08:00:00
305,-9.4,44.0,2017-12-14 09:00:00
189,-7.7,43.0,2017-12-14 10:00:00
247,-6.1,38.0,2017-12-14 11:00:00
278,-4.9,34.0,2017-12-14 12:00:00
282,-3.8,32.0,2017-12-14 13:00:00
294,-2.7,28.0,2017-12-14 14:00:00
301,-2.5,29.0,2017-12-14 15:00:00
335,-2.4,28.0,2017-12-14 16:00:00
382,-2.9,31.0,2017-12-14 17:00:00
612,-3.5,35.0,2017-12-14 18:00:00
410,-4.2,40.0,2017-12-14 19:00:00
277,-4.8,43.0,2017-12-14 20:00:00
316,-4.8,45.0,2017-12-14 21:00:00
309,-4.9,44.0,2017-12-14 22:00:00
211,-5.6,53.0,2017-12-14 23:00:00
227,-5.7,53.0,2017-12-15 00:00:00
241,-6.3,57.0,2017-12-15 01:00:00
162,-6.8,58.0,2017-12-15 02:00:00
110,-6.9,56.0,2017-12-15 03:00:00
69,-7.1,59.0,2017-12-15 04:00:00
68,-7.5,64.0,2017-12-15 05:00:00
129,-7.4,64.0,2017-12-15 06:00:00
285,-7.0,63.0,2017-12-15 07:00:00
658,-6.6,64.0,2017-12-15 08:00:00
330,-5.9,60.0,2017-12-15 09:00:00
221,-4.6,52.0,2017-12-15 10:00:00
279,-2.9,46.0,2017-12-15 11:00:00
309,-2.5,43.0,2017-12-15 12:00:00
325,-1.6,40.0,2017-12-15 13:00:00
329,-0.7,39.0,2017-12-15 14:00:00
342,0.1,35.0,2017-12-15 15:00:00
354,0.0,37.0,2017-12-15 16:00:00
464,-0.2,39.0,2017-12-15 17:00:00
682,0.1,43.0,2017-12-15 18:00:00
451,0.6,41.0,2017-12-15 19:00:00
320,0.9,42.0,2017-12-15 20:00:00
300,0.7,47.0,2017-12-15 21:00:00
296,-0.1,49.0,2017-12-15 22:00:00
247,-1.3,60.0,2017-12-15 23:00:00
217,-2.6,73.0,2017-12-16 00:00:00
302,-3.4,76.0,2017-12-16 01:00:00
228,-4.1,73.0,2017-12-16 02:00:00
129,-4.5,71.0,2017-12-16 03:00:00
80,-5.0,70.0,2017-12-16 04:00:00
45,-5.6,72.0,2017-12-16 05:00:00
66,-6.1,69.0,2017-12-16 06:00:00
90,-6.7,64.0,2017-12-16 07:00:00
190,-7.3,62.0,2017-12-16 08:00:00
195,-7.2,47.0,2017-12-16 09:00:00
201,-6.2,42.0,2017-12-16 10:00:00
239,-5.2,30.0,2017-12-16 11:00:00
252,-4.1,28.0,2017-12-16 12:00:00
296,-3.7,23.0,2017-12-16 13:00:00
292,-3.4,22.0,2017-12-16 14:00:00
291,-3.3,22.0,2017-12-16 15:00:00
258,-3.3,24.0,2017-12-16 16:00:00
277,-4.6,26.0,2017-12-16 17:00:00
212,-5.3,28.0,2017-12-16 18:00:00
173,-6.0,32.0,2017-12-16 19:00:00
143,-6.6,37.0,2017-12-16 20:00:00
159,-7.1,39.0,2017-12-16 21:00:00
155,-7.6,41.0,2017-12-16 22:00:00
142,-8.0,41.0,2017-12-16 23:00:00
175,-8.1,41.0,2017-12-17 00:00:00
146,-8.4,40.0,2017-12-17 01:00:00
132,-8.7,40.0,2017-12-17 02:00:00
100,-9.0,40.0,2017-12-17 03:00:00
41,-9.5,40.0,2017-12-17 04:00:00
31,-9.7,41.0,2017-12-17 05:00:00
39,-9.9,42.0,2017-12-17 06:00:00
53,-10.2,42.0,2017-12-17 07:00:00
94,-10.7,43.0,2017-12-17 08:00:00
122,-10.5,38.0,2017-12-17 09:00:00
142,-8.5,31.0,2017-12-17 10:00:00
189,-7.2,29.0,2017-12-17 11:00:00
216,-4.9,25.0,2017-12-17 12:00:00
223,-4.5,25.0,2017-12-17 13:00:00
268,-3.2,26.0,2017-12-17 14:00:00
278,-2.5,28.0,2017-12-17 15:00:00
256,-2.7,31.0,2017-12-17 16:00:00
266,-3.8,35.0,2017-12-17 17:00:00
204,-4.7,37.0,2017-12-17 18:00:00
157,-5.6,39.0,2017-12-17 19:00:00
166,-6.0,42.0,2017-12-17 20:00:00
168,-6.5,45.0,2017-12-17 21:00:00
172,-6.6,50.0,2017-12-17 22:00:00
138,-6.9,53.0,2017-12-17 23:00:00
151,-5.9,50.0,2017-12-18 00:00:00
97,-5.3,48.0,2017-12-18 01:00:00
38,-5.0,65.0,2017-12-18 02:00:00
32,-5.3,76.0,2017-12-18 03:00:00
29,-5.4,81.0,2017-12-18 04:00:00
27,-5.3,81.0,2017-12-18 05:00:00
45,-5.2,85.0,2017-12-18 06:00:00
96,-5.0,85.0,2017-12-18 07:00:00
146,-4.6,86.0,2017-12-18 08:00:00
52,-4.3,89.0,2017-12-18 09:00:00
36,-3.7,87.0,2017-12-18 10:00:00
44,-2.9,85.0,2017-12-18 11:00:00
62,-1.8,83.0,2017-12-18 12:00:00
76,-0.9,84.0,2017-12-18 13:00:00
116,0.5,76.0,2017-12-18 14:00:00
137,1.6,73.0,2017-12-18 15:00:00
181,1.8,76.0,2017-12-18 16:00:00
175,0.4,84.0,2017-12-18 17:00:00
281,0.0,88.0,2017-12-18 18:00:00
198,1.3,65.0,2017-12-18 19:00:00
165,3.3,65.0,2017-12-18 20:00:00
148,2.8,73.0,2017-12-18 21:00:00
160,1.5,82.0,2017-12-18 22:00:00
128,0.1,81.0,2017-12-18 23:00:00
122,-1.0,73.0,2017-12-19 00:00:00
122,-2.0,72.0,2017-12-19 01:00:00
93,-2.7,72.0,2017-12-19 02:00:00
55,-2.8,58.0,2017-12-19 03:00:00
39,-2.9,59.0,2017-12-19 04:00:00
55,-3.9,66.0,2017-12-19 05:00:00
78,-4.3,70.0,2017-12-19 06:00:00
165,-4.4,64.0,2017-12-19 07:00:00
390,-5.2,58.0,2017-12-19 08:00:00
199,-5.3,48.0,2017-12-19 09:00:00
151,-4.6,41.0,2017-12-19 10:00:00
174,-3.5,35.0,2017-12-19 11:00:00
191,-2.5,31.0,2017-12-19 12:00:00
189,-2.2,25.0,2017-12-19 13:00:00
178,-2.2,23.0,2017-12-19 14:00:00
195,-1.3,26.0,2017-12-19 15:00:00
211,-1.8,31.0,2017-12-19 16:00:00
256,-2.7,35.0,2017-12-19 17:00:00
384,-3.8,42.0,2017-12-19 18:00:00
276,-4.5,51.0,2017-12-19 19:00:00
225,-4.9,55.0,2017-12-19 20:00:00
224,-5.0,57.0,2017-12-19 21:00:00
213,-5.5,56.0,2017-12-19 22:00:00
149,-5.8,57.0,2017-12-19 23:00:00
142,-6.5,63.0,2017-12-20 00:00:00
172,-7.3,67.0,2017-12-20 01:00:00
108,-7.8,68.0,2017-12-20 02:00:00
71,-8.1,70.0,2017-12-20 03:00:00
38,-8.5,73.0,2017-12-20 04:00:00
56,-8.3,67.0,2017-12-20 05:00:00
97,-8.2,66.0,2017-12-20 06:00:00
213,-8.1,67.0,2017-12-20 07:00:00
466,-7.8,65.0,2017-12-20 08:00:00
239,-6.7,62.0,2017-12-20 09:00:00
162,-5.4,56.0,2017-12-20 10:00:00
204,-4.2,51.0,2017-12-20 11:00:00
209,-3.2,49.0,2017-12-20 12:00:00
228,-1.3,43.0,2017-12-20 13:00:00
243,-0.5,44.0,2017-12-20 14:00:00
240,-0.2,45.0,2017-12-20 15:00:00
225,-0.5,48.0,2017-12-20 16:00:00
237,-0.9,70.0,2017-12-20 17:00:00
329,-1.4,79.0,2017-12-20 18:00:00
190,-1.5,81.0,2017-12-20 19:00:00
165,-1.9,86.0,2017-12-20 20:00:00
197,-2.0,83.0,2017-12-20 21:00:00
184,-1.6,82.0,2017-12-20 22:00:00
153,-1.1,87.0,2017-12-20 23:00:00
166,-1.3,90.0,2017-12-21 00:00:00
189,-1.8,90.0,2017-12-21 01:00:00
132,-2.2,88.0,2017-12-21 02:00:00
79,-2.9,89.0,2017-12-21 03:00:00
58,-3.6,91.0,2017-12-21 04:00:00
49,-4.3,91.0,2017-12-21 05:00:00
84,-4.8,91.0,2017-12-21 06:00:00
178,-5.3,90.0,2017-12-21 07:00:00
423,-5.6,89.0,2017-12-21 08:00:00
265,-5.3,88.0,2017-12-21 09:00:00
169,-3.0,71.0,2017-12-21 10:00:00
243,-0.7,62.0,2017-12-21 11:00:00
290,1.9,40.0,2017-12-21 12:00:00
285,3.2,42.0,2017-12-21 13:00:00
255,4.3,47.0,2017-12-21 14:00:00
316,4.4,46.0,2017-12-21 15:00:00
301,4.1,51.0,2017-12-21 16:00:00
366,2.9,60.0,2017-12-21 17:00:00
531,1.7,64.0,2017-12-21 18:00:00
355,0.8,71.0,2017-12-21 19:00:00
288,0.2,72.0,2017-12-21 20:00:00
248,-0.4,74.0,2017-12-21 21:00:00
252,-1.1,78.0,2017-12-21 22:00:00
212,-1.5,79.0,2017-12-21 23:00:00
196,-1.7,79.0,2017-12-22 00:00:00
250,-1.6,79.0,2017-12-22 01:00:00
161,-1.1,79.0,2017-12-22 02:00:00
99,-0.6,76.0,2017-12-22 03:00:00
64,-0.3,76.0,2017-12-22 04:00:00
76,-0.2,73.0,2017-12-22 05:00:00
114,-0.1,71.0,2017-12-22 06:00:00
283,-0.3,72.0,2017-12-22 07:00:00
544,-0.4,69.0,2017-12-22 08:00:00
298,0.3,67.0,2017-12-22 09:00:00
248,1.4,64.0,2017-12-22 10:00:00
278,3.1,57.0,2017-12-22 11:00:00
301,4.5,56.0,2017-12-22 12:00:00
320,5.4,55.0,2017-12-22 13:00:00
326,5.9,55.0,2017-12-22 14:00:00
386,6.5,55.0,2017-12-22 15:00:00
416,6.0,58.0,2017-12-22 16:00:00
477,5.4,61.0,2017-12-22 17:00:00
671,4.9,63.0,2017-12-22 18:00:00
481,5.2,64.0,2017-12-22 19:00:00
323,5.9,67.0,2017-12-22 20:00:00
309,6.1,70.0,2017-12-22 21:00:00
314,6.1,70.0,2017-12-22 22:00:00
249,5.8,74.0,2017-12-22 23:00:00
282,5.8,75.0,2017-12-23 00:00:00
337,5.7,75.0,2017-12-23 01:00:00
312,5.6,76.0,2017-12-23 02:00:00
230,5.4,77.0,2017-12-23 03:00:00
120,5.3,79.0,2017-12-23 04:00:00
59,5.0,81.0,2017-12-23 05:00:00
63,5.1,81.0,2017-12-23 06:00:00
99,5.1,82.0,2017-12-23 07:00:00
188,5.1,83.0,2017-12-23 08:00:00
239,5.2,84.0,2017-12-23 09:00:00
235,5.4,82.0,2017-12-23 10:00:00
282,5.7,81.0,2017-12-23 11:00:00
325,7.0,72.0,2017-12-23 12:00:00
423,7.7,68.0,2017-12-23 13:00:00
405,8.6,63.0,2017-12-23 14:00:00
443,8.6,64.0,2017-12-23 15:00:00
473,8.2,64.0,2017-12-23 16:00:00
453,7.7,67.0,2017-12-23 17:00:00
340,6.6,73.0,2017-12-23 18:00:00
260,6.0,76.0,2017-12-23 19:00:00
258,5.9,75.0,2017-12-23 20:00:00
279,5.6,77.0,2017-12-23 21:00:00
282,5.3,79.0,2017-12-23 22:00:00
237,5.5,80.0,2017-12-23 23:00:00
266,5.6,78.0,2017-12-24 00:00:00
251,5.6,78.0,2017-12-24 01:00:00
196,5.4,80.0,2017-12-24 02:00:00
149,5.2,82.0,2017-12-24 03:00:00
79,5.2,82.0,2017-12-24 04:00:00
44,5.1,82.0,2017-12-24 05:00:00
12,4.9,84.0,2017-12-24 06:00:00
3,4.7,89.0,2017-12-24 07:00:00
4,4.6,91.0,2017-12-24 08:00:00
3,4.6,94.0,2017-12-24 09:00:00
4,4.8,96.0,2017-12-24 10:00:00
9,4.6,95.0,2017-12-24 11:00:00
4,4.1,91.0,2017-12-24 12:00:00
7,3.7,90.0,2017-12-24 13:00:00
28,3.3,90.0,2017-12-24 14:00:00
38,2.9,90.0,2017-12-24 15:00:00
54,2.3,91.0,2017-12-24 16:00:00
104,2.2,86.0,2017-12-24 17:00:00
128,1.9,82.0,2017-12-24 18:00:00
132,1.1,68.0,2017-12-24 19:00:00
116,0.6,67.0,2017-12-24 20:00:00
145,0.4,69.0,2017-12-24 21:00:00
110,0.2,69.0,2017-12-24 22:00:00
128,0.0,63.0,2017-12-24 23:00:00
160,-0.6,64.0,2017-12-25 00:00:00
132,-1.2,57.0,2017-12-25 01:00:00
115,-1.8,53.0,2017-12-25 02:00:00
100,-2.3,52.0,2017-12-25 03:00:00
72,-3.0,51.0,2017-12-25 04:00:00
32,-3.7,51.0,2017-12-25 05:00:00
59,-4.1,50.0,2017-12-25 06:00:00
61,-4.6,46.0,2017-12-25 07:00:00
94,-4.9,44.0,2017-12-25 08:00:00
107,-4.6,40.0,2017-12-25 09:00:00
133,-3.7,35.0,2017-12-25 10:00:00
179,-2.8,35.0,2017-12-25 11:00:00
221,-1.6,33.0,2017-12-25 12:00:00
