defeat,datetime,v021,v087,v088,v089,v114,v115,v116,v117,v118,v120,v121,v157,v222,v223,v224,v249,v250,v251,v252,v253,v255,v256,v292,v360,v361,v362,v387,v388,v389,v390,v391,v393,v394,v430,v494,v495,v496,v521,v522,v523,v524,v525,v527,v528,v571,v572,v573,v574,v575,v576,v577,v578
defeat,19/07/2008 21:57:00,1.4195,2.4532,0.9883,1732.2002,0.938,0.0,636.9547,0.9906,58.5394,0.9799,6.2058,0.0624,0.0963,0.0087,68.02600000000001,0.0448,0.0,138.0032,0.0011,2.6472,0.0037,0.382,0.0229,0.0302,0.003,22.956,0.0156,0.0,50.0169,0.0003,0.8859,0.0011,0.1291,4.3945,3.9238,0.8832,3.9271,4.7811,0.0,21.6661,0.114,4.5221,0.3783,6.155,532.1764,1.8715,9.5699,0.2723,3.3618,0.0862,1.7983,14.5507
defeat,19/07/2008 22:52:00,1.421,2.3588,0.9695,1632.3120000000001,0.9359,0.0,725.8145,0.9899,59.5776,0.9638,6.303999999999999,0.0378,0.0732,0.0042,104.4568,0.0435,0.0,53.6078,0.0006,3.0639999999999996,0.0177,0.4577,0.0114,0.0215,0.0013,39.6184,0.0125,0.0,13.9769,0.0002,0.9904,0.0063,0.1455,2.6594,3.1045,0.4323,6.3993,4.6512,0.0,7.3859,0.0625,5.1428,1.8407,7.2606,533.7464,2.1865,7.74,0.28,2.8659,0.0841,1.4501,12.8058
normal,20/07/2008 03:35:00,1.3848,2.3652,0.9642,1891.4401,0.9587,0.0,670.3646,0.9908,58.72,0.9799,6.2999,0.0209,0.0912,0.0066,71.3541,0.0136,0.0,159.7564,0.0007,3.4391,0.0055,0.43,0.0075,0.027999999999999997,0.0021,25.0943,0.005,0.0,57.1274,0.0002,1.1623,0.0015,0.1486,1.51,3.8574,0.6807,3.7725,1.4222,0.0,23.8313,0.0713,5.8568,0.5659,6.8260000000000005,530.18,1.969,9.95,0.1291,2.6544,0.0469,1.8767,6.5577
normal,21/07/2008 08:21:00,1.4191,2.3588,0.9890000000000001,1706.2759,0.9378,0.0,756.9414,0.9908,59.5615,0.9607,6.3399,0.0583,0.0732,0.0018,129.62,0.0107,0.0,77.8939,0.0009,3.179,0.0301,0.39799999999999996,0.0184,0.0215,0.0006,40.6735,0.0032,0.0,22.5931,0.0003,0.9906,0.0092,0.1335,4.1112,3.1045,0.1816,7.5967,1.1444,0.0,10.2906,0.0882,5.3373,3.1311,6.2772,533.2464,2.2354,9.93,0.2785,3.4410000000000003,0.0948,1.8622,12.4598
defeat,21/07/2008 11:53:00,1.4029,2.4704,0.9827,1839.845,0.9228,0.0,736.1852,0.9692,56.5635,0.9638,6.4127,0.0493,0.0884,0.0509,157.0715,0.1131,0.0,148.298,0.0202,3.8517,0.0181,0.3141,0.0181,0.0299,0.0159,44.0573,0.0338,0.0,48.2171,0.0061,1.0806,0.0066,0.1162,3.5155,3.5795,5.18,8.5372,12.255999999999998,0.0,20.1441,2.0882,6.8096,1.8764,4.8988,532.6446,2.2808,11.42,0.3692,3.7724,0.1163,2.144,16.1875
normal,22/07/2008 00:03:00,1.4088,2.4704,0.9906,1777.4358,0.9386,0.0,762.8943,0.9716,57.1724,0.9625,6.3944,0.038,0.0884,0.0009,139.502,0.0316,0.0,143.3508,0.0025,4.8847,0.022000000000000002,0.2881,0.0104,0.0299,0.0003,42.9984,0.0119,0.0,52.0855,0.0007,1.4037,0.0081,0.1072,2.7009,3.5795,0.0922,7.8485,3.3623,0.0,18.7904,0.2576,8.5439,2.2892,4.5062,536.1118,2.312,8.53,0.3049,2.8829,0.0954,1.5911,13.1895
normal,22/07/2008 02:59:00,1.3969,2.3997,0.9688,1717.1081,0.9144,0.0,729.7498,0.9905,59.1715,0.9675,6.337000000000001,0.0307,0.0857,0.006,181.5117,0.0235,0.0,55.5248,0.001,2.7255,0.0153,0.3761,0.0091,0.0272,0.0019,55.8926,0.009000000000000001,0.0,19.6903,0.0003,0.8207,0.0059,0.132,2.1985,3.5696,0.6162,10.5708,2.5685,0.0,7.6087,0.1001,4.6061,1.5859,5.9353,537.8145,2.1113,8.43,0.2364,2.766,0.0766,1.5675,11.1971
normal,22/07/2008 08:41:00,1.403,2.4053,0.9885,1777.3281,0.9356,0.0,769.1809,0.9911,58.6493,0.97,6.2676,0.0725,0.0423,0.0015,120.1371,0.0211,0.0,123.2961,0.0007,2.9492,0.0125,0.3633,0.0219,0.0113,0.0006,44.674,0.0067,0.0,38.8554,0.0002,0.8995,0.0043,0.1301,5.1695,1.7598,0.154,6.7594,2.2532,0.0,16.0295,0.0672,5.0285,1.2866,5.797000000000001,531.8418,2.1849,10.26,0.4839,3.5183,0.1343,1.9291,22.148000000000003
normal,22/07/2008 11:47:00,1.4208,2.432,0.968,1773.5327,0.9397,0.0,790.0665,0.9904,59.4838,0.9672,6.306,0.0776,0.0945,0.0097,200.167,0.0179,0.0,74.1862,0.0013,2.793,0.0173,0.3696,0.0251,0.0279,0.0027,61.6056,0.0067,0.0,26.4901,0.0004,0.9709,0.0064,0.1288,5.4616,3.8875,1.0065,11.2863,1.9093,0.0,9.3899,0.1273,4.6954,1.7884,5.8612,532.2673,2.282,6.0,0.3148,2.3022,0.0921,1.1273,13.7941
normal,22/07/2008 14:00:00,1.4075,2.4324,0.991,1822.7262,0.9449,0.0,768.1313,0.9904,59.1313,0.9755,6.3534,0.0414,0.0811,0.0009,81.2722,0.0136,0.0,139.957,0.0015,2.3663,0.0042,0.32,0.0115,0.026000000000000002,0.0003,25.7636,0.0052,0.0,53.7607,0.0005,0.7871,0.0015,0.1033,2.9399,3.3332,0.0881,4.4588,1.439,0.0,18.2205,0.1475,4.0018,0.4328,5.0364,534.6455,2.0642,7.81,0.2811,2.2358,0.0783,1.4608,13.6183
normal,22/07/2008 15:30:00,1.4014,2.3997,0.9907,1769.7554,0.9322,0.0,852.5298,0.9904,58.8213,0.9785,6.3013,0.0712,0.0857,0.0006,161.8708,0.013999999999999999,0.0,40.675,0.001,3.36,0.0035,0.3759,0.0253,0.0272,0.0002,51.8144,0.0046,0.0,13.882,0.0003,1.1235,0.0012,0.1284,5.0812,3.5696,0.0563,9.1465,1.4982,0.0,4.7711,0.1006,5.7122,0.3554,5.9647,531.2491,2.2134,6.86,0.3007,2.4529,0.0945,1.2913,13.5856
normal,23/07/2008 05:15:00,1.4061,2.3914,0.9903,1859.4925,0.9476,0.0,804.2368,0.9906,58.6908,0.9791,6.3145,0.0421,0.0448,0.0017,122.2117,0.0116,0.0,62.2225,0.0008,3.447,0.0055,0.41100000000000003,0.0134,0.0149,0.0005,38.874,0.0031,0.0,17.255,0.0003,1.1569,0.0017,0.1328,2.9942,1.875,0.1697,6.5723,1.219,0.0,7.7368,0.0828,5.8732,0.5621,6.5092,530.1291,2.0645,8.1,0.20600000000000002,2.8482,0.0644,1.5279,9.9804
normal,23/07/2008 19:22:00,1.406,2.4382,0.9912,1765.2057,0.9359999999999999,0.0,700.0255,0.9903,58.9384,0.9686,6.2861,0.0776,0.0804,0.0012,121.6108,0.0224,0.0,49.4254,0.001,3.2127,0.0156,0.3661,0.0236,0.0311,0.0003,39.0707,0.0081,0.0,18.3722,0.0003,1.101,0.0053,0.1296,5.5221,3.2988,0.1229,6.8893,2.3973,0.0,7.0605,0.0972,5.4510000000000005,1.608,5.8237,528.1864,2.3338,7.49,0.2964,2.6843,0.0863,1.4181,12.6981
defeat,25/07/2008 15:23:00,1.429,2.4107,0.9663,1843.7237,0.9496,0.0,762.9077,0.9643,56.8545,0.9702,6.2733,0.033,0.0936,0.0064,87.8372,0.0152,0.0,102.3936,0.0205,3.8766,0.0195,0.2749,0.0115,0.0282,0.0023,27.2835,0.0058,0.0,33.175,0.006,1.1806,0.0059,0.1005,2.3113,3.8838,0.6654,4.7641,1.5959,0.0,13.4215,2.1311,6.8185,2.0097,4.3821,536.0054,1.9902,8.76,0.1682,3.1106,0.0503,1.6343,8.4505
normal,27/07/2008 04:18:00,1.4085,2.3986,0.9706,1710.6147,0.9339,0.0,653.0773,0.9906,58.968,0.9627,6.5034,0.0686,0.0597,0.0079,107.2256,0.0364,0.0,117.9089,0.0009,3.2675,0.02,0.1875,0.0209,0.0206,0.0023,35.2281,0.0129,0.0,38.7773,0.0003,1.0785,0.0075,0.0712,4.8734,2.4906,0.8118,6.2682,3.8955,0.0,18.0544,0.0864,5.5411,2.0764,2.8835,535.7491,2.2233,7.17,0.4183,2.6206,0.1133,1.3383,18.8142
normal,27/07/2008 09:37:00,1.4095,2.3986,0.97,1859.2332,0.9466,0.0,771.7826,0.9906,59.1446,0.9674,6.2968,0.0664,0.129,0.008,144.4434,0.0271,0.0,65.6326,0.0005,2.6365,0.0192,0.3481,0.0191,0.0456,0.0026,42.2656,0.008,0.0,20.1218,0.0002,0.8916,0.0061,0.1266,4.7094,5.3773,0.8246,7.769,2.8668,0.0,8.504,0.0546,4.4577,1.9873,5.5279,532.6318,2.253,9.25,0.2794,2.9887,0.0953,1.7367,12.4036
normal,27/07/2008 11:10:00,1.4051,2.4324,0.9578,1879.3624,0.9351,0.0,748.7289999999999,0.9907,58.7381,0.9759,6.391,0.0273,0.0811,0.0211,111.3529,0.0215,0.0,115.4689,0.0009,2.3593,0.0102,0.2346,0.0083,0.026000000000000002,0.0064,39.9012,0.0064,0.0,38.2373,0.0003,0.6982,0.003,0.0893,1.9415,3.3332,2.1981,5.925,2.294,0.0,15.422,0.0909,4.0167,1.0402,3.6710000000000003,530.4545,2.3075,5.4,0.4222,1.7463,0.1408,1.018,18.2982
normal,27/07/2008 15:46:00,1.3967,2.3745,0.9891,1920.2216,0.9372,0.0,735.4067,0.9906,58.6421,0.9687,6.242000000000001,0.0567,0.0662,0.002,202.5439,0.0301,0.0,151.4158,0.0013,4.9397,0.0158,0.1608,0.0194,0.0227,0.0006,59.6299,0.0103,0.0,56.2493,0.0004,1.57,0.0056,0.0618,4.0595,2.7883,0.1988,10.5479,3.2067,0.0,20.5894,0.1349,8.4235,1.6307,2.5756,528.41,2.3265,9.37,0.23800000000000002,3.3671,0.0753,1.7732,10.2289
normal,27/07/2008 16:06:00,1.409,2.3916,0.9890000000000001,1795.493,0.9413,0.0,761.5706,0.9904,58.0546,0.9683,6.2931,0.0529,0.0935,0.0021,128.9514,0.018000000000000002,0.0,93.2422,0.0008,2.381,0.0139,0.1858,0.0201,0.0299,0.0006,39.3259,0.0058,0.0,34.3875,0.0003,0.6951,0.0048,0.0675,3.7544,3.9106,0.212,7.182,1.9147,0.0,12.2434,0.0824,4.1013,1.4349,2.9519,521.2055,2.275,7.41,0.4414,2.5665,0.145,1.4217,19.4047
normal,27/07/2008 16:49:00,1.3978,2.3382,0.9905,1805.2925,0.9409,0.0,746.7719999999999,0.9694,56.6047,0.9597,6.5223,0.0534,0.0496,0.001,106.5371,0.0206,0.0,138.6187,0.0017,2.6898,0.0211,0.1722,0.0186,0.0145,0.0003,32.0989,0.0076,0.0,57.3702,0.0005,0.9245,0.0066,0.065,3.8196,2.122,0.1019,5.9014,2.1945,0.0,18.5624,0.1786,4.752,2.1992,2.6399,534.3927,2.2461,8.78,0.4072,3.1722,0.1311,1.643,18.1292
normal,27/07/2008 20:24:00,1.4007,2.4392,0.9909,1794.4718,0.9658,0.0,814.7503,0.9909,58.7904,0.9764,6.3368,0.0243,0.0491,0.0009,58.3622,0.0126,0.0,137.8887,0.001,2.9025,0.0069,0.1836,0.0086,0.0176,0.0003,17.9759,0.0042,0.0,37.915,0.0003,0.9439,0.0024,0.0649,1.7355,2.0142,0.0862,3.2523,1.3011,0.0,16.924,0.0978,4.937,0.7075,2.8974,530.4073,2.1823,7.73,0.2625,2.6984,0.0736,1.4574,12.0275
normal,27/07/2008 22:28:00,1.4049,2.3952,0.9649,1841.8205,0.9424,0.0,627.1345,0.9644,55.9596,0.9639,6.4628,0.044000000000000004,0.0592,0.0212,104.542,0.0303,0.0,167.3485,0.0053,2.1927,0.0166,0.2111,0.0134,0.0197,0.0068,33.4483,0.0116,0.0,56.4297,0.0019,0.7156,0.0065,0.0745,3.1341,2.4732,2.1938,5.676,3.2148,0.0,26.6846,0.551,3.9184,1.7173,3.2662,533.2154,2.2671,7.95,0.21899999999999997,2.9829,0.0781,1.4909,9.6586
normal,27/07/2008 22:28:00,1.3892,2.3999,0.9714,1878.6376,0.9437,0.0,750.5962,0.991,58.4779,0.9661,6.3528,0.0229,0.0726,0.008,99.238,0.0136,0.0,134.6982,0.0006,4.2653,0.0179,0.3587,0.0081,0.0229,0.0025,30.524,0.0049,0.0,53.442,0.0002,1.4086,0.0059,0.1235,1.6491,3.0264,0.8204,5.2824,1.4416,0.0,17.9455,0.0608,7.2939,1.8564,5.6461,536.5709,2.1983,10.86,0.2539,3.5623,0.0773,2.024,11.550999999999998
normal,27/07/2008 23:14:00,1.4432,2.42,0.9649,1841.8205,0.9427,0.0,782.6006,0.9908,58.4853,0.9643,6.3039,0.0439,0.11199999999999999,0.0212,104.542,0.0378,0.0,88.2712,0.0005,4.441,0.0202,0.3668,0.0153,0.0347,0.0068,33.4483,0.0122,0.0,32.571,0.0002,1.4712,0.0067,0.1245,3.0411,4.6272,2.1938,5.676,4.006,0.0,11.2792,0.0507,7.5934,2.0999,5.8189,529.3927,2.1345,11.79,0.2879,4.1245,0.0949,2.2271,13.4859
normal,28/07/2008 03:31:00,1.3765,2.3745,0.9896,1840.4916,0.9493,0.0,757.7612,0.9668,56.4963,0.9762,6.4252,0.0913,0.0662,0.0035,125.0173,0.0109,0.0,113.2955,0.0033,2.4406,0.0065,0.4068,0.0305,0.0227,0.0012,41.2161,0.0036,0.0,34.1994,0.0011,0.8453,0.002,0.1296,6.6357,2.7883,0.3537,6.7926,1.1482,0.0,14.9513,0.3453,4.3199,0.6675,6.3308,529.5609,2.2805,8.09,0.3806,2.5269,0.1213,1.5277,16.6904
normal,28/07/2008 03:48:00,1.4033,2.4364,0.9905,1773.4197,0.9558,0.0,662.9427,0.9907,59.183,0.9690000000000001,6.282,0.0436,0.0954,0.0007,113.071,0.0281,0.0,137.9867,0.0004,2.8954,0.0186,0.36,0.0142,0.0341,0.0003,39.7601,0.0093,0.0,50.9473,0.0002,0.9273,0.0062,0.1267,3.1098,3.9138,0.0747,6.3759,2.938,0.0,20.8143,0.0429,4.8923,1.9198,5.7302,531.5427,2.258,5.2,0.3427,1.8732,0.0965,0.9783,15.1794
normal,28/07/2008 04:37:00,1.4011,2.2944,0.9715,1804.703,0.9355,0.0,716.5576,0.9652,57.3981,0.9686,6.2857,0.0725,0.0401,0.0042,131.5576,0.0208,0.0,85.2706,0.0046,3.6863,0.0134,0.1877,0.0261,0.0134,0.0011,39.5207,0.008,0.0,28.057,0.0015,1.2726,0.005,0.0695,5.1746,1.7466,0.4272,7.2897,2.2258,0.0,11.9,0.4806,6.4223,1.3853,2.9867,532.7664,2.4052,10.9,0.2799,3.6701,0.0804,2.0459,11.6384
normal,28/07/2008 05:36:00,1.4002,2.3382,0.9905,1805.2925,0.95,0.0,767.7303,0.9908,58.3924,0.9636,6.4674,0.0666,0.0496,0.001,106.5371,0.0137,0.0,68.7184,0.0012,4.9502,0.0145,0.1998,0.0185,0.0145,0.0003,32.0989,0.0049,0.0,22.986,0.0004,1.5746,0.0057,0.0691,4.7542,2.122,0.1019,5.9014,1.4445,0.0,8.9508,0.1186,8.4774,1.5039,3.0894,533.77,2.2632,10.35,0.2681,3.3656,0.0875,1.939,11.8467
defeat,28/07/2008 06:45:00,1.4081,2.4364,0.966,1831.8286,0.9461,0.0,656.7414,0.9903,59.4302,0.9763,6.2346,0.0334,0.0954,0.0244,99.7323,0.036000000000000004,0.0,198.888,0.0008,2.6639,0.0082,0.3502,0.0112,0.0341,0.0073,31.9075,0.0138,0.0,80.2111,0.0003,0.9237,0.0031,0.1113,2.3706,3.9138,2.5301,5.4444,3.8094,0.0,30.2841,0.0773,4.4824,0.8396,5.6169,533.9509,1.8946,7.03,0.2962,2.2791,0.0865,1.3166,15.6351
normal,28/07/2008 08:36:00,1.4146,2.3377,0.9872,1792.1586,0.9478,0.0,785.4558,0.9908,58.3703,0.9756,6.1781,0.0472,0.0593,0.0027,220.7158,0.0201,0.0,141.8004,0.0009,4.2471,0.0057,0.3491,0.0144,0.0202,0.0008,67.7268,0.0061,0.0,38.5508,0.0003,1.4139,0.0019,0.1156,3.3367,2.5372,0.2698,12.3156,2.1161,0.0,18.0533,0.0958,7.2761,0.5805,5.6507,532.1118,2.2194,6.23,0.2696,2.3065,0.0848,1.1708,12.147
defeat,28/07/2008 15:11:00,1.3947,2.4324,0.9908,1797.941,0.941,0.0,731.0955,0.9916,57.5651,0.9673,6.3296,0.0481,0.0811,0.0005,131.8158,0.0197,0.0,154.7894,0.0014,2.7806,0.0156,0.1656,0.0134,0.026000000000000002,0.0002,41.0749,0.0082,0.0,56.543,0.0004,0.7928,0.0046,0.0665,3.4503,3.3332,0.0537,7.3315,2.0948,0.0,21.1722,0.1442,4.8304,1.6168,2.6159,537.6273,2.2025,12.21,0.2089,4.2202,0.0636,2.2711,9.4847
normal,28/07/2008 23:57:00,1.3975,2.4530000000000003,0.991,1844.2923,0.9389,0.0,711.6416,0.9908,58.5939,0.9775,6.433,0.0764,0.0802,0.0005,73.5745,0.0204,0.0,131.3818,0.0006,3.1004,0.0056,0.2652,0.026000000000000002,0.0286,0.0002,23.5589,0.0076,0.0,44.3954,0.0002,0.9938,0.0018,0.0939,5.4689,3.2712,0.0527,3.9893,2.1741,0.0,18.4618,0.0593,5.2913,0.5701,4.1219,531.3755,2.4747,6.59,0.4211,2.2226,0.1319,1.2402,17.0149
normal,29/07/2008 04:08:00,1.4133,2.3999,0.9722,1769.3696,0.935,0.0,673.8036,0.9907,58.8499,0.9781,6.3685,0.0356,0.0726,0.0037,112.9465,0.0362,0.0,91.2869,0.0006,2.5999,0.0041,0.2304,0.0118,0.0229,0.0014,40.437,0.0112,0.0,31.6269,0.0002,0.8391,0.0015,0.0839,2.5217,3.0264,0.3805,6.3834,3.8681,0.0,13.548,0.0602,4.4178,0.4211,3.6185,532.8618,2.3145,10.43,0.2991,3.5751,0.0862,1.9574,12.9236
normal,29/07/2008 05:16:00,1.3959,2.3047,0.9847,1813.8976,0.9367,0.0016,764.948,0.9906,58.5387,0.9642,6.3787,0.0382,0.1006,0.008,117.7777,0.0757,0.0158,111.647,0.0013,2.3474,0.023,0.3638,0.0117,0.0308,0.0024,38.4535,0.023,0.005,36.5914,0.0004,0.6849,0.0067,0.1281,2.7381,4.3629,0.8134,6.4931,8.0799,1000.0,14.5954,0.1357,4.0099,2.3855,5.7034,527.8355,2.1599,12.19,0.2601,3.8966,0.095,2.3094,12.0422
normal,29/07/2008 06:19:00,1.3916,2.3652,0.9642,1891.4401,0.9452,0.0,700.7723,0.9907,57.6728,0.9597,6.401,0.0196,0.0912,0.0066,71.3541,0.0239,0.0,213.94099999999997,0.0011,4.0153,0.0277,0.3595,0.0057,0.027999999999999997,0.0021,25.0943,0.0077,0.0,69.7366,0.0003,1.1358,0.0084,0.1258,1.4106,3.8574,0.6807,3.7725,2.5334,0.0,30.5293,0.1061,6.9621,2.8903,5.6164,535.6282,2.2383,11.62,0.1839,3.7648,0.0664,2.1694,8.2142
defeat,29/07/2008 08:23:00,1.4199,2.4108,0.9904,1801.9478,0.9345,0.0,767.6058,0.9907,57.3774,0.9787,6.3215,0.0338,0.0704,0.0006,61.0977,0.0233,0.0,84.6817,0.0011,3.9760000000000004,0.0044,0.4259,0.0107,0.0237,0.0002,17.5528,0.0079,0.0,28.1321,0.0004,1.13,0.0014,0.1399,2.3818,2.9212,0.0566,3.3906,2.4937,0.0,11.0319,0.1151,6.9295,0.4499,6.7381,528.4727,2.1628,8.67,0.5747,2.9727,0.15,1.6406,26.5739
normal,29/07/2008 11:47:00,1.3991,2.4535,0.9895,1823.9266,0.9398,0.0,656.7325,0.9907,57.648,0.9768,6.3123,0.0534,0.084,0.0015,74.3073,0.0395,0.0,161.0391,0.001,3.8427,0.0061,0.4131,0.0181,0.0302,0.0005,22.1287,0.0136,0.0,64.3896,0.0003,1.0959,0.0019,0.1347,3.8197,3.4257,0.1564,4.074,4.2033,0.0,24.5213,0.1006,6.6657,0.6258,6.5439,529.9682,2.1756,12.3,0.3127,4.0631,0.0933,2.3209,14.3755
normal,29/07/2008 15:41:00,1.4024,2.4107,0.9698,1806.4107,0.9479,0.0,765.9619,0.9907,58.6257,0.9651,6.3839999999999995,0.0376,0.0936,0.0033,93.70100000000001,0.0206,0.0,167.6923,0.0011,2.6422,0.0172,0.2999,0.0102,0.0282,0.0011,29.9948,0.0061,0.0,49.3531,0.0003,0.7632,0.0051,0.1067,2.6819,3.8838,0.3443,5.1871,2.1695,0.0,21.893,0.114,4.5069,1.7779,4.6973,533.6809,2.14,10.31,0.5791,3.6023,0.157,1.9319,27.0589
defeat,29/07/2008 15:49:00,1.3733,2.4222,0.9707,1836.6503,0.9453,0.0,759.8721,0.9909,58.0644,0.9658,6.2187,0.1493,0.0436,0.0084,88.7012,0.01,0.0,130.8226,0.0011,3.7145,0.026000000000000002,0.4019,0.0559,0.0142,0.003,29.846999999999998,0.0036,0.0,49.354,0.0004,1.2535,0.0078,0.1371,10.8708,1.7999,0.8621,4.8295,1.0566,0.0,17.2164,0.1128,6.3972,2.6887,6.4626,530.9973,2.1898,7.23,0.3743,2.5312,0.1159,1.3616,17.0935
defeat,29/07/2008 17:05:00,1.3857,2.421,0.9895,1854.7794,0.9426,0.0,792.1467,0.9908,58.3569,0.9676,6.1904,0.0536,0.0432,0.0018,98.6211,0.0215,0.0,90.1303,0.0008,2.7385,0.015,0.3324,0.0207,0.0169,0.0005,33.3433,0.0069,0.0,29.6293,0.0003,0.8285,0.0048,0.1215,3.8696,1.7835,0.1781,5.3171,2.2862,0.0,11.378,0.0774,4.6927,1.5516,5.3698,533.3209,2.068,6.43,0.1643,2.3127,0.0589,1.2057,7.9429
