Attrition,Age,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
No,47,Research & Development,25,3,Medical,1993,Male,Healthcare Representative,3,Single,8633,2,2,25,3,3,17
No,45,Sales,11,2,Life Sciences,1045,Female,Manager,4,Married,17650,3,2,26,4,4,9
No,35,Sales,8,4,Life Sciences,805,Female,Sales Representative,4,Married,2572,1,2,3,1,2,3
No,29,Research & Development,7,3,Life Sciences,1260,Male,Healthcare Representative,4,Divorced,6623,1,2,6,2,3,6
Yes,29,Sales,13,3,Technical Degree,1487,Female,Sales Executive,2,Single,5765,5,1,7,4,1,5
No,46,Sales,2,4,Marketing,38,Female,Manager,1,Single,18947,3,4,22,2,2,2
No,49,Research & Development,22,4,Other,1655,Female,Research Director,2,Married,16413,3,2,27,2,3,4
No,35,Research & Development,11,4,Medical,2003,Male,Laboratory Technician,3,Married,2660,7,3,5,3,3,2
No,35,Research & Development,23,4,Medical,1826,Male,Laboratory Technician,3,Married,2705,0,2,6,2,4,5
No,29,Research & Development,9,4,Medical,1709,Female,Laboratory Technician,3,Married,2974,9,3,9,2,3,5
Yes,48,Sales,7,2,Medical,1691,Female,Sales Representative,3,Married,2655,2,3,19,3,3,9
No,32,Research & Development,2,2,Life Sciences,1235,Female,Research Scientist,3,Single,4998,4,4,10,2,3,8
No,59,Sales,1,1,Life Sciences,91,Female,Sales Executive,3,Single,5473,7,4,20,2,2,4
No,25,Sales,3,1,Other,879,Male,Sales Executive,1,Married,4194,1,4,5,3,3,5
No,45,Research & Development,25,2,Life Sciences,1888,Female,Manufacturing Director,4,Married,5906,0,4,10,2,2,9
No,31,Human Resources,2,3,Human Resources,424,Male,Human Resources,1,Married,6410,3,4,9,1,3,2
No,21,Research & Development,5,1,Medical,1623,Male,Research Scientist,4,Single,3117,1,3,3,2,3,2
No,43,Research & Development,15,2,Life Sciences,1666,Male,Research Director,3,Married,17603,1,1,14,3,3,14
No,36,Research & Development,2,4,Other,1847,Female,Research Scientist,2,Married,6962,4,4,15,2,3,1
No,38,Research & Development,17,1,Life Sciences,1088,Female,Healthcare Representative,3,Married,8823,0,1,20,4,2,19
No,35,Sales,1,3,Marketing,314,Female,Sales Executive,3,Single,8789,1,1,10,3,4,10
No,39,Sales,21,4,Life Sciences,1390,Male,Sales Executive,4,Married,6120,3,4,8,2,4,5
No,33,Sales,25,3,Medical,1220,Female,Sales Executive,3,Married,4539,1,1,10,3,2,10
No,33,Research & Development,25,3,Life Sciences,1545,Male,Manufacturing Director,2,Single,4320,1,4,5,2,3,5
No,42,Sales,12,4,Marketing,1943,Male,Sales Executive,4,Divorced,5087,3,3,14,4,3,0
No,28,Sales,9,4,Life Sciences,498,Male,Sales Executive,4,Single,5253,1,4,7,1,3,7
No,56,Research & Development,1,4,Life Sciences,2026,Male,Healthcare Representative,3,Divorced,6306,1,1,13,2,2,13
No,55,Research & Development,2,1,Medical,1074,Male,Manager,1,Single,16756,7,2,31,3,4,9
No,51,Research & Development,8,4,Life Sciences,296,Male,Research Director,2,Married,12490,5,4,16,5,1,10
No,29,Research & Development,21,4,Life Sciences,20,Female,Manufacturing Director,1,Divorced,9980,1,3,10,1,3,10
No,30,Research & Development,9,3,Medical,239,Male,Laboratory Technician,1,Divorced,3072,1,3,12,4,3,12
No,55,Human Resources,26,4,Human Resources,1973,Male,Manager,2,Married,19636,4,1,35,0,3,10
Yes,30,Research & Development,4,3,Technical Degree,514,Male,Research Scientist,4,Single,2285,9,3,3,4,3,1
No,35,Research & Development,1,3,Medical,105,Male,Research Scientist,3,Single,2859,1,1,6,3,3,6
No,40,Research & Development,1,4,Life Sciences,1892,Male,Manager,1,Divorced,16823,2,1,22,3,3,19
No,42,Research & Development,2,2,Medical,1109,Male,Manager,1,Married,17665,0,4,23,3,3,22
No,34,Research & Development,1,3,Life Sciences,1447,Female,Laboratory Technician,2,Married,3294,5,1,7,2,2,5
No,41,Sales,6,3,Life Sciences,298,Female,Manager,4,Single,13591,3,3,16,3,3,1
No,29,Research & Development,2,3,Life Sciences,94,Male,Research Scientist,2,Married,2703,0,4,6,3,3,5
No,38,Research & Development,12,3,Life Sciences,837,Male,Healthcare Representative,1,Divorced,6288,2,3,13,3,2,4
No,27,Research & Development,2,4,Life Sciences,54,Female,Laboratory Technician,1,Divorced,2341,1,4,1,6,3,1
No,40,Research & Development,9,5,Life Sciences,287,Male,Healthcare Representative,4,Married,4876,9,4,5,5,1,3
No,31,Sales,2,4,Other,1613,Male,Sales Executive,1,Single,5332,7,4,10,3,3,5
No,39,Research & Development,9,3,Life Sciences,1132,Male,Laboratory Technician,2,Single,6782,9,3,9,2,2,5
Yes,33,Research & Development,14,3,Medical,325,Male,Laboratory Technician,4,Married,2436,5,3,8,2,1,5
Yes,49,Research & Development,28,2,Life Sciences,1420,Male,Laboratory Technician,1,Single,4284,3,1,20,2,3,4
No,34,Sales,8,2,Life Sciences,808,Female,Sales Executive,1,Married,6500,5,2,6,1,3,3
No,25,Sales,28,3,Life Sciences,183,Male,Sales Executive,3,Married,8639,2,4,6,3,3,2
Yes,29,Sales,24,3,Technical Degree,1928,Male,Sales Representative,1,Single,1091,1,4,1,3,3,1
No,37,Research & Development,10,3,Life Sciences,2017,Female,Research Director,4,Married,13744,1,1,16,2,3,16
No,32,Research & Development,5,4,Technical Degree,1764,Male,Research Scientist,2,Single,2718,2,2,12,3,3,7
No,27,Sales,9,3,Marketing,1965,Male,Sales Executive,4,Single,4105,1,1,7,5,3,7
Yes,24,Research & Development,9,3,Medical,1494,Male,Laboratory Technician,1,Single,3172,2,3,4,2,2,0
No,57,Research & Development,1,4,Medical,482,Male,Healthcare Representative,3,Married,6755,2,3,15,2,3,3
Yes,23,Research & Development,6,3,Life Sciences,811,Male,Laboratory Technician,1,Married,1601,1,3,1,2,3,0
No,46,Sales,1,4,Life Sciences,1602,Male,Manager,1,Single,17567,1,2,27,5,1,26
No,38,Sales,10,4,Marketing,1119,Male,Sales Executive,3,Divorced,8740,0,2,9,2,3,8
No,19,Research & Development,3,1,Medical,201,Female,Laboratory Technician,2,Single,1483,1,4,1,3,3,1
No,30,Research & Development,8,2,Life Sciences,1015,Female,Research Director,1,Married,11416,0,3,9,4,2,8
No,47,Research & Development,14,4,Technical Degree,1934,Male,Research Scientist,2,Married,5467,8,3,16,4,4,8
No,27,Research & Development,4,2,Life Sciences,1259,Male,Research Scientist,3,Divorced,2517,1,2,5,2,3,5
No,38,Research & Development,1,3,Life Sciences,1668,Male,Research Scientist,4,Married,4735,7,4,19,4,4,13
No,24,Research & Development,9,3,Medical,1707,Male,Research Scientist,3,Married,4401,1,4,5,1,3,5
No,27,Research & Development,1,2,Life Sciences,725,Female,Manufacturing Director,1,Married,7412,1,4,9,3,3,9
No,41,Research & Development,9,4,Life Sciences,200,Male,Laboratory Technician,1,Married,2238,2,4,7,2,3,5
No,51,Research & Development,2,3,Medical,408,Male,Manufacturing Director,2,Divorced,5482,5,4,13,3,3,4
Yes,35,Sales,10,3,Medical,1639,Male,Sales Executive,1,Married,10306,9,3,15,3,3,13
No,49,Research & Development,18,4,Life Sciences,638,Male,Research Director,3,Divorced,19502,1,3,31,5,3,31
No,34,Research & Development,9,3,Medical,717,Female,Healthcare Representative,2,Single,8621,1,2,9,3,4,8
No,36,Sales,10,4,Medical,592,Male,Sales Executive,4,Single,9980,1,4,10,3,2,10
No,44,Sales,1,5,Marketing,68,Female,Sales Executive,1,Divorced,5454,5,3,9,2,2,4
Yes,29,Research & Development,24,2,Life Sciences,1868,Male,Research Scientist,4,Single,2439,1,2,1,3,2,1
No,32,Research & Development,1,3,Medical,78,Male,Manufacturing Director,4,Married,6162,1,2,9,3,3,9
Yes,29,Research & Development,18,1,Medical,315,Male,Research Scientist,4,Single,2389,1,3,4,3,2,4
Yes,35,Sales,27,3,Life Sciences,1797,Male,Sales Executive,4,Single,5813,1,4,10,2,3,10
No,37,Research & Development,14,3,Life Sciences,515,Female,Laboratory Technician,1,Divorced,3034,1,3,18,2,2,18
No,39,Sales,24,1,Marketing,2056,Female,Sales Executive,4,Married,12031,0,1,21,2,2,20
No,40,Research & Development,16,3,Life Sciences,1641,Female,Manufacturing Director,4,Single,7945,6,4,18,2,2,4
No,56,Research & Development,7,3,Life Sciences,112,Male,Manufacturing Director,4,Single,7260,4,1,37,3,2,6
No,30,Sales,29,4,Technical Degree,1568,Male,Sales Executive,2,Married,9250,3,2,9,3,3,4
Yes,32,Sales,11,4,Other,631,Male,Sales Executive,3,Married,4707,8,4,6,2,3,4
Yes,53,Sales,24,4,Life Sciences,1968,Male,Sales Executive,1,Single,10448,6,2,15,2,2,2
No,36,Research & Development,5,4,Life Sciences,51,Female,Research Scientist,1,Married,3419,9,4,6,3,4,1
No,33,Research & Development,13,1,Life Sciences,995,Female,Research Scientist,4,Single,3452,3,1,5,4,3,3
No,28,Sales,4,3,Medical,129,Male,Sales Executive,3,Married,4221,1,2,5,3,4,5
No,54,Research & Development,7,4,Medical,1830,Female,Research Scientist,4,Married,6854,4,2,14,2,2,7
Yes,29,Sales,23,1,Life Sciences,1165,Female,Sales Executive,1,Married,7336,1,1,11,3,1,11
No,55,Research & Development,14,4,Medical,254,Male,Research Director,2,Single,18722,8,4,36,3,3,24
No,40,Sales,14,2,Life Sciences,1598,Female,Sales Executive,1,Married,4639,1,3,5,2,3,5
No,55,Sales,1,2,Life Sciences,106,Male,Sales Executive,4,Married,10239,3,4,24,4,3,1
Yes,29,Research & Development,1,4,Medical,2027,Male,Research Scientist,4,Married,4787,9,2,4,3,4,2
No,22,Research & Development,1,2,Life Sciences,2007,Male,Research Scientist,3,Single,3375,0,4,4,2,4,3
No,29,Research & Development,20,1,Medical,1852,Male,Laboratory Technician,4,Married,3812,1,2,11,3,4,11
No,28,Research & Development,3,3,Medical,1121,Female,Manufacturing Director,2,Divorced,7655,0,2,10,3,2,9
No,31,Human Resources,8,2,Medical,1461,Female,Human Resources,2,Single,2109,9,4,8,3,3,3
No,44,Research & Development,2,1,Medical,1496,Male,Manufacturing Director,3,Single,10209,5,2,16,2,2,2
No,22,Research & Development,19,1,Medical,217,Male,Research Scientist,4,Married,2323,1,1,2,6,3,2
No,31,Research & Development,2,1,Medical,1974,Female,Laboratory Technician,4,Divorced,1129,1,3,1,4,3,1
No,50,Research & Development,29,4,Life Sciences,569,Male,Manager,3,Married,17046,0,2,28,2,3,27
No,35,Research & Development,16,3,Medical,14,Male,Laboratory Technician,2,Married,2426,0,3,6,5,3,5
No,46,Research & Development,2,3,Life Sciences,575,Male,Research Director,3,Married,17861,6,3,26,2,1,3
No,40,Sales,9,2,Medical,1548,Male,Sales Executive,1,Married,5473,0,4,9,5,4,8
No,37,Research & Development,1,3,Life Sciences,1196,Female,Manufacturing Director,4,Married,6474,1,2,14,2,2,14
No,59,Human Resources,2,4,Human Resources,140,Female,Manager,4,Married,18844,9,4,30,3,3,3
No,55,Sales,26,5,Marketing,1578,Male,Manager,4,Married,19586,1,3,36,3,3,36
No,22,Research & Development,16,2,Medical,22,Male,Laboratory Technician,4,Divorced,2935,1,2,1,2,2,1
Yes,44,Human Resources,1,2,Medical,1098,Male,Human Resources,1,Married,10482,9,4,24,1,3,20
Yes,23,Sales,7,3,Life Sciences,1702,Male,Sales Representative,4,Divorced,2275,1,2,3,2,3,3
No,47,Research & Development,2,4,Medical,1443,Female,Research Director,3,Married,17169,3,2,26,2,4,20
No,50,Sales,9,3,Marketing,1591,Male,Manager,3,Married,19331,4,3,27,2,3,1
No,35,Research & Development,25,3,Technical Degree,899,Male,Manufacturing Director,2,Married,10903,3,1,16,2,3,13
No,31,Research & Development,4,3,Medical,1916,Female,Laboratory Technician,3,Divorced,3978,8,2,4,0,2,2
No,33,Research & Development,8,5,Life Sciences,1515,Male,Healthcare Representative,3,Single,6388,2,1,14,6,3,0
No,35,Sales,28,4,Life Sciences,1554,Female,Sales Representative,3,Married,2430,0,1,6,5,3,5
No,39,Research & Development,1,3,Medical,417,Male,Healthcare Representative,4,Divorced,9613,0,1,19,5,2,18
No,46,Sales,2,3,Technical Degree,363,Female,Manager,2,Married,16872,3,2,28,2,2,7
No,36,Research & Development,6,3,Life Sciences,373,Male,Laboratory Technician,4,Married,3210,0,3,16,4,3,15
No,41,Human Resources,4,3,Human Resources,1722,Male,Human Resources,2,Married,6430,6,2,10,4,3,3
No,33,Research & Development,7,2,Life Sciences,1970,Male,Healthcare Representative,3,Divorced,5968,1,3,9,2,3,9
No,37,Sales,6,4,Medical,378,Male,Sales Executive,4,Married,6502,4,2,7,5,4,5
No,38,Research & Development,6,3,Medical,107,Female,Research Scientist,4,Divorced,5329,7,4,17,3,3,13
No,38,Research & Development,2,4,Life Sciences,803,Female,Manufacturing Director,1,Single,5980,6,4,17,2,3,15
No,46,Research & Development,18,3,Medical,550,Female,Manufacturing Director,3,Divorced,4810,2,3,19,5,2,10
No,54,Research & Development,11,4,Medical,1520,Female,Manager,4,Divorced,16032,3,1,26,2,3,14
No,18,Research & Development,1,3,Life Sciences,1368,Female,Laboratory Technician,4,Single,1611,1,3,0,5,4,0
No,39,Sales,6,3,Medical,1588,Male,Sales Executive,3,Married,8237,2,1,11,3,3,7
No,32,Research & Development,5,4,Other,1607,Female,Research Scientist,4,Married,3312,3,4,6,3,3,3
No,39,Research & Development,19,4,Other,1871,Male,Research Scientist,4,Divorced,3902,8,2,7,2,3,2
No,41,Research & Development,9,3,Medical,999,Male,Research Director,3,Divorced,19419,2,2,21,2,4,18
No,22,Research & Development,26,2,Other,1605,Female,Research Scientist,3,Married,2814,1,2,4,2,2,4
No,25,Research & Development,19,1,Medical,1358,Male,Laboratory Technician,4,Married,3669,3,3,7,6,2,3
No,53,Research & Development,2,3,Medical,1472,Male,Research Director,2,Single,16598,4,2,35,2,2,9
No,52,Research & Development,8,4,Other,1409,Female,Laboratory Technician,1,Married,2950,9,3,12,2,1,5
No,47,Research & Development,4,3,Life Sciences,1827,Female,Manufacturing Director,2,Divorced,10333,8,3,28,4,3,22
No,32,Research & Development,9,4,Life Sciences,679,Female,Research Scientist,4,Married,6322,1,4,6,2,2,6
No,41,Research & Development,7,1,Life Sciences,1035,Female,Research Director,3,Divorced,19973,1,2,21,3,3,21
No,30,Sales,8,2,Other,982,Male,Sales Executive,3,Divorced,7264,5,1,10,2,4,8
No,27,Research & Development,3,3,Medical,850,Male,Research Scientist,4,Married,1706,1,3,0,6,2,0
No,36,Research & Development,6,3,Life Sciences,97,Female,Laboratory Technician,4,Married,3038,3,2,5,3,3,1
No,26,Sales,23,3,Marketing,72,Female,Sales Executive,4,Married,4157,7,3,5,2,2,2
Yes,36,Sales,9,4,Life Sciences,27,Male,Sales Representative,1,Single,3407,7,2,10,4,3,5
No,52,Research & Development,1,4,Life Sciences,259,Male,Manager,3,Married,19999,0,1,34,5,3,33
No,40,Sales,2,2,Marketing,1986,Female,Sales Executive,2,Married,5677,3,3,15,4,3,11
No,43,Research & Development,8,4,Other,526,Female,Healthcare Representative,3,Divorced,4522,4,4,8,3,3,5
No,42,Research & Development,29,3,Medical,1148,Male,Laboratory Technician,4,Single,4272,4,1,16,3,3,1
No,41,Research & Development,5,3,Life Sciences,1814,Male,Healthcare Representative,2,Single,6870,3,1,11,3,1,3
No,32,Research & Development,29,4,Life Sciences,2010,Female,Laboratory Technician,2,Single,2837,1,3,6,3,3,6
No,34,Sales,4,4,Marketing,523,Female,Sales Executive,3,Married,6538,9,1,6,3,3,3
Yes,34,Sales,24,4,Medical,1489,Female,Sales Executive,2,Single,4599,0,3,16,2,4,15
No,47,Sales,4,1,Medical,467,Male,Sales Representative,3,Single,2976,3,1,5,3,3,0
No,31,Sales,7,4,Marketing,1833,Female,Sales Executive,1,Married,9637,2,4,9,3,3,3
No,30,Research & Development,28,2,Medical,441,Female,Research Scientist,4,Married,5775,1,4,11,2,3,10
