"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","AgeGroup","Family","Age_scale1"
"0","3","male",20,0,0,7.8542,"S","Age11_20",1,0.246041719024881
"0","1","male",46,1,0,61.175,"S","Age41_50",2,0.572756974114099
"0","3","male",26,1,2,20.575,"S","Age21_30",4,0.321437547122393
"0","3","male",59,0,0,7.25,"S","Age51_60",1,0.736114601658708
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"0","1","male",71,0,0,34.6542,"C","Age71_80",1,0.886906257853732
"1","1","male",23,0,1,63.3583,"C","Age21_30",2,0.283739633073637
"1","2","female",34,0,1,23,"S","Age31_40",2,0.421965317919075
"0","2","male",34,1,0,26,"S","Age31_40",2,0.421965317919075
"0","3","female",28,0,0,7.8958,"S","Age21_30",1,0.346569489821563
"0","3","male",32.37,0,0,7.8958,"S","Age31_40",1,0.401482784619251
"0","1","male",21,0,1,77.2875,"S","Age21_30",2,0.258607690374466
"0","3","male",33,0,0,8.6542,"S","Age31_40",1,0.40939934656949
"0","3","male",37,2,0,7.925,"S","Age31_40",3,0.459663231967831
"0","3","male",28,0,0,7.8958,"S","Age21_30",1,0.346569489821563
"1","3","female",21,0,0,7.65,"S","Age21_30",1,0.258607690374466
"1","3","male",32.37,0,0,7.775,"S","Age31_40",1,0.401482784619251
"0","3","male",38,0,0,7.8958,"S","Age31_40",1,0.472229203317416
"1","3","female",21.77,1,0,24.15,"Q","Age21_30",2,0.268283488313647
"0","1","male",47,0,0,52,"S","Age41_50",1,0.585322945463684
"0","3","female",14.5,1,0,14.4542,"C","Age11_20",2,0.176928876602161
"0","3","male",22,0,0,8.05,"S","Age21_30",1,0.271173661724051
"0","3","female",20,1,0,9.825,"S","Age11_20",2,0.246041719024881
"0","3","female",17,0,0,14.4583,"C","Age11_20",1,0.208343804976125
"0","3","male",21,0,0,7.925,"S","Age21_30",1,0.258607690374466
"0","3","male",70.5,0,0,7.75,"Q","Age71_80",1,0.880623272178939
"0","2","male",29,1,0,21,"S","Age21_30",2,0.359135461171149
"0","1","male",24,0,1,247.5208,"C","Age21_30",2,0.296305604423222
"0","3","female",2,4,2,31.275,"S","Age0_10",7,0.0198542347323448
"0","2","male",21,2,0,73.5,"S","Age21_30",3,0.258607690374466
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"0","2","male",32.5,1,0,30.0708,"C","Age31_40",2,0.403116360894697
"1","2","female",32.5,0,0,13,"S","Age31_40",1,0.403116360894697
"0","1","male",54,0,1,77.2875,"S","Age51_60",2,0.673284744910782
"1","3","male",12,1,0,11.2417,"C","Age11_20",2,0.145513948228198
"0","3","male",32.37,0,0,7.75,"Q","Age31_40",1,0.401482784619251
"1","3","male",24,0,0,7.1417,"S","Age21_30",1,0.296305604423222
"1","3","female",21.77,1,1,22.3583,"C","Age21_30",3,0.268283488313647
"0","3","male",45,0,0,6.975,"S","Age41_50",1,0.560191002764514
"0","3","male",33,0,0,7.8958,"C","Age31_40",1,0.40939934656949
"0","3","male",20,0,0,7.05,"S","Age11_20",1,0.246041719024881
"0","3","female",47,1,0,14.5,"S","Age41_50",2,0.585322945463684
"1","2","female",29,1,0,26,"S","Age21_30",2,0.359135461171149
"0","2","male",25,0,0,13,"S","Age21_30",1,0.308871575772807
"0","2","male",23,0,0,15.0458,"C","Age21_30",1,0.283739633073637
"1","1","female",19,0,2,26.2833,"S","Age11_20",3,0.233475747675295
"0","1","male",37,1,0,53.1,"S","Age31_40",2,0.459663231967831
"0","3","male",16,0,0,9.2167,"S","Age11_20",1,0.195777833626539
"0","1","male",24,0,0,79.2,"C","Age21_30",1,0.296305604423222
"0","3","female",35.9,0,2,15.2458,"C","Age31_40",3,0.445840663483287
"1","3","female",22,0,0,7.75,"S","Age21_30",1,0.271173661724051
"1","3","female",24,1,0,15.85,"S","Age21_30",2,0.296305604423222
"0","3","male",19,0,0,6.75,"Q","Age11_20",1,0.233475747675295
"0","2","male",18,0,0,11.5,"S","Age11_20",1,0.22090977632571
"0","2","male",19,1,1,36.75,"S","Age11_20",3,0.233475747675295
"1","3","male",27,0,0,7.7958,"S","Age21_30",1,0.334003518471978
"0","3","female",9,2,2,34.375,"S","Age0_10",5,0.107816034179442
"0","2","male",36.5,0,2,26,"S","Age31_40",3,0.453380246293038
"0","2","male",42,0,0,13,"S","Age41_50",1,0.522493088715758
"0","2","male",51,0,0,12.525,"S","Age51_60",1,0.635586830862026
"1","1","female",22,1,0,66.6,"S","Age21_30",2,0.271173661724051
"0","3","male",55.5,0,0,8.05,"S","Age51_60",1,0.69213370193516
"0","3","male",40.5,0,2,14.5,"S","Age41_50",3,0.50364413169138
"0","3","male",32.37,0,0,7.3125,"S","Age31_40",1,0.401482784619251
"0","1","male",51,0,1,61.3792,"C","Age51_60",2,0.635586830862026
"1","3","female",16,0,0,7.7333,"Q","Age11_20",1,0.195777833626539
"0","3","male",30,0,0,8.05,"S","Age21_30",1,0.371701432520734
"0","3","male",32.37,0,0,8.6625,"S","Age31_40",1,0.401482784619251
"0","3","male",4.57,8,2,69.55,"S","Age0_10",11,0.0521487811007791
"0","3","male",44,0,1,16.1,"S","Age41_50",2,0.547625031414928
"1","2","female",40,0,0,15.75,"S","Age31_40",1,0.497361146016587
"0","3","male",26,0,0,7.775,"S","Age21_30",1,0.321437547122393
"0","3","male",17,0,0,8.6625,"S","Age11_20",1,0.208343804976125
"0","3","male",1,4,1,39.6875,"S","Age0_10",6,0.00728826338275949
"1","3","male",9,0,2,20.525,"S","Age0_10",3,0.107816034179442
"1","1","female",35.9,0,1,55,"S","Age31_40",2,0.445840663483287
"0","3","female",45,1,4,27.9,"S","Age41_50",6,0.560191002764514
"0","1","male",32.37,0,0,25.925,"S","Age31_40",1,0.401482784619251
"0","3","male",28,0,0,56.4958,"S","Age21_30",1,0.346569489821563
"0","1","male",61,0,0,33.5,"S","Age61_70",1,0.761246544357879
"0","3","male",4,4,1,29.125,"Q","Age0_10",6,0.0449861774315155
"1","3","female",1,1,1,11.1333,"S","Age0_10",3,0.00728826338275949
"0","3","male",21,0,0,7.925,"S","Age21_30",1,0.258607690374466
"0","1","male",56,0,0,30.6958,"C","Age51_60",1,0.698416687609952
"0","3","male",18,1,1,7.8542,"S","Age11_20",3,0.22090977632571
"0","3","male",4.57,3,1,25.4667,"S","Age0_10",5,0.0521487811007791
"0","1","female",50,0,0,28.7125,"C","Age41_50",1,0.62302085951244
"0","2","male",30,0,0,13,"S","Age21_30",1,0.371701432520734
"0","3","male",36,0,0,0,"S","Age31_40",1,0.447097260618246
"0","3","female",21.77,8,2,69.55,"S","Age21_30",11,0.268283488313647
"0","2","male",32.37,0,0,15.05,"C","Age31_40",1,0.401482784619251
"0","3","male",9,4,2,31.3875,"S","Age0_10",7,0.107816034179442
"1","2","male",1,2,1,39,"S","Age0_10",4,0.00728826338275949
"1","3","female",4,0,2,22.025,"S","Age0_10",3,0.0449861774315155
"0","1","male",32.37,0,0,50,"S","Age31_40",1,0.401482784619251
"1","3","female",35.9,1,0,15.5,"Q","Age31_40",2,0.445840663483287
"1","1","male",45,0,0,26.55,"S","Age41_50",1,0.560191002764514
"0","3","male",40,1,1,15.5,"Q","Age31_40",3,0.497361146016587
"0","3","male",36,0,0,7.8958,"S","Age31_40",1,0.447097260618246
"1","2","female",32,0,0,13,"S","Age31_40",1,0.396833375219904
"0","2","male",19,0,0,13,"S","Age11_20",1,0.233475747675295
"1","3","female",19,1,0,7.8542,"S","Age11_20",2,0.233475747675295
"1","2","male",3,1,1,26,"S","Age0_10",3,0.0324202060819301
"1","1","female",44,0,0,27.7208,"C","Age41_50",1,0.547625031414928
"1","1","female",58,0,0,146.5208,"C","Age51_60",1,0.723548630309123
"0","3","male",32.37,0,0,7.75,"Q","Age31_40",1,0.401482784619251
"0","3","male",42,0,1,8.4042,"S","Age41_50",2,0.522493088715758
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"0","2","female",24,0,0,13,"S","Age21_30",1,0.296305604423222
"0","3","male",28,0,0,9.5,"S","Age21_30",1,0.346569489821563
"0","3","male",32.37,8,2,69.55,"S","Age31_40",11,0.401482784619251
"0","3","male",34,0,0,6.4958,"S","Age31_40",1,0.421965317919075
"0","3","male",45.5,0,0,7.225,"C","Age41_50",1,0.566473988439306
"1","3","male",18,0,0,8.05,"S","Age11_20",1,0.22090977632571
"0","3","female",2,0,1,10.4625,"S","Age0_10",2,0.0198542347323448
"0","3","male",32,1,0,15.85,"S","Age31_40",2,0.396833375219904
"1","3","male",26,0,0,18.7875,"C","Age21_30",1,0.321437547122393
"1","3","female",16,0,0,7.75,"Q","Age11_20",1,0.195777833626539
"1","1","male",40,0,0,31,"C","Age31_40",1,0.497361146016587
"0","3","male",24,0,0,7.05,"S","Age21_30",1,0.296305604423222
"1","2","female",35,0,0,21,"S","Age31_40",1,0.43453128926866
"0","3","male",22,0,0,7.25,"S","Age21_30",1,0.271173661724051
"0","2","male",30,0,0,13,"S","Age21_30",1,0.371701432520734
"0","3","male",32.37,1,0,7.75,"Q","Age31_40",2,0.401482784619251
"1","1","female",31,1,0,113.275,"C","Age31_40",2,0.384267403870319
"1","3","female",27,0,0,7.925,"S","Age21_30",1,0.334003518471978
"0","2","male",42,1,0,27,"S","Age41_50",2,0.522493088715758
"1","1","female",32,0,0,76.2917,"C","Age31_40",1,0.396833375219904
"0","2","male",30,0,0,10.5,"S","Age21_30",1,0.371701432520734
"1","3","male",16,0,0,8.05,"S","Age11_20",1,0.195777833626539
"0","2","male",27,0,0,13,"S","Age21_30",1,0.334003518471978
"0","3","male",51,0,0,8.05,"S","Age51_60",1,0.635586830862026
"0","3","male",32.37,0,0,7.8958,"S","Age31_40",1,0.401482784619251
"1","1","male",38,1,0,90,"S","Age31_40",2,0.472229203317416
"0","3","male",22,0,0,9.35,"S","Age21_30",1,0.271173661724051
"1","2","male",19,0,0,10.5,"S","Age11_20",1,0.233475747675295
"0","3","male",20.5,0,0,7.25,"S","Age21_30",1,0.252324704699673
"0","2","male",18,0,0,13,"S","Age11_20",1,0.22090977632571
"0","3","female",21.77,3,1,25.4667,"S","Age21_30",5,0.268283488313647
"1","1","female",35,1,0,83.475,"S","Age31_40",2,0.43453128926866
"0","3","male",29,0,0,7.775,"S","Age21_30",1,0.359135461171149
"0","2","male",59,0,0,13.5,"S","Age51_60",1,0.736114601658708
"1","3","female",5,4,2,31.3875,"S","Age0_10",7,0.0575521487811008
"0","2","male",24,0,0,10.5,"S","Age21_30",1,0.296305604423222
"0","3","female",21.77,0,0,7.55,"S","Age21_30",1,0.268283488313647
"0","2","male",44,1,0,26,"S","Age41_50",2,0.547625031414928
"1","2","female",8,0,2,26.25,"S","Age0_10",3,0.0952500628298567
"0","2","male",19,0,0,10.5,"S","Age11_20",1,0.233475747675295
"0","2","male",33,0,0,12.275,"S","Age31_40",1,0.40939934656949
"0","3","female",21.77,1,0,14.4542,"C","Age21_30",2,0.268283488313647
"1","3","female",21.77,1,0,15.5,"Q","Age21_30",2,0.268283488313647
"0","2","male",29,0,0,10.5,"S","Age21_30",1,0.359135461171149
"0","3","male",22,0,0,7.125,"S","Age21_30",1,0.271173661724051
"0","3","male",30,0,0,7.225,"C","Age21_30",1,0.371701432520734
"0","1","male",44,2,0,90,"Q","Age41_50",3,0.547625031414928
"0","3","female",25,0,0,7.775,"S","Age21_30",1,0.308871575772807
"1","2","female",24,0,2,14.5,"S","Age21_30",3,0.296305604423222
"1","1","male",37,1,1,52.5542,"S","Age31_40",3,0.459663231967831
"0","2","male",54,1,0,26,"S","Age51_60",2,0.673284744910782
"0","3","male",32.37,0,0,7.25,"S","Age31_40",1,0.401482784619251
"0","3","female",29,1,1,10.4625,"S","Age21_30",3,0.359135461171149
"0","1","male",62,0,0,26.55,"S","Age61_70",1,0.773812515707464
"0","3","male",30,1,0,16.1,"S","Age21_30",2,0.371701432520734
"0","3","female",41,0,2,20.2125,"S","Age41_50",3,0.509927117366172
"1","3","female",29,0,2,15.2458,"C","Age21_30",3,0.359135461171149
"1","1","female",35.9,0,0,79.2,"C","Age31_40",1,0.445840663483287
"1","1","female",30,0,0,86.5,"S","Age21_30",1,0.371701432520734
"1","1","female",35,0,0,512.3292,"C","Age31_40",1,0.43453128926866
"1","2","female",50,0,1,26,"S","Age41_50",2,0.62302085951244
"0","3","male",32.37,0,0,7.75,"Q","Age31_40",1,0.401482784619251
"1","3","male",3,4,2,31.3875,"S","Age0_10",7,0.0324202060819301
"0","1","male",52,1,1,79.65,"S","Age51_60",3,0.648152802211611
"0","1","male",40,0,0,0,"S","Age31_40",1,0.497361146016587
"0","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"0","2","male",36,0,0,10.5,"S","Age31_40",1,0.447097260618246
"0","3","male",16,4,1,39.6875,"S","Age11_20",6,0.195777833626539
"1","3","male",25,1,0,7.775,"S","Age21_30",2,0.308871575772807
"1","1","female",58,0,1,153.4625,"S","Age51_60",2,0.723548630309123
"1","1","female",35,0,0,135.6333,"S","Age31_40",1,0.43453128926866
"0","1","male",32.37,0,0,31,"S","Age31_40",1,0.401482784619251
"1","3","male",25,0,0,0,"S","Age21_30",1,0.308871575772807
"1","2","female",41,0,1,19.5,"S","Age41_50",2,0.509927117366172
"0","1","male",37,0,1,29.7,"C","Age31_40",2,0.459663231967831
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"1","1","female",63,1,0,77.9583,"S","Age61_70",2,0.786378487057049
"0","3","female",45,0,0,7.75,"S","Age41_50",1,0.560191002764514
"0","2","male",32.37,0,0,0,"S","Age31_40",1,0.401482784619251
"0","3","male",7,4,1,29.125,"Q","Age0_10",6,0.0826840914802714
"1","3","female",35,1,1,20.25,"S","Age31_40",3,0.43453128926866
"0","3","male",65,0,0,7.75,"Q","Age61_70",1,0.81151042975622
"0","3","male",28,0,0,7.8542,"S","Age21_30",1,0.346569489821563
"0","3","male",16,0,0,9.5,"S","Age11_20",1,0.195777833626539
"1","3","male",19,0,0,8.05,"S","Age11_20",1,0.233475747675295
"0","1","male",32.37,0,0,26,"S","Age31_40",1,0.401482784619251
"0","3","male",33,0,0,8.6625,"C","Age31_40",1,0.40939934656949
"1","3","male",30,0,0,9.5,"S","Age21_30",1,0.371701432520734
"0","3","male",22,0,0,7.8958,"S","Age21_30",1,0.271173661724051
"1","2","male",42,0,0,13,"S","Age41_50",1,0.522493088715758
"1","3","female",22,0,0,7.75,"Q","Age21_30",1,0.271173661724051
"1","1","female",26,0,0,78.85,"S","Age21_30",1,0.321437547122393
"1","1","female",19,1,0,91.0792,"C","Age11_20",2,0.233475747675295
"0","2","male",36,0,0,12.875,"C","Age31_40",1,0.447097260618246
"0","3","female",24,0,0,8.85,"S","Age21_30",1,0.296305604423222
"0","3","male",24,0,0,7.8958,"S","Age21_30",1,0.296305604423222
"0","1","male",32.37,0,0,27.7208,"C","Age31_40",1,0.401482784619251
"0","3","male",23.5,0,0,7.2292,"C","Age21_30",1,0.290022618748429
"0","1","female",2,1,2,151.55,"S","Age0_10",4,0.0198542347323448
"1","1","male",32.37,0,0,30.5,"S","Age31_40",1,0.401482784619251
"1","1","female",50,0,1,247.5208,"C","Age41_50",2,0.62302085951244
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"1","3","male",32.37,2,0,23.25,"Q","Age31_40",3,0.401482784619251
"0","3","male",19,0,0,0,"S","Age11_20",1,0.233475747675295
"1","2","female",21.77,0,0,12.35,"Q","Age21_30",1,0.268283488313647
"0","3","male",32.37,0,0,8.05,"S","Age31_40",1,0.401482784619251
"1","1","male",0.92,1,2,151.55,"S","Age0_10",4,0.00628298567479266
"1","1","female",21.77,0,0,110.8833,"C","Age21_30",1,0.268283488313647
"1","1","female",17,1,0,108.9,"C","Age11_20",2,0.208343804976125
"0","2","male",30,1,0,24,"C","Age21_30",2,0.371701432520734
"1","1","female",30,0,0,56.9292,"C","Age21_30",1,0.371701432520734
"1","1","female",24,0,0,83.1583,"C","Age21_30",1,0.296305604423222
"1","1","female",18,2,2,262.375,"C","Age11_20",5,0.22090977632571
"0","2","female",26,1,1,26,"S","Age21_30",3,0.321437547122393
"0","3","male",28,0,0,7.8958,"S","Age21_30",1,0.346569489821563
"0","2","male",43,1,1,26.25,"S","Age41_50",3,0.535059060065343
"1","3","female",26,0,0,7.8542,"S","Age21_30",1,0.321437547122393
"1","2","female",24,1,0,26,"S","Age21_30",2,0.296305604423222
"0","2","male",54,0,0,14,"S","Age51_60",1,0.673284744910782
"1","1","female",31,0,2,164.8667,"S","Age31_40",3,0.384267403870319
"1","1","female",40,1,1,134.5,"C","Age31_40",3,0.497361146016587
"0","3","male",22,0,0,7.25,"S","Age21_30",1,0.271173661724051
"0","3","male",27,0,0,7.8958,"S","Age21_30",1,0.334003518471978
"1","2","female",30,0,0,12.35,"Q","Age21_30",1,0.371701432520734
"1","2","female",22,1,1,29,"S","Age21_30",3,0.271173661724051
"0","3","male",32.37,8,2,69.55,"S","Age31_40",11,0.401482784619251
"1","1","female",36,0,0,135.6333,"C","Age31_40",1,0.447097260618246
"0","3","male",61,0,0,6.2375,"S","Age61_70",1,0.761246544357879
"1","2","female",36,0,0,13,"S","Age31_40",1,0.447097260618246
"1","3","female",31,1,1,20.525,"S","Age31_40",3,0.384267403870319
"1","1","female",16,0,1,57.9792,"C","Age11_20",2,0.195777833626539
"1","3","female",21.77,2,0,23.25,"Q","Age21_30",3,0.268283488313647
"0","1","male",45.5,0,0,28.5,"S","Age41_50",1,0.566473988439306
"0","1","male",38,0,1,153.4625,"S","Age31_40",2,0.472229203317416
"0","3","male",16,2,0,18,"S","Age11_20",3,0.195777833626539
"1","1","female",35.9,1,0,133.65,"S","Age31_40",2,0.445840663483287
"0","3","male",32.37,0,0,7.8958,"S","Age31_40",1,0.401482784619251
"0","1","male",29,1,0,66.6,"S","Age21_30",2,0.359135461171149
"1","1","female",41,0,0,134.5,"C","Age41_50",1,0.509927117366172
"1","3","male",45,0,0,8.05,"S","Age41_50",1,0.560191002764514
"0","1","male",45,0,0,35.5,"S","Age41_50",1,0.560191002764514
"1","2","male",2,1,1,26,"S","Age0_10",3,0.0198542347323448
"1","1","female",24,3,2,263,"S","Age21_30",6,0.296305604423222
"0","2","male",28,0,0,13,"S","Age21_30",1,0.346569489821563
"0","2","male",25,0,0,13,"S","Age21_30",1,0.308871575772807
"0","2","male",36,0,0,13,"S","Age31_40",1,0.447097260618246
"1","2","female",24,0,0,13,"S","Age21_30",1,0.296305604423222
"1","2","female",40,0,0,13,"S","Age31_40",1,0.497361146016587
"1","3","female",35.9,1,0,16.1,"S","Age31_40",2,0.445840663483287
"1","3","male",3,1,1,15.9,"S","Age0_10",3,0.0324202060819301
"0","3","male",42,0,0,8.6625,"S","Age41_50",1,0.522493088715758
"0","3","male",23,0,0,9.225,"S","Age21_30",1,0.283739633073637
"0","1","male",32.37,0,0,35,"S","Age31_40",1,0.401482784619251
"0","3","male",15,1,1,7.2292,"C","Age11_20",3,0.183211862276954
"0","3","male",25,1,0,17.8,"S","Age21_30",2,0.308871575772807
"0","3","male",32.37,0,0,7.225,"C","Age31_40",1,0.401482784619251
"0","3","male",28,0,0,9.5,"S","Age21_30",1,0.346569489821563
"1","1","female",22,0,1,55,"S","Age21_30",2,0.271173661724051
"0","2","female",38,0,0,13,"S","Age31_40",1,0.472229203317416
"1","3","female",21.77,0,0,7.8792,"Q","Age21_30",1,0.268283488313647
"1","3","female",21.77,0,0,7.8792,"Q","Age21_30",1,0.268283488313647
"0","3","male",40,1,4,27.9,"S","Age31_40",6,0.497361146016587
"0","2","male",29,1,0,27.7208,"C","Age21_30",2,0.359135461171149
"0","3","female",45,0,1,14.4542,"C","Age41_50",2,0.560191002764514
"0","3","male",35,0,0,7.05,"S","Age31_40",1,0.43453128926866
"0","3","male",32.37,1,0,15.5,"Q","Age31_40",2,0.401482784619251
"0","3","male",30,0,0,7.25,"S","Age21_30",1,0.371701432520734
"1","1","female",60,1,0,75.25,"C","Age51_60",2,0.748680573008293
"1","3","female",35.9,0,0,7.2292,"C","Age31_40",1,0.445840663483287
"1","3","female",21.77,0,0,7.75,"Q","Age21_30",1,0.268283488313647
"1","1","female",24,0,0,69.3,"C","Age21_30",1,0.296305604423222
"1","1","male",25,1,0,55.4417,"C","Age21_30",2,0.308871575772807
"0","3","male",18,1,0,6.4958,"S","Age11_20",2,0.22090977632571
"0","3","male",19,0,0,8.05,"S","Age11_20",1,0.233475747675295
"0","1","male",22,0,0,135.6333,"C","Age21_30",1,0.271173661724051
"0","3","female",3,3,1,21.075,"S","Age0_10",5,0.0324202060819301
"1","1","female",35.9,1,0,82.1708,"C","Age31_40",2,0.445840663483287
"1","3","female",22,0,0,7.25,"S","Age21_30",1,0.271173661724051
"0","1","male",27,0,2,211.5,"C","Age21_30",3,0.334003518471978
"0","3","male",20,0,0,4.0125,"C","Age11_20",1,0.246041719024881
