Attrition,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
0,38,Research & Development,18,3,Medical,Male,Healthcare Representative,4,Married,5811,3,3,15,2,3,1
0,45,Sales,26,3,Marketing,Male,Sales Executive,1,Married,4385,1,1,10,2,3,10
0,49,Research & Development,8,1,Life Sciences,Male,Research Scientist,2,Married,5130,1,4,10,3,3,10
0,49,Research & Development,3,2,Medical,Female,Laboratory Technician,1,Married,4789,4,1,10,3,3,3
0,31,Sales,2,1,Life Sciences,Male,Sales Executive,4,Single,6582,4,3,10,2,4,6
0,30,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,3,Divorced,3491,1,1,10,4,2,10
0,31,Sales,20,2,Marketing,Female,Sales Executive,3,Married,6932,1,4,9,2,2,9
0,43,Research & Development,15,2,Life Sciences,Male,Research Director,3,Married,17603,1,1,14,3,3,14
0,25,Research & Development,2,1,Other,Male,Laboratory Technician,3,Divorced,3977,6,3,7,2,2,2
0,30,Sales,12,3,Technical Degree,Female,Sales Executive,3,Single,6577,0,2,6,6,3,5
1,46,Sales,9,3,Marketing,Male,Sales Executive,4,Divorced,10096,4,1,28,1,4,7
0,59,Sales,3,3,Life Sciences,Female,Sales Executive,4,Single,5171,5,4,13,2,3,6
0,42,Research & Development,24,3,Medical,Male,Manufacturing Director,1,Married,7406,1,4,10,5,2,10
1,46,Sales,9,2,Medical,Male,Sales Executive,4,Single,9619,1,4,9,3,3,9
1,28,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Single,2028,5,2,6,4,3,4
0,37,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,4,Married,6474,1,2,14,2,2,14
0,42,Research & Development,9,2,Medical,Female,Laboratory Technician,4,Single,3673,1,3,12,3,3,12
0,43,Research & Development,8,3,Life Sciences,Female,Manufacturing Director,2,Divorced,4765,4,3,4,2,4,1
0,36,Research & Development,4,4,Life Sciences,Male,Laboratory Technician,4,Single,5810,1,3,10,2,2,10
0,29,Research & Development,1,4,Life Sciences,Male,Research Scientist,4,Divorced,2720,1,4,10,5,3,10
0,32,Research & Development,3,2,Life Sciences,Female,Research Director,4,Single,11159,3,4,10,6,3,7
1,26,Research & Development,5,2,Medical,Female,Research Scientist,3,Married,2366,1,1,8,2,3,8
0,32,Research & Development,29,4,Life Sciences,Female,Laboratory Technician,2,Single,2837,1,3,6,3,3,6
0,49,Research & Development,1,3,Technical Degree,Female,Research Scientist,1,Married,3580,2,2,7,2,3,4
0,40,Sales,2,2,Marketing,Female,Sales Executive,2,Divorced,5715,7,3,8,5,3,5
0,28,Sales,9,4,Life Sciences,Male,Sales Executive,4,Single,5253,1,4,7,1,3,7
0,27,Research & Development,8,3,Medical,Female,Research Scientist,4,Single,3445,1,3,6,5,2,6
1,31,Sales,1,4,Life Sciences,Female,Sales Representative,3,Single,1359,1,2,1,3,3,1
0,36,Research & Development,5,2,Life Sciences,Male,Laboratory Technician,2,Single,5914,8,4,16,3,4,13
0,44,Human Resources,1,5,Human Resources,Male,Human Resources,4,Married,5743,4,3,14,3,3,10
0,47,Sales,2,2,Marketing,Female,Sales Executive,4,Married,4537,0,1,8,2,3,7
0,33,Research & Development,1,2,Medical,Male,Laboratory Technician,3,Divorced,2008,1,3,1,2,2,1
0,34,Research & Development,3,3,Life Sciences,Female,Research Scientist,2,Divorced,5433,1,3,11,2,3,11
0,45,Research & Development,6,4,Other,Male,Research Director,1,Married,13245,4,2,17,3,4,0
0,39,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,2,Single,6782,9,3,9,2,2,5
0,32,Research & Development,5,4,Other,Female,Research Scientist,4,Married,3312,3,4,6,3,3,3
1,46,Sales,10,3,Life Sciences,Female,Sales Executive,2,Married,7314,5,3,14,2,3,8
0,60,Sales,28,3,Marketing,Female,Sales Executive,1,Married,10266,4,4,22,5,4,18
0,60,Research & Development,7,3,Life Sciences,Female,Manager,1,Married,19566,5,4,33,5,1,29
0,47,Sales,2,4,Marketing,Male,Sales Executive,2,Married,4978,7,4,4,3,1,1
0,30,Research & Development,9,3,Medical,Male,Laboratory Technician,1,Divorced,3072,1,3,12,4,3,12
0,46,Sales,1,2,Marketing,Female,Sales Executive,1,Divorced,10453,1,3,24,2,3,24
0,30,Sales,8,2,Other,Male,Sales Executive,3,Divorced,7264,5,1,10,2,4,8
0,27,Sales,2,1,Life Sciences,Male,Sales Executive,4,Single,5071,3,2,8,3,3,6
0,36,Research & Development,2,4,Other,Female,Research Scientist,2,Married,6962,4,4,15,2,3,1
0,31,Research & Development,5,4,Technical Degree,Male,Research Scientist,4,Married,4821,0,3,6,4,3,5
0,23,Research & Development,4,3,Medical,Male,Research Scientist,1,Married,2819,2,1,5,3,4,3
0,32,Sales,8,3,Medical,Male,Sales Executive,4,Married,6209,1,3,10,4,4,10
0,49,Research & Development,16,3,Medical,Female,Laboratory Technician,1,Divorced,2587,4,2,17,2,2,2
0,54,Research & Development,2,4,Technical Degree,Female,Research Director,3,Married,13549,9,1,16,5,1,4
0,41,Human Resources,1,3,Human Resources,Male,Manager,3,Married,19189,1,2,22,3,3,22
0,48,Sales,16,4,Life Sciences,Female,Sales Executive,3,Divorced,6439,8,3,18,2,3,8
0,29,Research & Development,21,4,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,1,3,10,1,3,10
1,44,Research & Development,15,3,Medical,Female,Healthcare Representative,4,Married,7978,1,4,10,2,3,10
0,27,Research & Development,4,3,Life Sciences,Female,Research Scientist,3,Single,2318,1,3,1,2,3,1
0,39,Research & Development,6,1,Medical,Male,Healthcare Representative,1,Married,9991,4,1,9,5,3,7
0,36,Sales,10,4,Medical,Male,Sales Executive,4,Single,9980,1,4,10,3,2,10
0,34,Sales,21,4,Life Sciences,Male,Sales Executive,4,Single,5337,1,4,10,3,3,10
0,39,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,4,Married,6472,1,4,9,2,3,9
0,28,Sales,26,3,Life Sciences,Male,Sales Executive,1,Married,4724,1,3,5,0,3,5
0,38,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,4,Single,2288,1,3,2,3,3,2
0,31,Research & Development,23,3,Medical,Male,Healthcare Representative,4,Married,5582,0,2,10,2,3,9
0,46,Sales,4,2,Marketing,Female,Manager,2,Married,18789,2,3,26,2,3,11
0,38,Sales,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,0,3,17,6,2,16
0,45,Research & Development,28,3,Technical Degree,Male,Research Scientist,4,Married,2132,4,4,8,3,3,5
0,31,Human Resources,2,3,Human Resources,Male,Human Resources,1,Married,6410,3,4,9,1,3,2
0,42,Research & Development,2,3,Medical,Male,Laboratory Technician,2,Married,4841,4,2,4,3,3,1
0,40,Research & Development,2,3,Medical,Female,Laboratory Technician,3,Married,3448,6,2,20,3,3,1
0,32,Research & Development,2,2,Life Sciences,Female,Research Scientist,3,Single,4998,4,4,10,2,3,8
0,54,Research & Development,7,4,Medical,Female,Research Scientist,4,Married,6854,4,2,14,2,2,7
0,36,Research & Development,5,4,Life Sciences,Female,Healthcare Representative,1,Married,8008,4,3,9,6,3,3
0,38,Sales,10,2,Life Sciences,Female,Sales Executive,4,Married,5343,1,3,10,1,3,10
0,56,Research & Development,4,4,Technical Degree,Female,Manager,1,Divorced,19943,4,4,28,2,3,5
0,42,Sales,5,2,Marketing,Male,Manager,3,Married,18303,6,2,21,3,4,1
0,30,Research & Development,7,3,Medical,Male,Research Scientist,2,Married,2141,1,2,6,3,2,6
0,45,Research & Development,7,4,Life Sciences,Male,Manufacturing Director,3,Married,6434,4,4,9,1,3,3
0,34,Research & Development,19,3,Life Sciences,Female,Research Scientist,4,Married,2929,1,2,10,3,3,10
0,40,Research & Development,2,4,Life Sciences,Male,Research Scientist,3,Single,2809,2,4,8,2,3,2
0,26,Research & Development,2,1,Medical,Male,Research Scientist,4,Single,3904,0,4,5,2,3,4
0,56,Sales,11,5,Marketing,Female,Sales Executive,1,Married,5380,4,3,6,3,3,0
0,36,Research & Development,23,2,Medical,Male,Laboratory Technician,4,Married,2571,4,3,17,3,3,5
0,36,Research & Development,6,4,Life Sciences,Male,Laboratory Technician,1,Married,5562,3,4,9,3,3,3
0,31,Research & Development,1,4,Medical,Male,Manufacturing Director,3,Married,4345,0,4,6,2,3,5
0,36,Research & Development,3,3,Technical Degree,Male,Research Scientist,2,Married,3692,1,3,12,2,2,11
0,36,Sales,3,4,Medical,Male,Sales Executive,4,Married,9699,4,1,16,2,3,13
0,39,Research & Development,13,4,Medical,Female,Manager,2,Divorced,17123,6,4,21,4,3,19
0,40,Research & Development,11,3,Technical Degree,Female,Laboratory Technician,3,Married,6323,1,1,10,2,4,10
0,24,Research & Development,4,1,Life Sciences,Male,Laboratory Technician,4,Married,3162,0,4,6,2,2,5
0,34,Research & Development,2,1,Life Sciences,Male,Manufacturing Director,3,Married,9547,1,3,10,2,2,10
1,29,Sales,1,3,Medical,Female,Sales Representative,3,Divorced,2800,6,3,5,3,3,3
0,42,Sales,4,4,Marketing,Male,Sales Executive,1,Single,5155,7,4,9,3,4,6
0,31,Research & Development,24,1,Technical Degree,Female,Manufacturing Director,4,Single,5238,2,4,9,3,2,5
0,36,Sales,15,4,Marketing,Male,Sales Executive,4,Divorced,5406,1,1,15,4,2,15
0,37,Research & Development,9,3,Medical,Male,Research Scientist,4,Married,2326,1,3,4,3,2,4
0,29,Research & Development,23,3,Life Sciences,Male,Research Scientist,4,Single,2201,9,4,6,4,3,3
0,34,Research & Development,7,4,Life Sciences,Female,Research Director,2,Single,11994,0,3,13,4,3,12
0,43,Research & Development,9,5,Medical,Male,Laboratory Technician,3,Divorced,5679,3,2,10,3,3,8
0,27,Research & Development,19,3,Other,Male,Laboratory Technician,1,Divorced,4066,1,1,7,3,3,7
0,59,Sales,1,1,Life Sciences,Female,Sales Executive,3,Single,5473,7,4,20,2,2,4
0,34,Research & Development,10,4,Technical Degree,Male,Healthcare Representative,3,Married,5063,1,2,8,3,2,8
0,51,Sales,21,4,Marketing,Male,Sales Executive,4,Single,5441,0,4,11,2,1,10
0,38,Research & Development,1,3,Technical Degree,Female,Research Director,1,Married,13582,1,2,15,3,3,15
0,38,Sales,2,2,Marketing,Male,Sales Executive,2,Single,7351,7,3,10,2,3,1
0,52,Research & Development,4,2,Life Sciences,Female,Manager,4,Married,16555,2,4,31,2,1,5
0,54,Research & Development,3,3,Life Sciences,Male,Research Director,4,Married,17779,3,1,36,2,3,10
1,29,Research & Development,7,3,Technical Degree,Female,Laboratory Technician,3,Divorced,3339,3,1,10,2,3,7
0,55,Research & Development,2,2,Medical,Female,Manager,3,Married,19187,4,4,23,5,3,19
0,42,Research & Development,2,3,Life Sciences,Male,Healthcare Representative,4,Married,10124,2,3,24,3,1,20
0,46,Sales,3,3,Technical Degree,Female,Sales Executive,1,Divorced,13225,2,4,25,5,3,19
0,43,Research & Development,14,2,Life Sciences,Male,Research Director,1,Married,17159,6,3,22,3,3,4
0,27,Research & Development,2,4,Life Sciences,Female,Manufacturing Director,4,Married,4227,0,2,4,2,3,3
0,39,Research & Development,1,3,Medical,Male,Healthcare Representative,4,Divorced,9613,0,1,19,5,2,18
0,35,Sales,8,4,Life Sciences,Female,Sales Representative,4,Married,2572,1,2,3,1,2,3
0,35,Research & Development,21,1,Life Sciences,Female,Healthcare Representative,4,Married,4014,1,4,10,2,1,10
0,35,Research & Development,23,4,Medical,Female,Laboratory Technician,1,Married,4014,3,3,4,3,3,2
0,27,Research & Development,1,2,Life Sciences,Female,Manufacturing Director,1,Married,7412,1,4,9,3,3,9
0,44,Research & Development,10,4,Other,Male,Healthcare Representative,4,Married,6465,2,4,9,5,4,4
0,42,Sales,1,1,Life Sciences,Male,Sales Executive,3,Married,4907,1,3,20,3,3,20
0,45,Sales,9,4,Life Sciences,Female,Sales Executive,3,Married,5593,1,4,15,2,3,15
0,35,Research & Development,18,4,Life Sciences,Male,Healthcare Representative,3,Married,5689,1,4,10,2,4,10
0,24,Research & Development,1,2,Life Sciences,Male,Healthcare Representative,3,Single,4617,1,2,4,2,2,4
1,31,Research & Development,1,5,Life Sciences,Female,Manufacturing Director,2,Single,7446,1,1,10,2,3,10
0,46,Sales,2,3,Life Sciences,Male,Sales Executive,4,Divorced,10368,4,2,13,5,2,10
1,40,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Single,2018,3,2,15,3,1,5
0,27,Sales,20,3,Life Sciences,Female,Sales Executive,3,Single,9981,1,4,7,2,3,7
0,31,Research & Development,5,3,Medical,Male,Manufacturing Director,1,Single,9936,0,2,10,2,3,9
1,18,Sales,5,3,Marketing,Male,Sales Representative,2,Single,1878,1,4,0,3,3,0
0,39,Research & Development,1,1,Life Sciences,Female,Manufacturing Director,4,Married,12742,1,3,21,3,3,21
0,40,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,4661,1,3,9,4,3,9
0,36,Human Resources,13,3,Human Resources,Male,Human Resources,2,Married,2143,4,2,8,2,3,5
0,42,Research & Development,2,2,Medical,Male,Manager,1,Married,17665,0,4,23,3,3,22
0,58,Research & Development,23,4,Life Sciences,Male,Research Scientist,3,Divorced,2372,1,4,2,3,3,2
0,49,Research & Development,25,4,Life Sciences,Female,Laboratory Technician,1,Married,3211,1,4,10,3,2,9
1,29,Research & Development,1,4,Medical,Male,Research Scientist,4,Married,4787,9,2,4,3,4,2
0,43,Research & Development,6,3,Medical,Female,Research Scientist,3,Single,4081,1,1,20,3,1,20
0,37,Research & Development,5,2,Technical Degree,Male,Laboratory Technician,3,Single,3500,0,1,7,2,1,6
0,45,Sales,9,3,Marketing,Male,Sales Executive,1,Divorced,10761,4,3,18,2,3,5
0,28,Sales,1,2,Life Sciences,Male,Sales Executive,4,Married,6834,1,3,7,2,3,7
0,33,Research & Development,5,4,Life Sciences,Female,Manager,2,Married,11878,6,2,12,2,3,10
0,39,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,3,Single,10938,0,4,20,1,3,19
0,40,Research & Development,14,3,Medical,Male,Research Director,3,Single,19626,1,1,21,2,4,20
0,38,Sales,10,4,Marketing,Male,Sales Executive,3,Divorced,8740,0,2,9,2,3,8
0,45,Research & Development,4,2,Life Sciences,Male,Laboratory Technician,2,Married,4447,1,2,9,5,2,9
0,50,Human Resources,3,3,Medical,Male,Manager,2,Married,18200,1,3,32,2,3,32
0,38,Research & Development,23,4,Life Sciences,Male,Healthcare Representative,4,Divorced,5745,9,2,10,2,3,2
0,39,Sales,15,4,Marketing,Male,Sales Executive,1,Single,13341,0,1,21,3,3,20
0,47,Sales,3,3,Medical,Female,Sales Executive,3,Divorced,13770,9,4,28,2,2,22
0,47,Research & Development,25,3,Medical,Male,Healthcare Representative,3,Single,8633,2,2,25,3,3,17
0,26,Research & Development,3,4,Medical,Male,Laboratory Technician,4,Married,4420,1,2,8,2,3,8
0,34,Research & Development,10,4,Medical,Male,Research Scientist,3,Divorced,3815,1,4,5,4,4,5
0,32,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,2,Married,2794,1,3,5,3,1,5
0,30,Research & Development,1,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,1,3,10,1,2,10
0,38,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,3,Married,6553,9,2,14,3,3,1
0,30,Research & Development,3,3,Medical,Female,Research Scientist,3,Divorced,2083,1,3,1,2,3,1
0,34,Research & Development,2,2,Life Sciences,Male,Manufacturing Director,3,Single,4033,2,4,5,3,2,3
1,28,Research & Development,1,2,Life Sciences,Female,Research Scientist,2,Single,2216,7,4,10,4,3,7
0,38,Research & Development,10,1,Medical,Male,Research Scientist,3,Married,2684,0,2,3,0,2,2
0,54,Research & Development,10,3,Medical,Female,Manufacturing Director,1,Single,4440,6,4,9,3,3,5
0,35,Research & Development,4,4,Other,Male,Laboratory Technician,4,Married,2376,1,2,2,2,4,2
0,42,Research & Development,9,2,Other,Male,Manager,4,Single,19613,8,4,24,2,3,1
1,50,Sales,28,3,Marketing,Male,Sales Executive,1,Divorced,10854,4,2,20,3,3,3
0,31,Sales,7,3,Life Sciences,Male,Manager,4,Divorced,11557,9,3,10,3,2,5
0,30,Research & Development,2,3,Medical,Female,Manufacturing Director,4,Single,6877,5,2,12,4,2,0
0,26,Research & Development,1,2,Medical,Male,Laboratory Technician,1,Married,3955,1,1,6,2,3,5
