Attrition,Age,DistanceFromHome,EmployeeNumber,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears
0,29,7,1260,Male,4,Divorced,6623,Yes,11,6
0,34,21,621,Male,4,Single,5337,No,12,10
0,31,20,1135,Male,4,Married,2791,No,12,3
0,52,4,546,Female,4,Married,16555,No,13,31
0,46,1,1314,Female,1,Single,3423,No,12,10
0,36,26,1682,Male,3,Married,5347,No,14,10
1,28,5,65,Male,3,Single,3441,Yes,13,2
0,24,24,1173,Male,2,Single,3597,No,22,6
1,18,3,405,Male,3,Single,1420,No,13,0
0,39,21,1929,Female,3,Married,5736,No,19,10
0,37,7,1885,Male,1,Married,4284,Yes,22,16
0,30,23,159,Male,3,Divorced,2613,No,25,10
0,30,1,1241,Male,2,Married,3579,Yes,21,12
0,48,4,1644,Male,4,Married,15202,No,25,23
0,38,14,1582,Male,2,Married,9924,No,11,10
0,35,16,586,Male,3,Married,7632,Yes,12,10
0,33,7,1477,Male,1,Married,4373,No,14,5
1,30,4,514,Male,4,Single,2285,Yes,23,3
0,39,15,1975,Male,1,Single,13341,No,12,21
0,40,2,1986,Female,2,Married,5677,No,14,15
0,27,6,655,Female,3,Divorced,2187,No,12,6
0,31,2,1721,Male,3,Married,3477,No,14,6
0,53,13,250,Female,1,Divorced,4450,No,11,5
0,38,1,1668,Male,4,Married,4735,No,15,19
0,36,3,1257,Male,2,Married,3692,No,12,12
1,29,1,896,Female,3,Divorced,2800,Yes,19,5
0,41,5,1814,Male,2,Single,6870,No,12,11
1,45,2,1277,Female,2,Single,18824,Yes,16,26
0,34,1,1535,Male,3,Married,7083,Yes,14,10
1,29,14,1421,Female,4,Single,7553,Yes,12,9
0,40,9,1449,Male,3,Divorced,3975,No,11,11
0,34,6,151,Female,2,Divorced,4505,No,15,12
0,31,2,1996,Male,3,Married,3067,No,19,3
1,25,4,1106,Male,4,Married,3691,Yes,15,7
1,29,8,454,Male,1,Married,2119,Yes,11,7
0,40,4,215,Male,4,Married,10855,No,11,15
0,51,8,296,Male,2,Married,12490,No,16,16
0,35,17,1218,Male,1,Married,8966,Yes,15,15
0,34,6,138,Female,3,Single,4809,No,14,16
1,37,6,133,Male,1,Divorced,2073,Yes,22,7
1,39,23,1310,Male,1,Single,3904,No,13,6
1,33,2,328,Female,1,Married,2707,No,20,13
1,33,14,325,Male,4,Married,2436,Yes,13,8
1,29,1,2027,Male,4,Married,4787,Yes,14,4
0,38,18,1766,Male,4,Married,5811,Yes,16,15
1,29,9,1752,Female,2,Single,2760,No,13,2
0,33,2,1756,Female,2,Single,5147,No,15,13
1,58,2,977,Male,3,Single,2479,No,24,7
1,26,20,1818,Female,2,Married,2148,Yes,11,6
0,50,7,80,Female,3,Divorced,18740,Yes,12,29
0,37,2,139,Male,4,Divorced,5163,No,14,17
0,40,9,287,Male,4,Married,4876,No,14,5
1,42,19,752,Male,3,Divorced,2759,Yes,12,7
0,27,2,1931,Male,2,Married,2226,No,11,6
0,39,1,332,Female,3,Divorced,2232,No,14,7
0,38,2,1760,Female,2,Married,2468,No,14,9
0,48,1,664,Female,1,Married,15402,No,11,21
1,20,11,1016,Female,1,Single,2600,Yes,15,1
0,47,2,574,Female,4,Divorced,5070,No,13,20
0,34,8,757,Female,3,Single,6142,No,11,10
1,29,25,565,Female,2,Married,2546,No,16,6
0,40,1,119,Male,2,Married,13503,No,22,22
0,46,1,124,Male,1,Married,10673,Yes,13,21
1,37,11,1033,Female,2,Married,4777,No,15,15
1,22,3,926,Female,3,Married,4171,Yes,19,4
1,48,7,1691,Female,3,Married,2655,Yes,11,19
0,24,4,888,Male,4,Married,3162,No,17,6
1,52,2,1038,Female,4,Married,19845,No,15,33
1,51,8,179,Male,4,Single,10650,No,15,18
0,27,9,260,Female,2,Single,2279,No,16,7
1,58,2,918,Male,4,Divorced,2380,Yes,14,3
1,41,5,1210,Male,1,Divorced,2107,No,17,5
0,44,28,1039,Female,4,Married,13320,Yes,18,23
1,39,2,1458,Female,1,Single,3646,Yes,23,11
1,28,17,1960,Male,4,Divorced,2367,No,12,6
1,22,8,1783,Female,1,Married,2398,Yes,17,1
0,35,9,880,Female,3,Married,10685,Yes,20,17
0,37,10,2017,Female,4,Married,13744,Yes,25,16
1,31,3,1537,Female,3,Single,4084,No,12,7
0,29,1,1264,Female,4,Divorced,16124,No,14,9
0,32,29,2010,Female,2,Single,2837,No,13,6
1,50,1,2044,Male,3,Divorced,6728,No,12,12
1,58,23,165,Female,4,Married,10312,No,12,40
1,31,29,355,Male,2,Single,3479,No,11,6
0,36,16,1436,Female,1,Married,5647,No,13,11
1,50,3,47,Male,3,Married,2683,Yes,14,3
1,28,2,1504,Male,1,Single,2561,No,11,8
0,38,23,393,Male,4,Divorced,5745,No,14,10
1,31,8,1433,Female,2,Single,1261,No,12,1
0,41,23,1678,Male,3,Single,7082,Yes,16,21
0,39,6,2062,Male,1,Married,9991,No,15,9
1,41,4,488,Male,2,Single,9355,No,18,8
0,56,9,1071,Female,3,Married,2942,No,19,18
0,35,3,704,Male,3,Married,1281,No,18,1
0,48,2,712,Male,2,Married,8120,No,12,12
1,21,1,478,Female,2,Single,2174,Yes,11,3
1,53,24,1968,Male,1,Single,10448,Yes,13,15
0,35,23,75,Female,1,Married,4014,Yes,15,4
1,32,9,190,Female,1,Single,4200,No,22,10
1,30,22,1004,Female,3,Married,2132,Yes,11,7
0,36,9,1949,Male,2,Married,2810,No,22,5
0,46,13,1727,Male,2,Single,5562,No,14,19
0,38,10,634,Female,3,Married,9824,No,19,18
0,33,8,677,Male,3,Divorced,7104,No,12,6
1,35,15,1645,Male,4,Divorced,5440,Yes,14,7
1,45,26,684,Female,1,Married,4286,No,14,5
0,53,7,862,Female,4,Married,10934,Yes,18,35
0,52,6,630,Male,1,Divorced,5577,Yes,12,18
0,28,3,1121,Female,2,Divorced,7655,No,17,10
0,34,9,717,Female,2,Single,8621,No,14,9
1,18,8,1156,Male,3,Single,1904,No,12,0
1,29,7,1299,Female,3,Divorced,3339,Yes,13,10
0,27,17,233,Male,2,Married,3058,Yes,16,6
0,27,20,293,Female,3,Single,9981,No,14,7
0,50,29,569,Male,3,Married,17046,No,15,28
1,49,11,840,Female,4,Married,7654,No,18,9
1,22,3,1203,Male,4,Married,2853,Yes,11,1
0,33,1,969,Female,4,Single,6949,No,14,6
0,39,10,1618,Male,1,Married,5377,No,13,10
0,35,1,600,Male,3,Married,4717,No,11,15
0,34,1,1580,Male,4,Married,5484,No,17,9
1,30,1,1562,Male,1,Married,9714,No,11,10
0,33,14,252,Female,2,Married,2756,No,13,8
1,35,23,261,Male,3,Married,5916,Yes,13,8
0,25,4,527,Female,4,Single,4487,Yes,11,5
0,50,12,174,Female,4,Single,9208,No,11,16
1,28,2,440,Male,4,Married,3464,Yes,13,5
0,47,2,1443,Female,3,Married,17169,No,19,26
1,31,16,1761,Male,3,Married,8161,No,13,10
0,31,8,98,Female,4,Single,4424,No,23,11
0,36,4,2025,Female,2,Divorced,5131,No,13,18
0,21,5,1623,Male,4,Single,3117,No,18,3
1,37,1,970,Male,3,Married,10609,No,11,17
1,18,5,614,Male,2,Single,1878,Yes,14,0
1,26,24,622,Male,4,Single,2340,Yes,18,1
0,45,25,1306,Female,2,Single,18061,No,22,22
0,40,1,2012,Male,4,Married,2406,No,19,8
0,31,5,399,Female,2,Divorced,2789,No,11,2
0,34,1,649,Male,4,Married,3622,Yes,13,6
1,39,6,932,Male,1,Married,2404,Yes,21,8
1,28,24,1604,Male,2,Married,2408,Yes,17,1
0,29,9,1558,Male,3,Married,2451,No,18,5
0,50,4,385,Male,2,Divorced,19144,No,14,28
0,36,2,1294,Female,2,Single,5410,Yes,11,18
0,33,5,1395,Male,4,Married,9998,No,13,8
0,34,3,1915,Female,4,Married,8103,Yes,12,9
0,43,14,843,Male,1,Married,17159,No,24,22
0,55,26,1973,Male,2,Married,19636,Yes,18,35
1,53,2,1572,Female,4,Married,10169,No,16,34
0,31,20,1881,Male,3,Divorced,4197,No,11,10
1,46,9,1457,Male,4,Divorced,10096,No,11,28
0,31,7,1833,Female,1,Married,9637,No,14,9
0,59,3,10,Female,1,Married,2670,Yes,20,12
0,50,11,226,Female,2,Single,19926,No,15,21
1,31,1,1459,Female,2,Single,7446,No,11,10
0,46,2,1204,Female,1,Married,17048,No,23,28
0,40,2,763,Female,4,Single,2342,Yes,20,5
0,27,4,933,Female,3,Single,2318,No,19,1
1,50,28,2055,Male,1,Divorced,10854,Yes,13,20
0,26,25,177,Female,3,Married,2942,No,23,8
1,28,1,1111,Male,2,Divorced,2596,No,15,1
0,33,4,1771,Male,2,Divorced,3055,No,15,11
0,35,3,984,Male,4,Divorced,7823,No,13,12
0,30,7,1224,Male,3,Divorced,3491,No,13,10
0,25,19,1358,Male,4,Married,3669,No,11,7
0,38,10,2041,Female,4,Married,5343,No,11,10
1,28,24,1082,Male,1,Single,8722,No,12,10
1,37,10,1809,Male,1,Single,4213,No,15,10
0,53,1,1775,Female,3,Married,12965,Yes,20,27
0,36,12,1614,Female,3,Married,4663,Yes,12,7
1,46,9,118,Male,4,Single,9619,No,16,9
0,50,28,1317,Female,1,Married,16880,Yes,11,25
0,32,2,1235,Female,3,Single,4998,Yes,14,10
0,45,9,864,Male,1,Divorced,10761,Yes,12,18
0,37,3,1062,Female,2,Single,4107,No,15,8
0,31,2,424,Male,1,Married,6410,No,12,9
1,37,2,4,Male,3,Single,2090,Yes,15,7
0,39,12,1654,Male,2,Married,5295,No,21,7
0,36,18,1133,Male,4,Single,7779,No,20,18
0,37,5,1440,Male,3,Single,3500,No,14,7
1,31,18,1842,Male,1,Married,2956,No,17,2
0,29,5,1669,Male,2,Divorced,4187,Yes,13,10
0,42,29,547,Female,3,Divorced,4556,No,11,19
0,33,7,1970,Male,3,Divorced,5968,No,20,9
0,29,2,388,Male,4,Single,4554,No,18,10
0,50,24,1005,Male,3,Married,13973,Yes,18,22
0,59,6,321,Male,3,Married,2267,No,17,7
0,31,29,1784,Female,4,Married,5468,No,14,13
1,31,2,1379,Female,4,Single,2785,No,14,3
0,18,10,411,Female,3,Single,1200,No,12,0
0,50,10,491,Male,4,Single,10496,No,15,20
1,46,21,1821,Female,2,Married,8926,No,22,13
0,45,7,86,Male,1,Divorced,9724,No,17,25
1,35,4,1100,Male,1,Single,9582,Yes,22,9
0,40,16,1340,Male,3,Divorced,3544,No,16,6
0,56,23,1373,Male,2,Married,13402,Yes,12,33
0,59,3,1254,Female,4,Single,5171,No,17,13
1,31,6,163,Male,3,Married,6172,Yes,18,12
0,32,7,1446,Male,4,Married,9204,No,12,7
0,27,19,1619,Male,1,Divorced,4066,No,11,7
0,32,10,1516,Male,4,Single,11244,No,25,10
1,32,2,1862,Male,2,Single,9907,Yes,12,7
1,34,9,1807,Male,1,Married,5346,No,17,11
0,29,28,1120,Female,4,Divorced,2514,No,22,11
0,45,29,1465,Male,4,Married,9380,Yes,18,10
0,30,16,1479,Male,3,Married,5301,No,15,4
1,36,13,1733,Male,1,Divorced,6134,Yes,13,16
0,29,23,495,Male,4,Single,2201,No,16,6
1,25,5,142,Male,3,Single,5744,Yes,11,6
1,26,25,55,Male,3,Single,2293,No,12,1
0,22,8,1019,Male,1,Married,2451,No,15,4
1,25,24,1273,Male,4,Single,1118,Yes,14,1
0,48,1,1263,Male,4,Single,18265,No,12,25
1,20,4,960,Male,1,Single,2973,No,19,1
0,46,2,1732,Male,4,Divorced,10368,Yes,12,13
1,52,8,433,Male,2,Married,4941,No,15,11
0,39,3,760,Female,2,Married,6389,No,15,12
0,30,2,117,Male,4,Married,4152,No,19,11
0,25,4,885,Male,1,Married,4256,No,12,5
0,55,4,1501,Male,3,Married,4035,Yes,16,4
0,43,4,1293,Female,4,Single,10231,No,14,23
1,20,6,137,Female,4,Single,2926,Yes,18,1
1,19,21,959,Male,2,Single,2121,Yes,13,1
1,20,9,1077,Female,4,Single,2323,Yes,14,2
1,26,3,510,Male,1,Single,3102,No,22,7
0,43,9,1813,Male,3,Single,2438,No,13,7
0,40,26,1180,Female,4,Married,4422,Yes,13,16
0,37,1,380,Female,4,Divorced,13603,Yes,18,15
0,52,3,776,Male,1,Married,16856,No,11,34
1,28,12,1175,Female,4,Married,2515,Yes,11,1
1,50,8,723,Male,3,Married,6796,Yes,14,18
1,44,1,1098,Male,1,Married,10482,No,14,24
1,29,27,283,Female,4,Married,7639,No,22,10
0,26,1,792,Female,4,Divorced,4364,No,14,5
0,34,9,1344,Male,4,Divorced,8500,No,11,10
0,30,22,567,Female,1,Married,8412,No,11,10
0,36,1,1662,Female,3,Married,4374,No,15,4
0,36,3,481,Male,4,Married,9699,No,11,16
1,36,9,27,Male,1,Single,3407,No,23,10
0,37,9,1787,Male,2,Married,4189,No,14,5
0,37,14,515,Female,1,Divorced,3034,No,12,18
0,34,2,804,Female,1,Single,4381,No,11,6
0,36,17,1908,Male,2,Married,5507,No,16,12
0,31,10,1979,Female,3,Married,11031,No,20,13
1,47,27,785,Female,3,Single,6397,Yes,12,8
0,28,9,498,Male,4,Single,5253,No,16,7
0,26,6,1918,Male,4,Married,2544,No,18,8
1,26,21,1107,Male,3,Divorced,2377,No,20,1
0,37,3,689,Male,3,Married,9434,No,15,10
0,30,1,104,Male,4,Married,5126,Yes,12,10
0,23,20,1533,Male,3,Single,2272,No,14,5
0,34,2,339,Male,1,Married,5957,No,13,13
0,33,9,1238,Male,4,Married,2781,No,13,15
0,31,7,613,Male,4,Divorced,11557,No,21,10
0,39,8,602,Female,3,Married,3755,No,11,8
1,32,1,1734,Male,2,Single,6735,No,15,10
0,50,1,249,Male,3,Married,3690,No,15,5
0,28,10,1056,Male,2,Married,1052,No,22,1
0,38,6,1997,Male,3,Married,5321,No,11,10
1,32,7,1309,Male,3,Married,4883,No,18,10
0,45,1,336,Male,4,Married,19202,No,11,25
0,35,27,856,Female,1,Single,2559,No,11,6
0,31,9,581,Male,2,Divorced,10648,No,25,13
0,28,5,1469,Male,1,Single,8463,No,18,6
0,40,16,832,Male,3,Single,5094,No,14,10
0,43,27,1599,Male,2,Divorced,4876,No,12,8
1,33,16,819,Female,1,Single,5324,No,15,6
1,35,27,1797,Male,4,Single,5813,Yes,18,10
1,24,22,1714,Male,3,Married,1555,No,11,1
0,28,1,1927,Male,4,Married,6834,Yes,12,7
0,41,1,734,Male,3,Married,19189,No,12,22
1,30,26,299,Female,1,Single,6696,No,15,9
0,34,3,1658,Female,2,Divorced,5433,No,12,11
0,38,25,421,Female,2,Married,12061,No,17,19
0,30,9,184,Male,4,Married,6347,Yes,19,12
0,46,1,288,Male,1,Divorced,9396,No,16,17
1,32,16,33,Female,1,Single,3919,Yes,22,10
0,35,25,1014,Female,3,Divorced,10388,Yes,11,16
1,36,15,1052,Male,3,Divorced,4834,No,14,9
1,55,2,787,Male,1,Married,19859,Yes,13,24
0,39,2,909,Female,4,Married,5204,No,11,13
0,38,7,1382,Male,3,Divorced,2610,No,11,4
1,30,8,1747,Female,4,Divorced,2180,No,11,6
1,26,5,848,Female,3,Married,2366,Yes,14,8
0,27,5,1850,Female,4,Single,2379,Yes,14,6
0,35,1,826,Female,3,Single,2506,No,13,7
0,42,26,1242,Female,1,Married,13191,Yes,17,20
1,38,2,1573,Male,2,Married,4855,No,11,7
0,44,1,68,Female,1,Divorced,5454,Yes,21,9
0,35,25,899,Male,2,Married,10903,No,16,16
1,19,2,243,Male,4,Single,1102,No,22,1
1,28,1,741,Female,2,Single,2216,Yes,13,10
0,26,6,686,Female,4,Married,2659,Yes,13,3
1,30,9,1876,Male,4,Single,1081,No,13,1
0,54,1,1245,Female,3,Divorced,10502,No,17,33
0,53,2,23,Female,4,Married,15427,No,16,31
0,41,10,1329,Male,2,Single,6151,No,13,19
0,33,2,1670,Male,4,Divorced,5505,No,14,6
1,35,18,1380,Female,3,Married,4614,Yes,18,5
0,30,9,1298,Female,3,Single,4695,Yes,18,10
0,38,2,803,Female,1,Single,5980,Yes,12,17
1,41,2,927,Female,4,Divorced,2778,Yes,13,10
0,39,6,1588,Male,3,Married,8237,No,11,11
0,34,2,786,Male,4,Single,6274,No,22,6
0,45,7,341,Male,3,Married,6434,No,17,9
0,30,15,1754,Male,1,Divorced,7140,No,11,12
0,40,9,1548,Male,1,Married,5473,No,12,9
0,38,10,2015,Female,3,Married,13206,No,12,20
1,50,1,1113,Male,3,Single,4728,Yes,14,5
1,35,12,1667,Male,4,Single,4581,Yes,24,13
0,29,2,1513,Female,2,Married,3180,No,13,4
0,43,21,525,Male,4,Married,2258,No,20,8
0,41,28,2034,Female,2,Married,13570,No,23,21
0,25,7,143,Male,4,Married,2889,No,11,2
1,26,29,1037,Male,1,Single,4969,No,18,7
0,44,7,36,Female,4,Married,10248,No,14,24
0,29,3,564,Male,3,Married,11935,No,18,10
1,44,15,1295,Female,4,Married,7978,No,11,10
0,44,4,852,Male,2,Single,5933,No,12,10
0,32,5,889,Male,2,Married,6524,No,14,10
1,29,18,315,Male,4,Single,2389,Yes,13,4
0,56,1,1441,Female,1,Married,2066,No,22,5
0,30,10,1179,Male,3,Married,6578,No,18,10
1,36,16,1042,Female,1,Single,2743,No,16,18
1,25,9,1439,Male,1,Married,4400,No,12,6
0,49,25,1617,Female,1,Married,3211,No,14,10
0,32,7,359,Male,2,Married,2794,No,20,5
0,38,3,1060,Male,3,Married,2821,No,16,8
0,35,1,100,Male,1,Single,4312,No,14,16
0,24,24,632,Male,4,Married,2400,No,13,3
1,55,2,842,Male,4,Single,5160,No,16,12
0,35,7,1492,Male,3,Married,2404,No,13,1
1,34,24,1489,Female,2,Single,4599,Yes,23,16
0,28,1,1315,Female,4,Married,6674,No,11,10
1,55,13,1372,Male,3,Single,13695,Yes,17,24
1,21,10,1279,Female,3,Single,2625,No,20,2
0,29,20,974,Female,4,Married,2157,No,15,3
0,31,1,530,Male,1,Married,2218,No,12,4
1,43,9,1188,Female,3,Single,5346,No,13,7
0,41,12,1158,Male,4,Married,4766,Yes,11,6
1,51,4,1081,Male,3,Married,2461,Yes,12,18
0,28,1,1858,Male,4,Divorced,2706,No,15,3
1,28,24,19,Male,3,Single,2028,Yes,14,6
0,33,1,998,Female,2,Married,5488,Yes,13,6
1,40,7,1649,Male,1,Single,2166,Yes,14,10
1,34,16,1905,Male,1,Married,2307,Yes,23,5
1,19,1,235,Female,1,Single,2325,No,21,1
1,52,5,1319,Male,2,Single,8446,Yes,19,10
0,58,23,1308,Male,3,Divorced,2372,No,12,2
0,52,2,316,Female,4,Single,3212,No,15,6
1,42,12,1167,Male,1,Single,13758,Yes,12,22
1,40,22,492,Male,3,Married,6380,Yes,12,8
0,43,1,902,Female,4,Married,5562,No,13,12
0,39,18,1322,Male,3,Single,4534,No,11,9
0,33,8,1515,Male,3,Single,6388,Yes,17,14
0,28,17,536,Male,1,Divorced,4558,No,12,10
0,45,2,1635,Female,4,Divorced,5770,No,19,10
0,44,24,744,Male,3,Single,3708,No,14,9
0,27,1,274,Male,1,Married,4298,No,19,6
1,56,14,161,Female,2,Married,4963,Yes,18,7
1,28,2,364,Male,3,Single,3485,No,11,5
1,21,18,923,Female,4,Single,2693,No,19,1
0,37,10,486,Female,1,Married,3452,No,20,17
0,28,1,1834,Female,1,Married,3591,No,25,3
1,32,1,331,Male,3,Single,3730,Yes,14,4
0,53,1,682,Female,1,Single,8381,No,20,18
1,34,23,590,Female,1,Divorced,9950,Yes,15,11
0,36,6,373,Male,4,Married,3210,No,11,16
0,34,1,1950,Male,4,Single,9888,No,21,14
1,26,2,1053,Male,1,Married,2042,Yes,14,6
0,52,8,1409,Female,1,Married,2950,No,13,12
0,45,9,206,Male,2,Divorced,2348,No,18,20
0,27,8,1094,Male,3,Married,4621,No,19,3
0,53,23,901,Female,4,Single,14275,No,18,33
0,40,2,2051,Female,3,Married,2001,No,14,20
0,36,10,1880,Female,3,Married,5673,Yes,13,10
0,35,5,464,Male,2,Single,8095,No,13,17
0,35,1,105,Male,3,Single,2859,No,18,6
0,34,8,2068,Male,3,Married,4404,No,12,6
0,27,9,218,Male,2,Divorced,2024,No,18,6
0,20,3,1198,Male,3,Single,3033,No,12,2
0,38,10,1006,Male,3,Married,2684,No,17,3
0,40,7,1740,Male,2,Single,19833,No,14,21
1,28,13,1933,Female,3,Single,9854,Yes,11,6
0,41,6,466,Male,2,Single,6032,Yes,15,8
0,38,2,271,Male,3,Married,6553,No,14,14
0,48,2,1258,Male,2,Single,2559,No,11,7
0,44,3,671,Male,4,Married,19513,Yes,12,26
1,37,10,342,Male,3,Divorced,10048,No,11,17
0,42,9,1595,Male,4,Single,19613,No,22,24
0,42,2,1109,Male,1,Married,17665,No,17,23
0,35,4,1350,Male,3,Single,4249,Yes,11,9
0,49,1,1677,Male,3,Single,15379,No,14,23
0,28,16,1947,Male,3,Single,2144,No,14,5
0,53,2,1472,Male,2,Single,16598,No,12,35
0,42,12,1768,Male,2,Divorced,2766,No,22,7
1,24,17,1219,Female,2,Married,2210,No,13,1
