text,label
i am the only bright spot he has now i feel as if i have been burdened with more than i initially thought,sadness
i feel resentful of him trying to control what i do but i also don t want to do anything rash,anger
im pretty picky with the folks i link to i only want to list sites that i feel are worth your valuable time,joy
i am not feeling horny im just letting baba see the emote,love
i feel shitty as fuck,sadness
i feel like i missed the point with this book and therefore i feel kind of dumb,sadness
i heard a song on the radio yesterday that just made me feel amazed at the lyrics,surprise
i am wishful of gaining a feeling of responsibility from the planning of this event as well as commitment,joy
i have to say im feeling very tender about a great many things today being a mom is one,love
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,anger
i feel a remembrance of the strange by justin aryiku falls into the latter category,fear
i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,anger
when i ate a rotten apple,anger
i felt low at this point with missing people i know and i love but feeling helpless to do it,fear
i feel angry man named muaz,anger
i feel more graceful already,joy
i hope you ll consider coming out of your shell and let everyone around you feel your gorgeous personality,joy
i have trusted mike with some deeply personal information and feelings and have delighted in seeing this trust rewarded in pragmatic advice and practical outcomes,joy
i feel my inner happy present once again,joy
i feel myself afraid of being abandoned,fear
i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger
i hate to say it but i felt a tinge of this same feeling last week as i watched my beloved red sox fall to the tampa bay devil rays,joy
i feel so rejected and unwanted,sadness
i am just feeling grumpy and sore,anger
i feel like im a shitty friend,sadness
i believe even though at the time i didn t feel i should be hospitalized i m pretty sure it was a good thing i was,joy
i didnt sleep quite as well last night but i still feel quite energetic this morning,joy
i am excercising or running it still feels tender even almost like it is throbbing,love
i mean change is great though unless i feel like i am not alone in what i experience with having high functioning autism it s scary to make decisions and to want to work on myself in order to be the person i want to be,sadness
i am feeling so much love for my own mother and appreciative of all that she has done for me,joy
i feel ignored even if that ignoring is something i asked for specifically,sadness
i feel ive been physically uncomfortable for the last months of my life so nothing new there,fear
i feel like i am single handedly supporting the cupcake industry,love
i feel like i ve regained another vital part of my life which is living,joy
i feel clever nov,joy
im with her most of the time i feel perfectly content,joy
i feel hurt by the lack of any thought for me i knew she was busy with needin to drop beth off n that but only takes a second to bob in n give me a kiss goodbye or even a text,sadness
i feel like i cant be brave,joy
im quite sore today and physically just feeling exhausted and burnt out,sadness
i no raphael says grasping for his usual eloquence and feeling it slip from his fingers with spiteful ease,anger
i feel its gonna start aching again when the rainy season comes again next year,sadness
i have to push back the repressed expressions of a child of split marriage and say to myself no you had your chance its too late now to feel enraged by your situation but all i wanna do is yell at the top of my lungs fuck you this aint my fucking problem so dont make it that way,anger
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,love
i feel so blessed and honoured to be sharing my knowledge on my two absolute favourite topics in this life,love
i just didnt feel thrilled let alone excited,joy
i also feel its a transition piece for me still sweet and classy adding that touch to my more goth punk rebellious style im falling into lately,joy
i don t feel you all the time and you re not always on my mind but i ve got you from time to time and i know the divine yes i know the divine it all began at mount sinai,joy
i cant even remember what it feels like to be loved,love
i only cry when i think how guilty youll make me feel and yes ive fucked up a million reasons for shame and im sorry,anger
i feel more sympathetic than ever for elementary school teachers trying to coerce entire classes of third graders to walk single file to the lunchroom,love
i realised something was wrong when i started to feel everyone hated me and was saying things about me and only wanted to talk to me because they pitied me,anger
i took the second test for my cognitive psychology test and i feel mentally exhausted,sadness
i tween sat for my moms boss year old and year old boys this weekend id say babysit but that feels weird considering there were n,surprise
i do feel tender,love
i feel totally carefree with them around,joy
i feel loyal to him in some ways so respect his wish not to tell anyone but it is killing me keeping it inside,love
i feel like in a way i kinda shocked my body by changing my calorie intake,surprise
i am already feeling anxious then how is going off my anti anxiety medicine going to help me,fear
i dont know why im feeling so listless,sadness
i was made to feel that i was damaged and not good or giving enough when in reality nothing is ever enough,sadness
i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,love
i often feel overwhelmed with all of the office and administration work required of the teacher,fear
i wish that i had listened to this album back in the day because i feel like i have missed out on so many listening opportunities it is not very often you come across an album that you like the whole way through,sadness
ive felt the last few days i feel fucking fantastic today,joy
when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,joy
i am feeling a bit miserable or passionate about something its all just in the moment,sadness
i know this isnt real but it feels strange to me at times,surprise
i buy a glamorous dress i might feel like a glamorous person dittmar explained,joy
i feel listless most of the time nowadays,sadness
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly,sadness
i folk if im feeling sociable,joy
i learned a lot from this little project if youre ever feeling intimidated by a diy project just go for it,fear
im not sure i can go back to aussie festivals that make me appalled at the youth of today and make me feel glad to be old er and way more sensible,joy
i know this is supposed to be a cheerfull season the christmas season but this is what i am feeling after loosing our beloved cat tigger earlier this year,joy
i think this has caused me to resonate more deeply with others who lack connection and support who are alone who feel they do not have support who are suffering,sadness
i am designing games it really makes me feel excited,joy
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy
i sat down at the computer feeling nervous excited and more than a little silly,fear
i throw it out there the better ill feel heck im paranoid up such a tree brach right now i jumped when a chipmunk crossed my path when i went walking today,fear
i feel less alone and more like i belong,sadness
i left you i was feeling pretty defeated,sadness
i wasnt so self conscious of my atrocious singing i think id be tempted to break out into this whenever a colleague is feeling defeated,sadness
i felt the bubbling feeling and pretty soon i was at my peek and climaxed on her hands and her cute little dress,joy
i feel as though i gush on an on about the gorgeous colors of the produce we receive through our farm share and i have to do it again this week,joy
i feel pained just thinking about it,sadness
i was feeling very sympathetic and told him i was so sorry and somehow felt responsible for him getting burned which is ridiculous because he is a grown man who has lived in his sun sensitive skin for years and should know by now how to take care of himself,love
i was feeling and i said impatient,anger
i feel the nearness of my beloved grandpa bishop hi grandpa,joy
i wasnt feeling so ashamed that i spent a whole lotta time and precious energy doing this mind you,sadness
i think its time to find better stress management techniques and choke back this feeling of being overwhelmed,surprise
i am feeling terrible,sadness
i got the feeling watching it that only from starting out by making hats for his school friends could one develop such a clever use of resources train tickets doc marten soles barbies and shattered mirrors to name a few,joy
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i fucking love christmas so i ve compiled a list of fun things going on in the ol smoke to get you feeling festive,joy
i can still feel my legs and they get so cold,anger
i was feeling sort of heat exhausted,sadness
i can really spend some time wit him soon and feel loved again,love
i feel burdened with the subjects i am taking,sadness
i feel any artist that puts forth a piece of work even ones i do not agree with should be respected even if it s just for the sake of them overcoming the shackles of our society s norms,joy
i feel really bitter,anger
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger
i feel ok lol,joy
i feel pretty relieved and psyched that they actually got to see something penn said as members of the production team sifted through the mounds of trash pulling out boxes games and other atari products,joy
i feel that those who visit and come to this site become members of it would have a bag of tools which they can use to make their lives successful in many ways,joy
id done that though it kind of did a on me and i found myself sympathizing with the demons as the church called them and feeling more disgusted with the people who were supposed to be trying to fight them off,anger
i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me,sadness
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy
im feeling emotionally vulnerable right now and just want to throw up in peace so i can go back up and party hard,fear
i feel devastated betrayed and abandoned i ask for peace and comfort and a new direction,sadness
i feel like i cant do anything productive while hes home,joy
im lacking in the accessory department but i have a feeling that once i actually start putting the things i own in one place i might be a little more surprised at what i find,surprise
i started to feel cold like symptoms of light nausea cough and tiredness,anger
i manage to reach a conclusion after all my musings i feel somehow more resolved,joy
i told myself that i was feeling lethargic and tired that i had other things to do like wasting time on facebook that i needed to eat blah blah blah,sadness
i recognize most of the frequent posters and never feel unwelcome to a thread,sadness
i made you feel unimportant yet you never stopped to think how your actions and words were affecting me,sadness
i do find myself feeling distraught about getting older and stressed about the impending responsibilities that are to ensue i am generally content with only a little bit of repressed anger that makes it s appearance only when it s instigated,fear
i feel low energy i m just thirsty,sadness
i should feel burdened that the slightest touch from that body even now still lingers upon my skin,sadness
i already feel the atmosphere around it seems dangerous,anger
i needed to get all that out of my head and onto a screen where i can come and reread it later to see that while we have numerous blessings there are some challenges and that its okay for me to feel overwhelmed at times,fear
im feeling melancholy with all the back to school stuff today,sadness
i did not feel as hopeful yesterday our small number my childrens misbehavior during the service and the difficult hurried pace of the day before and after left me frayed and vulnerable,joy
i feel i was somewhat successful at not peeking at him during service the whole time,joy
im feeling my way through and trusting myself,joy
i decided that this one lesson i had had was enough practise for me so its fair to say i was feeling slightly apprehensive walking over to the nursery slopes,fear
i feel have a fabulous birding weekend everyone,joy
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear
i am much lighter now i feel extremely passionate about myself and my life yes me i do,love
i reconciled and life goes on as does marriage but i feel terrible for what i did to her and to the one with whom i had the affair,sadness
i persevered and km later im feeling pretty smug,joy
i feel that she was trying to hurt me,sadness
i often feel this is a very unfortunate flaw that i possess,sadness
i know takes a lot of present moment awareness and part will be the challenge of accepting things as they are so i don t set up a feeling of wanting or discontent,sadness
i am still working on how to get past feeling deprived by saying no to foods that are fat sugar filled,sadness
i feel i deserve i get depressed,sadness
i was feeling pretty crampy,joy
i feel like i m damaged goods and that he deserves better than this,sadness
i feel stress free heading into the holidays,joy
i feel like im in a whirlwind and the next im trying not to be too impatient as i wait,anger
i feel like by being so timid ive lost a lot of opportunities to make connections with people that ive wished id made connections with,fear
i was feeling so low about myself,sadness
i feel i can step into the world of men with a dignified stance,joy
i just feel so heartbroken out of loneliness,sadness
i feel twitchy and physically agitated,anger
i feel like this was a milestone race and i ve shaken the novice feeling off,fear
i feel like it only had created in me a more grumpy state at the meanness around me,anger
i am feeling really sad,sadness
i love the passion and the feeling of wonderful uncertainty of those teenage years,joy
i feel pathetic at times because,sadness
i feel totally comfortable without being wealthy and like the feeling to work hardly and a long time for every single wish in my mind that i want to become true,joy
ive continued to feel energetic most of the time and am trying to keep up my times of working out per week did the jillian workout this week and was very sore,joy
i woke up on the sofa feeling extremely agitated around pm,fear
i really don t feel all that bothered by the north london derby,anger
i don t doubt that i m right in this case because i feel that you are a faithful gamer,love
i hope to use this blog site to put my feelings into words and let myself look back and see how determined i am this beautiful morning to be healthier,joy
i always feel very afraid as i work on books egan tells kurt,fear
i am feeling only slightly lethargic and overwhelmed by my new surroundings,sadness
i just feel utterly content with everything and being here in a previously unknown place has rekindled my desire to see the world,joy
i think it is possible maybe i am denying it maybe i am not opening myself up to the whole possibility maybe it is only just now i have realised that it is possible to give a man men that power over me to make me feel shaken in my leather sandals,fear
i just feel like supporting them,joy
i wish i could find a crystal ball for the days i feel completely worthless,sadness
i devote this blog to her and pray with her for peace in the world especially when we feel frightened by religious violence,fear
i just feel like i havent shaken it up lately,fear
i arrived home hot sweaty and feeling a keen need for the chinese food i d put aside that morning,joy
i still likeguy and i still feel guilty,sadness
i feel like i am so devoted to so many other things that my time is being split up weirdly,love
i walked out the disinfected building feeling immensely dirty and lost and couldn t recognize where i was,sadness
i was always looking forward to to a life that just feels dull and numb,sadness
i feel a bit afraid of not thin and thin i would like to know is elevated thyroid hormone eat less because of the movement to improve the metabolism or drug but that still in the normal range within the distressed in the end because of hyperthyroidism thin or i was really healthy thin,fear
i start enjoying it and it becomes part of the general fabric of feeling joyful about your everyday activities about just being,joy
i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy
i feel the delicious heartburn,joy
i feel blessed to be on this journey so quickly and honored to help,love
i got up and started doing the one thing that always gives me joy even when im feeling lousy,sadness
i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,joy
i may feel uncomfortable or just want to give up,fear
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i don t feel petty,anger
im feeling stressed or having a bad day i take a walk or run,anger
i want people to have the same feeling of delighted shock i had when i saw it,joy
i is feeling insulted because everyone is comparing sneha with her,anger
i did feel that loving kindness allow us to think and feel how our conscious and how we interact with various things in the body and mind,love
i have gone to kitoben and worked with the children and on the playground i feel very joyful to be able to be working for others,joy
i want to do is sleep and i feel so bad for the boy,sadness
i want to write about this because i left campus feeling truly thankful to wesleyan for putting on the kind of event i never dreamed i d be able to attend after just a fairly short car ride,joy
i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger
im feeling kind of lonely right now even though i just talked to jack sarah and a lot of my other friends,sadness
i macendarfer who i feel thrilled to welcome into our family,joy
i feel a longing to call my mother to tell her how sorry i am that i left home early,love
i know it seems strange writing to you after all this time and i honestly feel appalled at my behavior as a mother,anger
i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,sadness
i feel lousy about how much i have to study,sadness
i feel heartbroken for bryan,sadness
i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,sadness
i feel alone and abandoned i believe i am alone and abandoned,sadness
im around my husband or home alone thinking about him that i feel hopeless,sadness
i can almost feel your delicate heart breaking,love
i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that,sadness
i was feeling stressed we were all like coiled springs and it wasnt going to end well,sadness
i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing,sadness
i really didnt feel that much despite the terrific acting,joy
i was actually feeling quite smart i was understanding the questions without even having to do the readings,joy
i feel like its vital to keep this someday list active,joy
i just feel like no one cares and no one can be bothered to make the effort and meet up,anger
i am feeling jaded,sadness
i honestly don t think it s possible for me to feel romantic love at this point,love
i was bopping around the house yesterday singing to myself and possibly out loud just a bit i feel charming oh so charming,joy
i feel like those rich people all fall into the category of don t belong when i see them on the bus,joy
i can no longer wear my t shirts without feeling like i m supporting a totally different band,joy
i designed the retirement detox course for all those people who are maybe feeling a little disillusioned with retirement and are wondering is this all there is then,sadness
i feel ignored and invisible so every weekend is miserable,sadness
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger
i indulge in doing some work i forget about the time trust people easily feel restless until my work is been finished,fear
i feel so resentful at the sun for chasing me into the house most of the day,anger
i just feel really needy,sadness
i view jesus as a human being through whom i and others feel weve encountered the divine i dont view him as a superman,joy
i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed,sadness
i feel all listless,sadness
i didn t sleep well the night before and am not feeling half as brave as i was yesterday,joy
i feel like every day i grow stronger and become less needy of someone to fill that role,sadness
i feel so deprived on calories a day,sadness
i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on,surprise
i feel obama is simply because hillary is so hated by so many,sadness
i do my best but it feels uncomfortable,fear
i think im entitled to feeling a little triumphant,joy
i am determined to lose weight the healthy way work harder in school be a better friend speak freely of how i feel be truthful with some people and get more sleep,joy
im continually feeling triggered im not sure if people are insensitive or if im selfish most likely the latter,joy
i feel melancholy about the past as my parents have passed and i never really told them how thankful i am,sadness
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i personally feel you can call a guy slutty and matt,love
i was sitting in the corner stewing in my own muck feeling hated alone unworthy and violated,anger
i live in philadelphia pa and i m pretty sure if he said you were just under and drove you home he was feeling sympathetic and if he was going to ticket you he would have right then and there,love
i get these intrusive thoughts mostly violent ones or sometimes sexual the sexual ones make me feel really agitated not pleasant at all whereas the violent ones don t tend to bother me,fear
i have a feeling he s going to start popping up all over primetime with his innocent kid potential murderer face,joy
i scream every day and every night and no one hears and my face is starting to fall off and i feel anxious and frightened all the time and i don t think i know what anything means anymore,fear
i love about my job i still feel dissatisfied,anger
i see myself feeling hurt or let down or uncertain,sadness
im feeling you up grumpy,anger
i like about this song is how it feels bouncy and matches tiggers bouncy personality,joy
ive posted a blog and i feel like thats unfortunate,sadness
ive noticed this week that im not the only one who struggles with feeling a little depressed after mothers day,sadness
i know that i will find a job and god has a plan but im feeling a little uncertain about everything at the moment,fear
i cant always identify with peoples struggles and often feel pretty lame because of that but a href http www,sadness
i feel so beaten down,sadness
i posted about feeling like a super mom because i managed to care for myself my children my fiance and my house for one day while working and on little sleep,joy
i feel lonely i remember my moms saying,sadness
i feel like i m getting a milkshake and it has really helped me control my sweet tooth,joy
i am feeling much more myself again now and i would like to say thank you to everyone for the lovely get well wishes your lovely comments always mean so much to me,love
im still using blogger to follow other blogs but i like livejournals feature of enabling private posts so i can keep just one journal without feeling inhibited about writing things i dont want to publish on the net,fear
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy
i grinned at peter feeling somehow triumphant when it was only partially forced,joy
i don t feel like i have been shamed for my body but i have felt pressure to have a more socially acceptable body size,sadness
i am aware of a level of unrest and feeling uncertain and i will sit with it for now,fear
im not feeling lucky,joy
i do believe looking good feeling food being more productive and professional making more money,joy
i cant help but feel a longing to be outside more to feel the rain on my skin and sticky tree droppings on my feet,love
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
i sit here just a few hours after seeing this fucking thing and swimming in post traumatic combat shock i am reminded that clich s flaws and feeling like a supporting character in your own movie are what often define our real lives and the world we live in,love
i personally feel that i did this crime should be punished pubicly whether he belong to any caste creed color any elite or mogul group,sadness
i reply because they make me feel pretty,joy
i feel so envious and proud of you at the same time if it is at all possible to feel that way,anger
i do not feel miserable at all because my family is not the type that celebrates eid,sadness
i feel wronged by you over and over,anger
i feel hot i drank some cold drink or find some ice dessert such as chendol or ice kacang,love
i still feel guilty to this day for taking a spot,sadness
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
i also feel like i have been accepted with open arms hearts and minds thanks for facilitating this welcoming and supportive community marie,love
i still managed to feel tranquil and appreciate this archeological wonder,joy
im thankful for music that makes me laugh music that makes me feel strong music that makes me believe in myself,joy
i feel out of longing is actually being sublimed,love
i remember wearing the dress feeling fabulous looking fabulous announcing my good news to many friends whilst wearing that dress,joy
i understand that chronically living makes some healthy people feel threatened or afraid,fear
im tired feeling crappy hungry and still dealing with ridding my house of the smell of vomit,sadness
i do these days that makes me feel a little uncertain about the future the pressures that pierce me deep the feeling of being completely isolated from the world i used to glory in and all the thrills that go with it,fear
i feel so blessed and beyond thankful for the opportunity to paint for my readers its been the best,joy
i feel simultaneously superior and inferior to each other writer and i wish i could take back some off the things i said,joy
i will continue to feel disgusted every time i accidentally catch a glimpse of myself in the mirror or see the results of an impromptu picture,anger
i also feel i do not deserve anyones sympathy or help or caring because i do not feel worthy of anything,love
im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,joy
i guess i sort of believe him but deep down i just feel unsure about the unknown,fear
i know im feeling agitated as it is from a side effect of the too high dose,fear
i feel like im not being the joyful me maybe its the hormones just act like how you feel never lie to yourself,joy
i was starting to feel resentful towards ah kiat with regards to his obsessive and anal approach towards the house and forgetting he has only treated me with lots of love care and attention so far since weve been together,anger
i make this blog post i am feeling the melancholy running through my veins,sadness
i no longer feel disadvantaged by my ethnicity and the fact that the majority of gay men are racist and dont wanna date asians,sadness
i feel very humiliated but also even more turned on,sadness
i will scream or cry when theres too many ppl but i feel insecure and wanted hide from them and i will sweat a lot,fear
i look at his sweet little face crying for his mama just wanting me to hold him and love him and i feel so horribly awful for being frustrated with him,sadness
i will explain here the areas i feel are vital to a successful experience and then i will pinpoint how i plan to assess those areas,joy
i just feel so annoyed with the way our economic job market is set up,anger
i feel i hated you despised you yet you can make me happy even when i was sad in a matter of minutes,sadness
i remember feeling bowled over and surprised by my own reaction at the tears welling up,surprise
i just feel cold said rachel,anger
i feel really inadequate and i just wish i had enough brains to atleast pretend to know what i was doing,sadness
i wonder how it feels to have angered and disappointed millions of people in one morning,anger
i wonder if mind readers draw a blank when they get around stupid people and when stupid people leave a room does it feel like somebody smart just walked in,joy
i guess these expectations of me being so goddamn perfect have made me feel afraid to change,fear
i open the file im interested in and for about twenty minutes read fiddle and wonder why im not feeling creative,joy
i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
i don t feel so exhausted all the time,sadness
is eyes its questionable whether shes feeling gracious today,love
