Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount($),Length of current employment(Month),Sex & Marital Status,Duration in Current address,Most valuable available asset,Age (years),Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,1,12,2,0,1372,4,1,3,3,36,2,1,3,1,1,1
1,3,36,4,0,6614,5,3,4,3,34,2,2,4,1,2,1
1,3,24,2,3,1278,5,3,1,1,36,2,1,4,1,2,1
0,2,36,3,0,8086,5,3,4,3,42,2,4,4,1,2,1
0,2,36,2,0,14318,5,3,2,4,57,3,1,4,1,2,1
0,3,18,4,0,2775,4,3,2,2,31,2,2,3,1,1,1
0,1,24,2,0,4817,4,3,3,2,31,2,1,3,1,2,1
1,2,6,2,3,484,4,4,3,1,28,2,1,2,1,1,1
0,2,8,2,2,1237,3,2,4,1,24,2,1,3,1,1,1
0,1,36,2,0,9271,4,3,1,3,24,2,1,3,1,2,1
1,3,10,4,2,2069,3,4,1,3,26,2,2,3,1,1,2
1,3,12,2,3,1297,3,4,4,1,23,1,1,3,1,1,1
1,3,12,2,9,1076,3,4,2,1,26,2,1,3,1,2,1
1,2,6,2,3,590,2,4,3,1,26,2,1,2,1,1,2
1,3,12,4,9,1185,3,2,2,1,27,2,2,3,1,1,1
0,2,18,4,0,1056,5,3,3,1,30,2,2,3,1,1,1
1,3,12,4,3,618,5,3,4,1,56,2,1,3,1,1,1
1,1,11,4,0,3939,3,3,2,1,40,2,2,2,2,1,1
1,2,12,4,0,3124,2,3,3,1,49,2,2,2,2,1,1
1,3,30,4,3,5954,4,3,2,3,38,2,1,3,1,1,1
1,3,12,3,1,1503,3,4,4,1,41,1,1,3,1,1,1
1,3,12,4,0,926,1,2,2,2,38,2,1,1,1,1,1
1,3,18,4,3,1098,1,2,4,3,65,2,2,1,1,1,1
1,3,7,3,3,846,5,3,4,4,36,3,1,3,1,1,1
1,3,15,2,1,1300,5,3,4,4,45,3,1,3,2,1,1
1,3,18,2,2,1984,3,3,4,4,47,3,2,3,1,1,1
0,2,12,2,0,1223,5,1,1,1,46,1,2,3,1,1,1
1,3,6,2,8,1238,1,3,4,2,36,2,1,4,2,2,1
0,1,9,2,0,654,3,3,3,3,28,2,1,2,1,1,1
1,3,10,2,1,2848,3,3,2,1,32,2,1,3,2,1,1
1,3,4,4,0,1455,4,3,1,1,42,2,3,2,2,1,1
1,2,12,4,3,3573,3,2,1,1,23,2,1,2,1,1,1
0,2,21,2,9,1188,5,2,4,2,39,2,1,3,2,1,1
1,3,24,2,9,1258,4,3,1,1,25,2,1,3,1,2,1
1,3,12,2,3,2073,3,2,2,1,28,2,1,3,1,1,1
1,3,21,3,1,2993,3,3,2,1,28,2,2,2,1,1,1
0,2,12,2,0,685,4,4,3,3,25,2,1,2,1,1,1
1,3,12,2,3,1963,4,3,2,3,31,1,2,4,2,2,1
1,2,12,2,3,1103,4,3,3,1,29,2,2,3,1,1,1
1,1,12,2,2,1657,3,3,2,1,27,2,1,3,1,1,1
1,1,21,4,0,1602,5,4,3,3,30,2,2,3,1,2,1
1,3,9,2,6,3832,5,3,4,1,64,2,1,2,1,1,1
1,3,18,4,3,2404,3,2,2,3,26,2,2,3,1,1,1
1,1,36,2,10,15857,1,1,3,3,43,2,1,4,1,1,1
0,3,24,2,3,2397,5,3,2,3,35,2,2,3,1,2,1
1,3,12,4,9,1264,5,3,4,4,57,1,1,2,1,1,1
1,3,15,2,3,1213,5,3,3,2,47,2,1,3,1,2,1
1,2,6,4,8,932,4,2,3,2,39,2,2,2,1,1,1
1,3,24,4,9,1275,3,1,4,1,36,2,2,3,1,2,1
0,1,18,0,2,3114,2,2,4,2,26,1,1,3,1,1,1
1,2,18,2,0,5866,3,3,2,3,30,2,2,3,1,2,1
1,3,24,3,0,2032,5,3,4,4,60,3,2,3,1,2,1
0,2,9,1,1,5129,5,2,4,4,74,3,1,4,2,2,1
0,2,24,2,3,3092,2,4,2,3,22,1,1,3,1,2,1
1,1,8,4,0,3398,4,3,4,1,39,2,2,2,1,1,2
1,3,9,2,3,2697,3,3,2,1,32,2,1,3,2,1,1
1,1,24,4,9,1382,4,3,1,1,26,2,2,3,1,2,1
1,2,36,2,1,6948,3,3,2,3,35,1,1,4,1,2,1
1,3,12,2,3,2279,3,3,4,4,37,3,1,3,1,2,1
1,1,20,4,2,4272,5,2,4,2,24,2,2,3,1,1,1
0,2,60,2,6,6288,3,3,4,4,42,3,1,3,1,1,1
0,3,18,2,0,6761,3,3,4,3,68,1,2,3,1,1,1
1,2,9,2,9,1391,3,4,1,1,27,2,1,3,1,2,1
1,3,24,2,2,5511,3,3,1,3,25,2,1,3,1,1,1
1,3,28,4,3,2743,5,3,2,3,29,2,2,3,1,1,1
1,3,39,2,1,8588,5,3,2,3,45,2,1,4,1,2,1
1,1,15,3,2,3643,5,2,4,2,27,2,2,2,1,1,1
0,1,24,1,0,1193,1,2,4,4,29,1,2,1,1,1,1
0,1,12,2,1,3386,5,3,4,4,35,3,1,3,1,2,1
1,3,24,4,3,2578,5,3,2,3,34,2,1,3,1,1,1
1,1,6,4,0,609,4,2,3,2,37,2,2,3,1,1,1
0,1,21,3,6,3414,2,3,1,2,26,2,2,3,1,1,1
1,1,18,3,6,8471,3,2,2,3,23,1,2,3,1,2,1
0,1,12,0,3,6199,3,3,2,2,28,1,2,3,1,2,1
1,2,14,2,9,1410,5,4,2,1,35,2,1,3,1,2,1
1,3,30,4,3,3656,5,3,4,2,49,2,2,2,1,1,1
1,2,9,2,2,2030,4,3,1,3,24,2,1,3,1,2,1
0,1,12,0,0,1082,3,3,4,3,48,2,2,3,1,1,1
1,3,12,2,0,2390,5,3,3,3,50,2,1,3,1,2,1
0,2,24,2,1,11560,3,2,4,3,23,1,2,4,1,1,1
1,2,7,2,3,2329,2,2,1,1,45,2,1,3,1,1,1
1,3,24,2,1,2670,5,3,4,3,35,2,1,4,1,2,1
1,2,9,4,2,1919,4,3,3,3,35,1,1,3,1,2,1
1,3,6,2,2,2116,3,3,2,1,41,2,1,3,1,2,1
0,2,60,2,0,7408,2,2,2,2,24,2,1,4,1,1,1
0,3,21,4,6,2319,2,1,1,3,33,1,1,3,1,1,1
1,3,18,2,3,2051,2,3,1,1,33,2,1,3,1,1,1
0,2,18,4,2,1928,2,3,2,1,31,2,2,2,1,1,1
1,3,12,4,9,1412,3,2,2,1,29,2,2,4,1,2,1
0,3,12,4,0,939,4,4,2,1,28,2,3,3,1,2,1
1,1,12,2,3,701,3,4,2,1,40,2,1,2,1,1,1
1,1,24,2,10,1755,5,2,4,1,58,2,1,2,1,2,1
0,2,36,2,6,12612,3,3,4,4,47,3,1,3,2,2,1
1,1,36,4,2,5371,3,3,2,2,28,2,2,3,1,1,1
0,1,12,2,6,684,3,3,4,3,40,1,1,2,2,1,1
0,2,18,3,2,4297,5,1,3,4,40,2,1,4,1,2,1
1,2,18,0,2,3244,3,2,4,3,33,2,2,3,1,2,1
1,2,6,3,9,1449,5,1,2,3,31,2,2,3,2,1,1
1,3,21,2,1,2476,5,3,4,1,46,2,1,4,1,2,1
1,3,10,2,0,1364,3,2,4,3,64,2,1,3,1,2,1
1,3,9,2,9,1449,4,2,2,3,27,2,2,3,1,1,1
1,3,36,4,1,11054,3,3,2,3,30,2,1,4,1,2,1
1,3,18,2,0,1820,3,4,2,2,30,2,1,4,1,2,1
1,3,12,2,9,1542,4,3,4,3,36,2,1,3,1,2,1
0,1,36,2,1,8229,3,3,2,2,26,2,1,3,2,1,1
0,2,12,0,2,2969,2,2,3,2,25,1,2,3,1,1,1
0,2,12,2,2,2762,5,2,2,2,25,2,1,3,1,2,1
0,1,18,2,3,1882,3,2,4,3,25,1,2,3,1,1,1
1,3,12,4,3,1291,3,2,2,2,35,2,2,3,1,1,1
1,3,12,2,3,886,3,2,2,3,21,2,1,3,1,1,1
1,3,24,1,9,1559,4,3,4,3,40,2,1,3,1,2,1
0,1,36,2,2,3446,5,3,2,3,42,2,1,3,2,1,1
0,2,48,2,3,3060,4,3,4,1,28,2,2,3,1,1,1
1,3,15,4,6,1532,3,2,3,3,31,2,1,3,1,1,1
1,1,24,4,1,6615,1,3,4,4,75,3,2,4,1,2,1
0,3,36,2,3,4210,3,3,2,3,26,2,1,3,1,1,1
1,3,15,3,1,3594,2,2,2,2,46,2,2,2,1,1,1
1,3,15,4,3,1471,3,3,4,4,35,3,2,3,1,2,1
1,3,18,2,9,1568,3,2,4,2,24,1,1,2,1,1,1
0,1,24,2,2,2359,1,1,1,2,33,2,1,3,1,1,1
1,3,36,3,1,8947,4,3,2,3,31,2,1,4,2,2,1
1,1,12,2,3,2214,3,3,3,2,24,2,1,2,1,1,1
0,1,48,2,4,3051,3,3,4,3,54,2,1,3,1,1,1
1,3,21,2,9,1572,5,2,4,1,36,2,1,2,1,1,1
0,2,18,4,3,1245,3,4,2,3,33,2,1,3,1,1,1
1,2,30,2,2,3832,2,4,1,2,22,2,1,3,1,1,1
1,1,24,2,2,4169,3,3,4,2,28,2,1,3,1,1,1
0,1,18,4,2,2124,3,2,4,1,24,1,2,3,1,1,1
1,3,18,2,3,1126,2,2,2,1,21,1,1,3,1,2,1
0,2,9,4,6,1501,5,2,3,3,34,2,2,4,1,2,1
1,3,12,4,6,2748,5,2,4,4,57,3,3,2,1,1,1
1,3,9,4,6,936,5,3,2,3,52,2,2,3,1,2,1
0,3,10,2,0,1240,5,2,4,4,48,3,1,2,2,1,1
1,2,48,2,0,8487,4,2,2,3,24,2,1,3,1,1,1
0,2,18,0,0,2278,2,2,3,3,28,2,2,3,1,1,1
0,2,12,2,3,1484,3,4,1,1,25,2,1,3,1,2,1
1,3,9,2,3,1126,5,1,4,1,49,2,1,3,1,1,1
1,1,18,2,3,2389,2,2,1,3,27,2,1,3,1,1,1
1,3,12,2,0,640,3,1,2,1,49,2,1,2,1,1,1
0,1,18,2,0,1216,2,2,3,3,23,1,1,3,1,2,1
1,3,10,2,2,1275,2,2,2,2,23,2,1,3,1,1,1
1,3,9,4,0,1224,3,3,1,1,30,2,2,3,1,1,1
1,1,15,4,2,975,3,1,3,2,25,2,2,3,1,1,1
1,3,11,4,3,1154,1,2,4,1,57,2,3,2,1,1,1
1,3,60,2,3,10144,4,2,4,1,21,2,1,3,1,2,1
0,1,30,2,2,2406,4,2,4,1,23,1,1,3,1,1,1
1,3,6,3,9,1743,3,3,2,1,34,2,2,2,1,1,1
1,2,6,2,3,1068,5,3,4,3,28,2,1,3,2,1,1
1,1,21,2,2,3599,4,2,4,3,26,1,1,2,1,1,1
0,1,18,2,0,976,2,2,2,3,23,2,1,2,1,1,1
1,3,36,2,1,4686,3,3,2,4,32,3,1,4,1,2,1
1,1,30,0,2,4583,3,1,2,1,32,2,2,3,1,1,1
1,1,24,2,1,2964,5,3,4,4,49,3,1,3,2,2,1
1,3,36,4,0,3535,4,3,4,3,37,2,2,3,1,2,1
1,2,18,3,5,6204,3,3,4,1,44,2,1,2,2,2,1
1,1,13,4,9,1797,2,3,1,2,28,2,2,2,1,1,1
1,2,18,4,9,1887,3,4,4,1,28,2,2,3,1,1,1
1,2,6,3,2,1050,1,3,1,2,35,2,2,4,1,2,2
0,3,30,3,9,1908,5,3,4,1,66,2,1,4,1,2,1
1,3,15,2,3,1386,3,4,2,1,40,1,1,3,1,2,1
1,2,18,2,9,1913,2,4,3,1,36,2,1,3,1,2,1
1,2,21,4,2,2745,4,3,2,3,32,2,2,3,1,2,1
1,2,18,4,2,7374,1,3,4,2,40,2,2,4,1,2,1
1,3,9,4,3,3074,3,3,2,1,33,2,2,3,2,1,1
1,2,24,4,3,1743,5,3,2,2,48,2,2,2,1,1,1
0,1,15,2,4,1275,3,2,2,3,24,1,1,3,1,1,1
1,3,15,2,1,3029,4,3,2,3,33,2,1,3,1,1,1
1,2,18,2,5,3872,1,2,4,3,67,2,1,3,1,2,1
1,3,24,2,3,1533,2,2,3,3,38,2,1,3,1,2,1
0,1,12,4,0,4843,5,3,4,2,43,1,2,3,1,2,1
0,2,36,2,5,2384,2,3,1,4,33,1,1,2,1,1,1
1,3,48,3,3,12749,4,3,1,3,37,2,1,4,1,2,1
0,2,48,2,3,10961,4,3,2,4,27,2,2,3,1,2,1
1,1,18,4,0,5302,5,3,4,4,36,3,3,4,1,2,1
0,2,24,4,9,1935,5,1,4,1,31,2,2,3,1,2,1
0,1,12,2,2,1282,3,2,4,3,20,1,1,3,1,1,1
0,1,24,1,2,3349,2,3,4,4,30,3,1,3,2,2,1
1,2,10,2,0,7308,1,3,4,4,70,3,1,4,1,2,1
1,3,6,2,0,672,1,2,4,1,54,2,1,1,1,2,1
1,2,18,4,3,1795,5,2,4,1,48,1,2,2,1,2,1
1,3,18,4,0,1055,2,2,1,2,30,2,2,3,1,1,1
1,3,24,2,1,5433,1,2,4,2,26,1,1,4,1,2,1
0,3,24,3,0,2538,5,3,4,3,47,2,2,2,2,1,1
1,3,6,2,3,518,3,2,1,1,29,2,1,3,1,1,1
1,3,30,4,3,6742,4,3,3,2,36,2,2,3,1,1,1
1,2,18,2,9,1941,3,3,2,2,35,2,1,2,1,2,1
1,2,12,2,3,1092,3,2,4,1,49,2,2,3,1,2,1
0,1,18,2,6,750,1,2,1,1,27,2,1,1,1,1,1
1,1,18,2,0,4380,3,3,4,3,35,2,1,2,2,2,1
1,3,9,4,6,1244,5,2,4,2,41,1,2,2,1,1,1
0,1,24,1,2,6872,2,1,1,2,55,2,1,3,1,2,1
0,1,18,1,2,1553,3,3,3,3,44,2,1,3,1,1,1
1,3,6,4,0,6761,4,3,3,4,45,2,2,4,2,2,1
1,1,21,4,0,571,5,3,4,1,65,2,2,3,1,1,1
1,2,12,2,2,3017,2,2,1,1,34,1,1,4,1,1,1
1,2,39,3,6,11760,4,3,3,4,32,1,1,3,1,2,1
1,3,6,2,6,1538,2,2,2,4,56,2,1,3,1,1,1
1,2,12,2,0,6078,4,3,2,3,32,2,1,3,1,1,1
1,1,15,2,2,1845,2,2,1,2,46,1,1,3,1,1,1
0,2,9,2,2,918,3,2,1,2,30,2,1,3,1,1,1
1,3,24,2,3,1311,4,4,3,2,26,2,1,3,1,2,1
0,1,24,2,2,3345,5,3,2,2,39,1,1,4,1,2,1
1,3,24,2,3,1552,4,3,1,3,32,2,1,3,2,1,1
1,3,36,3,0,10875,5,3,2,3,45,2,2,3,2,2,1
1,3,12,2,2,1768,3,3,2,1,24,1,1,2,1,1,1
0,1,24,2,3,1987,3,3,4,1,21,1,1,2,2,1,1
0,3,36,2,2,10974,1,2,2,3,26,2,2,4,1,2,1
1,2,11,3,3,4771,4,3,4,2,51,2,1,3,1,1,1
1,1,15,2,0,1721,2,3,3,1,36,2,1,3,1,1,1
0,1,24,2,0,1207,2,2,4,2,24,1,1,3,1,1,1
1,3,18,2,9,1950,4,3,1,3,34,2,2,3,1,2,1
1,3,24,4,2,3617,5,3,4,4,20,1,2,3,1,1,1
1,3,6,4,0,362,3,2,4,3,52,2,2,2,1,1,1
1,3,20,4,0,3485,2,1,4,1,44,2,2,3,1,2,1
0,2,30,4,2,8386,4,3,2,2,49,2,1,3,1,1,1
1,1,15,2,0,2511,1,2,4,3,23,1,1,3,1,1,1
1,1,10,4,0,2241,2,3,3,1,48,1,2,2,2,1,2
1,2,9,2,0,3195,3,2,2,1,33,2,1,2,1,1,1
1,3,6,4,3,1382,3,2,1,3,28,2,2,3,1,2,1
1,2,12,4,2,3617,5,3,4,3,28,1,3,3,1,2,1
0,2,24,2,0,1355,2,2,4,3,25,2,1,2,1,2,1
1,3,10,2,4,1225,3,3,2,3,37,2,1,3,1,2,1
1,1,24,1,2,2828,3,3,4,1,22,2,1,3,1,2,1
0,3,18,1,0,6458,5,3,4,4,39,2,2,4,2,2,1
1,3,21,2,0,2923,3,2,1,3,28,2,1,4,1,2,1
1,3,18,2,0,1961,5,2,2,3,23,2,1,4,1,1,1
0,3,9,2,3,745,3,2,2,1,28,2,1,2,1,1,1
1,3,24,2,3,1258,3,2,3,3,57,2,1,2,1,1,1
0,2,36,0,9,1953,5,3,4,4,61,3,1,4,1,2,1
1,3,11,2,9,2142,5,1,2,1,28,2,1,3,1,2,1
1,1,18,2,0,2249,4,3,3,3,30,2,1,4,2,2,1
1,3,24,2,3,1377,5,2,2,4,47,3,1,3,1,2,1
0,1,18,2,2,2039,3,2,4,1,20,1,1,3,1,1,1
0,1,21,2,3,1835,3,2,2,1,25,2,2,3,1,2,1
1,2,15,2,5,1308,5,3,4,3,38,2,2,2,1,1,1
1,3,12,4,5,996,4,2,4,1,23,2,2,3,1,1,1
1,3,21,2,1,5248,3,3,3,3,26,2,1,3,1,1,1
1,1,27,2,3,3416,3,3,2,3,27,2,1,4,1,1,1
1,3,24,2,3,2284,4,3,2,3,28,2,1,3,1,2,1
1,3,36,2,3,2394,3,2,4,3,25,2,1,3,1,1,1
1,3,18,2,3,1473,2,4,4,1,39,2,1,3,1,2,1
1,3,48,3,3,7238,5,3,3,3,32,2,2,3,2,1,1
0,2,6,3,0,1209,1,3,4,2,47,2,1,4,1,2,1
1,3,12,4,3,930,5,3,4,1,65,2,4,3,1,1,1
0,3,24,2,0,947,4,3,3,4,38,3,1,3,2,1,1
1,2,36,4,1,5800,3,3,4,3,34,2,2,3,1,2,1
1,3,12,1,3,409,3,2,3,1,42,1,2,3,1,1,1
1,3,24,2,2,929,4,3,2,3,31,2,1,3,1,2,1
1,1,47,2,0,10722,2,2,1,1,35,2,1,2,1,2,1
0,2,30,3,3,1919,2,3,3,4,30,2,2,4,1,1,1
0,2,45,4,3,4746,2,3,2,2,24,2,2,2,1,1,1
1,3,12,4,3,976,5,3,4,3,35,2,2,3,1,1,1
1,1,48,2,6,7476,4,3,1,4,50,3,1,4,1,2,1
1,3,10,2,0,1597,3,3,2,4,40,1,1,2,2,1,2
1,3,12,2,0,3527,2,3,3,2,45,2,1,4,2,2,1
1,1,36,4,2,2348,3,4,2,2,46,2,2,3,1,2,1
1,1,24,1,0,2325,4,3,3,3,32,2,1,3,1,1,1
0,2,48,2,3,5951,3,2,2,1,22,2,1,3,1,1,1
1,3,24,3,0,717,5,4,4,3,54,2,2,3,1,2,1
0,1,12,0,5,1108,4,3,3,1,28,2,2,3,1,1,1
1,3,48,4,1,8858,4,3,1,4,35,3,2,3,1,2,1
1,3,21,2,0,2782,4,2,2,3,31,2,1,4,1,1,1
1,3,24,2,0,2255,2,3,1,2,54,2,1,3,1,1,1
1,3,12,2,3,2171,2,2,2,3,29,2,1,3,1,1,1
0,1,36,3,9,2145,4,3,1,3,24,2,2,3,1,2,1
1,1,6,2,4,343,2,2,1,1,27,2,1,3,1,1,1
1,3,15,2,1,4657,3,3,2,3,30,2,1,3,1,2,1
0,1,24,3,3,1659,2,2,2,3,29,1,1,2,1,2,1
1,3,21,2,2,2241,5,3,2,1,50,2,2,3,1,1,1
1,1,6,2,0,1203,5,3,2,2,43,2,1,3,1,2,1
0,2,36,2,1,9398,2,4,4,3,28,1,1,4,1,2,1
0,1,48,4,1,6143,5,2,4,4,58,3,2,2,1,1,1
0,3,18,3,9,2169,3,4,2,3,28,2,1,3,1,2,1
1,3,24,2,2,3749,2,2,4,3,26,2,1,3,1,1,1
1,2,12,3,3,585,3,4,4,1,20,1,2,3,1,1,1
0,2,24,2,10,11328,3,3,3,3,29,2,2,4,1,2,1
1,3,6,2,1,1236,3,3,4,2,50,1,1,3,1,1,1
0,2,24,2,0,2718,3,2,4,2,20,1,1,2,1,2,1
1,1,18,2,2,3650,2,2,4,3,22,1,1,3,1,1,1
1,1,6,2,0,1374,1,2,3,2,75,2,1,4,1,2,1
1,1,12,2,0,1893,3,2,4,2,29,2,1,3,1,2,1
1,2,60,3,3,7418,3,3,1,1,27,2,1,2,1,1,1
0,2,9,2,3,1670,2,2,2,3,22,2,1,3,1,2,1
1,1,24,2,2,3021,3,1,2,1,24,1,1,2,1,1,1
1,3,15,2,4,874,2,2,1,1,24,2,1,3,1,1,1
0,1,18,4,5,1190,1,2,4,4,55,3,3,1,2,1,1
1,3,24,2,3,3235,5,1,2,3,36,2,1,4,1,2,1
1,3,36,2,3,3595,5,3,2,3,28,2,1,3,1,1,1
1,1,15,4,2,1433,3,2,3,2,25,1,2,3,1,1,1
1,3,36,2,3,5848,3,3,1,3,24,2,1,3,1,1,1
1,2,24,4,0,3878,2,1,2,3,37,2,1,3,1,2,1
1,3,12,4,3,2331,5,3,4,1,49,2,1,3,1,2,1
1,2,12,4,1,1860,1,3,2,3,34,2,2,4,1,2,1
1,2,12,4,0,1995,2,3,1,3,27,2,1,3,1,1,1
1,2,12,2,2,983,2,2,4,1,19,1,1,2,1,1,1
0,3,12,4,9,2292,1,3,2,3,42,2,2,4,1,2,1
1,2,12,2,0,1318,5,3,4,1,54,2,1,3,1,2,1
1,3,18,4,3,1582,5,3,4,3,46,2,2,3,1,1,1
1,3,24,4,0,1940,5,3,4,1,60,2,1,3,1,2,1
0,3,12,4,3,797,5,2,3,2,33,2,1,2,2,1,1
1,3,24,2,1,2679,2,2,1,4,29,2,1,4,1,2,1
1,2,27,3,1,5965,5,3,2,3,30,2,2,4,1,2,1
1,2,15,4,9,2326,3,3,4,3,27,2,1,3,1,1,1
0,3,18,2,3,2100,3,3,2,1,37,2,1,3,1,1,1
0,1,24,2,3,2439,2,2,4,1,35,2,1,3,1,2,1
1,3,24,2,1,2603,3,2,4,3,28,1,1,3,1,2,1
1,3,12,2,1,1413,4,3,2,2,55,2,1,3,1,1,2
1,3,24,3,9,2375,3,3,2,3,44,2,2,3,2,2,1
0,1,36,2,0,1842,2,2,4,3,34,2,1,3,1,2,1
0,2,24,2,3,2039,2,4,1,2,22,2,1,3,1,2,1
1,2,18,3,9,2427,5,3,2,2,42,2,2,3,1,1,1
1,3,33,4,1,7253,4,3,2,3,35,2,2,4,1,2,1
0,1,24,3,0,1333,1,3,2,1,43,3,2,3,2,1,1
1,1,27,4,9,2442,5,3,4,3,43,2,4,4,2,2,1
1,1,18,2,3,1936,4,4,4,3,23,1,2,2,1,1,1
1,3,12,2,0,2133,5,2,4,4,52,3,1,4,1,2,1
1,1,6,4,0,860,5,2,4,4,39,2,2,3,1,2,1
1,2,11,2,2,1577,2,2,1,1,20,2,1,3,1,1,1
1,3,15,4,2,3343,3,3,2,4,28,3,1,3,1,2,1
1,3,36,2,0,909,5,3,4,2,36,2,1,3,1,1,1
1,2,30,3,9,2503,5,3,2,2,41,2,2,3,1,1,1
1,3,18,4,3,629,5,3,3,2,32,2,2,4,1,2,1
1,2,12,4,4,1424,4,3,3,2,26,2,1,3,1,1,1
1,3,22,2,3,2675,5,3,4,3,40,2,1,3,1,1,1
1,3,18,2,0,2662,4,3,3,2,32,2,1,3,1,1,2
0,3,21,0,0,5003,3,2,4,2,29,2,2,3,1,2,1
1,2,48,2,3,3979,4,3,1,3,41,2,2,3,2,2,1
1,1,48,2,1,4788,4,3,3,2,26,2,1,3,2,1,1
1,3,24,2,0,3757,5,2,4,4,62,3,1,3,1,2,1
1,2,48,1,0,12169,1,3,4,4,36,3,1,4,1,2,1
1,3,24,2,0,7393,3,3,4,2,43,2,1,2,2,1,1
0,2,36,2,2,9034,2,3,1,4,29,1,1,4,1,2,1
1,3,24,2,3,1413,3,4,2,2,28,2,1,3,1,1,1
1,3,6,4,0,1343,5,3,4,1,46,2,2,3,2,1,2
1,3,24,4,3,5103,2,4,3,4,47,3,3,3,1,2,1
1,3,27,4,2,4526,2,3,2,1,32,2,2,2,2,2,1
1,3,15,4,3,1459,3,2,2,3,43,2,1,2,1,1,1
1,2,6,2,3,2063,2,4,3,3,30,1,1,4,1,2,1
1,1,6,4,2,1872,1,3,4,4,36,3,3,4,1,2,1
1,1,36,2,2,3959,1,3,3,2,30,2,1,4,1,2,1
0,2,36,0,3,3804,3,2,1,3,42,2,1,3,1,2,1
1,3,6,4,0,1323,5,1,4,3,28,2,2,3,2,2,1
1,3,15,2,3,1979,5,3,2,3,35,2,1,3,1,1,1
1,3,6,2,5,660,4,4,4,1,23,1,1,2,1,1,1
0,2,24,2,1,12579,5,2,2,4,44,3,1,4,1,2,1
1,3,6,2,2,2978,3,3,2,3,32,2,1,3,1,2,1
1,3,24,4,3,2684,3,3,2,1,35,2,2,2,1,1,1
0,1,12,2,8,902,4,4,4,2,21,1,1,3,1,1,1
1,1,42,4,5,3394,1,3,4,3,65,2,2,1,1,1,1
1,3,24,4,3,2872,5,3,4,1,36,2,1,3,2,2,1
1,2,27,2,9,2528,2,2,1,2,32,2,1,3,2,2,1
