PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,AgeGroup,Family,Mother,Fare2
110,1,3,Miss,female,21.77,1,0,371110,24.15,NA,Q,Age_20,2,0,24.15
111,0,1,Mr,male,47,0,0,110465,52,C110,S,Age_40,1,0,52
112,0,3,Miss,female,14.5,1,0,2665,14.4542,NA,C,Age_10,2,0,14.4542
113,0,3,Mr,male,22,0,0,324669,8.05,NA,S,Age_20,1,0,8.05
114,0,3,Miss,female,20,1,0,4136,9.825,NA,S,Age_20,2,0,9.825
115,0,3,Miss,female,17,0,0,2627,14.4583,NA,C,Age_10,1,0,14.4583
116,0,3,Mr,male,21,0,0,STON/O 2. 3101294,7.925,NA,S,Age_20,1,0,7.925
117,0,3,Mr,male,70.5,0,0,370369,7.75,NA,Q,Age_70,1,0,7.75
118,0,2,Mr,male,29,1,0,11668,21,NA,S,Age_20,2,0,21
119,0,1,Mr,male,24,0,1,PC 17558,247.5208,B58 B60,C,Age_20,2,0,164.8667
120,0,3,Miss,female,2,4,2,347082,31.275,NA,S,Age_00,7,0,31.275
121,0,2,Mr,male,21,2,0,S.O.C. 14879,73.5,NA,S,Age_20,3,0,73.5
122,0,3,Mr,male,32.37,0,0,A4. 54510,8.05,NA,S,Age_30,1,0,8.05
123,0,2,Mr,male,32.5,1,0,237736,30.0708,NA,C,Age_30,2,0,30.0708
124,1,2,Miss,female,32.5,0,0,27267,13,E101,S,Age_30,1,0,13
125,0,1,Mr,male,54,0,1,35281,77.2875,D26,S,Age_50,2,0,77.2875
126,1,3,Master,male,12,1,0,2651,11.2417,NA,C,Age_10,2,0,11.2417
127,0,3,Mr,male,32.37,0,0,370372,7.75,NA,Q,Age_30,1,0,7.75
128,1,3,Mr,male,24,0,0,C 17369,7.1417,NA,S,Age_20,1,0,7.1417
129,1,3,Miss,female,21.77,1,1,2668,22.3583,F E69,C,Age_20,3,0,22.3583
130,0,3,Mr,male,45,0,0,347061,6.975,NA,S,Age_40,1,0,6.975
131,0,3,Mr,male,33,0,0,349241,7.8958,NA,C,Age_30,1,0,7.8958
132,0,3,Mr,male,20,0,0,SOTON/O.Q. 3101307,7.05,NA,S,Age_20,1,0,7.05
133,0,3,Mrs,female,47,1,0,A/5. 3337,14.5,NA,S,Age_40,2,0,14.5
134,1,2,Mrs,female,29,1,0,228414,26,NA,S,Age_20,2,0,26
135,0,2,Mr,male,25,0,0,C.A. 29178,13,NA,S,Age_20,1,0,13
136,0,2,Mr,male,23,0,0,SC/PARIS 2133,15.0458,NA,C,Age_20,1,0,15.0458
137,1,1,Miss,female,19,0,2,11752,26.2833,D47,S,Age_10,3,0,26.2833
138,0,1,Mr,male,37,1,0,113803,53.1,C123,S,Age_30,2,0,53.1
139,0,3,Mr,male,16,0,0,7534,9.2167,NA,S,Age_10,1,0,9.2167
140,0,1,Mr,male,24,0,0,PC 17593,79.2,B86,C,Age_20,1,0,79.2
141,0,3,Mrs,female,35.9,0,2,2678,15.2458,NA,C,Age_30,3,1,15.2458
142,1,3,Miss,female,22,0,0,347081,7.75,NA,S,Age_20,1,0,7.75
143,1,3,Mrs,female,24,1,0,STON/O2. 3101279,15.85,NA,S,Age_20,2,0,15.85
144,0,3,Mr,male,19,0,0,365222,6.75,NA,Q,Age_10,1,0,6.75
145,0,2,Mr,male,18,0,0,231945,11.5,NA,S,Age_10,1,0,11.5
146,0,2,Mr,male,19,1,1,C.A. 33112,36.75,NA,S,Age_10,3,0,36.75
147,1,3,Mr,male,27,0,0,350043,7.7958,NA,S,Age_20,1,0,7.7958
148,0,3,Miss,female,9,2,2,W./C. 6608,34.375,NA,S,Age_00,5,0,34.375
149,0,2,Mr,male,36.5,0,2,230080,26,F2,S,Age_30,3,0,26
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,NA,S,Age_40,1,0,13
151,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,NA,S,Age_50,1,0,12.525
152,1,1,Mrs,female,22,1,0,113776,66.6,C2,S,Age_20,2,0,66.6
153,0,3,Mr,male,55.5,0,0,A.5. 11206,8.05,NA,S,Age_50,1,0,8.05
154,0,3,Mr,male,40.5,0,2,A/5. 851,14.5,NA,S,Age_40,3,0,14.5
155,0,3,Mr,male,32.37,0,0,Fa 265302,7.3125,NA,S,Age_30,1,0,7.3125
156,0,1,Mr,male,51,0,1,PC 17597,61.3792,NA,C,Age_50,2,0,61.3792
157,1,3,Miss,female,16,0,0,35851,7.7333,NA,Q,Age_10,1,0,7.7333
158,0,3,Mr,male,30,0,0,SOTON/OQ 392090,8.05,NA,S,Age_30,1,0,8.05
159,0,3,Mr,male,32.37,0,0,315037,8.6625,NA,S,Age_30,1,0,8.6625
160,0,3,Master,male,4.57,8,2,CA. 2343,69.55,NA,S,Age_00,11,0,69.55
161,0,3,Mr,male,44,0,1,371362,16.1,NA,S,Age_40,2,0,16.1
162,1,2,Mrs,female,40,0,0,C.A. 33595,15.75,NA,S,Age_40,1,0,15.75
163,0,3,Mr,male,26,0,0,347068,7.775,NA,S,Age_20,1,0,7.775
164,0,3,Mr,male,17,0,0,315093,8.6625,NA,S,Age_10,1,0,8.6625
165,0,3,Master,male,1,4,1,3101295,39.6875,NA,S,Age_00,6,0,39.6875
166,1,3,Master,male,9,0,2,363291,20.525,NA,S,Age_00,3,0,20.525
167,1,1,Mrs,female,35.9,0,1,113505,55,E33,S,Age_30,2,1,55
168,0,3,Mrs,female,45,1,4,347088,27.9,NA,S,Age_40,6,1,27.9
169,0,1,Mr,male,32.37,0,0,PC 17318,25.925,NA,S,Age_30,1,0,25.925
170,0,3,Mr,male,28,0,0,1601,56.4958,NA,S,Age_20,1,0,56.4958
171,0,1,Mr,male,61,0,0,111240,33.5,B19,S,Age_60,1,0,33.5
172,0,3,Master,male,4,4,1,382652,29.125,NA,Q,Age_00,6,0,29.125
173,1,3,Miss,female,1,1,1,347742,11.1333,NA,S,Age_00,3,0,11.1333
174,0,3,Mr,male,21,0,0,STON/O 2. 3101280,7.925,NA,S,Age_20,1,0,7.925
175,0,1,Mr,male,56,0,0,17764,30.6958,A7,C,Age_50,1,0,30.6958
176,0,3,Mr,male,18,1,1,350404,7.8542,NA,S,Age_10,3,0,7.8542
177,0,3,Master,male,4.57,3,1,4133,25.4667,NA,S,Age_00,5,0,25.4667
178,0,1,Miss,female,50,0,0,PC 17595,28.7125,C49,C,Age_50,1,0,28.7125
179,0,2,Mr,male,30,0,0,250653,13,NA,S,Age_30,1,0,13
180,0,3,Mr,male,36,0,0,LINE,0,NA,S,Age_30,1,0,0
181,0,3,Miss,female,21.77,8,2,CA. 2343,69.55,NA,S,Age_20,11,0,69.55
182,0,2,Mr,male,32.37,0,0,SC/PARIS 2131,15.05,NA,C,Age_30,1,0,15.05
183,0,3,Master,male,9,4,2,347077,31.3875,NA,S,Age_00,7,0,31.3875
184,1,2,Master,male,1,2,1,230136,39,F4,S,Age_00,4,0,39
185,1,3,Miss,female,4,0,2,315153,22.025,NA,S,Age_00,3,0,22.025
186,0,1,Mr,male,32.37,0,0,113767,50,A32,S,Age_30,1,0,50
187,1,3,Mrs,female,35.9,1,0,370365,15.5,NA,Q,Age_30,2,0,15.5
188,1,1,Mr,male,45,0,0,111428,26.55,NA,S,Age_40,1,0,26.55
189,0,3,Mr,male,40,1,1,364849,15.5,NA,Q,Age_40,3,0,15.5
190,0,3,Mr,male,36,0,0,349247,7.8958,NA,S,Age_30,1,0,7.8958
191,1,2,Mrs,female,32,0,0,234604,13,NA,S,Age_30,1,0,13
192,0,2,Mr,male,19,0,0,28424,13,NA,S,Age_10,1,0,13
193,1,3,Miss,female,19,1,0,350046,7.8542,NA,S,Age_10,2,0,7.8542
194,1,2,Master,male,3,1,1,230080,26,F2,S,Age_00,3,0,26
195,1,1,Mrs,female,44,0,0,PC 17610,27.7208,B4,C,Age_40,1,0,27.7208
196,1,1,Miss,female,58,0,0,PC 17569,146.5208,B80,C,Age_50,1,0,146.5208
197,0,3,Mr,male,32.37,0,0,368703,7.75,NA,Q,Age_30,1,0,7.75
198,0,3,Mr,male,42,0,1,4579,8.4042,NA,S,Age_40,2,0,8.4042
199,1,3,Miss,female,21.77,0,0,370370,7.75,NA,Q,Age_20,1,0,7.75
200,0,2,Miss,female,24,0,0,248747,13,NA,S,Age_20,1,0,13
201,0,3,Mr,male,28,0,0,345770,9.5,NA,S,Age_20,1,0,9.5
202,0,3,Mr,male,32.37,8,2,CA. 2343,69.55,NA,S,Age_30,11,0,69.55
203,0,3,Mr,male,34,0,0,3101264,6.4958,NA,S,Age_30,1,0,6.4958
204,0,3,Mr,male,45.5,0,0,2628,7.225,NA,C,Age_40,1,0,7.225
205,1,3,Mr,male,18,0,0,A/5 3540,8.05,NA,S,Age_10,1,0,8.05
206,0,3,Miss,female,2,0,1,347054,10.4625,G6,S,Age_00,2,0,10.4625
207,0,3,Mr,male,32,1,0,3101278,15.85,NA,S,Age_30,2,0,15.85
208,1,3,Mr,male,26,0,0,2699,18.7875,NA,C,Age_20,1,0,18.7875
209,1,3,Miss,female,16,0,0,367231,7.75,NA,Q,Age_10,1,0,7.75
210,1,1,Mr,male,40,0,0,112277,31,A31,C,Age_40,1,0,31
211,0,3,Mr,male,24,0,0,SOTON/O.Q. 3101311,7.05,NA,S,Age_20,1,0,7.05
212,1,2,Miss,female,35,0,0,F.C.C. 13528,21,NA,S,Age_30,1,0,21
213,0,3,Mr,male,22,0,0,A/5 21174,7.25,NA,S,Age_20,1,0,7.25
214,0,2,Mr,male,30,0,0,250646,13,NA,S,Age_30,1,0,13
215,0,3,Mr,male,32.37,1,0,367229,7.75,NA,Q,Age_30,2,0,7.75
216,1,1,Miss,female,31,1,0,35273,113.275,D36,C,Age_30,2,0,113.275
217,1,3,Miss,female,27,0,0,STON/O2. 3101283,7.925,NA,S,Age_20,1,0,7.925
218,0,2,Mr,male,42,1,0,243847,27,NA,S,Age_40,2,0,27
219,1,1,Miss,female,32,0,0,11813,76.2917,D15,C,Age_30,1,0,76.2917
220,0,2,Mr,male,30,0,0,W/C 14208,10.5,NA,S,Age_30,1,0,10.5
221,1,3,Mr,male,16,0,0,SOTON/OQ 392089,8.05,NA,S,Age_10,1,0,8.05
222,0,2,Mr,male,27,0,0,220367,13,NA,S,Age_20,1,0,13
223,0,3,Mr,male,51,0,0,21440,8.05,NA,S,Age_50,1,0,8.05
224,0,3,Mr,male,32.37,0,0,349234,7.8958,NA,S,Age_30,1,0,7.8958
225,1,1,Mr,male,38,1,0,19943,90,C93,S,Age_30,2,0,90
226,0,3,Mr,male,22,0,0,PP 4348,9.35,NA,S,Age_20,1,0,9.35
227,1,2,Mr,male,19,0,0,SW/PP 751,10.5,NA,S,Age_10,1,0,10.5
228,0,3,Mr,male,20.5,0,0,A/5 21173,7.25,NA,S,Age_20,1,0,7.25
229,0,2,Mr,male,18,0,0,236171,13,NA,S,Age_10,1,0,13
230,0,3,Miss,female,21.77,3,1,4133,25.4667,NA,S,Age_20,5,0,25.4667
231,1,1,Mrs,female,35,1,0,36973,83.475,C83,S,Age_30,2,0,83.475
232,0,3,Mr,male,29,0,0,347067,7.775,NA,S,Age_20,1,0,7.775
233,0,2,Mr,male,59,0,0,237442,13.5,NA,S,Age_50,1,0,13.5
234,1,3,Miss,female,5,4,2,347077,31.3875,NA,S,Age_00,7,0,31.3875
235,0,2,Mr,male,24,0,0,C.A. 29566,10.5,NA,S,Age_20,1,0,10.5
236,0,3,Miss,female,21.77,0,0,W./C. 6609,7.55,NA,S,Age_20,1,0,7.55
237,0,2,Mr,male,44,1,0,26707,26,NA,S,Age_40,2,0,26
238,1,2,Miss,female,8,0,2,C.A. 31921,26.25,NA,S,Age_00,3,0,26.25
239,0,2,Mr,male,19,0,0,28665,10.5,NA,S,Age_10,1,0,10.5
240,0,2,Mr,male,33,0,0,SCO/W 1585,12.275,NA,S,Age_30,1,0,12.275
241,0,3,Miss,female,21.77,1,0,2665,14.4542,NA,C,Age_20,2,0,14.4542
242,1,3,Miss,female,21.77,1,0,367230,15.5,NA,Q,Age_20,2,0,15.5
243,0,2,Mr,male,29,0,0,W./C. 14263,10.5,NA,S,Age_20,1,0,10.5
244,0,3,Mr,male,22,0,0,STON/O 2. 3101275,7.125,NA,S,Age_20,1,0,7.125
245,0,3,Mr,male,30,0,0,2694,7.225,NA,C,Age_30,1,0,7.225
246,0,1,Dr,male,44,2,0,19928,90,C78,Q,Age_40,3,0,90
247,0,3,Miss,female,25,0,0,347071,7.775,NA,S,Age_20,1,0,7.775
248,1,2,Mrs,female,24,0,2,250649,14.5,NA,S,Age_20,3,1,14.5
249,1,1,Mr,male,37,1,1,11751,52.5542,D35,S,Age_30,3,0,52.5542
250,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,NA,S,Age_50,2,0,26
251,0,3,Mr,male,32.37,0,0,362316,7.25,NA,S,Age_30,1,0,7.25
252,0,3,Mrs,female,29,1,1,347054,10.4625,G6,S,Age_20,3,1,10.4625
253,0,1,Mr,male,62,0,0,113514,26.55,C87,S,Age_60,1,0,26.55
254,0,3,Mr,male,30,1,0,A/5. 3336,16.1,NA,S,Age_30,2,0,16.1
255,0,3,Mrs,female,41,0,2,370129,20.2125,NA,S,Age_40,3,1,20.2125
256,1,3,Mrs,female,29,0,2,2650,15.2458,NA,C,Age_20,3,1,15.2458
257,1,1,Mrs,female,35.9,0,0,PC 17585,79.2,NA,C,Age_30,1,0,79.2
258,1,1,Miss,female,30,0,0,110152,86.5,B77,S,Age_30,1,0,86.5
259,1,1,Miss,female,35,0,0,PC 17755,512.3292,NA,C,Age_30,1,0,164.8667
260,1,2,Mrs,female,50,0,1,230433,26,NA,S,Age_50,2,1,26
261,0,3,Mr,male,32.37,0,0,384461,7.75,NA,Q,Age_30,1,0,7.75
262,1,3,Master,male,3,4,2,347077,31.3875,NA,S,Age_00,7,0,31.3875
263,0,1,Mr,male,52,1,1,110413,79.65,E67,S,Age_50,3,0,79.65
264,0,1,Mr,male,40,0,0,112059,0,B94,S,Age_40,1,0,0
265,0,3,Miss,female,21.77,0,0,382649,7.75,NA,Q,Age_20,1,0,7.75
266,0,2,Mr,male,36,0,0,C.A. 17248,10.5,NA,S,Age_30,1,0,10.5
267,0,3,Mr,male,16,4,1,3101295,39.6875,NA,S,Age_10,6,0,39.6875
268,1,3,Mr,male,25,1,0,347083,7.775,NA,S,Age_20,2,0,7.775
269,1,1,Mrs,female,58,0,1,PC 17582,153.4625,C125,S,Age_50,2,1,153.4625
270,1,1,Miss,female,35,0,0,PC 17760,135.6333,C99,S,Age_30,1,0,135.6333
271,0,1,Mr,male,32.37,0,0,113798,31,NA,S,Age_30,1,0,31
272,1,3,Mr,male,25,0,0,LINE,0,NA,S,Age_20,1,0,0
273,1,2,Mrs,female,41,0,1,250644,19.5,NA,S,Age_40,2,1,19.5
274,0,1,Mr,male,37,0,1,PC 17596,29.7,C118,C,Age_30,2,0,29.7
275,1,3,Miss,female,21.77,0,0,370375,7.75,NA,Q,Age_20,1,0,7.75
276,1,1,Miss,female,63,1,0,13502,77.9583,D7,S,Age_60,2,0,77.9583
277,0,3,Miss,female,45,0,0,347073,7.75,NA,S,Age_40,1,0,7.75
278,0,2,Mr,male,32.37,0,0,239853,0,NA,S,Age_30,1,0,0
279,0,3,Master,male,7,4,1,382652,29.125,NA,Q,Age_00,6,0,29.125
280,1,3,Mrs,female,35,1,1,C.A. 2673,20.25,NA,S,Age_30,3,1,20.25
281,0,3,Mr,male,65,0,0,336439,7.75,NA,Q,Age_60,1,0,7.75
282,0,3,Mr,male,28,0,0,347464,7.8542,NA,S,Age_20,1,0,7.8542
283,0,3,Mr,male,16,0,0,345778,9.5,NA,S,Age_10,1,0,9.5
284,1,3,Mr,male,19,0,0,A/5. 10482,8.05,NA,S,Age_10,1,0,8.05
285,0,1,Mr,male,32.37,0,0,113056,26,A19,S,Age_30,1,0,26
286,0,3,Mr,male,33,0,0,349239,8.6625,NA,C,Age_30,1,0,8.6625
287,1,3,Mr,male,30,0,0,345774,9.5,NA,S,Age_30,1,0,9.5
288,0,3,Mr,male,22,0,0,349206,7.8958,NA,S,Age_20,1,0,7.8958
289,1,2,Mr,male,42,0,0,237798,13,NA,S,Age_40,1,0,13
290,1,3,Miss,female,22,0,0,370373,7.75,NA,Q,Age_20,1,0,7.75
291,1,1,Miss,female,26,0,0,19877,78.85,NA,S,Age_20,1,0,78.85
292,1,1,Mrs,female,19,1,0,11967,91.0792,B49,C,Age_10,2,0,91.0792
293,0,2,Mr,male,36,0,0,SC/Paris 2163,12.875,D,C,Age_30,1,0,12.875
294,0,3,Miss,female,24,0,0,349236,8.85,NA,S,Age_20,1,0,8.85
295,0,3,Mr,male,24,0,0,349233,7.8958,NA,S,Age_20,1,0,7.8958
296,0,1,Mr,male,32.37,0,0,PC 17612,27.7208,NA,C,Age_30,1,0,27.7208
297,0,3,Mr,male,23.5,0,0,2693,7.2292,NA,C,Age_20,1,0,7.2292
298,0,1,Miss,female,2,1,2,113781,151.55,C22 C26,S,Age_00,4,0,151.55
299,1,1,Mr,male,32.37,0,0,19988,30.5,C106,S,Age_30,1,0,30.5
300,1,1,Mrs,female,50,0,1,PC 17558,247.5208,B58 B60,C,Age_50,2,1,164.8667
301,1,3,Miss,female,21.77,0,0,9234,7.75,NA,Q,Age_20,1,0,7.75
302,1,3,Mr,male,32.37,2,0,367226,23.25,NA,Q,Age_30,3,0,23.25
303,0,3,Mr,male,19,0,0,LINE,0,NA,S,Age_10,1,0,0
304,1,2,Miss,female,21.77,0,0,226593,12.35,E101,Q,Age_20,1,0,12.35
