COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
0,73790,43,42,240967,280,5,2,very_unsat,very_high,no,0
1,101722,0,5,565632,557,0,6,very_sat,very_high,considering,0
0,44939,0,77,177921,198,0,1,very_unsat,very_little,no,0
0,43574,0,13,517019,140,24,6,very_sat,little,considering,0
0,42303,0,0,299786,165,0,10,very_sat,very_high,perhaps,0
1,98418,65,0,226957,394,5,11,very_unsat,very_high,considering,0
0,42975,196,0,715788,676,20,11,unsat,very_high,considering,0
0,79846,213,7,702414,344,25,5,very_sat,little,considering,0
1,47925,0,21,665811,232,1,6,very_unsat,very_high,no,0
1,20377,0,53,670875,203,0,1,very_unsat,little,considering,0
0,60794,0,0,449333,298,1,10,very_sat,very_high,considering,0
0,107794,94,0,153874,559,5,14,very_sat,little,never_thought,0
1,80411,0,22,762766,365,22,6,very_unsat,very_high,actively_looking_into_it,0
1,105341,0,0,904856,544,12,15,unsat,very_high,actively_looking_into_it,0
0,100066,42,0,703649,642,5,11,very_sat,very_high,actively_looking_into_it,0
1,132212,0,0,375871,410,1,14,very_unsat,little,considering,0
0,23980,62,0,238478,240,3,10,very_unsat,very_high,no,0
1,62514,51,39,497274,664,5,1,very_unsat,little,considering,0
0,38705,0,0,582812,229,1,9,very_sat,little,actively_looking_into_it,0
1,105804,0,76,894038,693,0,2,very_unsat,high,actively_looking_into_it,0
1,149337,62,89,183310,414,4,2,very_sat,little,no,0
0,129387,72,64,510075,437,3,2,very_unsat,little,considering,0
0,121282,169,0,875007,530,5,9,very_sat,very_high,actively_looking_into_it,0
1,20065,0,0,390113,180,0,15,unsat,little,actively_looking_into_it,0
1,60017,208,0,348833,394,21,8,very_unsat,high,actively_looking_into_it,0
1,54434,0,47,741232,308,1,2,very_sat,little,considering,0
0,108678,69,0,740816,529,4,9,very_sat,very_high,actively_looking_into_it,0
1,134112,0,58,458419,807,0,2,very_unsat,little,actively_looking_into_it,0
1,93287,69,0,572654,685,4,9,avg,little,no,0
0,33804,0,6,492088,236,0,5,unsat,little,actively_looking_into_it,0
0,70889,179,80,619384,321,14,1,very_unsat,avg,no,0
0,39055,0,10,870755,196,1,4,avg,little,considering,0
1,116641,70,11,160948,506,3,4,very_unsat,very_high,never_thought,0
0,58057,70,5,588150,354,4,4,very_unsat,little,actively_looking_into_it,0
0,71322,0,12,556264,670,1,5,sat,very_high,considering,0
0,93239,0,21,630612,264,1,5,sat,very_little,considering,0
0,102777,0,26,452999,786,0,2,very_unsat,little,perhaps,0
1,61031,213,24,689861,308,14,4,very_unsat,very_little,considering,0
1,102068,234,0,221134,877,22,10,very_sat,very_little,considering,0
1,43289,79,0,928463,193,5,11,very_sat,very_little,considering,0
0,90166,0,0,595183,307,1,13,very_sat,little,actively_looking_into_it,0
1,61663,0,27,712572,285,1,1,very_sat,avg,no,0
1,86658,78,15,150852,296,4,5,very_sat,very_high,never_thought,0
0,24438,34,12,505258,167,4,15,avg,little,no,0
0,127989,42,0,772915,851,3,14,very_unsat,very_high,actively_looking_into_it,0
1,34681,0,10,290004,218,1,4,very_sat,very_high,no,0
0,49163,0,9,896458,211,1,4,avg,high,no,0
1,133167,230,18,999067,482,23,6,very_unsat,very_little,actively_looking_into_it,1
1,96540,190,0,303880,282,26,12,unsat,little,actively_looking_into_it,0
1,38797,0,12,239443,222,1,4,very_sat,little,considering,0
0,62449,0,0,394132,308,1,10,very_sat,little,no,0
0,84749,46,0,256617,329,5,13,avg,avg,no,0
0,30837,44,81,669200,248,5,1,very_sat,little,considering,0
1,75958,0,0,171866,345,1,12,very_unsat,little,no,0
0,114207,0,0,244558,451,1,15,avg,very_high,perhaps,0
1,26303,141,0,635381,215,21,15,very_sat,avg,actively_looking_into_it,0
1,46423,208,0,781597,155,13,15,unsat,little,considering,0
0,115075,81,14,362286,616,3,6,unsat,little,considering,0
0,38063,195,44,205784,189,10,2,unsat,high,considering,0
1,117147,0,0,568598,835,1,14,very_unsat,very_high,actively_looking_into_it,0
1,24656,66,0,752214,141,4,9,very_sat,very_high,no,0
0,108602,0,15,931008,536,0,6,very_unsat,little,considering,0
0,36575,200,15,733207,162,20,5,avg,very_high,considering,0
0,32540,0,12,889715,165,1,11,very_sat,very_little,considering,0
1,31147,46,35,848373,134,3,2,very_sat,very_little,never_thought,0
0,70126,0,19,293988,280,0,4,very_sat,high,no,0
1,115634,0,29,691543,772,0,1,avg,very_high,considering,0
1,135099,83,33,744862,581,3,1,very_sat,very_little,considering,0
1,21111,0,83,907076,248,0,1,avg,little,considering,0
1,98930,66,38,739734,299,4,2,avg,very_high,no,0
1,113468,0,10,214042,483,0,5,very_sat,very_high,considering,0
1,124834,64,65,269619,722,5,1,avg,little,actively_looking_into_it,1
1,66210,0,0,620458,261,4,9,very_unsat,very_high,considering,0
1,34976,0,0,468471,150,0,12,very_unsat,very_little,no,0
0,107536,65,85,199479,714,10,2,very_unsat,avg,considering,1
0,25081,0,0,251156,169,0,8,avg,little,no,0
0,140889,0,0,784997,748,5,11,sat,little,actively_looking_into_it,0
0,86882,0,16,819227,172,0,6,very_sat,very_high,no,0
0,35082,261,0,431425,184,23,15,sat,very_little,no,0
1,143850,85,22,179611,727,3,5,very_unsat,little,considering,0
1,73751,285,0,617648,262,23,13,very_sat,little,considering,0
0,83600,214,58,986130,282,29,1,very_unsat,little,no,0
1,24380,0,0,951399,203,1,10,very_unsat,avg,considering,0
0,91746,80,0,612782,273,4,14,very_sat,little,considering,0
0,50771,0,33,259019,130,0,1,very_unsat,little,considering,0
0,127683,239,76,289645,218,15,2,very_unsat,little,considering,0
0,61790,0,0,431768,300,1,13,very_sat,little,actively_looking_into_it,0
0,58474,206,78,972882,259,21,1,unsat,very_little,considering,0
1,51559,49,7,524726,286,5,6,very_unsat,high,no,0
1,113491,181,47,250175,623,14,2,very_unsat,very_high,perhaps,0
1,31625,0,24,877714,238,0,5,unsat,very_high,considering,0
1,69707,36,67,476216,296,27,2,very_sat,very_high,no,0
0,31239,0,10,287757,244,5,5,very_sat,very_little,considering,0
0,104411,0,6,259667,541,0,4,unsat,very_high,actively_looking_into_it,0
0,97281,0,12,802945,353,1,5,very_unsat,little,never_thought,0
0,57290,61,88,176894,298,4,2,very_sat,little,considering,1
1,140394,0,89,545171,500,1,2,unsat,little,considering,0
0,30049,65,15,804321,189,10,6,very_unsat,high,perhaps,0
1,31147,66,0,681793,237,5,15,very_sat,high,considering,0
0,105681,70,0,929648,615,5,10,avg,little,never_thought,0
1,55678,51,0,849374,320,4,12,unsat,high,considering,0
1,90415,179,0,566426,369,14,15,unsat,little,actively_looking_into_it,0
1,43696,69,0,779163,308,5,8,very_sat,very_high,never_thought,0
0,103350,56,0,963067,184,5,11,very_unsat,very_little,perhaps,0
0,138869,0,17,572148,805,0,1,avg,little,actively_looking_into_it,0
0,21067,0,64,540666,161,0,1,unsat,very_little,considering,0
0,34082,75,47,150449,243,5,2,very_sat,little,perhaps,0
1,92642,0,0,278806,323,0,10,avg,very_high,no,0
1,97543,231,0,539754,379,17,15,very_sat,very_high,considering,1
1,123437,0,7,275633,785,19,6,very_unsat,very_high,considering,0
1,93137,41,11,266170,327,4,4,very_unsat,little,actively_looking_into_it,0
1,159692,55,17,718954,832,5,13,unsat,little,no,0
1,155557,0,23,412135,439,0,6,very_unsat,very_little,considering,0
1,146551,0,13,574804,674,0,5,unsat,very_little,no,0
0,64485,75,0,938019,310,5,15,very_unsat,very_little,considering,0
1,118877,37,47,153881,192,0,2,very_sat,high,perhaps,0
0,82400,60,0,639696,318,5,9,avg,very_high,actively_looking_into_it,0
1,82017,38,0,470057,322,0,10,very_sat,very_high,actively_looking_into_it,0
0,26447,57,43,813246,187,3,6,unsat,little,considering,0
1,122525,0,85,583352,663,4,1,avg,little,never_thought,0
1,31231,0,21,823294,139,0,4,unsat,little,no,0
0,66577,0,0,175026,336,1,15,very_sat,high,no,0
0,27807,0,20,376847,178,4,2,very_sat,very_little,never_thought,0
0,49884,0,73,455594,157,0,2,unsat,little,actively_looking_into_it,0
1,31730,62,0,152369,133,5,9,very_unsat,avg,actively_looking_into_it,0
1,54766,240,0,226638,283,24,13,avg,avg,no,0
0,21000,51,23,275355,157,0,4,sat,little,considering,0
1,56231,0,21,178377,345,13,6,very_sat,little,considering,0
0,69204,0,18,293327,292,1,2,very_sat,little,actively_looking_into_it,0
1,34649,60,0,742049,244,4,1,unsat,very_high,actively_looking_into_it,0
0,49089,84,7,653273,156,3,6,unsat,very_little,considering,0
1,90692,68,0,837273,287,3,9,unsat,high,actively_looking_into_it,0
0,107953,208,21,226333,177,14,5,avg,very_high,never_thought,0
0,45165,0,0,873781,163,0,14,very_unsat,little,no,0
0,46903,214,0,953224,146,23,10,unsat,very_high,considering,0
1,68124,56,0,968585,264,4,11,avg,little,actively_looking_into_it,0
0,131282,0,0,167124,726,4,13,avg,little,considering,0
1,151582,262,23,324636,595,12,10,unsat,very_little,no,0
0,25071,0,0,591814,148,0,12,very_unsat,little,perhaps,0
0,29674,52,46,874296,189,3,1,unsat,little,considering,0
1,21781,178,0,627939,180,20,2,very_unsat,little,no,0
0,20465,48,0,858668,136,4,10,very_unsat,little,no,0
0,78231,0,0,251539,373,21,14,unsat,very_little,no,0
0,110522,0,9,166351,392,0,4,very_sat,high,no,0
0,68797,52,0,680078,326,4,11,very_sat,very_high,never_thought,0
1,155615,77,80,530738,633,5,2,unsat,little,no,0
1,48926,214,15,934266,233,26,15,unsat,avg,perhaps,0
1,125064,0,15,372375,482,0,1,sat,very_high,no,0
1,148366,0,26,156888,870,1,2,very_unsat,little,considering,0
1,139206,196,0,972085,836,15,11,very_unsat,high,actively_looking_into_it,0
0,52091,68,37,947268,284,5,2,avg,little,considering,0
1,50444,0,56,231784,396,0,1,unsat,very_high,considering,0
1,80476,70,62,760659,295,1,1,very_unsat,little,considering,0
1,26732,181,66,332070,138,24,1,very_unsat,high,no,0
1,95610,197,32,600511,363,29,6,unsat,very_little,no,0
0,49087,188,6,636176,184,21,6,very_unsat,little,no,0
1,28981,169,18,569499,239,10,6,unsat,little,considering,1
1,73494,59,0,737852,389,5,6,very_sat,very_little,perhaps,0
0,135089,0,45,896674,798,0,2,sat,very_high,no,0
1,38553,57,16,438771,177,4,5,unsat,little,considering,0
1,151222,0,22,191911,735,0,1,very_sat,very_high,considering,0
1,27262,0,62,921950,148,0,2,very_unsat,very_little,actively_looking_into_it,0
0,59429,176,57,524797,258,26,2,very_unsat,little,actively_looking_into_it,1
1,82978,220,83,605777,382,17,2,very_sat,very_little,considering,0
1,37936,169,58,287446,230,23,2,very_sat,little,considering,0
0,36488,0,24,397157,251,1,4,sat,high,no,0
1,127606,19,0,971035,520,3,8,very_sat,avg,actively_looking_into_it,1
1,26150,0,0,591493,137,1,12,avg,very_high,considering,0
1,52984,236,50,868179,257,20,2,very_unsat,little,considering,0
1,102492,54,12,354156,744,4,5,very_sat,little,no,0
1,25981,78,23,213756,618,5,4,very_sat,little,no,0
1,40939,190,79,686581,236,17,2,unsat,little,considering,0
1,37835,73,56,833340,138,4,2,very_unsat,little,no,0
0,62761,198,13,275194,385,25,6,very_unsat,little,no,0
1,49301,0,0,833232,174,24,14,very_unsat,very_little,considering,0
0,29096,0,54,689832,179,0,1,very_sat,little,considering,0
1,32410,75,54,172014,161,3,1,unsat,very_high,considering,0
1,74942,159,0,717309,293,17,1,unsat,very_high,actively_looking_into_it,0
0,156274,240,0,333299,691,27,11,very_unsat,little,actively_looking_into_it,0
1,151455,0,8,299761,198,1,4,very_unsat,little,actively_looking_into_it,0
0,151673,0,85,450071,652,1,1,avg,little,considering,0
1,53138,246,8,630570,760,27,4,very_sat,little,actively_looking_into_it,0
1,137189,0,8,474622,438,1,4,very_sat,very_little,considering,0
0,25418,61,44,246240,131,4,2,very_unsat,little,no,0
0,67776,227,44,833144,293,12,1,unsat,little,considering,0
0,76264,0,76,935024,279,16,1,very_unsat,very_little,actively_looking_into_it,0
0,133835,46,59,764224,497,5,2,very_unsat,high,no,0
1,26533,41,7,621085,231,19,4,unsat,very_little,considering,0
0,45216,0,82,763090,174,0,5,unsat,little,never_thought,0
0,47904,0,0,291656,225,0,9,very_unsat,little,considering,0
0,63325,174,0,795148,263,16,13,sat,very_little,actively_looking_into_it,0
1,23317,203,15,290252,137,17,5,very_sat,little,never_thought,1
0,28230,40,0,225864,228,4,10,very_sat,little,considering,0
0,107534,78,0,212323,334,4,15,unsat,very_high,never_thought,0
1,90892,50,41,764865,295,16,2,very_sat,high,no,0
0,41111,0,14,248226,160,3,5,very_unsat,high,never_thought,0
0,128142,17,25,978751,819,3,2,very_sat,very_high,considering,0
1,121675,0,5,219623,844,0,4,very_sat,avg,no,0
0,21882,0,55,928475,201,5,2,very_unsat,little,considering,1
1,29380,0,51,623405,235,0,11,very_sat,little,considering,0
1,140743,0,36,254533,597,0,1,very_unsat,very_high,actively_looking_into_it,0
1,117909,0,84,292771,774,0,13,very_sat,very_little,actively_looking_into_it,0
1,154262,0,0,428674,496,0,14,sat,avg,no,0
1,149520,0,15,775605,449,16,5,unsat,high,never_thought,0
1,59248,73,57,314538,274,5,2,very_unsat,little,actively_looking_into_it,0
0,37817,199,0,236390,191,20,5,very_unsat,very_little,never_thought,0
0,45076,188,81,779841,226,5,1,sat,very_little,actively_looking_into_it,0
1,89890,0,81,156278,299,1,2,very_unsat,little,actively_looking_into_it,0
0,35224,67,37,753156,248,3,2,very_unsat,high,actively_looking_into_it,0
1,81391,0,23,260988,334,0,4,very_unsat,little,considering,0
0,37088,218,0,588126,227,15,9,unsat,very_high,actively_looking_into_it,0
1,68051,0,78,727089,332,1,2,very_unsat,very_little,no,0
1,154293,205,0,504025,708,20,2,very_unsat,little,considering,1
0,91723,0,0,403182,308,11,12,very_sat,high,considering,0
0,95824,167,19,779500,320,22,5,unsat,little,actively_looking_into_it,0
1,152451,53,19,551324,514,3,5,very_unsat,very_little,actively_looking_into_it,0
1,119591,0,43,231309,714,1,1,very_sat,little,considering,0
0,51070,0,0,290909,300,1,12,very_unsat,very_little,considering,0
0,82116,277,81,576538,319,24,1,avg,little,considering,0
1,31239,207,15,605757,168,10,1,very_unsat,little,considering,0
1,121659,239,8,233388,876,24,4,unsat,little,considering,0
1,144960,0,0,314781,770,0,9,unsat,little,considering,0
1,29082,196,0,871605,226,12,14,unsat,little,actively_looking_into_it,0
1,31858,151,0,705683,226,20,9,very_sat,very_little,actively_looking_into_it,0
0,48457,0,11,272376,218,1,6,very_sat,very_high,actively_looking_into_it,0
0,126550,0,0,537223,212,0,9,very_unsat,little,actively_looking_into_it,0
0,81764,206,23,644395,501,1,6,very_unsat,very_little,actively_looking_into_it,0
0,87732,0,0,710972,256,0,9,unsat,very_little,actively_looking_into_it,0
1,37725,172,62,629624,284,29,2,unsat,little,considering,0
0,25884,154,0,212291,291,15,12,unsat,high,actively_looking_into_it,0
1,141414,180,86,690394,488,27,2,unsat,high,actively_looking_into_it,0
0,52413,60,61,914370,297,3,2,unsat,very_high,no,0
0,44340,73,30,274255,159,3,2,very_unsat,very_little,considering,0
0,42755,0,70,292237,322,1,1,very_unsat,little,actively_looking_into_it,0
0,152332,0,10,756687,615,27,2,very_unsat,very_little,actively_looking_into_it,0
0,81839,60,0,432883,380,4,11,avg,little,no,0
0,94281,0,0,904787,301,1,15,very_unsat,little,no,0
0,155465,0,21,182984,620,0,6,sat,very_high,never_thought,0
1,37316,271,10,952049,248,17,4,unsat,very_high,no,0
0,48146,69,0,211529,197,3,15,unsat,high,never_thought,0
1,32219,62,17,730722,238,4,6,very_sat,very_high,actively_looking_into_it,0
1,104858,0,24,739702,805,0,4,unsat,very_little,considering,0
0,40707,0,67,633612,223,0,2,avg,very_little,considering,0
1,112601,62,0,923798,573,3,11,very_unsat,very_high,actively_looking_into_it,0
1,119384,187,33,912099,566,26,2,very_unsat,little,considering,0
1,32193,0,0,165732,185,0,10,unsat,avg,no,0
0,72509,187,7,705599,324,19,5,very_sat,very_little,no,0
1,44639,154,0,250375,213,5,8,very_unsat,little,perhaps,0
1,20400,207,0,770967,163,17,13,avg,little,actively_looking_into_it,0
1,147841,46,23,567962,476,5,6,very_unsat,very_high,perhaps,0
0,102739,232,19,339737,739,10,5,very_unsat,very_little,never_thought,0
1,22654,219,40,517689,248,10,2,very_sat,little,no,0
0,108724,59,0,511251,803,4,15,avg,little,actively_looking_into_it,0
0,20309,0,87,883556,216,1,1,very_unsat,high,considering,0
0,43498,171,45,196261,821,15,2,very_unsat,little,considering,0
1,42781,53,85,502302,744,4,1,very_sat,little,no,0
0,52162,0,76,271051,351,0,1,very_unsat,little,considering,0
0,72884,87,54,291343,299,4,1,very_unsat,very_high,actively_looking_into_it,0
1,60641,0,0,936376,324,0,9,very_sat,very_high,never_thought,0
0,74167,136,0,813979,554,29,15,very_unsat,very_little,no,0
1,138447,0,39,252551,501,1,1,unsat,very_high,no,0
0,62502,67,0,960572,323,4,9,avg,very_high,never_thought,0
1,107279,238,22,541217,845,22,6,sat,high,never_thought,0
1,50160,54,0,606872,731,5,15,very_sat,little,considering,0
1,96518,123,54,941512,213,20,2,very_unsat,very_high,considering,0
1,71092,0,0,303478,311,0,12,very_unsat,little,no,0
0,156084,0,12,668376,508,1,5,very_unsat,very_high,perhaps,0
0,36804,173,69,424218,181,17,12,unsat,high,actively_looking_into_it,1
1,20787,0,54,877440,196,1,2,very_unsat,very_little,considering,0
1,95371,0,78,309385,370,1,9,sat,very_high,perhaps,0
1,82022,0,0,177130,266,1,11,unsat,very_high,no,0
0,21905,0,50,158087,196,0,4,avg,avg,actively_looking_into_it,0
0,74964,45,83,689885,398,4,2,unsat,very_high,considering,0
1,31000,0,18,222824,389,0,6,very_sat,little,perhaps,0
1,87393,60,69,552355,320,5,1,very_sat,very_high,considering,0
0,69572,0,41,965077,344,1,1,unsat,very_high,actively_looking_into_it,0
1,44605,55,0,850640,245,5,12,unsat,little,considering,0
1,38534,210,18,731109,181,29,6,very_unsat,little,never_thought,0
0,42334,43,16,828964,249,5,4,very_unsat,very_little,considering,0
1,26186,0,47,267936,237,0,1,very_unsat,little,no,0
0,59542,0,28,763219,351,4,1,very_unsat,very_high,no,0
0,37253,98,20,221576,144,3,4,very_unsat,little,no,0
1,136553,67,19,264902,737,4,5,very_unsat,very_high,considering,0
0,21195,176,0,247714,134,18,13,sat,very_high,considering,1
1,101654,0,0,476382,449,1,11,very_unsat,very_little,considering,0
0,21450,171,0,919032,204,10,11,unsat,very_high,considering,0
1,38098,200,0,801493,234,23,11,very_sat,little,perhaps,0
0,49835,141,24,870391,880,10,13,very_unsat,little,no,0
