X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,Y11,Y22
0.74,686.00,245.00,220.50,3.50,3,0.10,3,10.34,13.36,H,H
0.74,686.00,245.00,220.50,3.50,4,0.10,5,10.34,13.72,H,H
0.74,686.00,245.00,220.50,3.50,4,0.10,3,10.35,13.65,H,H
0.74,686.00,245.00,220.50,3.50,2,0.10,1,10.36,13.43,H,H
0.74,686.00,245.00,220.50,3.50,4,0.10,1,10.36,13.48,H,H
0.74,686.00,245.00,220.50,3.50,3,0.10,5,10.37,13.44,H,H
0.74,686.00,245.00,220.50,3.50,5,0.10,3,10.38,13.49,H,H
0.74,686.00,245.00,220.50,3.50,5,0.10,1,10.39,13.70,H,H
0.74,686.00,245.00,220.50,3.50,2,0.10,3,10.39,13.60,H,H
0.74,686.00,245.00,220.50,3.50,5,0.10,5,10.39,13.50,H,H
0.74,686.00,245.00,220.50,3.50,2,0.10,2,10.42,13.39,H,H
0.74,686.00,245.00,220.50,3.50,3,0.10,1,10.43,13.71,H,H
0.74,686.00,245.00,220.50,3.50,5,0.10,2,10.45,13.79,H,H
0.74,686.00,245.00,220.50,3.50,3,0.10,2,10.46,13.72,H,H
0.74,686.00,245.00,220.50,3.50,2,0.10,5,10.47,13.65,H,H
0.71,710.50,269.50,220.50,3.50,4,0.10,4,10.53,13.79,H,H
0.64,784.00,343.00,220.50,3.50,3,0.00,0,10.54,16.80,H,H
0.71,710.50,269.50,220.50,3.50,4,0.10,2,10.55,13.80,H,H
0.64,784.00,343.00,220.50,3.50,5,0.00,0,10.56,16.67,H,H
0.71,710.50,269.50,220.50,3.50,2,0.10,2,10.64,13.67,H,H
0.71,710.50,269.50,220.50,3.50,2,0.10,4,10.66,13.67,H,H
0.71,710.50,269.50,220.50,3.50,4,0.10,5,10.67,14.26,H,H
0.71,710.50,269.50,220.50,3.50,5,0.10,2,10.68,14.21,H,H
0.71,710.50,269.50,220.50,3.50,3,0.10,3,10.68,13.77,H,H
0.71,710.50,269.50,220.50,3.50,4,0.10,3,10.68,14.30,H,H
0.71,710.50,269.50,220.50,3.50,3,0.10,4,10.68,14.12,H,H
0.71,710.50,269.50,220.50,3.50,4,0.10,1,10.70,13.87,H,H
0.71,710.50,269.50,220.50,3.50,5,0.10,3,10.70,13.87,H,H
0.71,710.50,269.50,220.50,3.50,3,0.10,5,10.70,13.75,H,H
0.71,710.50,269.50,220.50,3.50,2,0.10,1,10.71,13.80,H,H
0.71,710.50,269.50,220.50,3.50,3,0.10,2,10.72,14.11,H,H
0.71,710.50,269.50,220.50,3.50,5,0.10,4,10.72,14.20,H,H
0.71,710.50,269.50,220.50,3.50,5,0.10,1,10.75,14.27,H,H
0.64,784.00,343.00,220.50,3.50,4,0.00,0,10.77,16.75,H,H
0.71,710.50,269.50,220.50,3.50,2,0.10,3,10.77,14.14,H,H
0.71,710.50,269.50,220.50,3.50,2,0.10,5,10.78,14.18,H,H
0.71,710.50,269.50,220.50,3.50,3,0.10,1,10.80,14.28,H,H
0.64,784.00,343.00,220.50,3.50,2,0.00,0,10.85,16.78,H,H
0.69,735.00,294.00,220.50,3.50,4,0.10,4,11.07,14.42,H,H
0.69,735.00,294.00,220.50,3.50,4,0.10,1,11.09,14.30,H,H
0.69,735.00,294.00,220.50,3.50,4,0.10,3,11.10,14.67,H,H
0.69,735.00,294.00,220.50,3.50,2,0.10,1,11.11,14.28,H,H
0.69,735.00,294.00,220.50,3.50,4,0.10,5,11.11,14.46,H,H
0.69,735.00,294.00,220.50,3.50,3,0.10,1,11.13,14.61,H,H
0.69,735.00,294.00,220.50,3.50,5,0.10,3,11.14,14.40,H,H
0.69,735.00,294.00,220.50,3.50,3,0.10,5,11.14,14.28,H,H
0.69,735.00,294.00,220.50,3.50,5,0.10,1,11.16,14.45,H,H
0.69,735.00,294.00,220.50,3.50,3,0.10,3,11.16,14.27,H,H
0.69,735.00,294.00,220.50,3.50,5,0.10,5,11.16,14.39,H,H
0.69,735.00,294.00,220.50,3.50,2,0.10,4,11.18,14.29,H,H
0.69,735.00,294.00,220.50,3.50,5,0.10,4,11.20,14.73,H,H
0.69,735.00,294.00,220.50,3.50,2,0.10,5,11.21,14.55,H,H
0.69,735.00,294.00,220.50,3.50,2,0.10,3,11.22,14.44,H,H
0.69,735.00,294.00,220.50,3.50,3,0.10,4,11.22,14.49,H,H
0.66,759.50,318.50,220.50,3.50,4,0.10,5,11.22,14.65,H,H
0.69,735.00,294.00,220.50,3.50,4,0.10,2,11.32,13.32,H,H
0.66,759.50,318.50,220.50,3.50,4,0.10,2,11.33,15.00,H,H
0.66,759.50,318.50,220.50,3.50,4,0.10,4,11.33,15.00,H,H
0.66,759.50,318.50,220.50,3.50,3,0.10,5,11.34,14.81,H,H
0.66,759.50,318.50,220.50,3.50,5,0.10,5,11.34,14.87,H,H
0.66,759.50,318.50,220.50,3.50,2,0.10,5,11.38,14.54,H,H
0.66,759.50,318.50,220.50,3.50,3,0.10,2,11.42,14.75,H,H
0.66,759.50,318.50,220.50,3.50,3,0.10,4,11.42,14.67,H,H
0.66,759.50,318.50,220.50,3.50,5,0.10,2,11.43,14.74,H,H
0.66,759.50,318.50,220.50,3.50,5,0.10,4,11.43,14.83,H,H
0.66,759.50,318.50,220.50,3.50,2,0.10,4,11.44,14.86,H,H
0.69,735.00,294.00,220.50,3.50,2,0.10,2,11.45,13.20,H,H
0.66,759.50,318.50,220.50,3.50,2,0.10,2,11.45,14.86,H,H
0.69,735.00,294.00,220.50,3.50,3,0.10,2,11.46,13.54,H,H
0.69,735.00,294.00,220.50,3.50,5,0.10,2,11.49,13.51,H,H
0.66,759.50,318.50,220.50,3.50,4,0.10,3,11.53,13.59,H,H
0.66,759.50,318.50,220.50,3.50,2,0.10,3,11.59,13.46,H,H
0.66,759.50,318.50,220.50,3.50,3,0.10,3,11.60,13.70,H,H
0.66,759.50,318.50,220.50,3.50,5,0.10,3,11.61,13.83,H,H
0.74,686.00,245.00,220.50,3.50,4,0.25,5,11.64,14.81,H,H
0.74,686.00,245.00,220.50,3.50,3,0.25,5,11.67,14.58,H,H
0.66,759.50,318.50,220.50,3.50,2,0.10,1,11.68,13.90,H,H
0.66,759.50,318.50,220.50,3.50,3,0.10,1,11.69,13.72,H,H
0.66,759.50,318.50,220.50,3.50,5,0.10,1,11.69,13.65,H,H
0.74,686.00,245.00,220.50,3.50,5,0.25,3,11.69,14.76,H,H
0.66,759.50,318.50,220.50,3.50,4,0.10,1,11.70,13.88,H,H
0.74,686.00,245.00,220.50,3.50,2,0.25,3,11.80,14.49,H,H
0.74,686.00,245.00,220.50,3.50,4,0.25,3,11.98,14.72,H,H
0.74,686.00,245.00,220.50,3.50,5,0.25,5,12.02,14.03,H,H
0.74,686.00,245.00,220.50,3.50,3,0.25,3,12.03,13.79,H,H
0.71,710.50,269.50,220.50,3.50,4,0.25,3,12.10,15.57,H,H
0.69,735.00,294.00,220.50,3.50,5,0.25,3,12.12,15.17,H,H
0.74,686.00,245.00,220.50,3.50,2,0.25,5,12.12,14.48,H,H
0.69,735.00,294.00,220.50,3.50,3,0.25,5,12.12,14.97,H,H
0.74,686.00,245.00,220.50,3.50,4,0.25,2,12.16,15.18,H,H
0.71,710.50,269.50,220.50,3.50,4,0.25,4,12.17,15.20,H,H
0.74,686.00,245.00,220.50,3.50,4,0.25,4,12.18,15.03,H,H
0.69,735.00,294.00,220.50,3.50,4,0.25,5,12.18,15.22,H,H
0.71,710.50,269.50,220.50,3.50,5,0.25,3,12.19,14.94,H,H
0.71,710.50,269.50,220.50,3.50,3,0.25,5,12.19,14.71,H,H
0.71,710.50,269.50,220.50,3.50,4,0.25,2,12.20,14.94,H,H
0.71,710.50,269.50,220.50,3.50,4,0.25,5,12.25,15.23,H,H
0.71,710.50,269.50,220.50,3.50,2,0.25,5,12.27,15.27,H,H
0.71,710.50,269.50,220.50,3.50,5,0.25,5,12.27,14.97,H,H
0.71,710.50,269.50,220.50,3.50,3,0.25,3,12.28,14.74,H,H
0.71,710.50,269.50,220.50,3.50,5,0.25,4,12.28,15.64,H,H
0.71,710.50,269.50,220.50,3.50,3,0.25,2,12.29,15.40,H,H
0.74,686.00,245.00,220.50,3.50,5,0.25,2,12.30,15.44,H,H
0.74,686.00,245.00,220.50,3.50,3,0.25,4,12.30,15.24,H,H
0.69,735.00,294.00,220.50,3.50,4,0.25,3,12.31,15.44,H,H
0.74,686.00,245.00,220.50,3.50,2,0.25,4,12.32,14.92,H,H
0.71,710.50,269.50,220.50,3.50,2,0.25,2,12.33,14.91,H,H
0.69,735.00,294.00,220.50,3.50,2,0.25,3,12.34,14.92,H,H
0.74,686.00,245.00,220.50,3.50,2,0.25,2,12.35,14.73,H,H
0.71,710.50,269.50,220.50,3.50,2,0.25,4,12.36,14.67,H,H
0.74,686.00,245.00,220.50,3.50,4,0.25,1,12.41,15.28,H,H
0.71,710.50,269.50,220.50,3.50,2,0.25,3,12.41,14.92,H,H
0.71,710.50,269.50,220.50,3.50,5,0.40,5,12.42,15.31,H,H
0.74,686.00,245.00,220.50,3.50,2,0.25,1,12.43,15.19,H,H
0.74,686.00,245.00,220.50,3.50,5,0.25,4,12.43,15.35,H,H
0.71,710.50,269.50,220.50,3.50,2,0.40,5,12.43,15.59,H,H
0.74,686.00,245.00,220.50,3.50,5,0.25,1,12.45,15.50,H,H
0.74,686.00,245.00,220.50,3.50,3,0.25,2,12.45,15.10,H,H
0.69,735.00,294.00,220.50,3.50,3,0.25,3,12.46,14.38,H,H
0.69,735.00,294.00,220.50,3.50,2,0.25,5,12.47,15.14,H,H
0.69,735.00,294.00,220.50,3.50,5,0.25,5,12.47,14.60,H,H
0.71,710.50,269.50,220.50,3.50,5,0.25,2,12.49,15.32,H,H
0.71,710.50,269.50,220.50,3.50,3,0.25,4,12.49,15.09,H,H
0.74,686.00,245.00,220.50,3.50,3,0.25,1,12.50,15.50,H,H
0.71,710.50,269.50,220.50,3.50,2,0.25,1,12.57,15.42,H,H
0.71,710.50,269.50,220.50,3.50,4,0.25,1,12.57,15.44,H,H
0.62,808.50,367.50,220.50,3.50,2,0.10,5,12.59,14.24,H,H
0.62,808.50,367.50,220.50,3.50,5,0.10,5,12.62,14.15,H,H
0.62,808.50,367.50,220.50,3.50,3,0.10,3,12.63,14.23,H,H
0.71,710.50,269.50,220.50,3.50,5,0.25,1,12.63,15.81,H,H
0.71,710.50,269.50,220.50,3.50,3,0.40,5,12.63,14.58,H,H
0.71,710.50,269.50,220.50,3.50,3,0.25,1,12.65,15.85,H,H
0.69,735.00,294.00,220.50,3.50,4,0.25,4,12.67,15.83,H,H
0.62,808.50,367.50,220.50,3.50,2,0.10,3,12.68,14.09,H,H
0.62,808.50,367.50,220.50,3.50,4,0.10,3,12.71,14.14,H,H
0.69,735.00,294.00,220.50,3.50,5,0.25,1,12.72,15.78,H,H
0.62,808.50,367.50,220.50,3.50,5,0.10,3,12.73,13.89,H,H
0.69,735.00,294.00,220.50,3.50,4,0.25,1,12.73,15.48,H,H
0.69,735.00,294.00,220.50,3.50,4,0.25,2,12.73,15.66,H,H
0.62,808.50,367.50,220.50,3.50,3,0.10,5,12.74,13.97,H,H
0.66,759.50,318.50,220.50,3.50,4,0.25,3,12.74,16.14,H,H
0.71,710.50,269.50,220.50,3.50,4,0.40,5,12.76,15.33,H,H
0.66,759.50,318.50,220.50,3.50,4,0.25,2,12.77,16.22,H,H
0.69,735.00,294.00,220.50,3.50,2,0.25,1,12.78,15.21,H,H
0.66,759.50,318.50,220.50,3.50,4,0.25,5,12.78,15.80,H,H
0.62,808.50,367.50,220.50,3.50,4,0.10,5,12.80,13.99,H,H
0.66,759.50,318.50,220.50,3.50,3,0.25,5,12.82,16.03,H,H
0.66,759.50,318.50,220.50,3.50,5,0.25,3,12.84,16.26,H,H
0.62,808.50,367.50,220.50,3.50,2,0.10,4,12.85,14.37,H,H
0.69,735.00,294.00,220.50,3.50,2,0.25,2,12.85,15.52,H,H
0.69,735.00,294.00,220.50,3.50,5,0.25,4,12.86,16.13,H,H
0.66,759.50,318.50,220.50,3.50,4,0.25,4,12.86,16.17,H,H
0.69,735.00,294.00,220.50,3.50,3,0.25,2,12.87,15.85,H,H
0.62,808.50,367.50,220.50,3.50,2,0.10,2,12.88,14.37,H,H
0.69,735.00,294.00,220.50,3.50,2,0.25,4,12.91,15.37,H,H
0.66,759.50,318.50,220.50,3.50,5,0.25,4,12.92,16.14,H,H
0.62,808.50,367.50,220.50,3.50,4,0.10,1,12.93,14.33,H,H
0.69,735.00,294.00,220.50,3.50,3,0.25,1,12.93,15.63,H,H
0.66,759.50,318.50,220.50,3.50,3,0.25,2,12.93,15.85,H,H
0.66,759.50,318.50,220.50,3.50,2,0.25,5,12.93,15.83,H,H
0.69,735.00,294.00,220.50,3.50,5,0.25,2,12.95,15.99,H,H
0.69,735.00,294.00,220.50,3.50,3,0.25,4,12.95,15.73,H,H
0.66,759.50,318.50,220.50,3.50,2,0.25,4,12.95,15.95,H,H
0.62,808.50,367.50,220.50,3.50,2,0.10,1,12.96,14.34,H,H
0.62,808.50,367.50,220.50,3.50,3,0.10,1,12.97,14.50,H,H
0.62,808.50,367.50,220.50,3.50,4,0.10,2,12.97,14.27,H,H
0.66,759.50,318.50,220.50,3.50,2,0.25,3,12.97,15.53,H,H
0.62,808.50,367.50,220.50,3.50,3,0.10,2,13.00,14.57,H,H
0.62,808.50,367.50,220.50,3.50,4,0.10,4,13.00,14.28,H,H
0.62,808.50,367.50,220.50,3.50,5,0.10,4,13.00,14.47,H,H
0.66,759.50,318.50,220.50,3.50,5,0.25,2,13.00,15.87,H,H
0.66,759.50,318.50,220.50,3.50,3,0.25,4,13.00,15.59,H,H
0.66,759.50,318.50,220.50,3.50,3,0.25,3,13.01,15.80,H,H
0.62,808.50,367.50,220.50,3.50,5,0.10,1,13.02,14.27,H,H
0.66,759.50,318.50,220.50,3.50,5,0.25,5,13.02,16.06,H,H
0.62,808.50,367.50,220.50,3.50,5,0.10,2,13.04,14.24,H,H
0.62,808.50,367.50,220.50,3.50,3,0.10,4,13.04,14.34,H,H
0.66,759.50,318.50,220.50,3.50,2,0.25,2,13.05,15.89,H,H
0.66,759.50,318.50,220.50,3.50,2,0.25,1,13.17,16.39,H,H
0.66,759.50,318.50,220.50,3.50,4,0.25,1,13.17,16.39,H,H
0.66,759.50,318.50,220.50,3.50,3,0.25,1,13.18,16.27,H,H
0.66,759.50,318.50,220.50,3.50,5,0.25,1,13.18,16.19,H,H
0.62,808.50,367.50,220.50,3.50,2,0.25,5,13.68,15.19,H,H
0.71,710.50,269.50,220.50,3.50,5,0.10,5,13.69,13.89,H,H
0.74,686.00,245.00,220.50,3.50,5,0.40,3,13.78,16.60,H,H
0.62,808.50,367.50,220.50,3.50,5,0.25,5,13.86,14.75,H,H
0.71,710.50,269.50,220.50,3.50,5,0.40,3,13.86,16.10,H,H
0.62,808.50,367.50,220.50,3.50,2,0.25,3,13.91,14.89,H,H
0.71,710.50,269.50,220.50,3.50,4,0.40,3,13.94,16.70,H,H
0.62,808.50,367.50,220.50,3.50,4,0.25,3,13.95,14.89,H,H
0.74,686.00,245.00,220.50,3.50,2,0.40,3,13.97,16.08,H,H
0.62,808.50,367.50,220.50,3.50,5,0.25,3,13.99,14.35,H,H
0.62,808.50,367.50,220.50,3.50,3,0.25,5,13.99,14.61,H,H
0.71,710.50,269.50,220.50,3.50,3,0.40,3,14.03,15.47,H,H
0.71,710.50,269.50,220.50,3.50,2,0.40,3,14.07,16.11,H,H
0.69,735.00,294.00,220.50,3.50,5,0.40,3,14.08,17.02,H,H
0.74,686.00,245.00,220.50,3.50,4,0.40,3,14.10,16.57,H,H
0.69,735.00,294.00,220.50,3.50,2,0.40,5,14.12,16.63,H,H
0.62,808.50,367.50,220.50,3.50,4,0.25,5,14.16,14.61,H,H
0.74,686.00,245.00,220.50,3.50,4,0.40,5,14.17,16.94,H,H
0.74,686.00,245.00,220.50,3.50,4,0.40,2,14.18,16.99,H,H
0.74,686.00,245.00,220.50,3.50,3,0.40,5,14.19,16.62,H,H
0.69,735.00,294.00,220.50,3.50,5,0.40,5,14.21,16.74,H,H
0.74,686.00,245.00,220.50,3.50,3,0.40,3,14.22,15.39,H,H
0.69,735.00,294.00,220.50,3.50,3,0.40,5,14.28,15.87,H,H
0.69,735.00,294.00,220.50,3.50,2,0.40,3,14.32,16.35,H,H
0.74,686.00,245.00,220.50,3.50,4,0.40,4,14.32,16.90,H,H
0.62,808.50,367.50,220.50,3.50,2,0.25,4,14.33,15.41,H,H
0.69,735.00,294.00,220.50,3.50,4,0.40,2,14.33,17.23,H,H
0.69,735.00,294.00,220.50,3.50,4,0.40,3,14.33,16.99,H,H
0.62,808.50,367.50,220.50,3.50,2,0.25,2,14.34,15.32,H,H
0.62,808.50,367.50,220.50,3.50,3,0.25,3,14.34,14.96,H,H
0.74,686.00,245.00,220.50,3.50,2,0.40,4,14.37,16.61,H,H
0.69,735.00,294.00,220.50,3.50,4,0.40,5,14.37,16.54,H,H
0.74,686.00,245.00,220.50,3.50,5,0.40,5,14.39,16.70,H,H
0.71,710.50,269.50,220.50,3.50,4,0.40,2,14.40,17.27,H,H
0.74,686.00,245.00,220.50,3.50,2,0.40,5,14.41,16.69,H,H
0.69,735.00,294.00,220.50,3.50,4,0.40,1,14.42,16.87,H,H
0.69,735.00,294.00,220.50,3.50,5,0.40,1,14.42,17.20,H,H
0.74,686.00,245.00,220.50,3.50,5,0.40,4,14.44,17.32,H,H
0.74,686.00,245.00,220.50,3.50,3,0.40,2,14.45,16.93,H,H
0.71,710.50,269.50,220.50,3.50,4,0.40,4,14.47,17.23,H,H
0.74,686.00,245.00,220.50,3.50,3,0.40,4,14.48,16.74,H,H
0.74,686.00,245.00,220.50,3.50,4,0.40,1,14.50,17.03,H,H
0.71,710.50,269.50,220.50,3.50,4,0.40,1,14.50,17.12,H,H
0.74,686.00,245.00,220.50,3.50,5,0.40,2,14.50,17.03,H,H
0.71,710.50,269.50,220.50,3.50,2,0.40,1,14.51,17.10,H,H
0.69,735.00,294.00,220.50,3.50,2,0.40,1,14.51,16.50,H,H
0.74,686.00,245.00,220.50,3.50,2,0.40,1,14.52,16.94,H,H
0.69,735.00,294.00,220.50,3.50,4,0.40,4,14.53,16.90,H,H
0.74,686.00,245.00,220.50,3.50,2,0.40,2,14.54,16.43,H,H
0.69,735.00,294.00,220.50,3.50,2,0.40,4,14.54,16.81,H,H
0.74,686.00,245.00,220.50,3.50,5,0.40,1,14.55,17.25,H,H
0.69,735.00,294.00,220.50,3.50,3,0.40,3,14.56,15.84,H,H
0.71,710.50,269.50,220.50,3.50,5,0.40,1,14.58,17.47,H,H
0.62,808.50,367.50,220.50,3.50,4,0.25,2,14.60,15.14,H,H
0.62,808.50,367.50,220.50,3.50,5,0.25,2,14.60,15.30,H,H
0.71,710.50,269.50,220.50,3.50,3,0.40,1,14.60,17.51,H,H
0.71,710.50,269.50,220.50,3.50,2,0.40,4,14.60,16.85,H,H
0.62,808.50,367.50,220.50,3.50,3,0.25,4,14.61,15.56,H,H
0.62,808.50,367.50,220.50,3.50,4,0.25,4,14.61,15.07,H,H
0.74,686.00,245.00,220.50,3.50,3,0.40,1,14.61,17.25,H,H
0.69,735.00,294.00,220.50,3.50,5,0.40,2,14.62,17.22,H,H
0.69,735.00,294.00,220.50,3.50,3,0.40,4,14.62,16.88,H,H
0.62,808.50,367.50,220.50,3.50,5,0.25,4,14.65,15.38,H,H
0.62,808.50,367.50,220.50,3.50,3,0.25,2,14.66,15.64,H,H
0.71,710.50,269.50,220.50,3.50,3,0.40,2,14.66,17.37,H,H
0.71,710.50,269.50,220.50,3.50,5,0.40,4,14.66,17.74,H,H
0.69,735.00,294.00,220.50,3.50,3,0.40,1,14.70,17.00,H,H
0.71,710.50,269.50,220.50,3.50,2,0.40,2,14.70,16.77,H,H
0.71,710.50,269.50,220.50,3.50,3,0.40,4,14.70,17.20,H,H
0.71,710.50,269.50,220.50,3.50,5,0.40,2,14.71,17.51,H,H
0.69,735.00,294.00,220.50,3.50,3,0.40,2,14.71,17.01,H,H
0.69,735.00,294.00,220.50,3.50,5,0.40,4,14.71,17.39,H,H
0.66,759.50,318.50,220.50,3.50,4,0.40,3,14.72,18.10,H,H
0.69,735.00,294.00,220.50,3.50,2,0.40,2,14.75,16.44,H,H
0.66,759.50,318.50,220.50,3.50,5,0.40,3,14.90,18.22,H,H
0.66,759.50,318.50,220.50,3.50,3,0.40,5,14.92,17.79,H,H
0.66,759.50,318.50,220.50,3.50,4,0.40,5,14.92,17.55,H,H
0.66,759.50,318.50,220.50,3.50,2,0.40,5,14.96,17.64,H,H
0.62,808.50,367.50,220.50,3.50,4,0.25,1,15.08,15.77,H,H
0.62,808.50,367.50,220.50,3.50,2,0.25,1,15.09,15.77,H,H
0.62,808.50,367.50,220.50,3.50,2,0.40,1,15.09,17.20,H,H
0.66,759.50,318.50,220.50,3.50,4,0.40,2,15.09,18.36,H,H
0.66,759.50,318.50,220.50,3.50,4,0.40,4,15.09,18.36,H,H
0.64,784.00,343.00,220.50,3.50,4,0.10,3,15.12,19.37,H,H
0.64,784.00,343.00,220.50,3.50,4,0.10,5,15.12,19.26,H,H
0.62,808.50,367.50,220.50,3.50,3,0.25,1,15.12,15.95,H,H
0.64,784.00,343.00,220.50,3.50,2,0.10,3,15.16,19.14,H,H
0.64,784.00,343.00,220.50,3.50,5,0.10,4,15.16,19.48,H,H
0.64,784.00,343.00,220.50,3.50,2,0.10,5,15.16,19.24,H,H
0.62,808.50,367.50,220.50,3.50,5,0.25,1,15.16,15.76,H,H
0.66,759.50,318.50,220.50,3.50,2,0.40,3,15.16,17.04,H,H
0.66,759.50,318.50,220.50,3.50,5,0.40,5,15.16,18.06,H,H
0.64,784.00,343.00,220.50,3.50,3,0.10,2,15.18,19.34,H,H
0.66,759.50,318.50,220.50,3.50,3,0.40,3,15.18,17.63,H,H
0.64,784.00,343.00,220.50,3.50,5,0.10,2,15.19,19.30,H,H
0.64,784.00,343.00,220.50,3.50,3,0.10,4,15.19,19.25,H,H
0.64,784.00,343.00,220.50,3.50,3,0.10,1,15.20,19.43,H,H
0.64,784.00,343.00,220.50,3.50,5,0.10,1,15.21,19.32,H,H
0.66,759.50,318.50,220.50,3.50,2,0.40,1,15.23,18.14,H,H
0.66,759.50,318.50,220.50,3.50,3,0.40,1,15.23,18.03,H,H
0.66,759.50,318.50,220.50,3.50,4,0.40,1,15.23,18.14,H,H
0.66,759.50,318.50,220.50,3.50,5,0.40,1,15.23,17.95,H,H
0.66,759.50,318.50,220.50,3.50,3,0.40,2,15.29,17.89,H,H
0.66,759.50,318.50,220.50,3.50,3,0.40,4,15.29,17.82,H,H
0.66,759.50,318.50,220.50,3.50,5,0.40,2,15.30,18.15,H,H
0.66,759.50,318.50,220.50,3.50,5,0.40,4,15.30,18.24,H,H
0.64,784.00,343.00,220.50,3.50,4,0.10,4,15.32,19.42,H,H
0.64,784.00,343.00,220.50,3.50,4,0.10,2,15.34,19.32,H,H
0.66,759.50,318.50,220.50,3.50,2,0.40,2,15.34,17.85,H,H
0.66,759.50,318.50,220.50,3.50,2,0.40,4,15.34,17.86,H,H
0.64,784.00,343.00,220.50,3.50,3,0.10,3,15.36,19.18,H,H
0.64,784.00,343.00,220.50,3.50,5,0.10,3,15.36,19.29,H,H
0.64,784.00,343.00,220.50,3.50,5,0.10,5,15.36,19.29,H,H
0.64,784.00,343.00,220.50,3.50,3,0.10,5,15.37,19.18,H,H
0.64,784.00,343.00,220.50,3.50,2,0.10,4,15.40,19.24,H,H
0.64,784.00,343.00,220.50,3.50,2,0.10,1,15.41,19.37,H,H
0.64,784.00,343.00,220.50,3.50,2,0.10,2,15.41,19.23,H,H
0.64,784.00,343.00,220.50,3.50,4,0.10,1,15.42,19.34,H,H
0.98,514.50,294.00,110.25,7.00,2,0.00,0,15.55,21.33,H,H
0.98,514.50,294.00,110.25,7.00,3,0.00,0,15.55,21.33,H,H
0.98,514.50,294.00,110.25,7.00,4,0.00,0,15.55,21.33,H,H
0.98,514.50,294.00,110.25,7.00,5,0.00,0,15.55,21.33,H,H
0.82,612.50,318.50,147.00,7.00,5,0.00,0,15.98,24.93,H,H
0.62,808.50,367.50,220.50,3.50,3,0.40,3,16.35,17.14,H,H
0.62,808.50,367.50,220.50,3.50,2,0.40,4,16.44,17.10,H,H
0.62,808.50,367.50,220.50,3.50,3,0.40,5,16.44,17.11,H,H
0.62,808.50,367.50,220.50,3.50,2,0.40,3,16.47,16.90,H,H
0.62,808.50,367.50,220.50,3.50,4,0.40,5,16.48,16.61,H,H
0.62,808.50,367.50,220.50,3.50,2,0.40,5,16.54,16.88,H,H
0.62,808.50,367.50,220.50,3.50,4,0.40,3,16.55,16.56,H,H
0.64,784.00,343.00,220.50,,4,0.25,4,16.56,20.37,H,H
0.64,784.00,343.00,220.50,3.50,5,0.25,4,16.62,19.90,H,H
0.62,808.50,367.50,220.50,3.50,5,0.40,5,16.64,16.03,H,H
0.64,784.00,343.00,220.50,3.50,4,0.25,3,16.66,20.46,H,H
0.64,784.00,343.00,220.50,3.50,3,0.25,4,16.69,19.76,H,H
0.64,784.00,343.00,220.50,3.50,2,0.25,5,16.73,20.13,H,H
0.62,808.50,367.50,220.50,3.50,5,0.40,3,16.74,16.00,H,H
0.64,784.00,343.00,220.50,3.50,4,0.25,5,16.76,20.19,H,H
0.62,808.50,367.50,220.50,3.50,2,0.40,2,16.76,17.36,H,H
0.62,808.50,367.50,220.50,3.50,5,0.40,4,16.77,16.79,H,H
0.64,784.00,343.00,220.50,3.50,2,0.25,3,16.83,19.87,H,H
