id,COLLEGE,INCOME ,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
52,0,49443,217,8,828084,238,25,4,very_unsat,high,considering,STAY
53,0,79672,198,27,459549,336,26,1,very_unsat,little,actively_looking_into_it,LEAVE
54,0,73689,0,73,435407,142,0,2,very_sat,very_high,considering,LEAVE
55,1,42585,72,83,477745,142,4,1,very_unsat,little,actively_looking_into_it,STAY
56,0,134513,41,0,253245,442,4,11,very_sat,little,actively_looking_into_it,STAY
57,0,78108,196,29,390598,370,18,1,unsat,very_little,considering,LEAVE
58,1,40980,76,18,812104,231,3,11,very_unsat,little,considering,STAY
59,1,54833,69,0,541065,378,4,14,avg,very_little,no,STAY
60,0,34722,47,42,420046,171,3,6,very_sat,avg,actively_looking_into_it,LEAVE
61,0,120331,238,27,256742,706,12,1,very_unsat,very_little,actively_looking_into_it,LEAVE
62,0,140079,203,52,537868,413,17,2,unsat,little,considering,LEAVE
63,1,84371,38,22,763123,292,14,4,very_sat,little,considering,STAY
64,0,81764,206,23,644395,501,1,6,very_unsat,very_little,actively_looking_into_it,STAY
65,1,55050,71,61,371115,274,3,2,very_unsat,very_high,considering,LEAVE
66,1,86891,65,6,907035,382,4,5,avg,little,never_thought,STAY
67,0,133389,240,71,415379,747,29,1,very_unsat,high,no,LEAVE
68,0,77412,218,0,489869,277,19,15,very_unsat,very_little,actively_looking_into_it,LEAVE
69,0,124035,227,0,262871,501,13,14,very_sat,little,no,LEAVE
70,0,57460,56,63,526910,327,5,2,very_sat,very_little,considering,STAY
71,0,23229,0,64,192175,230,1,1,very_sat,avg,actively_looking_into_it,LEAVE
72,0,137059,239,0,194351,588,29,6,very_unsat,very_little,considering,STAY
73,0,79054,165,12,177411,351,27,4,avg,very_little,actively_looking_into_it,LEAVE
74,1,123665,217,22,726234,544,28,4,sat,little,considering,STAY
75,0,24861,56,0,179200,603,4,14,unsat,very_high,perhaps,LEAVE
76,1,100800,215,0,188219,859,10,12,sat,avg,never_thought,LEAVE
77,1,24484,55,0,762598,224,5,5,very_unsat,very_high,considering,STAY
78,0,28916,192,88,723263,245,21,1,sat,little,considering,STAY
79,1,103506,78,22,258527,631,1,4,very_unsat,little,no,STAY
80,1,33720,0,13,268966,174,0,5,avg,very_little,actively_looking_into_it,STAY
81,1,124947,0,11,902765,422,0,6,very_unsat,very_little,no,STAY
82,0,101746,0,7,223810,748,1,6,very_sat,little,actively_looking_into_it,STAY
83,0,34845,0,35,382242,203,1,2,very_sat,very_high,considering,LEAVE
84,1,154686,0,9,933975,736,0,4,very_sat,little,perhaps,STAY
85,0,56065,0,86,702828,250,0,1,very_unsat,very_little,considering,STAY
86,1,87141,0,20,277228,250,1,4,very_unsat,avg,actively_looking_into_it,LEAVE
87,0,61104,56,13,183349,857,5,4,very_unsat,very_high,no,LEAVE
88,1,124092,94,65,395269,561,3,2,very_unsat,little,considering,STAY
89,0,101798,0,16,554036,880,1,4,very_unsat,high,actively_looking_into_it,STAY
90,1,151731,74,0,885746,536,26,11,unsat,little,actively_looking_into_it,LEAVE
91,0,45473,204,15,361403,197,15,5,very_sat,little,no,LEAVE
92,1,39899,0,65,967576,141,1,12,avg,little,no,STAY
93,0,42459,0,0,783857,192,1,10,very_unsat,very_high,considering,STAY
94,1,38814,0,48,814203,188,1,2,very_sat,little,considering,STAY
95,0,45870,214,0,201417,159,19,8,sat,little,never_thought,LEAVE
96,0,76717,0,82,883593,381,0,2,unsat,very_little,perhaps,LEAVE
97,1,50871,232,32,608297,381,18,1,unsat,very_little,actively_looking_into_it,STAY
98,1,113468,0,10,214042,483,0,5,very_sat,very_high,considering,STAY
99,1,129023,45,5,675998,752,4,1,very_sat,very_little,considering,LEAVE
100,1,44986,219,0,977398,235,25,11,avg,little,considering,STAY
101,1,79719,202,79,176013,256,21,5,very_unsat,high,no,LEAVE
102,1,113504,57,24,809188,192,3,5,very_unsat,high,no,STAY
103,1,97754,97,45,937656,286,4,1,very_sat,avg,never_thought,STAY
104,0,40385,65,23,453600,216,3,5,very_sat,little,no,STAY
105,0,43915,158,15,151890,197,24,5,very_unsat,very_high,perhaps,LEAVE
106,0,70863,186,9,705316,546,19,5,sat,very_high,no,STAY
107,1,27886,63,63,461456,241,1,2,very_unsat,little,considering,STAY
108,0,31556,71,76,324804,195,15,1,unsat,little,never_thought,LEAVE
109,0,84992,197,8,736073,396,1,4,unsat,very_little,no,STAY
110,0,63466,67,0,728459,254,4,14,very_sat,little,no,STAY
111,0,55347,59,0,922404,331,13,15,very_sat,very_little,considering,STAY
112,0,24146,203,8,276961,332,25,6,very_unsat,little,actively_looking_into_it,LEAVE
113,1,24811,0,59,693081,225,0,2,very_unsat,little,considering,LEAVE
114,1,64779,62,85,247953,393,3,1,sat,very_little,never_thought,LEAVE
115,0,116815,211,87,199709,827,23,2,very_sat,very_high,no,LEAVE
116,1,33406,55,0,168170,185,4,14,unsat,little,perhaps,LEAVE
117,1,111935,176,75,932300,555,16,2,very_unsat,little,never_thought,LEAVE
118,1,56005,154,23,270679,206,0,12,very_unsat,very_little,actively_looking_into_it,LEAVE
119,0,126919,0,11,242869,565,1,6,very_unsat,little,considering,STAY
120,0,110061,0,25,902824,817,0,1,very_sat,very_high,actively_looking_into_it,LEAVE
121,1,86392,223,0,938183,322,20,11,very_unsat,very_little,actively_looking_into_it,STAY
122,1,45347,56,66,768301,177,4,2,very_sat,very_little,actively_looking_into_it,STAY
123,0,115403,35,0,617684,719,5,15,very_unsat,very_high,never_thought,LEAVE
124,0,42787,232,17,169276,347,19,6,avg,little,considering,LEAVE
125,0,91345,206,63,395398,335,28,1,very_unsat,avg,considering,LEAVE
126,0,154596,163,12,825253,810,14,6,very_unsat,very_little,never_thought,LEAVE
127,0,62386,0,63,525716,307,0,2,very_sat,little,no,LEAVE
128,0,135797,59,14,150953,641,5,4,very_sat,little,considering,STAY
129,0,26918,0,10,261614,179,0,6,sat,little,actively_looking_into_it,STAY
130,1,107768,174,0,278811,604,10,12,unsat,high,no,STAY
131,0,64377,148,21,403102,347,10,10,very_sat,very_high,actively_looking_into_it,STAY
132,0,83020,211,81,310469,165,12,1,very_unsat,little,considering,LEAVE
133,0,76113,209,0,192765,162,14,8,very_unsat,little,actively_looking_into_it,LEAVE
134,1,139334,38,41,378749,705,4,2,very_sat,very_little,considering,LEAVE
135,1,154628,58,0,531069,454,3,10,very_sat,very_high,considering,STAY
136,0,76995,55,23,388798,648,3,4,unsat,very_high,actively_looking_into_it,STAY
137,1,152863,0,75,200579,605,0,2,unsat,avg,considering,LEAVE
138,1,82251,69,0,615508,345,5,8,very_sat,little,never_thought,STAY
139,1,55191,0,13,889707,271,0,6,avg,very_little,no,STAY
140,1,132729,245,0,975834,319,21,10,avg,avg,actively_looking_into_it,LEAVE
141,1,111211,219,0,636157,447,26,8,very_unsat,very_high,never_thought,STAY
142,0,30742,82,59,175583,146,4,1,avg,very_high,actively_looking_into_it,STAY
143,0,98101,175,12,185838,381,14,6,avg,little,actively_looking_into_it,LEAVE
144,1,92165,152,0,771245,372,26,15,avg,high,actively_looking_into_it,STAY
145,1,65410,0,32,259440,361,1,2,very_sat,little,no,LEAVE
146,1,106193,203,0,458895,491,21,8,unsat,very_little,considering,LEAVE
147,1,43913,218,73,184765,243,14,2,unsat,little,never_thought,LEAVE
148,1,125614,0,82,172512,673,1,1,unsat,high,considering,STAY
149,0,33536,196,0,293898,179,19,9,very_sat,very_high,actively_looking_into_it,LEAVE
150,0,91018,171,22,803631,378,14,5,very_unsat,little,considering,STAY
151,1,126755,228,0,178369,594,14,9,sat,little,actively_looking_into_it,LEAVE
152,1,41874,0,0,477865,198,4,8,very_unsat,very_little,actively_looking_into_it,LEAVE
153,0,96808,0,56,413429,307,0,11,very_sat,very_little,considering,LEAVE
154,0,130831,203,37,679608,564,13,2,very_unsat,little,considering,LEAVE
155,1,122774,78,0,177649,754,3,9,very_sat,little,never_thought,STAY
156,1,92022,70,0,907989,268,3,10,very_unsat,very_little,no,STAY
157,1,92585,0,83,625278,309,1,9,very_unsat,very_high,actively_looking_into_it,LEAVE
158,1,121739,0,0,869426,805,1,14,avg,very_little,considering,LEAVE
159,1,90093,221,9,761768,390,28,6,unsat,little,considering,STAY
160,1,44713,0,70,244136,229,1,1,very_sat,high,actively_looking_into_it,STAY
161,0,102317,70,0,502376,571,3,12,avg,high,actively_looking_into_it,STAY
162,1,139804,80,12,725992,605,3,4,unsat,very_little,considering,STAY
163,1,44734,0,58,809949,200,1,13,sat,little,actively_looking_into_it,LEAVE
164,1,130433,73,10,201671,614,3,4,very_sat,little,perhaps,LEAVE
165,0,151743,226,0,252067,781,11,12,very_unsat,little,considering,LEAVE
166,1,92843,184,69,214578,360,21,4,very_unsat,very_little,considering,LEAVE
167,0,61160,0,0,190204,331,1,8,unsat,little,never_thought,STAY
168,0,61956,87,0,241677,753,5,2,very_sat,little,considering,STAY
169,0,27984,0,17,493115,236,1,12,very_unsat,little,no,STAY
170,0,95617,197,32,700876,315,19,2,avg,avg,considering,STAY
171,0,72053,45,0,545680,285,4,15,very_sat,very_high,actively_looking_into_it,STAY
172,1,141865,154,6,280204,691,3,5,very_unsat,very_high,actively_looking_into_it,LEAVE
173,1,112939,213,0,206983,494,26,13,very_sat,little,considering,LEAVE
174,1,153073,221,9,436838,477,25,6,very_sat,little,no,LEAVE
175,0,99064,235,16,763680,281,1,4,sat,very_high,no,STAY
176,1,42181,72,0,214066,197,3,10,very_sat,little,considering,STAY
177,1,27945,197,17,170683,154,12,6,sat,avg,actively_looking_into_it,LEAVE
178,0,104359,75,23,697629,460,27,5,very_sat,very_high,considering,LEAVE
179,0,133227,0,36,597447,780,1,1,unsat,little,no,STAY
180,0,46760,230,0,552976,224,19,11,very_unsat,very_high,actively_looking_into_it,LEAVE
181,0,33445,182,84,201373,155,10,2,very_unsat,high,no,LEAVE
182,1,61915,44,59,342735,378,4,2,very_unsat,little,actively_looking_into_it,STAY
183,1,157644,50,12,246973,537,4,4,avg,very_high,never_thought,LEAVE
184,0,155149,178,0,224294,406,15,13,very_unsat,very_high,no,STAY
185,0,66588,233,0,215514,371,18,15,unsat,very_little,actively_looking_into_it,LEAVE
186,0,31409,145,23,910527,200,23,1,very_unsat,little,considering,STAY
187,1,52814,62,0,538350,253,3,8,unsat,very_little,considering,LEAVE
188,0,151627,71,0,248208,582,5,10,unsat,very_high,considering,STAY
189,1,109684,0,14,167886,730,0,8,very_sat,little,no,STAY
190,1,29005,146,0,345310,204,19,10,avg,very_high,considering,STAY
191,0,48619,222,17,267344,176,10,1,sat,very_high,actively_looking_into_it,LEAVE
192,1,79380,78,33,956842,303,4,1,very_unsat,very_little,no,LEAVE
193,0,59221,171,56,721347,281,20,2,very_unsat,little,considering,LEAVE
194,1,25013,57,88,497345,138,3,2,very_sat,very_little,actively_looking_into_it,STAY
195,1,82889,0,0,294120,844,1,11,unsat,little,considering,LEAVE
196,1,129466,60,0,672504,732,3,12,sat,very_little,actively_looking_into_it,LEAVE
197,1,37263,0,20,168922,247,0,4,avg,little,considering,STAY
198,1,126562,0,11,295468,700,1,1,sat,little,considering,STAY
199,1,28804,51,13,676869,207,4,4,very_sat,very_high,considering,STAY
200,1,114022,0,0,303244,196,1,10,very_sat,avg,actively_looking_into_it,LEAVE
201,0,33955,0,15,547644,182,29,5,very_sat,little,considering,STAY
202,1,28311,0,52,344968,169,1,1,very_unsat,very_high,never_thought,STAY
203,0,134978,63,0,250745,614,3,14,very_sat,little,never_thought,STAY
204,0,157121,98,21,295727,615,5,4,very_unsat,very_high,no,LEAVE
205,0,44315,221,0,204100,131,14,14,very_unsat,avg,actively_looking_into_it,STAY
206,1,47113,0,6,988310,192,0,4,very_sat,very_high,actively_looking_into_it,STAY
207,1,37890,0,0,468617,235,0,15,very_unsat,high,no,LEAVE
208,1,27005,185,7,625976,193,24,5,very_unsat,very_little,considering,STAY
209,0,115730,263,47,375131,683,20,1,very_unsat,little,actively_looking_into_it,LEAVE
210,0,132376,177,16,399301,837,22,5,very_sat,little,actively_looking_into_it,LEAVE
211,0,105814,172,22,282118,563,13,5,unsat,little,actively_looking_into_it,LEAVE
212,0,31552,0,55,189274,239,0,1,unsat,very_little,actively_looking_into_it,LEAVE
213,1,45703,172,11,427037,145,15,6,very_unsat,very_high,considering,LEAVE
214,0,126718,61,0,343847,492,4,12,unsat,very_high,actively_looking_into_it,LEAVE
215,1,24992,0,0,474396,240,0,11,very_unsat,little,actively_looking_into_it,LEAVE
216,0,60809,235,9,434847,354,25,4,very_unsat,very_high,considering,LEAVE
217,1,98813,196,0,684199,366,12,11,very_sat,little,actively_looking_into_it,LEAVE
218,0,27227,0,23,218605,195,1,6,avg,little,considering,STAY
219,1,145115,0,0,175115,507,1,11,very_sat,little,considering,STAY
220,1,20844,0,30,463068,243,1,2,very_unsat,little,no,STAY
221,1,35996,210,23,223268,212,14,15,avg,little,actively_looking_into_it,LEAVE
222,0,98064,49,54,295639,317,3,2,unsat,very_high,no,LEAVE
223,0,81288,49,0,276667,266,4,8,very_sat,very_little,considering,LEAVE
224,0,121210,47,89,223661,448,5,1,avg,very_little,actively_looking_into_it,LEAVE
225,1,35593,162,17,165027,131,18,4,very_unsat,very_high,considering,LEAVE
226,0,93816,53,0,779635,370,5,15,avg,avg,actively_looking_into_it,STAY
227,0,48160,55,20,492616,231,5,4,very_unsat,very_little,perhaps,STAY
228,0,42759,184,0,582094,145,15,8,very_sat,little,considering,LEAVE
229,0,149110,0,10,629165,747,0,5,avg,high,actively_looking_into_it,STAY
230,1,48030,55,72,233254,174,3,1,very_unsat,very_high,no,STAY
231,1,140091,63,20,354330,763,3,5,avg,little,no,STAY
232,0,153391,47,88,281272,518,0,2,very_sat,little,considering,LEAVE
233,0,101630,0,0,640544,811,1,11,very_unsat,little,considering,LEAVE
234,0,22166,193,7,302744,360,27,4,unsat,very_high,no,LEAVE
235,0,80193,0,43,353559,308,1,1,unsat,high,no,LEAVE
236,1,87269,0,0,244719,349,1,9,sat,little,no,STAY
237,1,133811,60,20,912325,779,5,6,very_sat,very_little,considering,LEAVE
238,0,87450,229,84,202608,319,16,1,very_unsat,little,considering,LEAVE
239,0,141110,0,48,433027,500,0,1,very_unsat,very_high,considering,LEAVE
240,1,34135,235,80,279080,516,18,10,avg,very_high,considering,LEAVE
241,1,104392,0,0,247836,778,1,8,very_sat,little,no,LEAVE
242,1,156434,55,15,417298,501,5,4,very_unsat,high,considering,STAY
243,0,38212,0,20,435049,176,17,4,very_unsat,very_little,considering,STAY
244,0,32799,39,0,548785,181,3,13,very_unsat,little,never_thought,STAY
245,1,49927,38,22,525311,160,5,5,very_unsat,little,considering,LEAVE
246,0,98211,0,78,827058,263,0,1,very_unsat,little,no,STAY
247,1,154217,0,30,553967,553,0,2,very_unsat,very_little,no,LEAVE
248,0,49897,0,16,361467,222,0,4,very_sat,very_high,considering,STAY
249,1,151155,74,0,169335,744,3,14,very_unsat,very_high,no,LEAVE
250,1,104508,60,70,516943,465,3,2,avg,very_little,actively_looking_into_it,LEAVE
251,1,147369,0,22,457547,556,0,6,very_unsat,very_little,considering,STAY
252,1,40111,76,58,383330,181,3,1,very_sat,very_high,actively_looking_into_it,LEAVE
253,0,26605,225,39,545912,213,14,1,unsat,little,no,LEAVE
254,1,54995,33,0,723671,287,1,14,very_sat,high,considering,LEAVE
255,0,137801,45,0,329814,707,5,13,very_sat,little,considering,LEAVE
256,0,32786,203,18,847293,217,28,15,sat,little,considering,STAY
257,1,29215,0,11,829545,147,0,5,very_unsat,very_little,considering,STAY
258,0,52318,89,0,365145,390,3,8,very_unsat,very_high,never_thought,LEAVE
259,0,38199,194,7,437848,203,0,5,very_sat,very_high,never_thought,LEAVE
260,0,103685,50,0,280824,467,3,15,unsat,very_little,considering,STAY
261,0,71884,0,0,220732,321,0,9,very_unsat,high,actively_looking_into_it,LEAVE
262,0,38536,167,72,643546,160,1,2,very_unsat,very_high,no,STAY
263,0,46552,43,0,752347,135,3,9,unsat,very_high,considering,STAY
264,0,31754,61,0,548216,149,3,8,very_unsat,very_high,considering,STAY
265,0,66096,206,85,474079,312,17,2,very_unsat,little,actively_looking_into_it,LEAVE
266,0,81213,51,48,846657,392,4,2,very_unsat,little,no,STAY
267,0,40007,50,0,452723,140,5,1,very_unsat,little,perhaps,LEAVE
268,1,113878,51,0,863737,760,4,12,very_sat,little,never_thought,STAY
269,0,143837,216,66,164439,571,15,2,unsat,very_little,considering,LEAVE
270,0,49378,218,65,389665,144,13,2,very_unsat,very_high,no,LEAVE
271,0,108842,67,26,254481,517,4,1,avg,little,considering,LEAVE
272,1,26745,0,47,914098,227,0,1,very_sat,very_high,considering,STAY
273,0,26681,0,6,559376,159,20,6,very_unsat,high,perhaps,STAY
274,1,41537,33,33,293095,175,4,2,unsat,very_little,considering,LEAVE
275,0,159769,61,0,619810,596,4,8,unsat,little,no,LEAVE
276,1,25463,42,9,639186,133,1,6,very_unsat,very_little,no,LEAVE
277,1,156919,66,0,656256,222,3,11,very_unsat,very_little,no,LEAVE
278,1,40018,79,0,588761,837,5,10,very_sat,high,considering,LEAVE
279,0,82145,69,14,454457,140,0,5,very_sat,little,actively_looking_into_it,LEAVE
280,1,158010,0,24,158520,422,0,6,very_sat,very_high,considering,STAY
281,1,37908,148,70,515646,187,12,1,unsat,very_little,never_thought,STAY
282,1,153769,50,39,799356,781,3,4,very_unsat,very_little,never_thought,LEAVE
283,1,79642,0,10,469442,390,1,4,very_unsat,little,considering,STAY
284,1,134002,57,14,480675,238,19,4,very_unsat,little,considering,LEAVE
285,0,31499,199,11,657719,225,25,2,sat,high,actively_looking_into_it,STAY
286,1,135882,0,61,409952,731,1,4,very_sat,very_high,perhaps,LEAVE
287,1,20569,152,0,496985,185,14,13,very_sat,little,considering,LEAVE
288,1,75859,52,0,267357,263,3,11,very_unsat,little,actively_looking_into_it,STAY
289,0,71078,34,72,572463,350,4,1,very_sat,very_high,considering,LEAVE
290,0,134266,0,88,221311,439,0,2,unsat,very_little,never_thought,STAY
291,1,84616,184,87,962952,225,17,2,very_sat,little,no,STAY
292,1,76035,50,12,522691,377,3,5,very_unsat,very_little,actively_looking_into_it,STAY
293,1,79470,161,9,518144,272,28,2,unsat,very_high,considering,LEAVE
294,1,78416,183,0,388824,276,26,10,sat,very_high,no,LEAVE
295,0,75767,53,88,436054,251,4,2,very_unsat,very_little,considering,LEAVE
296,0,102926,0,9,197486,504,0,4,very_unsat,little,no,STAY
297,0,24559,56,28,645419,141,5,2,very_sat,little,considering,STAY
298,0,138135,25,6,564575,536,4,6,very_unsat,little,never_thought,LEAVE
299,0,79359,77,32,473954,305,29,1,very_sat,very_high,considering,STAY
300,1,57583,184,78,187041,314,12,1,avg,very_high,considering,LEAVE
301,1,48273,71,0,414753,130,3,2,avg,little,no,LEAVE
302,1,79934,68,10,473200,335,11,6,very_unsat,little,no,STAY
303,0,41222,61,0,907847,331,4,8,very_sat,little,considering,STAY
304,1,71778,44,70,501105,390,3,2,unsat,very_high,considering,LEAVE
305,0,21030,56,0,323875,239,4,9,unsat,very_little,no,STAY
306,0,49755,191,29,294303,212,22,2,very_unsat,avg,no,LEAVE
307,0,23157,47,85,982795,132,3,1,very_sat,very_little,considering,LEAVE
308,0,21437,64,37,200628,188,0,2,very_unsat,avg,considering,STAY
309,1,95952,0,60,446559,374,1,2,very_sat,little,actively_looking_into_it,STAY
310,1,144043,0,34,795449,847,0,2,very_sat,very_high,considering,STAY
311,0,55648,51,32,908933,332,5,1,avg,little,considering,STAY
312,1,92719,210,20,190563,395,5,4,very_sat,very_high,actively_looking_into_it,LEAVE
313,1,106322,46,20,311872,181,3,5,avg,very_little,considering,STAY
314,1,95270,223,0,292353,376,22,4,unsat,very_little,no,LEAVE
315,1,81295,59,8,541859,284,4,5,very_sat,little,actively_looking_into_it,STAY
316,1,142292,238,81,211362,761,21,1,avg,very_high,actively_looking_into_it,LEAVE
317,1,38702,0,19,469095,201,1,5,unsat,very_little,considering,LEAVE
318,1,110389,0,20,470445,789,1,5,unsat,little,considering,STAY
319,1,35446,203,0,845204,170,25,9,unsat,very_little,actively_looking_into_it,STAY
320,1,80495,72,58,382795,326,5,1,sat,very_little,considering,LEAVE
321,1,143424,0,40,448696,766,26,2,very_sat,little,considering,LEAVE
322,1,91247,38,22,166142,313,3,5,very_sat,very_high,no,STAY
323,0,28165,52,0,496022,199,5,4,avg,very_high,never_thought,STAY
324,1,27561,0,19,733929,222,1,4,very_sat,little,considering,STAY
325,0,135255,78,58,352473,498,1,2,very_unsat,very_little,considering,LEAVE
326,0,155887,222,5,278516,811,29,6,very_unsat,very_high,actively_looking_into_it,LEAVE
327,0,93239,0,21,630612,264,1,5,sat,very_little,considering,STAY
328,1,132181,0,64,629528,893,4,2,very_unsat,little,actively_looking_into_it,LEAVE
329,0,96456,218,81,932581,324,1,2,very_sat,very_little,considering,STAY
330,0,130348,203,0,231685,445,25,9,very_unsat,very_high,no,LEAVE
331,0,55530,0,0,391642,297,0,8,very_unsat,very_high,actively_looking_into_it,STAY
332,0,58562,0,7,782062,272,1,4,unsat,very_high,considering,LEAVE
333,1,51168,56,13,952782,389,3,5,very_unsat,very_little,never_thought,STAY
334,1,155490,63,67,241662,494,3,2,very_sat,very_high,no,LEAVE
335,0,97610,265,79,308362,390,20,1,very_sat,very_high,considering,STAY
336,1,24249,100,47,232689,134,3,2,avg,high,considering,LEAVE
337,0,44482,0,0,601770,162,0,14,sat,very_little,actively_looking_into_it,LEAVE
338,0,142864,164,14,236538,487,24,4,very_unsat,little,considering,LEAVE
339,0,94725,63,0,436687,384,3,15,very_sat,very_little,considering,STAY
340,1,89281,186,7,150021,331,21,6,very_unsat,avg,no,LEAVE
341,0,64040,0,23,292321,391,3,4,unsat,very_high,actively_looking_into_it,STAY
342,0,151435,0,78,489304,680,1,2,very_unsat,little,considering,LEAVE
343,0,76862,210,68,210001,371,11,2,unsat,high,considering,STAY
344,1,77395,73,6,441880,268,5,4,very_sat,little,no,STAY
345,0,101894,120,18,254319,869,21,1,sat,very_little,actively_looking_into_it,LEAVE
346,1,135331,41,76,409970,561,5,2,unsat,very_high,no,STAY
347,1,48597,74,81,152223,142,3,1,unsat,little,actively_looking_into_it,STAY
348,0,118442,216,11,404335,164,21,4,sat,very_little,no,LEAVE
349,0,135217,58,0,566213,753,4,14,very_unsat,little,never_thought,STAY
350,0,21634,48,50,505301,234,5,2,very_unsat,very_high,actively_looking_into_it,LEAVE
351,0,52505,85,8,912361,359,4,6,very_unsat,high,actively_looking_into_it,STAY
352,1,47499,62,0,792947,219,3,2,unsat,very_high,considering,STAY
353,0,35462,0,32,203513,781,1,2,very_unsat,very_little,considering,STAY
354,0,80765,37,0,498973,252,3,9,very_sat,high,no,STAY
355,0,114706,0,5,448239,507,1,4,very_sat,very_little,actively_looking_into_it,STAY
356,0,106846,64,29,319456,794,3,2,very_unsat,very_high,actively_looking_into_it,STAY
357,0,117531,0,74,464741,673,1,1,sat,very_high,considering,STAY
358,0,51112,0,0,638240,359,0,11,unsat,little,considering,STAY
359,0,108805,242,9,624764,749,11,5,very_unsat,very_little,no,LEAVE
360,0,41946,187,0,222833,195,1,14,very_unsat,very_high,considering,LEAVE
361,0,151020,54,70,906567,757,5,2,unsat,little,never_thought,LEAVE
362,0,96351,60,0,198925,307,5,1,very_sat,very_high,actively_looking_into_it,STAY
363,1,118428,72,13,733268,422,5,6,unsat,very_high,considering,LEAVE
